ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4BTJT00030,7257,18,121,15,5,7143
HT4BVJT00189,HT4BVJT00189,9769,17,68,10,4,9665
HT4BTJT00078,HT4BTJT00078,8845,29,29,14,3,8777
HT4BVJT00003,HT4BVJT00003,7041,60,68,11,3,6928
HT4AVJT02309,HT4CWJT00250,9346,54,455,26,5,8807
HT4BVJT00189,HT4BVJT00189,17435,34,71,7645,4,9720
HT4BTJT00127,HT4BTJT00030,23031,54,173,13388,2,9411
HT4BTJT00030,HT4BTJT00030,13523,19,65,4365,10,9100
HT4BTJT00030,HT4BTJT00030,31994,12,86,22429,3,9497
HT4BTJT00127,joaquim-MS-7996,1702,28,187,9,3,1470
HT4CWJT00980,joaquim-MS-7996,2770,15,127,1173,0,1445
HT4CWJT00250,joaquim-MS-7996,3374,11,90,1759,0,1432
HT4BVJT00003,joaquim-MS-7996,3386,9,192,1665,1,1425
HT4CWJT00980,joaquim-MS-7996,4238,51,173,2601,1,1400
HT4BVJT00003,joaquim-MS-7996,4997,8,218,3366,0,1397
HT4BVJT00003,joaquim-MS-7996,6057,14,204,4347,0,1403
HT4BTJT00127,joaquim-MS-7996,7143,17,155,5579,0,1392
HT4BVJT00189,joaquim-MS-7996,9918,19,284,8225,0,1388
HT4BTJT00078,joaquim-MS-7996,8501,10,271,6826,0,1403
HT4BTJT00078,joaquim-MS-7996,11223,11,239,9574,1,1392
HT4AVJT02309,joaquim-MS-7996,12033,38,118,10473,0,1397
HT4BTJT00127,compute-europe-west,1270,19,503,4,2,735
HT4BTJT00127,compute-europe-west,1273,48,424,69,1,728
HT4BTJT00078,compute-europe-west,1763,26,527,458,1,734
HT4CWJT00250,compute-europe-west,2462,53,493,1124,1,781
HT4AVJT02309,compute-europe-west,2833,64,440,1635,1,683
HT4CWJT00250,compute-europe-west,3251,53,304,2172,1,676
HT4CWJT00980,compute-europe-west,3568,50,362,2494,0,666
HT4BTJT00078,compute-europe-west,3962,65,545,2671,1,671
HT4CWJT00980,compute-europe-west,4249,21,232,3309,1,682
HT4CWJT00250,compute-europe-west,4690,42,519,3442,1,685
HT4BTJT00127,compute-europe-west,2933,37,583,1613,0,671
HT4CWJT00250,compute-europe-west,3318,24,2242,347,1,670
HT4BTJT00127,compute-europe-west,1411,62,664,4,0,674
HT4BVJT00003,compute-europe-west,1908,64,450,719,0,671
HT4BTJT00030,compute-europe-west,2211,9,353,1187,0,661
HT4CWJT00980,compute-europe-west,1575,32,456,332,0,669
HT4BTJT00030,joaquim-MS-7996,1974,63,395,8,1,1504
HT4BTJT00078,joaquim-MS-7996,3363,35,482,1442,1,1393
HT4BVJT00003,compute-europe-west,1765,47,410,641,0,658
HT4BVJT00003,joaquim-MS-7996,4235,64,266,2487,1,1407
HT4CWJT00250,compute-europe-west,1973,56,1201,3,0,669
HT4BTJT00030,joaquim-MS-7996,3073,10,111,1507,0,1443
HT4AVJT02309,joaquim-MS-7996,3530,13,134,1975,0,1408
HT4AVJT02309,joaquim-MS-7996,4150,13,136,2540,0,1452
HT4AVJT02309,joaquim-MS-7996,4762,16,170,3170,1,1400
HT4CWJT00250,compute-europe-west,1351,44,606,3,1,690
HT4CWJT00980,compute-europe-west,1454,8,352,424,0,672
HT4AVJT02309,joaquim-MS-7996,4519,30,126,2890,0,1407
HT4CWJT00250,compute-europe-west,1803,49,218,851,0,676
HT4BVJT00003,compute-europe-west,2440,56,439,1280,0,660
HT4BVJT00003,compute-europe-west,3087,46,504,1821,1,678
HT4BTJT00030,joaquim-MS-7996,5268,11,181,3674,1,1395
HT4BTJT00030,compute-europe-west,3956,14,412,2865,1,660
HT4BVJT00003,compute-europe-west,3263,30,115,2454,0,653
HT4BVJT00189,compute-europe-west,4397,13,416,3310,1,654
HT4CWJT00980,compute-europe-west,4769,54,377,3630,0,662
HT4CWJT00980,compute-europe-west,5393,53,478,4112,1,668
HT4AVJT02309,compute-europe-west,5664,10,420,4522,0,665
HT4BVJT00003,compute-europe-west,4543,67,305,3508,0,667
HT4BTJT00127,compute-europe-west,4607,31,544,3348,1,678
HT4CWJT00980,compute-europe-west,5095,45,398,3909,1,667
HT4BTJT00127,compute-europe-west,4978,16,243,4034,1,674
HT4BVJT00003,compute-europe-west,5397,46,436,4186,1,664
HT4BTJT00030,compute-europe-west,5605,26,354,4557,0,662
HT4BVJT00189,joaquim-MS-7996,1691,80,132,6,0,1461
HT4AVJT02309,joaquim-MS-7996,2592,23,77,1017,0,1409
HT4BTJT00127,joaquim-MS-7996,3201,59,206,1533,1,1397
HT4BVJT00003,joaquim-MS-7996,4506,10,196,2873,1,1400
HT4CWJT00250,joaquim-MS-7996,5751,12,163,4162,0,1405
HT4AVJT02309,joaquim-MS-7996,6943,60,183,5296,1,1399
HT4BTJT00127,joaquim-MS-7996,8262,34,128,6576,1,1397
HT4CWJT00980,joaquim-MS-7996,7397,14,151,5831,1,1398
HT4BTJT00030,joaquim-MS-7996,8037,63,132,6427,0,1405
HT4AVJT02309,compute-europe-west,3425,9,2748,3,0,659
HT4BTJT00030,compute-europe-west,1342,11,660,3,0,669
HT4BTJT00127,compute-europe-west,1775,61,459,571,0,676
HT4BTJT00127,compute-europe-west,1631,25,256,688,1,662
HT4AVJT02309,compute-europe-west,3247,44,959,1554,0,682
HT4BVJT00003,compute-europe-west,1896,34,352,814,1,666
HT4BTJT00078,compute-europe-west,2229,16,572,896,1,677
HT4BVJT00189,compute-europe-west,2382,13,414,1267,0,674
HT4BTJT00127,compute-europe-west,2514,60,503,1284,1,667
HT4CWJT00980,compute-europe-west,3665,49,426,2416,1,659
HT4BTJT00127,compute-europe-west,2903,45,282,1867,0,657
HT4BTJT00078,compute-europe-west,4051,54,556,2616,0,672
HT4AVJT02309,compute-europe-west,3919,54,617,2604,1,653
HT4AVJT02309,joaquim-MS-7996,1596,22,129,6,1,1431
HT4CWJT00980,joaquim-MS-7996,1916,18,122,309,0,1407
HT4BTJT00127,joaquim-MS-7996,1875,8,110,347,1,1406
HT4BTJT00078,joaquim-MS-7996,3079,70,109,1459,0,1416
HT4CWJT00980,joaquim-MS-7996,3966,55,143,2323,0,1403
HT4BVJT00189,joaquim-MS-7996,5060,35,147,3471,1,1399
HT4CWJT00250,joaquim-MS-7996,6483,30,161,4793,1,1400
HT4BVJT00003,joaquim-MS-7996,7140,26,108,5463,0,1420
HT4BTJT00127,joaquim-MS-7996,8244,54,67,6713,0,1400
HT4CWJT00250,compute-europe-west,1126,29,392,3,1,686
HT4BTJT00078,compute-europe-west,1435,30,493,229,1,688
HT4BTJT00030,compute-europe-west,2620,77,840,1020,1,673
HT4CWJT00250,compute-europe-west,1647,61,309,609,0,665
HT4BTJT00030,compute-europe-west,3298,77,809,1640,0,676
HT4BTJT00078,compute-europe-west,2453,21,227,1478,1,670
HT4CWJT00980,compute-europe-west,2932,5,511,1736,1,680
HT4BTJT00127,compute-europe-west,2763,63,365,1666,1,667
HT4BTJT00078,compute-europe-west,2178,13,441,1044,1,667
HT4CWJT00250,compute-europe-west,978,17,296,2,0,653
HT4AVJT02309,joaquim-MS-7996,1615,20,79,4,1,1453
HT4BVJT00003,joaquim-MS-7996,2480,10,97,970,1,1399
