ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9164,14,63,11,6,9095
HT4BTJT00078,HT4BTJT00078,17713,14,64,8183,2,9491
HT4BTJT00078,HT4BTJT00078,26883,13,45,17423,5,9397
HT4BTJT00078,HT4BTJT00078,34748,5,22,25113,2,9608
HT4BTJT00078,HT4BTJT00078,44101,5,61,34614,2,9454
HT4BTJT00078,HT4BTJT00078,53989,5,73,43970,4,9979
HT4BTJT00078,HT4BTJT00078,63123,5,54,53750,2,9352
HT4BTJT00078,HT4BTJT00078,72543,6,74,62828,3,9637
HT4BTJT00078,joaquim-MS-7996,1682,7,106,41,2,1522
HT4BTJT00078,joaquim-MS-7996,3040,6,142,1394,2,1483
HT4BTJT00078,joaquim-MS-7996,3907,6,121,2322,1,1448
HT4BTJT00078,joaquim-MS-7996,4949,6,73,3442,1,1429
HT4BTJT00078,joaquim-MS-7996,5932,10,82,4417,0,1418
HT4BTJT00078,joaquim-MS-7996,7139,9,125,5462,1,1464
HT4BTJT00078,compute-europe-west,1115,5,383,4,1,708
HT4BTJT00078,compute-europe-west,1438,18,184,502,1,692
HT4BTJT00078,compute-europe-west,1177,15,450,4,2,693
HT4BTJT00078,joaquim-MS-7996,3173,22,87,1614,0,1450
HT4BTJT00078,joaquim-MS-7996,4211,5,135,2621,0,1452
HT4BTJT00078,joaquim-MS-7996,4876,5,158,3263,1,1446
HT4BTJT00078,compute-europe-west,1742,6,1047,3,1,682
HT4BTJT00078,compute-europe-west,5671,6,4377,613,2,668
HT4BTJT00078,compute-europe-west,9197,15,4890,3627,1,664
HT4BTJT00078,compute-europe-west,4515,55,3767,4,1,683
HT4BTJT00078,compute-europe-west,7675,6,4570,2436,0,660
HT4BTJT00078,compute-europe-west,6877,10,4375,1812,1,676
HT4BTJT00078,compute-europe-west,7970,6,4298,2961,1,665
HT4BTJT00078,compute-europe-west,5037,5,3782,581,1,663
HT4BTJT00078,compute-europe-west,4560,7,2657,1235,0,651
HT4BTJT00078,joaquim-MS-7996,2255,12,151,618,1,1463
HT4BTJT00078,joaquim-MS-7996,2827,7,126,1215,1,1476
HT4BTJT00078,joaquim-MS-7996,3124,11,190,1428,1,1458
HT4BTJT00078,joaquim-MS-7996,3340,64,221,1615,1,1450
HT4BTJT00078,joaquim-MS-7996,4762,61,230,3054,0,1426
HT4BTJT00078,joaquim-MS-7996,5959,10,67,4430,0,1451
HT4BTJT00078,joaquim-MS-7996,7328,9,60,5815,1,1440
HT4BTJT00078,joaquim-MS-7996,8622,9,73,7078,1,1460
HT4BTJT00078,compute-europe-west,2053,48,1005,346,1,645
HT4BTJT00078,compute-europe-west,2036,17,1367,3,1,647
HT4BTJT00078,joaquim-MS-7996,7061,8,171,5420,1,1460
HT4BTJT00078,compute-europe-west,4578,6,3913,4,0,653
HT4BTJT00078,compute-europe-west,7193,12,6292,239,1,648
HT4BTJT00078,joaquim-MS-7996,7150,20,196,5456,0,1481
HT4BTJT00078,compute-europe-west,6017,8,5355,4,1,645
HT4BTJT00078,compute-europe-west,7212,42,5814,723,1,639
HT4BTJT00078,compute-europe-west,7850,7,5926,1191,1,651
HT4BTJT00078,joaquim-MS-7996,6481,16,135,4855,0,1474
HT4BTJT00078,compute-europe-west,4048,20,1930,1464,0,632
HT4BTJT00078,joaquim-MS-7996,4997,21,111,3369,0,1439
HT4BTJT00078,compute-europe-west,3826,18,1201,1968,1,637
HT4BTJT00078,joaquim-MS-7996,5416,9,125,3831,1,1444
HT4BTJT00078,compute-europe-west,3632,5,645,2233,1,639
HT4BTJT00078,joaquim-MS-7996,6269,5,87,4740,0,1431
HT4BTJT00078,joaquim-MS-7996,6955,9,125,5378,1,1440
HT4BTJT00078,compute-europe-west,2295,7,506,1135,0,645
HT4BTJT00078,compute-europe-west,1995,5,349,1004,0,635
HT4BTJT00078,compute-europe-west,1667,5,380,643,0,637
HT4BTJT00078,compute-europe-west,1695,13,353,677,1,649
HT4BTJT00078,joaquim-MS-7996,4070,7,146,2464,1,1453
HT4BTJT00078,compute-europe-west,1447,8,798,2,0,636
HT4BTJT00078,compute-europe-west,5871,7,5211,3,1,646
HT4BTJT00078,compute-europe-west,8910,10,8240,3,0,653
HT4BTJT00078,compute-europe-west,9543,16,7777,1094,1,653
HT4BTJT00078,compute-europe-west,6497,15,5838,3,0,638
HT4BTJT00078,compute-europe-west,9730,17,7691,1371,1,648
HT4BTJT00078,compute-europe-west,6658,12,6006,3,0,634
HT4BTJT00078,compute-europe-west,9494,5,7066,1777,0,644
HT4BTJT00078,compute-europe-west,9821,6,7627,1544,1,645
HT4BTJT00078,compute-europe-west,7138,7,5944,539,1,644
HT4BTJT00078,joaquim-MS-7996,1695,11,150,6,1,1529
HT4BTJT00078,joaquim-MS-7996,3125,57,164,1464,1,1438
HT4BTJT00078,joaquim-MS-7996,3759,8,136,2158,1,1454
HT4BTJT00078,joaquim-MS-7996,2344,11,141,738,1,1443
HT4BTJT00078,compute-europe-west,5887,6,3037,2197,1,646
HT4BTJT00078,compute-europe-west,4435,6,2192,1593,1,639
HT4BTJT00078,joaquim-MS-7996,1623,12,142,3,1,1467
HT4BTJT00078,joaquim-MS-7996,2608,11,71,1039,0,1488
HT4BTJT00078,joaquim-MS-7996,3880,17,86,2340,0,1439
