ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4BTJT00030,10791,14,83,14,4,10711
HT4BTJT00030,HT4BTJT00030,20406,29,118,9836,10,10408
HT4BTJT00030,HT4BTJT00030,30748,8,158,20016,11,10573
HT4BTJT00030,compute-europe-west,7386,63,5121,1179,3,1016
HT4BTJT00030,compute-europe-west,4243,50,2187,981,3,1019
HT4BTJT00030,compute-europe-west,6270,6,4849,413,3,995
HT4BTJT00030,compute-europe-west,2960,6,1704,6,3,1221
HT4BTJT00030,compute-europe-west,4840,12,3828,8,2,988
HT4BTJT00030,compute-europe-west,7208,8,5519,677,2,987
HT4BTJT00030,compute-europe-west,9041,12,7296,705,3,1012
HT4BTJT00030,compute-europe-west,7556,7,5239,1320,2,983
HT4BTJT00030,compute-europe-west,9157,11,7885,246,3,1011
HT4BTJT00030,compute-europe-west,9769,27,8071,650,2,1018
HT4BTJT00030,compute-europe-west,10448,17,8986,413,3,1011
HT4BTJT00030,compute-europe-west,16408,25,15316,13,3,1059
HT4BTJT00030,compute-europe-west,17050,6,15983,21,3,1027
HT4BTJT00030,compute-europe-west,17055,19,14776,1258,2,994
HT4BTJT00030,compute-europe-west,15067,7,13474,588,2,995
HT4BTJT00030,compute-europe-west,16626,9,15225,406,2,980
HT4BTJT00030,compute-europe-west,112019,58,109588,1356,4,1019
HT4BTJT00030,compute-europe-west,64314,28,63173,100,3,1002
HT4BTJT00030,compute-europe-west,75599,7,74525,62,3,999
HT4BTJT00030,compute-europe-west,42008,12,40980,10,2,1003
HT4BTJT00030,compute-europe-west,22457,46,21399,5,2,1004
HT4BTJT00030,compute-europe-west,81736,7,80678,15,3,1028
HT4BTJT00030,compute-europe-west,34903,11,33893,10,2,986
HT4BTJT00030,compute-europe-west,78456,6,77440,13,3,992
HT4BTJT00030,compute-europe-west,71065,7,69045,1010,2,999
HT4BTJT00030,compute-europe-west,54410,17,53368,7,2,1014
HT4BTJT00030,compute-europe-west,80763,6,79697,13,3,1038
HT4BTJT00030,compute-europe-west,41147,17,40144,10,1,973
HT4BTJT00030,compute-europe-west,58241,13,57228,13,1,978
HT4BTJT00030,compute-europe-west,95200,16,94160,12,3,1006
HT4BTJT00030,compute-europe-west,62655,18,61545,93,2,988
HT4BTJT00030,compute-europe-west,91259,13,90222,12,3,992
HT4BTJT00030,compute-europe-west,77529,13,76000,504,3,1009
HT4BTJT00030,compute-europe-west,94665,12,92819,817,3,1011
HT4BTJT00030,compute-europe-west,38710,8,37712,9,2,976
HT4BTJT00030,compute-europe-west,63275,7,62194,80,2,984
HT4BTJT00030,compute-europe-west,76847,24,75458,364,3,995
HT4BTJT00030,compute-europe-west,56197,9,55190,6,2,988
