ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,10098,14,106,18,3,10000
HT4AVJT02309,HT4AVJT02309,19691,19,91,9094,13,10508
HT4AVJT02309,HT4AVJT02309,30135,7,148,19302,9,10693
HT4AVJT02309,HT4AVJT02309,39448,6,106,28325,6,11045
HT4AVJT02309,HT4AVJT02309,48742,37,96,39129,22,9484
HT4AVJT02309,HT4AVJT02309,58927,30,133,48565,24,10209
HT4AVJT02309,HT4AVJT02309,69631,10,72,58643,31,10910
HT4AVJT02309,HT4AVJT02309,79613,21,95,69399,18,10115
HT4AVJT02309,HT4AVJT02309,91393,5,93,78904,24,12404
HT4AVJT02309,HT4AVJT02309,103256,11,100,91186,22,11972
HT4AVJT02309,HT4AVJT02309,115002,14,107,102678,17,12224
HT4AVJT02309,HT4AVJT02309,126299,14,84,114379,22,11803
HT4AVJT02309,compute-europe-west,2499,12,1092,19,6,1355
HT4AVJT02309,compute-europe-west,3386,23,1012,1206,6,1127
HT4AVJT02309,compute-europe-west,2511,15,1178,286,3,1028
HT4AVJT02309,compute-europe-west,3169,17,1082,1037,3,1026
HT4AVJT02309,compute-europe-west,2181,5,666,491,2,1015
HT4AVJT02309,compute-europe-west,2193,9,451,720,2,1012
HT4AVJT02309,compute-europe-west,2817,20,463,1302,2,1015
HT4AVJT02309,compute-europe-west,3060,13,1135,865,4,1046
HT4AVJT02309,compute-europe-west,7128,5,6096,12,2,1016
HT4AVJT02309,compute-europe-west,18008,17,15591,1371,3,1023
HT4AVJT02309,compute-europe-west,16573,17,15021,537,1,998
HT4AVJT02309,compute-europe-west,8817,8,7816,5,1,988
HT4AVJT02309,compute-europe-west,43928,13,42604,293,3,1014
HT4AVJT02309,compute-europe-west,15326,9,14290,5,2,1015
HT4AVJT02309,compute-europe-west,46657,22,45596,11,3,1015
HT4AVJT02309,compute-europe-west,41312,12,40275,17,2,1009
HT4AVJT02309,compute-europe-west,27315,10,26249,13,2,1036
HT4AVJT02309,compute-europe-west,73939,17,72882,17,2,1014
HT4AVJT02309,compute-europe-west,26879,9,25197,647,2,1020
HT4AVJT02309,compute-europe-west,45268,17,44233,6,2,1004
HT4AVJT02309,compute-europe-west,86519,8,85475,14,2,1011
HT4AVJT02309,compute-europe-west,61234,8,60215,11,2,1010
HT4AVJT02309,compute-europe-west,84704,14,83647,12,2,1014
HT4AVJT02309,compute-europe-west,76739,10,74549,1153,2,1019
HT4AVJT02309,compute-europe-west,86987,5,85024,924,2,1035
HT4AVJT02309,compute-europe-west,35594,10,34286,302,1,994
HT4AVJT02309,compute-europe-west,70867,9,68349,1499,3,1007
HT4AVJT02309,compute-europe-west,77187,10,76100,14,2,1029
HT4AVJT02309,compute-europe-west,49377,4,48368,5,1,998
HT4AVJT02309,compute-europe-west,71935,6,70612,310,2,1003
HT4AVJT02309,compute-europe-west,69201,13,65435,2739,2,1010
HT4AVJT02309,compute-europe-west,85748,14,83924,803,2,1005
HT4AVJT02309,compute-europe-west,77319,10,76308,12,2,1004
HT4AVJT02309,compute-europe-west,65452,14,63882,535,2,1004
HT4AVJT02309,compute-europe-west,90134,9,87499,1607,3,1012
HT4AVJT02309,compute-europe-west,98887,6,96188,1669,3,1016
HT4AVJT02309,compute-europe-west,103134,15,100540,1565,2,1011
HT4AVJT02309,compute-europe-west,64971,17,60457,3508,2,985
HT4AVJT02309,compute-europe-west,102206,14,99157,2015,3,1009
HT4AVJT02309,compute-europe-west,81937,6,79532,1392,2,1004
HT4AVJT02309,compute-europe-west,114475,7,112270,1173,3,1013
HT4AVJT02309,compute-europe-west,82072,13,80344,708,2,1005
HT4AVJT02309,compute-europe-west,77884,24,76858,5,2,995
HT4AVJT02309,compute-europe-west,124227,12,114857,8334,3,1016
HT4AVJT02309,compute-europe-west,34736,14,33726,4,1,987
HT4AVJT02309,compute-europe-west,88138,13,87115,11,2,994
HT4AVJT02309,compute-europe-west,79389,23,77547,820,2,998
HT4AVJT02309,compute-europe-west,106230,9,105177,12,2,1031
