ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00980,HT4CWJT00980,9608,13,91,11,4,9526
HT4CWJT00980,joaquim-MS-7996,2130,16,307,11,3,1733
HT4CWJT00980,joaquim-MS-7996,3340,14,465,1173,2,1683
HT4CWJT00980,joaquim-MS-7996,2480,7,694,18,4,1718
HT4CWJT00980,joaquim-MS-7996,4056,12,595,1648,1,1804
HT4CWJT00980,joaquim-MS-7996,5568,20,619,3196,2,1725
HT4CWJT00980,joaquim-MS-7996,6816,22,279,4827,1,1670
HT4CWJT00980,joaquim-MS-7996,8054,15,247,6113,1,1647
HT4CWJT00980,joaquim-MS-7996,8419,6,467,6270,2,1684
HT4CWJT00980,joaquim-MS-7996,9792,22,468,7648,2,1654
HT4CWJT00980,joaquim-MS-7996,10479,6,269,8527,2,1655
HT4CWJT00980,joaquim-MS-7996,11318,7,387,9163,2,1684
HT4CWJT00980,joaquim-MS-7996,12092,9,378,10038,2,1677
HT4CWJT00980,joaquim-MS-7996,13102,8,366,11027,2,1701
HT4CWJT00980,HT4CWJT00980,8865,7,90,15,7,8770
HT4CWJT00980,HT4CWJT00980,17515,5,97,8111,5,9333
HT4CWJT00980,joaquim-MS-7996,6163,7,314,4093,1,1741
HT4CWJT00980,joaquim-MS-7996,5966,7,264,3933,1,1752
HT4CWJT00980,joaquim-MS-7996,6865,10,243,4903,1,1706
HT4CWJT00980,joaquim-MS-7996,7066,8,520,4835,2,1679
HT4CWJT00980,joaquim-MS-7996,6804,55,575,4493,2,1654
HT4CWJT00980,joaquim-MS-7996,8272,15,577,6001,1,1676
HT4CWJT00980,joaquim-MS-7996,9100,9,259,7097,0,1646
HT4CWJT00980,joaquim-MS-7996,10655,19,421,8543,1,1678
HT4CWJT00980,joaquim-MS-7996,12124,10,598,9790,2,1719
HT4CWJT00980,joaquim-MS-7996,13559,8,397,11453,1,1694
HT4CWJT00980,joaquim-MS-7996,14744,6,310,12665,2,1740
HT4CWJT00980,joaquim-MS-7996,15952,8,276,13982,1,1680
HT4CWJT00980,HT4CWJT00980,11365,26,98,2157,5,9106
HT4CWJT00980,HT4CWJT00980,19430,19,153,10093,5,9176
HT4CWJT00980,HT4CWJT00980,26483,13,110,17458,5,8895
HT4CWJT00980,joaquim-MS-7996,10093,11,351,8010,1,1651
