ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9718,47,139,15,4,9561
HT4BTJT00078,HT4BTJT00078,18395,14,36,8650,5,9695
HT4BTJT00078,HT4BTJT00078,27990,9,43,18194,4,9748
HT4BTJT00078,HT4AVJT02309,9503,7,412,18,4,9056
HT4BTJT00078,HT4AVJT02309,18624,6,492,8949,2,9174
HT4BTJT00078,HT4AVJT02309,27906,9,432,18097,2,9368
HT4BTJT00078,HT4AVJT02309,37013,16,243,27428,3,9323
HT4BTJT00078,HT4AVJT02309,46740,15,116,36657,4,9936
HT4BTJT00078,HT4AVJT02309,55933,35,189,45757,2,9950
HT4BTJT00078,HT4AVJT02309,66090,41,243,55614,3,10181
HT4BTJT00078,joaquim-MS-7996,1716,15,248,4,1,1444
HT4BTJT00078,joaquim-MS-7996,2720,7,102,1162,1,1431
HT4BTJT00078,joaquim-MS-7996,3708,6,96,2157,0,1425
HT4BTJT00078,joaquim-MS-7996,4740,19,133,3173,0,1407
HT4BTJT00078,joaquim-MS-7996,4240,16,97,2695,1,1425
HT4BTJT00078,joaquim-MS-7996,5299,7,76,3793,0,1418
HT4BTJT00078,joaquim-MS-7996,4664,13,155,3019,0,1462
HT4BTJT00078,joaquim-MS-7996,5095,11,108,3572,0,1406
HT4BTJT00078,joaquim-MS-7996,6068,10,111,4527,0,1422
HT4BTJT00078,joaquim-MS-7996,6719,46,166,5092,1,1409
HT4BTJT00078,joaquim-MS-7996,7158,6,114,5641,1,1392
HT4BTJT00078,joaquim-MS-7996,8448,6,115,6912,1,1411
HT4BTJT00078,joaquim-MS-7996,9326,11,254,7647,0,1413
HT4BTJT00078,joaquim-MS-7996,10739,48,238,9042,1,1401
HT4BTJT00078,joaquim-MS-7996,12040,5,254,10367,1,1420
HT4BTJT00078,joaquim-MS-7996,13351,14,147,11732,0,1409
HT4BTJT00078,joaquim-MS-7996,14405,6,95,12890,0,1414
HT4BTJT00078,joaquim-MS-7996,15602,13,70,14067,0,1447
HT4BTJT00078,joaquim-MS-7996,15950,8,90,14358,0,1420
HT4BTJT00078,joaquim-MS-7996,16697,14,119,15149,0,1412
HT4BTJT00078,joaquim-MS-7996,17252,10,214,15578,0,1453
HT4BTJT00078,HT4BVJT00003,9306,6,345,11,4,8938
HT4BTJT00078,HT4BVJT00003,17479,54,346,7921,2,9239
HT4BTJT00078,HT4BVJT00003,26335,32,408,16952,2,8952
HT4BTJT00078,HT4BVJT00003,35069,57,237,25743,3,9035
HT4BTJT00078,HT4BVJT00003,44508,51,252,34759,3,9386
HT4BTJT00078,HT4BVJT00003,53506,26,184,44021,2,9177
HT4BTJT00078,HT4BTJT00078,16779,27,81,6979,2,9735
HT4BTJT00078,HT4BTJT00078,25795,7,10,15661,5,10112
HT4BTJT00078,HT4BTJT00078,35735,11,92,25323,10,10299
HT4BTJT00078,HT4BTJT00078,45702,11,21,34831,5,10837
HT4BTJT00078,HT4BTJT00078,56401,8,29,45497,2,10868
HT4BTJT00078,HT4BTJT00078,67388,8,77,55982,4,11353
HT4BTJT00078,HT4BTJT00127,9129,9,232,16,5,8852
HT4BTJT00078,HT4BTJT00127,17803,7,250,8775,3,8759
HT4BTJT00078,HT4BTJT00078,78956,12,74,67035,8,11866
HT4BTJT00078,HT4BTJT00127,25187,10,234,15600,3,9290
HT4BTJT00078,joaquim-MS-7996,6605,29,90,5012,1,1459
HT4BTJT00078,joaquim-MS-7996,7750,53,97,6122,1,1431
HT4BTJT00078,joaquim-MS-7996,8697,22,79,7172,1,1425
HT4BTJT00078,joaquim-MS-7996,9612,26,135,7989,1,1456
HT4BTJT00078,joaquim-MS-7996,10661,26,65,9141,1,1427
HT4BTJT00078,joaquim-MS-7996,11901,19,61,10400,0,1423
HT4BTJT00078,joaquim-MS-7996,12545,7,134,10984,0,1418
HT4BTJT00078,joaquim-MS-7996,13012,53,114,11430,1,1413
HT4BTJT00078,joaquim-MS-7996,13479,58,92,11934,0,1391
HT4BTJT00078,joaquim-MS-7996,13933,7,109,12406,0,1411
HT4BTJT00078,joaquim-MS-7996,14706,24,155,13119,0,1412
HT4BTJT00078,joaquim-MS-7996,15191,7,128,13607,1,1442
HT4BTJT00078,joaquim-MS-7996,16425,6,37,14900,0,1411
HT4BTJT00078,joaquim-MS-7996,16486,46,166,14862,1,1413
HT4BTJT00078,joaquim-MS-7996,17786,10,167,16186,0,1417
HT4BTJT00078,joaquim-MS-7996,18496,12,89,16984,0,1413
HT4BTJT00078,joaquim-MS-7996,19892,13,150,18315,1,1406
HT4BTJT00078,joaquim-MS-7996,20880,53,109,19315,1,1399
HT4BTJT00078,joaquim-MS-7996,21937,18,92,20391,1,1406
HT4BTJT00078,joaquim-MS-7996,22871,7,110,21296,1,1416
HT4BTJT00078,joaquim-MS-7996,24098,21,156,22354,1,1470
HT4BTJT00078,joaquim-MS-7996,25307,17,100,23771,1,1418
HT4BTJT00078,joaquim-MS-7996,27121,50,204,25415,0,1431
HT4BTJT00078,joaquim-MS-7996,25677,46,203,23995,0,1425
HT4BTJT00078,joaquim-MS-7996,27732,7,142,26150,0,1435
HT4BTJT00078,HT4BTJT00127,16015,8,246,6426,3,9330
HT4BTJT00078,HT4BTJT00127,24647,8,144,15464,3,9046
HT4BTJT00078,HT4BTJT00127,32829,11,221,23523,2,9101
HT4BTJT00078,HT4BTJT00127,40574,7,148,30749,2,9619
HT4BTJT00078,HT4BTJT00127,49283,16,168,39879,3,9230
HT4BTJT00078,HT4BTJT00127,58569,51,96,48969,2,9298
HT4BTJT00078,joaquim-MS-7996,21496,12,127,19935,0,1407
HT4BTJT00078,joaquim-MS-7996,22796,47,77,21187,1,1409
HT4BTJT00078,joaquim-MS-7996,24069,11,125,22522,1,1408
HT4BTJT00078,joaquim-MS-7996,24505,8,150,22930,0,1412
HT4BTJT00078,joaquim-MS-7996,25136,11,107,23611,1,1406
HT4BTJT00078,joaquim-MS-7996,26421,20,67,24927,0,1407
HT4BTJT00078,HT4AVJT02309,25758,15,88,15390,2,10268
HT4BTJT00078,HT4AVJT02309,36210,36,128,25384,3,10657
HT4BTJT00078,HT4AVJT02309,47342,50,98,35954,2,11189
HT4BTJT00078,HT4AVJT02309,58319,15,181,46621,3,11481
HT4BTJT00078,HT4BVJT00003,26321,14,123,16958,6,9214
HT4BTJT00078,HT4BVJT00003,32556,49,235,23080,2,9203
HT4BTJT00078,HT4BVJT00003,41907,69,114,32214,2,9509
HT4BTJT00078,HT4BVJT00003,51031,54,255,41214,3,9510
HT4BTJT00078,HT4BVJT00003,60192,12,148,50643,2,9375
HT4BTJT00078,joaquim-MS-7996,17844,7,113,16308,0,1415
HT4BTJT00078,joaquim-MS-7996,17901,33,150,16310,0,1414
HT4BTJT00078,joaquim-MS-7996,19293,85,122,17691,0,1393
HT4BTJT00078,joaquim-MS-7996,19375,14,188,17771,0,1420
HT4BTJT00078,joaquim-MS-7996,20720,32,164,19112,0,1411
HT4BTJT00078,joaquim-MS-7996,21923,12,77,20426,1,1423
HT4BTJT00078,joaquim-MS-7996,21502,45,91,19941,0,1407
HT4BTJT00078,joaquim-MS-7996,22826,15,98,21284,0,1432
HT4BTJT00078,joaquim-MS-7996,24188,21,118,22613,0,1431
HT4BTJT00078,joaquim-MS-7996,24551,9,137,22980,1,1417
HT4BTJT00078,joaquim-MS-7996,25650,15,112,24104,1,1418
HT4BTJT00078,joaquim-MS-7996,27018,51,169,25398,0,1411
HT4BTJT00078,joaquim-MS-7996,28336,23,246,26667,0,1412
HT4BTJT00078,joaquim-MS-7996,31138,17,284,29428,0,1414
HT4BTJT00078,joaquim-MS-7996,29634,13,191,28012,0,1413
HT4BTJT00078,joaquim-MS-7996,31308,8,129,29768,0,1408
HT4BTJT00078,joaquim-MS-7996,32675,11,47,31120,1,1412
HT4BTJT00078,joaquim-MS-7996,33333,19,142,31737,0,1431
HT4BTJT00078,joaquim-MS-7996,34277,20,41,32798,1,1410
HT4BTJT00078,joaquim-MS-7996,35553,19,41,34050,0,1404
HT4BTJT00078,joaquim-MS-7996,36836,18,99,35343,1,1390
HT4BTJT00078,joaquim-MS-7996,38283,12,100,36659,0,1425
HT4BTJT00078,joaquim-MS-7996,38800,12,140,37233,1,1414
HT4BTJT00078,HT4BTJT00078,40163,19,48,27657,11,12460
HT4BTJT00078,HT4BTJT00078,52884,23,29,39812,3,13023
HT4BTJT00078,HT4BTJT00078,65765,11,58,52679,4,13044
HT4BTJT00078,HT4BTJT00078,76505,90,59,63157,3,13233
HT4BTJT00078,HT4BTJT00078,90282,15,59,76248,3,13983
HT4BTJT00078,HT4BTJT00127,37070,8,178,27548,3,9369
HT4BTJT00078,HT4BTJT00127,45757,12,266,36176,4,9296
HT4BTJT00078,HT4BTJT00127,55000,45,121,45405,2,9419
HT4BTJT00078,HT4BTJT00127,64282,11,123,54703,3,9350
HT4BTJT00078,HT4BTJT00127,73550,8,126,64022,1,9379
HT4BTJT00078,HT4BTJT00127,83398,8,108,73383,2,9926
HT4BTJT00078,HT4BTJT00127,93032,11,165,82911,3,9976
HT4BTJT00078,HT4BTJT00127,101552,11,179,91373,2,9984
HT4BTJT00078,HT4BTJT00127,110878,11,172,100750,4,9974
HT4BTJT00078,HT4BTJT00127,119672,45,163,109481,3,10009
