ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9182,52,15,11,3,9105
HT4BTJT00078,HT4BTJT00078,17125,67,49,8064,1,8946
HT4BTJT00078,HT4BTJT00078,25832,14,46,16909,2,8860
HT4BTJT00078,HT4BVJT00003,8966,9,72,11,2,8872
HT4BTJT00078,HT4BVJT00003,17693,8,100,8798,2,8823
HT4BTJT00078,HT4BVJT00003,26453,47,60,17490,2,8851
HT4BTJT00078,HT4BVJT00003,35293,12,94,26283,2,8906
HT4BTJT00078,HT4BTJT00030,9093,46,36,17,4,8991
HT4BTJT00078,joaquim-MS-7996,1443,7,37,5,1,1387
HT4BTJT00078,joaquim-MS-7996,2639,46,45,1100,0,1333
HT4BTJT00078,joaquim-MS-7996,3853,7,41,2361,0,1381
HT4BTJT00078,joaquim-MS-7996,4660,8,71,3236,1,1351
HT4BTJT00078,joaquim-MS-7996,5620,10,39,4226,0,1336
HT4BTJT00078,joaquim-MS-7996,5123,51,25,3677,0,1370
HT4BTJT00078,joaquim-MS-7996,6105,25,34,4664,1,1379
HT4BTJT00078,joaquim-MS-7996,5462,7,36,4055,1,1365
HT4BTJT00078,joaquim-MS-7996,5749,23,62,4291,0,1367
HT4BTJT00078,joaquim-MS-7996,6796,45,42,5291,1,1352
HT4BTJT00078,joaquim-MS-7996,7238,49,61,5761,0,1365
HT4BTJT00078,joaquim-MS-7996,7707,47,82,6188,0,1390
HT4BTJT00078,joaquim-MS-7996,9022,52,24,7541,0,1375
HT4BTJT00078,joaquim-MS-7996,9976,12,57,8469,1,1347
HT4BTJT00078,joaquim-MS-7996,9981,8,22,8613,0,1332
HT4BTJT00078,joaquim-MS-7996,11235,7,15,9767,0,1367
HT4BTJT00078,joaquim-MS-7996,12374,9,46,10971,0,1346
HT4BTJT00078,joaquim-MS-7996,13446,23,30,12051,0,1339
HT4BTJT00078,joaquim-MS-7996,14230,15,29,12800,1,1349
HT4BTJT00078,HT4CWJT00250,9104,51,103,15,2,8933
HT4BTJT00078,HT4CWJT00980,8899,39,48,22,3,8762
HT4BTJT00078,HT4CWJT00250,15728,54,91,6895,2,8684
HT4BTJT00078,HT4CWJT00250,23147,65,65,14382,1,8638
HT4BTJT00078,HT4CWJT00250,31817,47,79,23004,2,8661
HT4BTJT00078,HT4CWJT00250,40407,16,38,31527,1,8761
HT4BTJT00078,HT4CWJT00250,49090,16,54,40233,2,8820
HT4BTJT00078,HT4CWJT00250,57761,9,29,48870,1,8846
HT4BTJT00078,HT4CWJT00250,66521,8,79,57584,1,8846
HT4BTJT00078,HT4CWJT00250,75025,16,43,66026,1,8932
HT4BTJT00078,HT4CWJT00250,83339,55,100,74124,1,9002
HT4BTJT00078,HT4BTJT00078,13672,46,8,4771,2,8845
HT4BTJT00078,HT4BTJT00078,20764,56,11,11740,6,8957
HT4BTJT00078,HT4BTJT00078,28278,12,41,19250,3,8973
HT4BTJT00078,HT4BTJT00078,37178,7,9,28172,4,8949
HT4BTJT00078,HT4BTJT00078,46214,19,9,37010,1,9176
HT4BTJT00078,joaquim-MS-7996,3847,9,54,2412,0,1359
HT4BTJT00078,joaquim-MS-7996,2656,47,32,1215,0,1360
HT4BTJT00078,joaquim-MS-7996,3625,12,40,2161,0,1352
HT4BTJT00078,joaquim-MS-7996,4486,7,38,3065,0,1371
HT4BTJT00078,joaquim-MS-7996,5283,10,66,3841,0,1361
HT4BTJT00078,joaquim-MS-7996,6545,54,35,5033,0,1358
HT4BTJT00078,joaquim-MS-7996,6763,22,25,5338,0,1377
HT4BTJT00078,joaquim-MS-7996,6598,23,57,5164,0,1350
HT4BTJT00078,joaquim-MS-7996,7433,7,28,6004,0,1394
HT4BTJT00078,joaquim-MS-7996,8396,6,47,6966,0,1367
HT4BTJT00078,joaquim-MS-7996,8942,7,23,7549,0,1358
HT4BTJT00078,HT4BVJT00003,10989,47,77,1985,1,8877
HT4BTJT00078,HT4BVJT00003,18736,60,103,9594,2,8923
HT4BTJT00078,HT4BVJT00003,27502,11,27,18482,1,8978
HT4BTJT00078,HT4BVJT00003,35950,10,46,26798,1,9060
HT4BTJT00078,HT4CWJT00980,8877,22,111,25,2,8727
HT4BTJT00078,HT4CWJT00980,17184,24,43,8390,2,8714
HT4BTJT00078,joaquim-MS-7996,5339,14,41,3892,0,1340
HT4BTJT00078,joaquim-MS-7996,6150,8,88,4697,1,1360
HT4BTJT00078,joaquim-MS-7996,7155,9,54,5727,1,1364
HT4BTJT00078,joaquim-MS-7996,8383,7,49,6978,0,1349
HT4BTJT00078,joaquim-MS-7996,8692,16,68,7261,0,1350
HT4BTJT00078,joaquim-MS-7996,10013,14,68,8599,0,1340
HT4BTJT00078,joaquim-MS-7996,10621,7,66,9168,0,1385
HT4BTJT00078,HT4AVJT02309,9057,20,134,23,2,8874
HT4BTJT00078,HT4AVJT02309,17125,44,59,8360,1,8668
