ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4CWJT00250,8957,69,26,12,1,8851
HT4BTJT00030,joaquim-MS-7996,1890,30,235,14,0,1515
HT4APJT01039,joaquim-MS-7996,2947,15,24,1260,0,1470
HT4BVJT00003,joaquim-MS-7996,3664,31,64,2060,0,1487
HT4BVJT00003,joaquim-MS-7996,3583,29,66,1937,0,1442
HT4BVJT00189,joaquim-MS-7996,4498,42,92,2816,0,1448
HT4BVJT00003,joaquim-MS-7996,5286,61,82,3614,0,1444
HT4AVJT02309,joaquim-MS-7996,6225,16,91,4675,0,1444
HT4BVJT00003,joaquim-MS-7996,7660,20,59,6075,1,1445
HT4BTJT00030,joaquim-MS-7996,7615,29,56,6077,0,1447
HT4BVJT00189,joaquim-MS-7996,8776,34,62,7200,0,1458
HT4BTJT00030,joaquim-MS-7996,9397,14,59,7862,0,1435
HT4BTJT00030,joaquim-MS-7996,10577,19,83,8907,0,1463
HT4BVJT00003,joaquim-MS-7996,11783,15,95,10207,0,1454
HT4CWJT00250,HT4AVJT02309,8801,18,81,57,2,8534
HT4CWJT00250,HT4AVJT02309,17309,56,73,8545,2,8630
HT4APJT01039,HT4APJT01039,8699,17,15,13,3,8655
HT4CWJT00250,HT4CWJT00250,8838,30,59,18,2,8713
HT4APJT01039,HT4APJT01039,15501,18,49,6603,1,8845
HT4BVJT00189,HT4BVJT00189,9434,17,53,16,3,9350
HT4CWJT00250,HT4CWJT00250,16396,14,20,7538,0,8829
HT4BVJT00189,HT4BVJT00189,16423,9,47,8765,2,7599
HT4AVJT02309,joaquim-MS-7996,6025,11,52,4516,0,1441
HT4AVJT02309,joaquim-MS-7996,6789,7,31,5318,0,1428
HT4AVJT02309,joaquim-MS-7996,7031,7,40,5541,0,1441
HT4BTJT00030,joaquim-MS-7996,6994,28,101,5367,0,1435
HT4BVJT00189,joaquim-MS-7996,6895,9,50,5338,0,1459
HT4CWJT00250,joaquim-MS-7996,7823,29,48,6288,0,1456
HT4BTJT00030,HT4BTJT00030,8841,25,20,23,4,8771
HT4BTJT00030,joaquim-MS-7996,8893,8,49,7282,0,1440
HT4AVJT02309,joaquim-MS-7996,10064,18,54,8445,0,1438
HT4BVJT00003,joaquim-MS-7996,10424,14,63,8908,0,1438
HT4BVJT00003,HT4AVJT02309,11023,9,38,2233,1,8742
HT4APJT01039,HT4APJT01039,10754,7,46,1610,2,9046
HT4APJT01039,HT4APJT01039,19077,42,10,9843,1,9182
HT4BVJT00003,HT4BVJT00003,6696,23,26,32,2,6615
HT4AVJT02309,HT4APJT01039,27758,16,121,18263,1,9249
HT4APJT01039,HT4APJT01039,36880,7,33,27490,2,9350
HT4BVJT00003,HT4APJT01039,45973,14,48,36518,3,9311
HT4APJT01039,HT4APJT01039,54925,15,10,45471,1,9430
HT4BVJT00189,HT4BVJT00189,10437,15,10,541,2,9875
HT4BTJT00030,joaquim-MS-7996,5958,10,40,4459,0,1446
HT4BTJT00030,joaquim-MS-7996,7284,8,42,5783,1,1448
HT4APJT01039,joaquim-MS-7996,8311,20,19,6824,1,1439
HT4BTJT00030,HT4BTJT00030,9658,8,44,617,3,8983
HT4BVJT00189,joaquim-MS-7996,9398,17,36,7846,0,1446
HT4BVJT00189,joaquim-MS-7996,10732,12,37,9225,0,1453
HT4AVJT02309,joaquim-MS-7996,10718,55,38,9190,0,1437
HT4BVJT00189,joaquim-MS-7996,9307,24,38,7775,0,1440
HT4BVJT00003,joaquim-MS-7996,11859,44,32,10331,0,1446
HT4AVJT02309,joaquim-MS-7996,12779,6,16,11206,0,1444
HT4BVJT00003,joaquim-MS-7996,14021,22,70,12483,0,1445
