ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4BVJT00003,9669,30,512,27,9,9125
HT4APJT01039,joaquim-MS-7996,4280,9,781,1682,2,1783
HT4BTJT00030,joaquim-MS-7996,2783,43,850,21,9,1846
HT4AVJT02309,joaquim-MS-7996,5348,12,499,3002,2,1809
HT4AVJT02309,joaquim-MS-7996,5471,8,273,3365,2,1816
HT4BVJT00189,joaquim-MS-7996,6912,12,391,4634,2,1878
HT4BVJT00003,joaquim-MS-7996,7782,17,370,5640,1,1735
HT4BVJT00189,joaquim-MS-7996,7757,9,425,5465,2,1749
HT4BTJT00030,joaquim-MS-7996,9572,13,678,7136,1,1731
HT4CWJT00250,joaquim-MS-7996,11480,16,1268,8453,1,1749
HT4CWJT00250,joaquim-MS-7996,13164,14,1413,10007,2,1742
HT4AVJT02309,joaquim-MS-7996,9633,9,491,7411,1,1737
HT4BTJT00030,joaquim-MS-7996,22481,10,2304,18353,4,1807
HT4BVJT00189,joaquim-MS-7996,16076,13,1069,13254,2,1749
HT4BTJT00030,joaquim-MS-7996,15062,9,1822,11517,1,1732
HT4APJT01039,joaquim-MS-7996,17496,11,824,14903,1,1761
HT4AVJT02309,joaquim-MS-7996,18929,24,545,16540,0,1806
HT4BVJT00189,HT4BVJT00189,9639,52,97,14,5,9502
HT4AVJT02309,HT4AVJT02309,9090,9,127,18,8,8964
HT4CWJT00250,HT4CWJT00250,9199,10,122,23,4,9064
HT4BVJT00003,HT4BVJT00003,9589,8,158,16,7,9415
HT4APJT01039,HT4APJT01039,8982,29,98,25,5,8860
HT4BVJT00003,HT4BVJT00003,18840,8,115,9037,6,9708
HT4BVJT00003,HT4BVJT00003,27274,61,166,17345,9,9726
HT4AVJT02309,HT4AVJT02309,13338,59,139,4288,7,8850
HT4CWJT00250,HT4CWJT00250,12332,25,202,3037,15,9100
HT4BVJT00003,HT4AVJT02309,21105,14,722,10862,12,9525
HT4CWJT00250,HT4CWJT00250,20722,18,126,10958,8,9654
HT4AVJT02309,HT4AVJT02309,29462,15,100,19745,4,9635
HT4BVJT00189,HT4BVJT00189,11506,10,148,1337,6,10052
HT4BTJT00030,HT4BTJT00030,9063,9,97,15,5,8968
HT4BVJT00003,HT4APJT01039,10601,59,1025,42,8,9500
HT4BTJT00030,HT4BTJT00030,16578,9,121,6808,3,9668
HT4BTJT00030,HT4BTJT00030,25633,28,141,16027,9,9457
HT4APJT01039,HT4APJT01039,16841,47,111,7144,5,9566
HT4APJT01039,joaquim-MS-7996,6312,6,294,4238,2,1759
HT4BVJT00189,joaquim-MS-7996,7945,19,336,5830,1,1748
HT4APJT01039,joaquim-MS-7996,9089,10,334,6965,2,1774
HT4CWJT00250,joaquim-MS-7996,10721,21,392,8478,1,1734
HT4BVJT00189,joaquim-MS-7996,11760,17,346,9669,1,1729
HT4BVJT00189,joaquim-MS-7996,13409,31,331,11338,1,1719
HT4BVJT00003,joaquim-MS-7996,15011,21,533,12711,1,1742
HT4APJT01039,joaquim-MS-7996,15962,13,254,13935,1,1746
HT4BVJT00003,joaquim-MS-7996,17582,8,571,15245,2,1761
HT4BTJT00030,joaquim-MS-7996,19222,25,828,16545,1,1749
HT4BTJT00030,joaquim-MS-7996,22658,59,1110,19676,2,1763
HT4BTJT00030,joaquim-MS-7996,20412,38,619,18025,1,1745
HT4APJT01039,joaquim-MS-7996,23051,7,248,21020,1,1739
HT4BVJT00189,HT4BVJT00189,10236,44,114,16,6,10100
HT4AVJT02309,HT4CWJT00250,15438,8,605,5576,5,9225
HT4BTJT00030,joaquim-MS-7996,23008,8,256,20943,1,1739
HT4AVJT02309,HT4CWJT00250,24350,16,988,13387,4,9948
HT4BTJT00030,joaquim-MS-7996,22909,9,524,20568,2,1772
HT4APJT01039,HT4APJT01039,16471,7,97,6467,6,9925
HT4AVJT02309,HT4BVJT00003,23321,8,656,12632,19,9974
HT4BVJT00003,HT4BVJT00003,13195,20,192,3556,5,9429
HT4APJT01039,HT4APJT01039,25877,18,133,15253,14,10493
HT4BVJT00189,HT4BVJT00189,14640,18,162,4053,8,10415
HT4AVJT02309,HT4BVJT00003,32404,6,341,22297,4,9744
HT4BTJT00030,HT4BTJT00030,20569,16,157,10883,5,9540
HT4APJT01039,HT4AVJT02309,16687,27,383,6930,16,9362
HT4AVJT02309,HT4AVJT02309,24019,30,126,14361,4,9540
HT4AVJT02309,HT4AVJT02309,32773,7,94,23178,3,9526
HT4BVJT00189,joaquim-MS-7996,14617,8,724,12135,1,1744
HT4APJT01039,HT4AVJT02309,42329,9,1149,31060,11,10119
HT4BTJT00030,joaquim-MS-7996,16355,25,848,13622,2,1759
HT4AVJT02309,joaquim-MS-7996,16175,7,350,14059,1,1753
HT4APJT01039,joaquim-MS-7996,16504,45,362,14331,1,1760
HT4BVJT00189,HT4BVJT00189,12715,24,95,2284,5,10338
HT4AVJT02309,joaquim-MS-7996,16528,20,338,14401,2,1756
HT4APJT01039,HT4CWJT00250,25277,22,762,14949,10,9570
HT4CWJT00250,HT4CWJT00250,15591,27,181,7628,10,7746
HT4BVJT00189,joaquim-MS-7996,16394,14,266,14215,1,1797
HT4CWJT00250,HT4CWJT00250,32253,23,123,22627,5,9512
HT4BVJT00003,HT4CWJT00250,41506,8,1079,30234,15,10158
HT4BTJT00030,HT4BTJT00030,12166,16,154,2374,6,9660
HT4AVJT02309,HT4APJT01039,17008,53,422,6729,4,9844
