ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4BTJT00030,8900,31,90,30,3,8756
HT4BVJT00189,joaquim-MS-7996,1753,14,208,8,3,1511
HT4AVJT02309,joaquim-MS-7996,3070,18,93,1327,0,1553
HT4BTJT00127,HT4BTJT00127,9310,26,149,12,3,9151
HT4BTJT00078,joaquim-MS-7996,2942,35,226,1178,0,1450
HT4BVJT00189,joaquim-MS-7996,4059,54,240,2272,1,1432
HT4CWJT00980,joaquim-MS-7996,4970,42,290,3147,1,1453
HT4BTJT00030,joaquim-MS-7996,6455,8,293,4568,0,1514
HT4BTJT00030,joaquim-MS-7996,7440,11,187,5739,1,1460
HT4CWJT00980,joaquim-MS-7996,7663,29,170,5955,0,1500
HT4CWJT00250,joaquim-MS-7996,8826,30,100,7198,0,1460
HT4APJT01039,joaquim-MS-7996,9189,21,118,7566,1,1418
HT4BTJT00127,HT4BTJT00127,12718,65,61,3405,4,9187
HT4CWJT00250,HT4CWJT00250,8911,26,97,17,2,8769
HT4BTJT00127,joaquim-MS-7996,8132,14,166,6463,1,1436
HT4BTJT00127,joaquim-MS-7996,9085,13,144,7464,1,1462
HT4BVJT00189,HT4BVJT00189,9255,21,55,10,3,9164
HT4AVJT02309,HT4AVJT02309,9058,51,90,11,2,8929
HT4CWJT00980,HT4CWJT00980,9324,16,20,14,3,9274
HT4AVJT02309,HT4AVJT02309,18025,45,111,8900,7,9006
HT4BTJT00078,HT4BTJT00078,8789,27,54,15,1,8695
HT4CWJT00980,HT4CWJT00980,17562,33,87,7904,12,9529
HT4CWJT00980,HT4CWJT00980,26815,31,90,16772,3,9952
HT4AVJT02309,joaquim-MS-7996,8176,52,224,6344,0,1480
HT4APJT01039,joaquim-MS-7996,9552,20,250,7774,0,1452
HT4BTJT00078,joaquim-MS-7996,10746,24,128,8990,1,1508
HT4APJT01039,joaquim-MS-7996,11844,23,158,10144,0,1429
HT4CWJT00250,joaquim-MS-7996,12887,38,90,11335,1,1409
HT4AVJT02309,joaquim-MS-7996,14124,14,145,12415,0,1446
HT4CWJT00250,joaquim-MS-7996,15296,13,104,13597,1,1522
HT4APJT01039,joaquim-MS-7996,16752,15,227,14663,1,1748
HT4CWJT00980,joaquim-MS-7996,15661,24,130,13966,0,1519
HT4APJT01039,HT4APJT01039,8909,16,61,29,2,8798
HT4CWJT00980,joaquim-MS-7996,14013,11,149,12404,1,1434
HT4BTJT00127,HT4BTJT00127,10086,13,104,357,3,9645
HT4BTJT00030,HT4BTJT00030,8688,18,55,19,3,8630
HT4CWJT00250,HT4CWJT00250,9401,21,99,22,4,9289
HT4AVJT02309,HT4AVJT02309,14675,27,58,5522,3,9075
HT4BTJT00030,HT4BTJT00030,14169,23,65,7071,5,7016
HT4BTJT00127,HT4BTJT00127,17446,38,131,7693,15,9605
HT4BTJT00127,HT4BTJT00127,26613,38,125,17119,9,9358
HT4APJT01039,HT4APJT01039,13536,9,74,4083,3,9408
HT4BTJT00030,HT4BTJT00030,20150,17,16,11107,3,8999
HT4BTJT00078,HT4BTJT00078,9358,26,78,11,2,9243
HT4BTJT00078,joaquim-MS-7996,7869,16,184,6112,1,1462
HT4BTJT00078,joaquim-MS-7996,8578,58,163,6848,3,1494
HT4APJT01039,joaquim-MS-7996,9091,12,185,7227,1,1551
HT4CWJT00250,joaquim-MS-7996,10132,16,88,8480,0,1451
HT4BTJT00078,joaquim-MS-7996,11351,14,127,9682,1,1456
HT4BTJT00127,joaquim-MS-7996,12582,13,120,10940,1,1461
HT4APJT01039,joaquim-MS-7996,15541,52,241,13617,0,1528
HT4BTJT00127,joaquim-MS-7996,13913,51,222,12155,0,1486
HT4BTJT00030,joaquim-MS-7996,16627,7,147,14986,2,1478
HT4BTJT00030,joaquim-MS-7996,18027,25,128,16388,0,1470
HT4BTJT00127,joaquim-MS-7996,19404,14,85,17849,1,1434
HT4BVJT00189,joaquim-MS-7996,20622,21,158,19007,0,1430
HT4CWJT00250,joaquim-MS-7996,21900,16,114,20319,0,1434
HT4CWJT00250,joaquim-MS-7996,23272,21,143,21647,1,1455
HT4BTJT00078,joaquim-MS-7996,24277,18,140,22579,1,1511
HT4BTJT00127,joaquim-MS-7996,23981,19,91,22413,1,1437
HT4CWJT00980,HT4CWJT00980,14617,20,87,4757,3,9755
HT4CWJT00250,HT4CWJT00250,8940,30,62,40,2,8807
HT4CWJT00980,HT4CWJT00980,23378,13,108,13556,5,9733
