ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,8993,44,6,5,1,8935
HT4BTJT00078,joaquim-MS-7996,1461,9,38,3,1,1398
HT4BTJT00078,joaquim-MS-7996,2780,14,29,1229,1,1423
HT4BTJT00078,joaquim-MS-7996,2249,12,57,764,0,1416
HT4BTJT00078,joaquim-MS-7996,3653,11,78,2129,1,1403
HT4BTJT00078,joaquim-MS-7996,4981,8,54,3448,0,1373
HT4BTJT00078,joaquim-MS-7996,6189,7,54,4721,0,1385
HT4BTJT00078,joaquim-MS-7996,7294,7,10,5896,0,1378
HT4BTJT00078,joaquim-MS-7996,8008,5,31,6576,0,1389
HT4BTJT00078,joaquim-MS-7996,9118,6,40,7676,0,1395
HT4BTJT00078,joaquim-MS-7996,10438,7,32,8973,1,1411
HT4BTJT00078,joaquim-MS-7996,11320,6,57,9872,1,1383
HT4BTJT00078,joaquim-MS-7996,12503,7,24,10993,1,1373
HT4BTJT00078,joaquim-MS-7996,11898,11,32,10432,0,1424
HT4BTJT00078,joaquim-MS-7996,12850,6,32,11416,0,1394
HT4BTJT00078,HT4BTJT00078,8954,21,50,11,2,8870
HT4BTJT00078,HT4BTJT00078,16977,44,49,7851,4,9029
HT4BTJT00078,HT4BTJT00078,25553,10,26,16532,1,8984
HT4BTJT00078,HT4BTJT00078,34445,13,54,24671,2,9708
HT4BTJT00078,joaquim-MS-7996,9038,5,51,7566,0,1409
HT4BTJT00078,joaquim-MS-7996,10385,8,18,8944,0,1397
HT4BTJT00078,joaquim-MS-7996,11363,6,50,9862,1,1383
HT4BTJT00078,joaquim-MS-7996,11465,11,19,9944,0,1380
HT4BTJT00078,joaquim-MS-7996,12701,45,15,11264,0,1373
HT4BTJT00078,joaquim-MS-7996,14083,8,37,12533,0,1403
HT4BTJT00078,joaquim-MS-7996,15087,6,22,13670,0,1387
HT4BTJT00078,joaquim-MS-7996,15886,43,32,14416,0,1397
HT4BTJT00078,joaquim-MS-7996,16173,8,47,14704,0,1398
HT4BTJT00078,joaquim-MS-7996,16652,46,32,15157,0,1411
HT4BTJT00078,joaquim-MS-7996,16832,6,61,15350,0,1416
HT4BTJT00078,joaquim-MS-7996,17185,7,47,15743,0,1366
HT4BTJT00078,joaquim-MS-7996,18496,8,20,17048,1,1411
HT4BTJT00078,joaquim-MS-7996,19645,11,31,18198,0,1401
HT4BTJT00078,joaquim-MS-7996,20989,10,19,19560,1,1380
HT4BTJT00078,joaquim-MS-7996,22248,19,22,20750,0,1391
HT4BTJT00078,joaquim-MS-7996,23599,9,53,22039,1,1396
HT4BTJT00078,joaquim-MS-7996,24461,8,42,22978,0,1379
HT4BTJT00078,joaquim-MS-7996,25186,5,63,23629,0,1394
HT4BTJT00078,joaquim-MS-7996,26277,6,38,24835,0,1396
HT4BTJT00078,joaquim-MS-7996,25802,7,43,24284,0,1395
HT4BTJT00078,joaquim-MS-7996,25757,14,30,24301,1,1410
HT4BTJT00078,joaquim-MS-7996,27057,7,44,25610,0,1390
HT4BTJT00078,joaquim-MS-7996,28371,5,29,26930,0,1402
HT4BTJT00078,joaquim-MS-7996,27944,5,53,26498,0,1386
HT4BTJT00078,HT4BTJT00078,25679,16,47,16370,1,9242
HT4BTJT00078,HT4BTJT00078,34615,5,5,25252,3,9350
HT4BTJT00078,HT4BTJT00078,43933,5,5,34097,5,9820
HT4BTJT00078,HT4BTJT00078,53459,6,6,43389,2,10055
HT4BTJT00078,HT4BTJT00078,63428,10,9,53292,2,10114
HT4BTJT00078,HT4BTJT00078,72928,6,44,62269,3,10605
HT4BTJT00078,joaquim-MS-7996,22527,5,52,21021,0,1386
HT4BTJT00078,joaquim-MS-7996,23446,4,27,21921,0,1394
HT4BTJT00078,joaquim-MS-7996,24354,11,40,22889,0,1408
HT4BTJT00078,joaquim-MS-7996,25022,5,24,23538,0,1395
HT4BTJT00078,joaquim-MS-7996,26059,13,27,24570,0,1390
HT4BTJT00078,joaquim-MS-7996,26216,23,63,24743,0,1383
HT4BTJT00078,joaquim-MS-7996,27393,12,18,26011,0,1354
HT4BTJT00078,joaquim-MS-7996,28113,13,39,26661,0,1395
HT4BTJT00078,joaquim-MS-7996,29454,11,39,27997,1,1407
HT4BTJT00078,joaquim-MS-7996,30502,51,38,28980,1,1424
HT4BTJT00078,joaquim-MS-7996,29790,18,38,28286,1,1444
HT4BTJT00078,joaquim-MS-7996,30824,11,51,29237,0,1429
HT4BTJT00078,joaquim-MS-7996,31770,7,54,30320,0,1390
HT4BTJT00078,joaquim-MS-7996,33018,8,47,31596,1,1362
HT4BTJT00078,joaquim-MS-7996,33451,12,54,31948,0,1388
HT4BTJT00078,joaquim-MS-7996,34876,41,21,33329,0,1395
HT4BTJT00078,joaquim-MS-7996,35295,4,52,33842,1,1395
HT4BTJT00078,joaquim-MS-7996,33925,6,44,32451,0,1423
HT4BTJT00078,joaquim-MS-7996,34646,8,34,33197,0,1407
HT4BTJT00078,joaquim-MS-7996,35725,19,35,34184,0,1403
HT4BTJT00078,joaquim-MS-7996,37035,9,34,35576,0,1351
HT4BTJT00078,joaquim-MS-7996,38194,8,24,36755,0,1407
HT4BTJT00078,joaquim-MS-7996,38672,5,36,37228,1,1395
HT4BTJT00078,joaquim-MS-7996,39953,7,34,38446,1,1397
HT4BTJT00078,joaquim-MS-7996,41193,7,29,39764,0,1392
HT4BTJT00078,joaquim-MS-7996,41615,8,45,40160,0,1399
HT4BTJT00078,joaquim-MS-7996,42286,6,47,40759,1,1384
HT4BTJT00078,joaquim-MS-7996,43438,17,24,42027,1,1365
HT4BTJT00078,joaquim-MS-7996,42427,8,30,40981,1,1406
HT4BTJT00078,joaquim-MS-7996,43597,7,45,42130,0,1386
HT4BTJT00078,joaquim-MS-7996,44879,9,34,43444,0,1385
HT4BTJT00078,joaquim-MS-7996,45356,7,40,43905,0,1404
HT4BTJT00078,joaquim-MS-7996,45711,5,37,44233,0,1387
HT4BTJT00078,joaquim-MS-7996,44131,6,36,42707,0,1361
HT4BTJT00078,joaquim-MS-7996,45206,5,33,43778,0,1390
HT4BTJT00078,joaquim-MS-7996,46192,5,33,44747,1,1407
HT4BTJT00078,joaquim-MS-7996,46508,8,33,45046,0,1406
HT4BTJT00078,joaquim-MS-7996,46583,5,45,45083,0,1425
HT4BTJT00078,joaquim-MS-7996,47908,6,26,46471,1,1399
HT4BTJT00078,HT4BTJT00078,53285,6,32,42318,3,10929
HT4BTJT00078,HT4BTJT00078,64633,9,45,53217,3,11394
HT4BTJT00078,HT4BTJT00078,76115,5,7,64400,3,11699
HT4BTJT00078,HT4BTJT00078,86366,5,6,74472,4,11878
HT4BTJT00078,joaquim-MS-7996,45835,5,38,44307,1,1380
HT4BTJT00078,joaquim-MS-7996,45182,10,43,43761,0,1364
HT4BTJT00078,joaquim-MS-7996,46268,9,22,44850,0,1383
HT4BTJT00078,joaquim-MS-7996,47630,9,39,46181,0,1400
HT4BTJT00078,joaquim-MS-7996,48940,34,27,47468,0,1405
HT4BTJT00078,joaquim-MS-7996,50310,42,32,48832,1,1397
HT4BTJT00078,joaquim-MS-7996,51547,5,17,50174,0,1348
HT4BTJT00078,joaquim-MS-7996,51812,6,49,50322,0,1423
HT4BTJT00078,joaquim-MS-7996,53101,12,25,51662,0,1399
HT4BTJT00078,joaquim-MS-7996,53787,6,33,52339,0,1410
HT4BTJT00078,joaquim-MS-7996,54748,7,37,53299,0,1385
HT4BTJT00078,joaquim-MS-7996,55964,7,21,54558,0,1376
HT4BTJT00078,joaquim-MS-7996,57304,6,19,55878,0,1392
HT4BTJT00078,joaquim-MS-7996,58660,5,23,57181,1,1370
HT4BTJT00078,joaquim-MS-7996,59173,4,41,57721,0,1396
HT4BTJT00078,joaquim-MS-7996,56705,6,63,55190,0,1387
HT4BTJT00078,joaquim-MS-7996,57887,18,38,56337,0,1388
HT4BTJT00078,joaquim-MS-7996,58946,8,24,57525,0,1384
HT4BTJT00078,joaquim-MS-7996,57851,9,19,56337,0,1393
HT4BTJT00078,joaquim-MS-7996,59013,8,40,57592,1,1370
HT4BTJT00078,joaquim-MS-7996,59991,8,51,58444,1,1382
HT4BTJT00078,joaquim-MS-7996,60689,7,51,59224,0,1401
HT4BTJT00078,joaquim-MS-7996,61881,5,24,60450,0,1395
HT4BTJT00078,joaquim-MS-7996,63127,5,28,61694,1,1379
HT4BTJT00078,joaquim-MS-7996,64501,10,10,63056,0,1393
HT4BTJT00078,joaquim-MS-7996,65753,7,16,64333,1,1385
HT4BTJT00078,joaquim-MS-7996,66854,9,28,65374,0,1369
HT4BTJT00078,joaquim-MS-7996,66745,5,26,65322,0,1390
HT4BTJT00078,joaquim-MS-7996,67442,7,48,66003,0,1385
HT4BTJT00078,HT4BTJT00078,79294,7,6,67674,3,11606
HT4BTJT00078,HT4BTJT00078,90224,6,42,78091,2,12083
HT4BTJT00078,joaquim-MS-7996,65524,11,48,63966,0,1391
HT4BTJT00078,joaquim-MS-7996,66658,10,54,65206,0,1386
HT4BTJT00078,joaquim-MS-7996,66615,13,39,65156,1,1404
HT4BTJT00078,joaquim-MS-7996,67814,7,32,66388,0,1388
HT4BTJT00078,joaquim-MS-7996,67075,6,41,65570,0,1374
HT4BTJT00078,joaquim-MS-7996,68237,9,36,66779,0,1412
HT4BTJT00078,joaquim-MS-7996,69502,7,40,68069,0,1386
HT4BTJT00078,joaquim-MS-7996,69835,6,71,68274,0,1404
HT4BTJT00078,joaquim-MS-7996,70631,5,30,69205,1,1389
HT4BTJT00078,joaquim-MS-7996,71743,5,57,70261,0,1418
HT4BTJT00078,joaquim-MS-7996,72701,14,32,71284,0,1367
HT4BTJT00078,joaquim-MS-7996,72111,5,31,70671,0,1395
