ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,8469,13,56,10,2,8427
HT4BTJT00030,HT4BTJT00030,8700,19,21,15,3,8645
HT4CWJT00250,joaquim-MS-7996,1653,17,181,8,0,1450
HT4CWJT00250,joaquim-MS-7996,1695,29,67,6,0,1588
HT4CWJT00250,joaquim-MS-7996,2037,25,96,449,0,1419
HT4APJT01039,joaquim-MS-7996,3161,20,82,1565,0,1413
HT4CWJT00250,joaquim-MS-7996,4422,59,83,2781,0,1438
HT4AVJT02309,joaquim-MS-7996,2852,23,53,1329,0,1432
HT4AVJT02309,joaquim-MS-7996,4191,21,29,2713,0,1417
HT4CWJT00250,joaquim-MS-7996,5668,21,97,4038,1,1422
HT4BTJT00030,joaquim-MS-7996,6246,7,33,4788,0,1404
HT4AVJT02309,joaquim-MS-7996,6270,19,32,4770,0,1422
HT4BTJT00030,joaquim-MS-7996,7116,20,35,5601,0,1415
HT4AVJT02309,joaquim-MS-7996,7818,21,19,6347,0,1426
HT4APJT01039,joaquim-MS-7996,5489,21,56,3995,0,1407
HT4APJT01039,joaquim-MS-7996,6335,22,37,4762,0,1397
HT4APJT01039,joaquim-MS-7996,6441,16,42,4935,0,1433
HT4AVJT02309,joaquim-MS-7996,4564,49,52,3031,0,1419
HT4APJT01039,joaquim-MS-7996,5024,5,57,3485,0,1473
HT4CWJT00250,joaquim-MS-7996,5556,22,46,4024,0,1456
HT4CWJT00250,joaquim-MS-7996,6027,12,28,4482,0,1426
HT4BTJT00030,joaquim-MS-7996,6009,33,63,4406,0,1434
HT4BTJT00030,joaquim-MS-7996,6630,31,61,5033,0,1429
HT4CWJT00250,joaquim-MS-7996,7651,13,69,6064,0,1427
HT4BTJT00030,joaquim-MS-7996,10129,33,91,8592,0,1421
HT4APJT01039,joaquim-MS-7996,8764,29,41,7199,0,1428
HT4CWJT00250,joaquim-MS-7996,11324,12,41,9853,0,1415
HT4BTJT00030,joaquim-MS-7996,12245,29,69,10691,0,1412
HT4BTJT00030,HT4BTJT00030,8689,29,19,24,5,8615
HT4APJT01039,HT4APJT01039,8558,14,26,12,1,8509
HT4CWJT00250,HT4CWJT00250,8554,51,11,7,1,8486
HT4APJT01039,HT4APJT01039,16016,23,7,7620,1,8365
HT4CWJT00250,HT4CWJT00250,16191,15,21,7726,3,8433
HT4BTJT00030,joaquim-MS-7996,6598,7,31,5134,0,1415
HT4CWJT00250,joaquim-MS-7996,6549,7,31,5019,0,1424
HT4CWJT00250,joaquim-MS-7996,7671,7,49,6113,0,1408
HT4BTJT00030,joaquim-MS-7996,8806,11,40,7323,0,1411
HT4BTJT00030,joaquim-MS-7996,9616,10,37,8111,0,1423
HT4BTJT00030,joaquim-MS-7996,7620,24,53,6114,0,1417
HT4APJT01039,joaquim-MS-7996,8547,11,69,7040,0,1422
HT4CWJT00250,joaquim-MS-7996,8440,10,35,6931,0,1411
HT4BTJT00030,joaquim-MS-7996,9114,25,47,7611,0,1421
HT4AVJT02309,HT4AVJT02309,8497,20,56,18,2,8408
HT4CWJT00250,joaquim-MS-7996,9216,8,46,7636,0,1433
HT4AVJT02309,HT4AVJT02309,14584,20,17,6213,3,8338
HT4CWJT00250,joaquim-MS-7996,6351,7,26,4790,0,1413
HT4AVJT02309,joaquim-MS-7996,4236,5,38,2758,1,1426
HT4AVJT02309,joaquim-MS-7996,2194,8,33,707,0,1417
HT4CWJT00250,joaquim-MS-7996,2949,18,66,1397,0,1422
HT4AVJT02309,joaquim-MS-7996,3932,13,29,2472,0,1413
HT4CWJT00250,joaquim-MS-7996,4505,10,61,2935,0,1419
HT4BTJT00030,joaquim-MS-7996,5504,15,28,3947,0,1418
HT4APJT01039,joaquim-MS-7996,6739,14,52,5241,0,1422
HT4AVJT02309,joaquim-MS-7996,6636,8,69,5164,0,1412
HT4APJT01039,joaquim-MS-7996,7541,52,54,5966,0,1409
HT4APJT01039,joaquim-MS-7996,8176,22,34,6637,1,1398
HT4BTJT00030,joaquim-MS-7996,9407,15,35,7936,0,1408
HT4CWJT00250,joaquim-MS-7996,9099,24,39,7595,0,1412
HT4APJT01039,HT4APJT01039,8416,11,48,7,2,8350
HT4CWJT00250,joaquim-MS-7996,1722,57,43,5,0,1541
HT4BTJT00030,joaquim-MS-7996,1570,14,31,1,1,1515
HT4APJT01039,joaquim-MS-7996,1722,18,181,7,0,1469
HT4CWJT00250,joaquim-MS-7996,2835,42,56,1253,0,1413
HT4CWJT00250,joaquim-MS-7996,4235,49,49,2633,1,1437
HT4APJT01039,joaquim-MS-7996,5515,20,98,3894,0,1414
HT4AVJT02309,joaquim-MS-7996,6444,25,53,4846,0,1416
HT4AVJT02309,joaquim-MS-7996,7751,9,38,6164,0,1427
HT4AVJT02309,joaquim-MS-7996,6425,20,36,4942,0,1428
HT4APJT01039,joaquim-MS-7996,7967,28,70,6316,0,1449
HT4BTJT00030,joaquim-MS-7996,9080,58,62,7424,0,1428
HT4AVJT02309,joaquim-MS-7996,8402,85,57,6823,0,1415
HT4BTJT00030,joaquim-MS-7996,8606,14,45,7060,0,1476
HT4AVJT02309,HT4AVJT02309,8416,18,16,14,2,8369
HT4CWJT00250,joaquim-MS-7996,4486,17,33,2919,1,1410
