ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4CWJT00250,9950,56,89,17,4,9823
HT4CWJT00250,joaquim-MS-7996,3501,14,1738,10,3,1769
HT4CWJT00250,joaquim-MS-7996,5550,8,3672,24,5,1845
HT4CWJT00250,joaquim-MS-7996,12542,6,3274,7516,1,1754
HT4CWJT00250,joaquim-MS-7996,7107,45,2271,3130,1,1678
HT4CWJT00250,joaquim-MS-7996,10578,5,2951,5896,2,1723
HT4CWJT00250,joaquim-MS-7996,5122,5,1848,1502,1,1770
HT4CWJT00250,joaquim-MS-7996,8381,16,2400,4136,1,1823
HT4CWJT00250,joaquim-MS-7996,12900,6,2307,8914,11,1675
HT4CWJT00250,joaquim-MS-7996,16171,6,2566,11847,2,1744
HT4CWJT00250,joaquim-MS-7996,13965,37,1782,10492,1,1675
HT4CWJT00250,joaquim-MS-7996,16964,20,1848,13383,2,1716
HT4CWJT00250,joaquim-MS-7996,18279,20,1497,15029,2,1685
HT4CWJT00250,joaquim-MS-7996,19650,26,1171,16677,1,1712
HT4CWJT00250,HT4CWJT00250,11608,17,102,1845,5,9643
HT4CWJT00250,HT4CWJT00250,20905,9,115,11074,6,9724
HT4CWJT00250,joaquim-MS-7996,17093,8,253,15009,2,1724
HT4CWJT00250,joaquim-MS-7996,17632,10,297,15657,1,1669
HT4CWJT00250,joaquim-MS-7996,18936,9,207,17016,1,1671
HT4CWJT00250,joaquim-MS-7996,19837,11,467,17584,2,1709
HT4CWJT00250,joaquim-MS-7996,20605,6,637,18229,2,1742
HT4CWJT00250,joaquim-MS-7996,23956,7,1436,20764,1,1709
HT4CWJT00250,joaquim-MS-7996,25131,7,1118,22339,1,1666
HT4CWJT00250,joaquim-MS-7996,21740,53,903,19110,1,1682
HT4CWJT00250,joaquim-MS-7996,28443,19,1313,25373,2,1700
HT4CWJT00250,joaquim-MS-7996,26625,9,995,23872,1,1693
HT4CWJT00250,joaquim-MS-7996,29646,8,921,27010,3,1697
HT4CWJT00250,HT4CWJT00250,23797,21,154,14248,7,9396
HT4CWJT00250,HT4CWJT00250,32422,9,103,22590,4,9753
HT4CWJT00250,HT4CWJT00250,41236,12,105,31691,6,9456
HT4CWJT00250,HT4CWJT00250,50055,16,121,40225,3,9721
HT4CWJT00250,HT4CWJT00250,59000,55,119,48769,11,10088
HT4CWJT00250,joaquim-MS-7996,26129,5,598,23811,2,1708
HT4CWJT00250,joaquim-MS-7996,27751,6,534,25512,1,1693
HT4CWJT00250,joaquim-MS-7996,28988,13,320,26951,1,1687
HT4CWJT00250,joaquim-MS-7996,30063,46,251,28088,1,1676
HT4CWJT00250,joaquim-MS-7996,31273,6,284,29278,2,1683
HT4CWJT00250,joaquim-MS-7996,32639,7,172,30753,1,1705
HT4CWJT00250,joaquim-MS-7996,34217,11,216,32293,1,1688
HT4CWJT00250,joaquim-MS-7996,34999,5,284,33004,1,1693
HT4CWJT00250,joaquim-MS-7996,34965,5,215,33025,1,1701
HT4CWJT00250,joaquim-MS-7996,36315,18,210,34397,2,1681
HT4CWJT00250,joaquim-MS-7996,37255,9,238,35268,1,1690
