ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,9402,52,45,5,1,9333
HT4AVJT02309,HT4AVJT02309,17134,22,43,7777,10,9282
HT4AVJT02309,HT4AVJT02309,26184,22,53,16692,1,9424
HT4AVJT02309,HT4APJT01039,8868,12,91,26,3,8733
HT4AVJT02309,HT4APJT01039,17456,11,68,8637,3,8722
HT4AVJT02309,HT4APJT01039,26219,8,71,17221,1,8858
HT4AVJT02309,HT4APJT01039,35387,9,50,25953,1,9299
HT4AVJT02309,HT4APJT01039,43999,7,107,34821,2,9056
HT4AVJT02309,HT4APJT01039,51844,7,116,42747,1,8974
HT4AVJT02309,HT4APJT01039,60714,7,66,51478,2,9126
HT4AVJT02309,HT4APJT01039,69704,45,53,60442,1,9158
HT4AVJT02309,HT4APJT01039,78170,46,71,68886,1,9164
HT4AVJT02309,HT4APJT01039,86828,7,128,77518,1,9171
HT4AVJT02309,HT4CWJT00250,8692,24,38,19,2,8603
HT4AVJT02309,HT4CWJT00250,16664,8,133,7904,2,8623
HT4AVJT02309,HT4BVJT00003,8919,62,64,21,2,8752
HT4AVJT02309,HT4BVJT00003,15925,13,67,7157,2,8682
HT4AVJT02309,HT4BVJT00003,24293,6,71,15271,1,8857
HT4AVJT02309,HT4BTJT00030,7028,8,76,41,5,6886
HT4AVJT02309,HT4AVJT02309,17653,56,11,7991,1,9592
HT4AVJT02309,HT4AVJT02309,27540,9,10,17437,2,10087
HT4AVJT02309,HT4AVJT02309,36904,25,33,26738,2,10118
HT4AVJT02309,HT4AVJT02309,45511,7,7,34954,1,10538
HT4AVJT02309,HT4AVJT02309,53759,10,11,45344,1,8395
HT4AVJT02309,HT4AVJT02309,63886,13,10,53557,4,10265
HT4AVJT02309,HT4CWJT00250,13703,10,61,4872,1,8757
HT4AVJT02309,HT4CWJT00250,21727,9,42,12796,2,8821
HT4AVJT02309,HT4CWJT00250,28656,13,90,19760,1,8789
HT4AVJT02309,HT4CWJT00250,35929,9,32,27111,1,8763
HT4AVJT02309,HT4BTJT00030,9327,15,115,38,5,9159
HT4AVJT02309,HT4BTJT00030,16767,14,192,7389,2,9178
HT4AVJT02309,HT4BTJT00030,25976,12,92,16548,2,9323
HT4AVJT02309,HT4BTJT00030,35018,7,128,25417,1,9409
HT4AVJT02309,HT4BTJT00030,44438,50,113,34799,2,9490
HT4AVJT02309,HT4BTJT00030,53720,48,25,44085,2,9563
HT4AVJT02309,HT4BTJT00030,63478,10,62,53531,2,9634
HT4AVJT02309,HT4BTJT00030,72614,15,122,62387,1,10078
HT4AVJT02309,HT4BTJT00030,81075,7,135,71314,2,9597
HT4AVJT02309,HT4BVJT00003,16533,6,67,6947,2,9417
HT4AVJT02309,HT4BVJT00003,22521,8,95,13382,1,9020
HT4AVJT02309,HT4BTJT00078,9656,22,112,8,1,9509
HT4AVJT02309,HT4BTJT00078,18483,54,67,9436,2,8923
HT4AVJT02309,HT4BTJT00078,27435,26,43,18311,1,9051
HT4AVJT02309,HT4BTJT00078,33809,9,59,24497,1,9241
HT4AVJT02309,HT4BVJT00003,21989,7,124,12888,1,8963
HT4AVJT02309,HT4BVJT00003,30412,8,143,21222,1,9004
HT4AVJT02309,HT4BVJT00003,38937,50,49,29654,2,9183
HT4AVJT02309,HT4CWJT00250,23367,9,68,14520,2,8760
HT4AVJT02309,HT4CWJT00250,32080,10,45,23078,2,8938
HT4AVJT02309,HT4CWJT00250,39279,50,35,30259,1,8832
HT4AVJT02309,HT4BTJT00078,32346,61,61,23022,2,9167
HT4AVJT02309,HT4BTJT00078,40845,10,31,31438,1,9362
HT4AVJT02309,HT4BVJT00003,41362,8,58,32119,1,9179
HT4AVJT02309,HT4BVJT00003,49172,11,32,40015,2,9111
HT4AVJT02309,HT4BVJT00003,57886,7,97,48616,1,9166
HT4AVJT02309,HT4CWJT00250,40530,25,88,31511,1,8913
HT4AVJT02309,HT4CWJT00250,49229,46,27,40227,1,8885
HT4AVJT02309,HT4AVJT02309,37126,26,47,27040,1,10026
HT4AVJT02309,HT4AVJT02309,47816,37,46,37043,2,10691
HT4AVJT02309,HT4AVJT02309,57722,10,45,47054,1,10571
HT4AVJT02309,HT4AVJT02309,65346,10,45,54246,1,11045
HT4AVJT02309,HT4APJT01039,39595,10,68,30264,2,9250
HT4AVJT02309,HT4APJT01039,48181,46,74,38896,1,9160
HT4AVJT02309,HT4APJT01039,57362,13,63,47975,2,9262
HT4AVJT02309,HT4APJT01039,65200,9,125,55573,2,9381
HT4AVJT02309,HT4APJT01039,74454,48,72,64942,1,9374
HT4AVJT02309,HT4APJT01039,82572,7,82,73106,3,9286
HT4AVJT02309,HT4BTJT00078,31700,8,137,22085,1,9463
HT4AVJT02309,HT4BTJT00078,40817,11,39,30622,1,10135
HT4AVJT02309,HT4BTJT00078,50650,48,110,40264,2,10261
HT4AVJT02309,HT4BTJT00078,58589,11,37,50443,1,8089
HT4AVJT02309,HT4BTJT00078,68747,12,36,58299,1,10394
HT4AVJT02309,HT4CWJT00250,40855,15,123,31686,1,8921
HT4AVJT02309,HT4CWJT00250,49497,7,35,40495,1,8959
HT4AVJT02309,HT4CWJT00250,58361,8,34,49336,1,8984
HT4AVJT02309,HT4CWJT00250,66052,19,138,56697,1,9146
HT4AVJT02309,HT4BVJT00003,44684,84,110,35276,1,9254
HT4AVJT02309,HT4BTJT00030,45410,60,43,35667,2,9635
HT4AVJT02309,HT4BVJT00003,49762,16,117,40404,1,9169
HT4AVJT02309,HT4BTJT00030,50878,7,45,41191,1,9634
HT4AVJT02309,HT4BTJT00030,60511,10,33,50710,3,9754
HT4AVJT02309,HT4BVJT00003,57297,7,60,47856,3,9310
HT4AVJT02309,HT4BVJT00003,64714,46,51,55339,1,9280
HT4AVJT02309,HT4AVJT02309,48880,9,9,37940,3,10920
HT4AVJT02309,HT4AVJT02309,60194,46,27,48362,2,11777
HT4AVJT02309,HT4AVJT02309,68696,10,9,59646,6,9028
HT4AVJT02309,HT4CWJT00250,59074,21,52,49734,2,8995
HT4AVJT02309,HT4CWJT00250,65781,12,63,56631,1,9031
HT4AVJT02309,HT4CWJT00250,74911,8,27,65619,2,9217
HT4AVJT02309,HT4BVJT00003,62339,54,94,52883,2,9295
HT4AVJT02309,HT4APJT01039,61546,52,97,52003,1,9384
HT4AVJT02309,HT4APJT01039,70535,11,51,61153,2,9311
HT4AVJT02309,HT4BTJT00030,52616,13,53,42619,2,9907
HT4AVJT02309,HT4BTJT00030,62053,9,132,51983,2,9913
HT4AVJT02309,HT4BTJT00078,48989,46,43,38486,3,10326
HT4AVJT02309,HT4BTJT00078,58967,25,29,48393,1,10521
HT4AVJT02309,HT4BTJT00078,69682,49,55,58850,2,10720
HT4AVJT02309,HT4BTJT00078,78134,14,45,69454,1,8620
HT4AVJT02309,HT4BTJT00078,89698,16,54,78043,2,11571
HT4AVJT02309,HT4BTJT00078,101111,10,44,89487,1,11488
HT4AVJT02309,HT4BTJT00078,110731,11,61,99093,6,11557
HT4AVJT02309,HT4BTJT00078,122550,10,33,110566,1,11931
HT4AVJT02309,HT4BTJT00078,133732,50,156,121257,2,12134
HT4AVJT02309,HT4BTJT00078,144770,17,63,132809,1,11831
HT4AVJT02309,HT4BTJT00078,156023,21,29,144471,1,11489
HT4AVJT02309,HT4BTJT00078,167544,32,28,155890,1,11575
HT4AVJT02309,HT4AVJT02309,62147,15,6,51205,2,10919
HT4AVJT02309,HT4AVJT02309,71611,9,57,60741,3,10805
HT4AVJT02309,HT4BVJT00003,52837,10,152,43341,1,9280
HT4AVJT02309,HT4BVJT00003,61912,17,39,52411,1,9440
HT4AVJT02309,HT4BVJT00003,70950,7,122,61378,2,9349
HT4AVJT02309,HT4BTJT00030,52037,10,37,42152,1,9728
HT4AVJT02309,HT4BTJT00030,61511,52,98,51343,1,10006
HT4AVJT02309,HT4BTJT00030,70785,10,157,60519,3,10088
HT4AVJT02309,HT4APJT01039,55066,48,84,45384,1,9369
HT4AVJT02309,HT4APJT01039,64082,11,50,54530,1,9398
HT4AVJT02309,HT4APJT01039,83081,53,47,73202,2,9772
HT4AVJT02309,HT4APJT01039,73303,10,25,63728,2,9531
HT4AVJT02309,HT4APJT01039,92805,19,23,82913,1,9842
HT4AVJT02309,HT4APJT01039,101824,12,56,92204,1,9489
HT4AVJT02309,HT4APJT01039,109349,46,87,99441,1,9766
HT4AVJT02309,HT4APJT01039,118102,10,63,108179,1,9794
