ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,10900,21,136,18,4,10766
HT4AVJT02309,HT4AVJT02309,19366,57,96,8832,5,10410
HT4AVJT02309,HT4AVJT02309,29683,55,211,18592,10,10841
HT4AVJT02309,HT4BTJT00127,10566,53,694,31,20,9775
HT4AVJT02309,HT4BVJT00012,9664,14,556,25,5,9109
HT4AVJT02309,HT4BTJT00127,19745,16,495,9659,9,9527
HT4AVJT02309,HT4BTJT00127,28971,29,163,19079,3,9693
HT4AVJT02309,HT4BTJT00127,38327,17,316,28246,4,9781
HT4AVJT02309,HT4BTJT00127,47257,54,356,36648,5,10203
HT4AVJT02309,HT4BTJT00127,57392,19,344,46609,8,10421
HT4AVJT02309,HT4APJT01039,9950,17,333,20,5,9554
HT4AVJT02309,HT4BTJT00030,9873,20,542,32,13,9259
HT4AVJT02309,HT4BVJT00012,13311,8,348,4050,4,8911
HT4AVJT02309,HT4BVJT00012,22288,21,356,12221,5,9642
HT4AVJT02309,HT4APJT01039,13315,33,371,3296,5,9602
HT4AVJT02309,HT4APJT01039,22661,9,318,12245,5,10073
HT4AVJT02309,HT4BTJT00030,7958,17,385,22,7,7540
HT4AVJT02309,HT4BTJT00030,15514,28,275,5685,13,9542
HT4AVJT02309,HT4BTJT00030,25060,13,284,14419,5,10372
HT4AVJT02309,HT4AVJT02309,18569,38,166,7048,18,11322
HT4AVJT02309,HT4BVJT00012,16646,13,653,6944,4,9068
HT4AVJT02309,HT4AVJT02309,29029,13,130,16359,20,12538
HT4AVJT02309,HT4BVJT00012,34208,15,502,24491,5,9230
HT4AVJT02309,HT4BVJT00012,24949,22,426,15110,4,9421
HT4AVJT02309,HT4AVJT02309,39520,15,368,27600,6,11632
HT4AVJT02309,HT4BVJT00012,42955,9,271,33416,4,9231
HT4AVJT02309,HT4BVJT00012,51704,18,366,41990,5,9344
HT4AVJT02309,HT4BVJT00012,61013,61,239,50970,5,9732
HT4AVJT02309,HT4APJT01039,17610,25,362,7280,5,9967
HT4AVJT02309,HT4APJT01039,27746,44,365,16066,6,11272
HT4AVJT02309,HT4BVJT00003,8304,21,780,15,5,7512
HT4AVJT02309,HT4BVJT00003,15457,10,596,5371,4,9515
HT4AVJT02309,HT4BVJT00003,32824,9,812,22008,4,9980
HT4AVJT02309,HT4BVJT00003,22725,20,734,12412,5,9575
HT4AVJT02309,HT4CWJT00250,10262,29,433,53,10,9735
HT4AVJT02309,HT4BTJT00030,17037,9,416,6853,5,9778
HT4AVJT02309,HT4BTJT00030,25921,17,402,15686,5,9793
HT4AVJT02309,HT4BTJT00030,35130,82,208,25032,4,9820
HT4AVJT02309,HT4BTJT00030,44824,65,281,34615,4,9846
HT4AVJT02309,HT4BTJT00030,53127,59,642,42579,5,9997
HT4AVJT02309,HT4CWJT00250,11608,16,292,2017,5,9227
HT4AVJT02309,HT4CWJT00250,20183,12,341,10421,4,9408
HT4AVJT02309,HT4BTJT00078,9593,32,387,22,6,9166
HT4AVJT02309,HT4APJT01039,20359,22,415,9423,10,10470
HT4AVJT02309,HT4APJT01039,30186,11,389,19109,7,10667
HT4AVJT02309,HT4APJT01039,40989,31,353,29541,5,10967
HT4AVJT02309,HT4APJT01039,51867,34,612,40087,7,11126
HT4AVJT02309,HT4APJT01039,63740,16,568,51154,9,11996
HT4AVJT02309,HT4BTJT00078,13950,48,440,3758,6,9689
HT4AVJT02309,HT4CWJT00250,18133,10,285,8014,5,9842
HT4AVJT02309,HT4BTJT00078,17363,9,384,7596,4,9358
