ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4APJT01039,HT4APJT01039,10149,14,44,14,2,10076
HT4APJT01039,HT4BVJT00189,7378,56,135,19,2,7163
HT4APJT01039,HT4BVJT00189,16360,41,184,6787,2,9380
HT4APJT01039,HT4APJT01039,15399,8,28,5510,2,9858
HT4APJT01039,HT4APJT01039,25610,46,55,15151,3,10381
HT4APJT01039,HT4APJT01039,36579,10,72,25434,5,11104
HT4APJT01039,HT4APJT01039,46802,6,62,36155,5,10579
HT4APJT01039,HT4CWJT00980,9395,10,319,9,2,9053
HT4APJT01039,HT4CWJT00980,16986,6,124,8230,3,8619
HT4APJT01039,HT4CWJT00980,25530,10,203,16581,3,8763
HT4APJT01039,HT4CWJT00980,33593,51,190,24523,2,8823
HT4APJT01039,HT4CWJT00980,41772,10,187,32655,2,8857
HT4APJT01039,HT4CWJT00980,50120,46,118,40919,2,9031
HT4APJT01039,HT4CWJT00980,58789,20,191,49384,2,9216
HT4APJT01039,HT4BVJT00012,9264,55,143,14,3,9041
HT4APJT01039,HT4BVJT00189,14343,9,190,4699,2,9436
HT4APJT01039,HT4BVJT00189,20955,15,379,11038,4,9694
HT4APJT01039,HT4BVJT00012,12641,56,112,3697,2,8766
HT4APJT01039,HT4BVJT00012,21677,17,142,11815,3,9594
HT4APJT01039,HT4BVJT00012,29336,52,246,20099,10,8964
HT4APJT01039,HT4BTJT00078,9436,48,150,23,3,9216
HT4APJT01039,HT4CWJT00250,9527,42,173,12,2,9296
HT4APJT01039,HT4CWJT00250,27924,77,459,18017,2,9379
HT4APJT01039,HT4CWJT00250,18524,62,348,8412,2,9731
HT4APJT01039,HT4CWJT00250,37218,25,334,27381,2,9484
HT4APJT01039,HT4CWJT00250,46876,68,173,36773,2,9765
HT4APJT01039,HT4CWJT00250,56382,8,131,46211,2,9999
HT4APJT01039,HT4CWJT00250,66407,11,120,55864,2,10401
HT4APJT01039,HT4CWJT00250,75114,23,220,64354,2,10499
HT4APJT01039,HT4BVJT00003,9544,8,271,26,9,9226
HT4APJT01039,HT4BVJT00003,18386,19,256,7850,2,10259
HT4APJT01039,HT4BVJT00003,25966,17,323,16140,2,9507
HT4APJT01039,HT4BTJT00078,9743,23,183,22,3,9512
HT4APJT01039,HT4BTJT00078,18948,55,197,9425,2,9302
