ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,10461,20,72,8,2,10358
HT4AVJT02309,HT4AVJT02309,18551,20,23,8497,6,10005
HT4AVJT02309,HT4AVJT02309,28303,12,34,17953,4,10304
HT4AVJT02309,HT4BTJT00030,9617,17,211,58,23,9311
HT4AVJT02309,HT4BTJT00030,18304,7,213,9226,2,8887
HT4AVJT02309,HT4BTJT00030,27031,20,106,17998,3,8892
HT4AVJT02309,HT4BTJT00030,35525,7,149,26404,2,8922
HT4AVJT02309,HT4BTJT00030,44025,9,216,34820,3,8950
HT4AVJT02309,HT4BTJT00030,51902,11,160,42556,2,9160
HT4AVJT02309,HT4BTJT00127,7493,13,286,11,2,7172
HT4AVJT02309,HT4BTJT00127,15764,26,236,6218,3,9273
HT4AVJT02309,HT4BTJT00127,25111,40,114,14773,2,10647
HT4AVJT02309,HT4APJT01039,9422,10,180,18,2,9208
HT4AVJT02309,HT4APJT01039,18240,26,223,8526,4,9473
HT4AVJT02309,HT4BTJT00078,9212,58,131,10,2,8998
HT4AVJT02309,HT4BTJT00078,17717,11,119,8234,2,9345
HT4AVJT02309,HT4CWJT00250,9282,50,213,24,3,8902
HT4AVJT02309,HT4CWJT00250,16154,90,293,6793,1,8974
HT4AVJT02309,HT4CWJT00250,25095,9,255,15108,3,9766
HT4AVJT02309,HT4AVJT02309,16331,11,63,5806,11,10474
HT4AVJT02309,HT4BTJT00127,18433,60,150,8636,5,9565
HT4AVJT02309,HT4BTJT00127,27988,11,129,18113,3,9708
HT4AVJT02309,HT4BTJT00127,48246,22,300,36997,6,10955
HT4AVJT02309,HT4BTJT00127,37275,43,269,26824,2,10178
HT4AVJT02309,HT4BTJT00127,58659,21,157,47807,3,10697
HT4AVJT02309,HT4BTJT00127,69500,15,125,58292,3,11061
HT4AVJT02309,HT4BTJT00127,80140,43,230,68659,12,11195
HT4AVJT02309,HT4BTJT00127,90535,7,143,79584,5,10798
HT4AVJT02309,HT4BTJT00078,12143,87,111,2565,2,9376
HT4AVJT02309,HT4BTJT00078,20853,47,178,10667,2,9947
HT4AVJT02309,HT4BTJT00078,29169,89,169,18890,2,10052
HT4AVJT02309,HT4AVJT02309,15777,12,107,4224,3,11469
HT4AVJT02309,HT4APJT01039,9666,14,234,35,4,9389
HT4AVJT02309,HT4APJT01039,19251,17,216,9283,2,9670
HT4AVJT02309,HT4APJT01039,28458,23,214,18504,1,9725
HT4AVJT02309,HT4APJT01039,38141,8,251,28141,3,9768
HT4AVJT02309,HT4APJT01039,47760,15,164,37617,3,9967
HT4AVJT02309,HT4CWJT00250,15260,16,184,5662,2,9408
HT4AVJT02309,HT4CWJT00250,22407,85,148,12453,2,9601
HT4AVJT02309,HT4AVJT02309,17640,9,75,6601,10,10983
HT4AVJT02309,HT4AVJT02309,27514,8,70,16050,8,11414
HT4AVJT02309,HT4AVJT02309,39127,15,88,27075,6,11988
HT4AVJT02309,HT4AVJT02309,50669,47,107,38210,3,12321
HT4AVJT02309,HT4BVJT00003,9517,9,245,48,12,9198
HT4AVJT02309,HT4BVJT00003,18489,11,444,8901,3,9133
HT4AVJT02309,HT4BVJT00003,27826,13,571,17789,3,9446
HT4AVJT02309,HT4CWJT00980,9652,8,406,24,6,9163
HT4AVJT02309,HT4BTJT00030,11552,45,154,2159,1,9187
HT4AVJT02309,HT4BTJT00078,15235,20,124,4848,2,10239
HT4AVJT02309,HT4BTJT00078,25018,57,218,14056,2,10693
HT4AVJT02309,HT4CWJT00250,16425,52,192,6721,4,9488
HT4AVJT02309,HT4CWJT00250,25315,15,171,15431,3,9696
HT4AVJT02309,HT4CWJT00250,35213,16,62,25022,2,10012
HT4AVJT02309,HT4CWJT00250,43867,15,134,33480,9,10164
HT4AVJT02309,HT4CWJT00250,52085,60,156,41718,2,10152
HT4AVJT02309,HT4BTJT00030,12044,49,135,2468,2,9391
HT4AVJT02309,HT4CWJT00980,9398,22,123,17,3,9224
HT4AVJT02309,HT4CWJT00980,17877,31,336,7779,4,9719
HT4AVJT02309,HT4BVJT00003,14992,15,217,5294,3,9443
HT4AVJT02309,HT4BVJT00003,24050,10,156,14246,2,9629
HT4AVJT02309,HT4BTJT00030,13519,16,267,4014,5,9206
HT4AVJT02309,HT4BTJT00030,22571,15,145,13039,3,9255
HT4AVJT02309,HT4BTJT00030,30588,58,268,20918,2,9351
HT4AVJT02309,HT4BTJT00030,39822,20,205,30260,3,9306
HT4AVJT02309,HT4BTJT00030,48429,43,163,38818,3,9395
HT4AVJT02309,HT4BTJT00030,57124,18,116,47486,2,9496
HT4AVJT02309,HT4BTJT00078,16907,13,162,5860,4,10865
HT4AVJT02309,HT4BTJT00078,27338,14,321,15927,3,11033
HT4AVJT02309,HT4BTJT00078,38947,23,257,26854,2,11836
HT4AVJT02309,HT4CWJT00980,15867,13,268,5917,12,9600
HT4AVJT02309,HT4CWJT00980,25586,90,239,15472,2,9779
HT4AVJT02309,HT4CWJT00980,34336,13,206,23868,5,10180
HT4AVJT02309,HT4APJT01039,10812,51,220,18,2,10514
HT4AVJT02309,HT4APJT01039,21355,55,215,9627,4,11453
HT4AVJT02309,HT4BVJT00003,14801,15,189,4876,2,9750
HT4AVJT02309,HT4BVJT00003,21257,19,187,10613,8,10411
HT4AVJT02309,HT4AVJT02309,16236,21,65,3303,4,12878
HT4AVJT02309,HT4AVJT02309,28839,32,38,15866,3,12908
HT4AVJT02309,HT4AVJT02309,40620,17,32,27100,5,13470
HT4AVJT02309,HT4AVJT02309,53550,33,22,40168,4,13327
HT4AVJT02309,HT4AVJT02309,67273,11,65,53414,6,13803
HT4AVJT02309,HT4BVJT00003,26279,55,274,15592,4,10331
HT4AVJT02309,HT4APJT01039,20180,48,200,8947,3,10963
HT4AVJT02309,HT4APJT01039,31298,16,99,19695,2,11376
HT4AVJT02309,HT4CWJT00980,20248,45,183,10181,1,9869
HT4AVJT02309,HT4CWJT00980,30036,18,260,19564,6,10195
HT4AVJT02309,HT4CWJT00980,40435,18,197,29658,2,10558
HT4AVJT02309,HT4CWJT00980,50255,50,217,39085,12,10884
HT4AVJT02309,HT4BTJT00127,20127,17,128,8917,3,11056
HT4AVJT02309,HT4CWJT00250,10893,17,239,365,3,10292
HT4AVJT02309,HT4CWJT00250,20747,10,85,10213,2,10339
HT4AVJT02309,HT4CWJT00250,30494,51,201,19722,4,10524
HT4AVJT02309,HT4CWJT00250,41008,26,130,29922,3,10921
HT4AVJT02309,HT4BVJT00003,15649,52,186,4788,2,10640
HT4AVJT02309,HT4BVJT00003,23859,22,180,12777,6,10873
HT4AVJT02309,HT4BVJT00003,35056,36,168,23586,4,11204
HT4AVJT02309,HT4APJT01039,17868,55,218,6016,3,11470
HT4AVJT02309,HT4APJT01039,29772,54,226,17438,4,12005
HT4AVJT02309,HT4APJT01039,41858,13,78,29198,2,12477
HT4AVJT02309,HT4BTJT00030,11575,14,94,3971,2,7386
HT4AVJT02309,HT4BTJT00030,29718,58,251,19949,2,9456
HT4AVJT02309,HT4BTJT00030,20366,21,180,10643,2,9415
HT4AVJT02309,HT4BTJT00030,37213,17,216,27453,2,9546
HT4AVJT02309,HT4BTJT00127,11689,61,317,14,5,11221
HT4AVJT02309,HT4BTJT00127,22833,48,462,11090,3,11198
HT4AVJT02309,HT4BTJT00127,34546,22,323,22268,4,11941
HT4AVJT02309,HT4BTJT00127,46528,53,317,34137,5,12021
HT4AVJT02309,HT4BTJT00127,58271,21,182,46138,4,11942
HT4AVJT02309,HT4BTJT00078,11422,57,116,17,9,11220
HT4AVJT02309,HT4BTJT00078,20188,71,100,11178,3,8874
HT4AVJT02309,HT4BTJT00078,30088,38,160,18635,3,11246
HT4AVJT02309,HT4BTJT00078,41002,16,151,29045,2,11789
HT4AVJT02309,HT4BTJT00078,52698,10,51,40688,2,11919
HT4AVJT02309,HT4BTJT00078,62958,14,137,52481,4,10279
HT4AVJT02309,HT4BTJT00078,75164,11,95,62644,3,12411
HT4AVJT02309,HT4BVJT00003,29650,27,269,17917,4,11457
HT4AVJT02309,HT4CWJT00980,21055,12,140,9706,3,11192
HT4AVJT02309,HT4CWJT00980,32073,29,227,20377,4,11348
HT4AVJT02309,HT4CWJT00980,42498,28,148,31378,3,10931
HT4AVJT02309,HT4CWJT00250,15429,19,132,4345,3,10927
HT4AVJT02309,HT4CWJT00250,25687,44,146,14754,4,10730
HT4AVJT02309,HT4AVJT02309,23742,67,35,9600,5,14040
HT4AVJT02309,HT4AVJT02309,36193,22,76,22530,9,13555
HT4AVJT02309,HT4AVJT02309,49143,17,64,35757,3,13337
HT4AVJT02309,HT4AVJT02309,62016,65,61,48703,3,13212
HT4AVJT02309,HT4AVJT02309,75153,52,86,61877,3,13150
HT4AVJT02309,HT4AVJT02309,88339,47,74,74994,4,13258
HT4AVJT02309,HT4AVJT02309,100986,9,69,87648,7,13286
HT4AVJT02309,HT4BVJT00003,20217,20,214,9255,3,10756
HT4AVJT02309,HT4BVJT00003,29788,9,154,18609,3,10961
HT4AVJT02309,HT4BVJT00003,38646,13,187,27184,2,11265
HT4AVJT02309,HT4BTJT00030,12773,19,292,2752,3,9751
HT4AVJT02309,HT4APJT01039,13255,17,213,31,3,12966
HT4AVJT02309,HT4APJT01039,25767,50,74,12740,2,12898
HT4AVJT02309,HT4CWJT00250,18416,33,162,7828,2,10418
HT4AVJT02309,HT4CWJT00250,28581,27,138,18012,3,10422
HT4AVJT02309,HT4BTJT00030,12708,27,140,2886,4,9532
HT4AVJT02309,HT4BTJT00030,21960,25,204,12097,17,9607
HT4AVJT02309,HT4BTJT00030,31349,21,127,21600,3,9619
HT4BTJT00078,HT4BTJT00078,9680,68,98,17,2,9496
HT4BTJT00078,HT4BTJT00127,7286,30,171,29,10,7075
HT4BTJT00078,HT4BTJT00127,15989,77,152,6528,3,9229
HT4BTJT00078,HT4BTJT00078,13150,19,48,3824,16,9242
HT4BTJT00078,HT4APJT01039,9591,17,225,13,5,9330
HT4BTJT00078,HT4APJT01039,18665,15,224,9178,2,9245
HT4BTJT00078,HT4APJT01039,27592,9,153,18069,2,9360
HT4BTJT00078,HT4APJT01039,36650,32,309,26767,3,9493
HT4BTJT00078,HT4APJT01039,44811,9,114,35222,2,9465
HT4BTJT00078,HT4APJT01039,54051,64,220,44283,3,9505
HT4BTJT00078,HT4APJT01039,62623,97,143,52746,2,9635
HT4BTJT00078,HT4CWJT00250,9100,20,184,32,3,8796
HT4BTJT00078,HT4BTJT00078,17236,59,58,7530,3,9591
HT4BTJT00078,HT4BTJT00078,26029,33,78,16476,4,9473
HT4BTJT00078,HT4BTJT00127,11747,46,123,2406,3,9143
HT4BTJT00078,HT4BTJT00127,20580,16,166,10744,2,9615
HT4BTJT00078,HT4CWJT00250,9417,10,341,15,3,8975
HT4BTJT00078,HT4CWJT00250,16488,12,110,7279,2,9042
HT4BTJT00078,HT4BVJT00189,9638,10,224,29,14,9362
HT4BTJT00078,HT4BVJT00012,10074,51,272,19,3,9730
HT4BTJT00078,HT4BVJT00012,17808,11,159,8102,3,9555
HT4BTJT00078,HT4BVJT00012,27255,11,101,17485,2,9654
HT4BTJT00078,HT4BVJT00003,18451,14,446,8896,2,9127
HT4BTJT00078,HT4BVJT00003,9361,39,406,18,3,8879
HT4BTJT00078,HT4BTJT00127,18567,18,223,8825,3,9507
HT4BTJT00078,HT4BTJT00127,27749,9,190,18136,2,9412
HT4BTJT00078,HT4BTJT00127,36659,47,329,26802,2,9480
HT4BTJT00078,HT4BTJT00127,45763,57,146,36072,4,9517
HT4BTJT00078,HT4BTJT00127,53067,19,92,43391,1,9562
HT4BTJT00078,HT4BTJT00127,62241,13,175,51716,7,10330
HT4BTJT00078,HT4CWJT00250,13811,14,239,4236,3,9319
HT4BTJT00078,HT4BTJT00078,10886,16,70,1125,3,9707
HT4BTJT00078,HT4BTJT00078,18301,54,35,8654,3,9570
HT4BTJT00078,HT4BTJT00078,28052,22,105,18071,8,9856
HT4BTJT00078,HT4BTJT00078,37874,17,20,27555,3,10268
HT4BTJT00078,HT4BTJT00078,48297,16,27,37722,5,10526
HT4BTJT00078,HT4BTJT00078,59196,55,94,47741,3,11339
HT4BTJT00078,HT4BVJT00003,13095,8,184,3408,2,9484
HT4BTJT00078,HT4CWJT00250,12116,10,114,2886,2,9107
HT4BTJT00078,HT4CWJT00250,20641,48,190,11153,2,9224
