ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00980,HT4CWJT00980,9184,29,16,12,3,9108
HT4CWJT00980,HT4CWJT00980,16230,80,55,7110,2,8988
HT4CWJT00980,HT4CWJT00980,24835,31,52,15601,1,9158
HT4CWJT00980,HT4BVJT00003,7070,29,87,9,2,6900
HT4CWJT00980,HT4BVJT00003,15608,27,68,6732,2,8719
HT4CWJT00980,HT4APJT01039,8958,9,94,20,3,8834
HT4CWJT00980,HT4BVJT00003,23923,17,126,15035,2,8733
HT4CWJT00980,HT4AVJT02309,8860,22,63,14,2,8718
HT4CWJT00980,HT4AVJT02309,16067,17,46,7366,1,8635
HT4CWJT00980,HT4AVJT02309,24332,16,60,15508,1,8746
HT4CWJT00980,HT4BVJT00003,30368,47,56,21397,3,8862
HT4CWJT00980,HT4BVJT00003,38429,37,129,29344,2,8916
HT4CWJT00980,HT4BVJT00003,46734,80,69,37605,1,8972
HT4CWJT00980,HT4APJT01039,9763,11,28,1012,1,8703
HT4CWJT00980,HT4APJT01039,17941,11,155,8847,4,8843
HT4CWJT00980,HT4CWJT00980,17694,70,52,8243,2,9329
HT4CWJT00980,HT4CWJT00980,25070,12,49,15665,3,9341
HT4CWJT00980,HT4CWJT00980,33544,15,12,24223,2,9295
HT4CWJT00980,HT4CWJT00980,41428,22,8,32003,4,9391
HT4CWJT00980,HT4BVJT00012,8920,12,83,12,1,8818
HT4CWJT00980,HT4BVJT00012,17399,15,28,8633,3,8721
HT4CWJT00980,HT4APJT01039,15518,68,79,6427,3,8941
HT4CWJT00980,HT4APJT01039,22176,38,34,13077,2,9018
HT4CWJT00980,HT4AVJT02309,13715,54,25,4148,1,9396
HT4CWJT00980,HT4AVJT02309,22591,72,94,13256,1,9185
HT4CWJT00980,HT4AVJT02309,30942,28,102,21859,2,8943
HT4CWJT00980,HT4AVJT02309,38910,16,120,29776,1,8953
HT4CWJT00980,HT4AVJT02309,45608,13,65,36541,2,8985
HT4CWJT00980,HT4BTJT00127,9061,15,52,24,6,8972
HT4CWJT00980,HT4BVJT00012,14263,48,200,5363,1,8645
HT4CWJT00980,HT4BVJT00012,20783,57,61,11952,2,8635
HT4CWJT00980,HT4BVJT00012,27461,59,28,20492,1,6758
HT4CWJT00980,HT4BVJT00012,35613,14,136,26663,2,8791
HT4CWJT00980,HT4BVJT00012,44480,50,78,35441,1,8903
HT4CWJT00980,HT4BTJT00127,12430,17,35,3449,1,8831
HT4CWJT00980,HT4BTJT00127,21075,44,96,12031,1,8870
HT4CWJT00980,HT4BTJT00078,8963,13,69,21,3,8862
HT4CWJT00980,HT4BTJT00078,16233,9,96,7370,1,8761
HT4CWJT00980,HT4BTJT00078,24575,9,72,15596,1,8844
HT4CWJT00980,HT4APJT01039,12859,37,114,3700,3,9001
HT4CWJT00980,HT4APJT01039,18919,12,121,9752,1,9029
HT4CWJT00980,HT4APJT01039,28103,15,154,18696,2,9180
HT4CWJT00980,HT4APJT01039,37123,27,76,27820,2,9200
HT4CWJT00980,HT4BVJT00003,12539,14,57,3403,1,9038
HT4CWJT00980,HT4BTJT00127,11534,22,105,2592,2,8796
HT4CWJT00980,HT4BTJT00078,17198,62,86,8100,1,8883
HT4CWJT00980,HT4BTJT00078,25400,16,89,16318,1,8971
HT4CWJT00980,HT4BVJT00003,13659,19,231,4376,1,9032
HT4CWJT00980,HT4BVJT00003,22500,14,70,13374,2,9041
HT4CWJT00980,HT4BVJT00003,29518,13,29,20283,2,9182
HT4CWJT00980,HT4BTJT00127,12176,18,125,3181,2,8850
HT4CWJT00980,HT4BTJT00127,20146,20,93,11025,2,8888
HT4CWJT00980,HT4BTJT00127,28338,23,106,19184,2,8976
HT4CWJT00980,HT4BTJT00127,35695,19,42,26586,1,9042
HT4CWJT00980,HT4CWJT00980,9227,52,52,19,6,9104
HT4CWJT00980,HT4CWJT00980,16122,63,26,6657,2,9376
HT4CWJT00980,HT4CWJT00980,25554,56,44,15806,1,9648
HT4CWJT00980,HT4AVJT02309,12692,11,114,3491,2,9018
HT4CWJT00980,HT4AVJT02309,21642,14,129,12478,2,9048
HT4CWJT00980,HT4AVJT02309,29904,20,120,20626,1,9061
HT4CWJT00980,HT4BTJT00078,14673,46,89,5480,4,9049
HT4CWJT00980,HT4BVJT00012,12280,55,77,3334,2,8806
HT4CWJT00980,HT4BVJT00012,20558,29,75,11488,2,8967
HT4CWJT00980,HT4BVJT00012,29401,9,68,20285,1,9033
HT4CWJT00980,HT4BVJT00012,36468,13,64,27316,1,9002
HT4CWJT00980,HT4BVJT00012,45424,16,48,36308,1,9042
HT4CWJT00980,HT4APJT01039,11112,10,68,1643,1,9301
HT4CWJT00980,HT4BVJT00003,11771,46,103,2148,2,9320
HT4CWJT00980,HT4BVJT00003,19455,17,122,10047,2,9157
HT4CWJT00980,HT4BVJT00003,28080,20,102,18717,5,9236
HT4CWJT00980,HT4BVJT00003,37129,23,47,27824,1,9234
HT4CWJT00980,HT4BVJT00003,46209,14,49,36770,2,9267
HT4CWJT00980,HT4BVJT00003,53729,49,57,44298,3,9321
HT4CWJT00980,HT4BVJT00003,62595,27,116,53097,2,9351
HT4CWJT00980,HT4BVJT00003,71942,66,145,62410,1,9354
HT4CWJT00980,HT4BTJT00078,7059,17,88,25,4,6925
HT4CWJT00980,HT4AVJT02309,15794,13,71,6622,2,9079
HT4CWJT00980,HT4BTJT00078,14449,15,52,5313,2,9051
HT4CWJT00980,HT4BTJT00127,10892,45,62,1788,4,8984
HT4CWJT00980,HT4BTJT00127,19448,44,48,10309,2,9036
HT4CWJT00980,HT4BTJT00127,28592,23,56,19282,1,9176
HT4CWJT00980,HT4APJT01039,9024,65,69,10,3,8879
HT4CWJT00980,HT4APJT01039,15750,26,64,6599,2,9065
HT4CWJT00980,HT4BTJT00078,7224,70,59,7,1,7087
HT4CWJT00980,HT4BTJT00078,15791,19,54,6576,1,9136
HT4CWJT00980,HT4BTJT00078,24316,75,62,14961,1,9213
HT4CWJT00980,HT4BTJT00078,31355,40,155,21828,1,9329
HT4CWJT00980,HT4AVJT02309,9140,57,202,12,7,8863
HT4CWJT00980,HT4AVJT02309,18123,42,181,8848,3,8955
HT4CWJT00980,HT4CWJT00980,9109,20,11,7,4,9066
HT4CWJT00980,HT4CWJT00980,18344,36,49,9013,4,9244
HT4CWJT00980,HT4AVJT02309,23942,18,144,14684,1,9091
HT4CWJT00980,HT4BVJT00012,11302,11,130,2082,2,9077
HT4CWJT00980,HT4BVJT00012,19993,8,49,10800,2,9127
HT4CWJT00980,HT4BTJT00127,11167,62,47,1903,1,9152
HT4CWJT00980,HT4BTJT00127,19712,17,138,10378,1,9172
HT4CWJT00980,HT4BTJT00127,28863,46,108,19540,1,9164
HT4CWJT00980,HT4BTJT00127,37930,41,29,28645,3,9111
HT4CWJT00980,HT4BTJT00127,47113,55,43,37699,2,9266
HT4CWJT00980,HT4BTJT00127,56118,51,28,46775,1,9227
HT4CWJT00980,HT4BTJT00127,63105,71,82,53645,1,9301
HT4CWJT00980,HT4BTJT00127,72284,65,94,62755,2,9312
HT4CWJT00980,HT4APJT01039,9012,10,54,30,3,8910
HT4CWJT00980,HT4APJT01039,17142,9,69,8045,1,9021
HT4CWJT00980,HT4APJT01039,26203,49,74,16773,1,9223
HT4CWJT00980,HT4APJT01039,35373,34,39,25968,1,9336
HT4CWJT00980,HT4APJT01039,44734,8,47,35196,1,9412
HT4CWJT00980,HT4AVJT02309,18065,12,53,8668,1,9231
HT4CWJT00980,HT4BTJT00078,11741,25,108,2258,2,9346
HT4CWJT00980,HT4BTJT00078,21025,36,136,11232,1,9559
HT4CWJT00980,HT4BTJT00078,30469,51,47,20467,1,9900
HT4CWJT00980,HT4BVJT00012,9157,58,51,24,4,9023
