ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00012,HT4BVJT00012,9397,62,75,14,3,9244
HT4BTJT00078,HT4AVJT02309,10229,51,100,9,2,10071
HT4BTJT00030,HT4BTJT00030,9888,78,103,12,5,9732
HT4BTJT00127,HT4AVJT02309,18965,61,263,8700,3,9960
HT4AVJT02309,HT4AVJT02309,28508,56,100,18449,3,9905
HT4CWJT00250,HT4AVJT02309,58932,55,447,47787,4,10604
HT4BVJT00012,HT4AVJT02309,48320,13,376,37097,3,10724
HT4BTJT00030,HT4AVJT02309,37454,36,223,27919,2,9909
HT4BVJT00012,HT4AVJT02309,69220,13,347,58109,3,10782
HT4CWJT00250,HT4CWJT00250,9508,64,39,42,4,9358
HT4BVJT00003,HT4BTJT00127,9494,48,142,24,7,9249
HT4APJT01039,HT4APJT01039,9542,58,37,17,4,9418
HT4BTJT00127,HT4BTJT00127,16419,73,14,6866,3,9464
HT4BVJT00003,HT4BVJT00003,9469,21,70,19,8,9316
HT4BTJT00127,HT4BTJT00127,25189,49,59,15328,4,9772
HT4BTJT00127,HT4BTJT00127,34472,12,44,24766,2,9646
HT4CWJT00250,HT4CWJT00250,14603,16,33,4739,3,9831
HT4BTJT00078,HT4BTJT00078,9406,42,153,11,3,9297
HT4BTJT00078,HT4BTJT00078,18702,59,107,9211,4,9328
HT4AVJT02309,HT4APJT01039,15475,21,197,5513,2,9707
HT4BTJT00030,HT4BTJT00030,10912,20,39,844,2,10007
HT4CWJT00250,HT4BVJT00012,9708,59,250,14,4,9379
HT4CWJT00250,HT4BTJT00030,18974,19,421,8577,6,9353
HT4BTJT00078,HT4BTJT00030,28847,41,191,17814,6,10157
HT4APJT01039,HT4APJT01039,23487,12,53,13598,3,9848
HT4AVJT02309,HT4BVJT00012,18111,14,270,8004,7,9815
HT4APJT01039,HT4APJT01039,33002,15,33,22823,3,10124
HT4BVJT00003,HT4BVJT00012,26839,24,104,17259,1,9441
HT4BTJT00078,HT4BTJT00030,37952,11,192,26796,3,10346
HT4BVJT00003,HT4BVJT00003,14093,27,54,4143,2,9895
HT4APJT01039,HT4APJT01039,41790,10,33,31728,10,10007
HT4CWJT00250,HT4CWJT00250,17661,13,81,7989,3,9610
HT4APJT01039,HT4CWJT00250,25711,26,389,15291,3,10002
HT4CWJT00250,HT4CWJT00250,35645,77,48,24458,3,11058
HT4BTJT00127,HT4CWJT00250,45313,29,334,34472,4,10474
HT4BVJT00012,HT4BVJT00003,16962,55,96,7006,3,9711
HT4BVJT00003,HT4BVJT00003,25254,9,18,15432,2,9794
HT4BTJT00078,HT4BTJT00078,16203,19,55,6330,3,9823
HT4BVJT00012,HT4BVJT00003,35203,12,307,24710,3,10171
HT4BTJT00127,HT4BVJT00003,46459,20,225,34812,3,11424
HT4BTJT00127,HT4BVJT00003,57360,56,188,45924,2,11155
HT4APJT01039,HT4BTJT00078,24976,9,164,15201,3,9581
HT4BVJT00012,HT4BVJT00003,66086,12,217,54554,5,11295
HT4AVJT02309,HT4BVJT00012,23102,18,259,13266,2,9584
HT4AVJT02309,HT4BVJT00012,32536,46,214,22150,2,10153
HT4AVJT02309,HT4BVJT00012,41446,34,241,31477,3,9716
HT4APJT01039,HT4BTJT00127,25074,9,342,14625,11,10074
HT4BVJT00003,HT4BVJT00012,50661,68,130,39740,2,10714
HT4AVJT02309,HT4BVJT00012,60972,67,172,50296,3,10433
HT4APJT01039,HT4BTJT00127,54382,17,200,43020,5,11062
HT4BTJT00127,HT4BTJT00127,34414,16,66,24098,3,10268
HT4BTJT00127,HT4BTJT00127,43210,29,90,34281,6,8807
HT4BVJT00012,HT4BVJT00012,70823,13,66,60245,3,10485
HT4BVJT00012,HT4BVJT00012,81290,43,12,70640,7,10589
HT4BTJT00127,HT4BTJT00078,27741,47,200,17382,2,10065
HT4BTJT00030,HT4BTJT00078,37569,52,163,27229,2,10038
HT4BVJT00003,HT4BVJT00012,92600,39,139,80586,3,11831
HT4BVJT00003,HT4BTJT00078,47471,18,278,36861,3,10212
HT4AVJT02309,HT4BTJT00078,56203,11,202,46799,5,9205
HT4BTJT00127,HT4BTJT00078,65319,56,135,54274,3,10750
HT4CWJT00250,HT4BTJT00030,28042,48,251,17276,3,10388
HT4BVJT00003,HT4BTJT00078,75679,16,256,64240,3,11196
HT4CWJT00250,HT4BTJT00078,86825,8,222,74641,3,11877
HT4BTJT00127,HT4BTJT00078,98728,9,142,86318,3,12102
