ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00189,HT4BVJT00003,9684,27,79,17,3,9548
HT4BVJT00012,HT4BVJT00003,19058,50,95,9268,1,9636
HT4AVJT02309,HT4AVJT02309,9814,26,17,15,4,9714
HT4BTJT00127,HT4BVJT00003,27490,20,114,17455,3,9879
HT4BTJT00078,HT4AVJT02309,17978,56,35,8123,1,9661
HT4BVJT00012,HT4AVJT02309,27387,22,103,17466,2,9796
HT4CWJT00250,HT4AVJT02309,37088,20,271,26630,2,10167
HT4BVJT00189,HT4AVJT02309,47858,22,230,36696,2,10858
HT4BVJT00189,HT4BVJT00189,9958,48,20,15,2,9875
HT4CWJT00250,HT4BVJT00189,18809,60,106,8702,4,9935
HT4BVJT00003,HT4BVJT00189,28329,22,168,18130,2,10010
HT4CWJT00250,HT4BVJT00189,37662,18,92,27490,3,10060
HT4APJT01039,HT4BVJT00189,47485,71,191,37077,2,10113
HT4CWJT00250,HT4BVJT00189,57718,13,186,47184,2,10325
HT4BTJT00127,HT4BVJT00189,66643,81,96,56173,2,10297
HT4BVJT00003,HT4BVJT00189,76703,15,79,66231,3,10375
HT4BTJT00127,HT4BVJT00189,86464,71,132,75777,1,10411
HT4BTJT00127,HT4BVJT00189,96311,40,223,85726,1,10265
HT4CWJT00250,HT4BVJT00189,127827,28,201,117240,3,10342
HT4BVJT00012,HT4BVJT00189,106882,27,101,95874,2,10889
HT4AVJT02309,HT4BVJT00189,117437,33,115,106726,2,10544
HT4AVJT02309,HT4BVJT00189,138265,48,70,127589,1,10443
HT4BTJT00078,HT4BTJT00078,9117,61,73,27,2,8951
HT4AVJT02309,HT4BVJT00012,9158,13,147,24,3,8973
HT4BTJT00078,HT4BTJT00078,16418,18,48,6915,1,9440
HT4BVJT00003,HT4BVJT00012,17408,12,84,8076,1,9227
HT4AVJT02309,HT4BVJT00012,26805,16,31,17095,1,9639
HT4BVJT00003,HT4BVJT00012,36515,13,299,26088,1,10130
HT4APJT01039,HT4APJT01039,9293,28,54,14,1,9198
HT4APJT01039,HT4APJT01039,18282,46,58,8558,1,9629
HT4APJT01039,HT4APJT01039,27259,57,13,17049,2,10134
HT4BTJT00127,HT4BTJT00127,9154,23,26,19,5,9083
HT4BVJT00189,HT4BTJT00078,17862,22,45,8271,2,9525
HT4BVJT00003,HT4BTJT00078,26408,34,117,16380,1,9760
HT4AVJT02309,HT4BTJT00078,35704,31,85,25962,2,9627
HT4BVJT00189,HT4BTJT00078,45870,28,61,35573,2,10195
HT4BTJT00127,HT4BTJT00078,56008,44,54,45510,1,10397
HT4BTJT00127,HT4BTJT00078,66315,59,63,55653,1,10441
HT4APJT01039,HT4BTJT00078,76784,16,77,65716,5,10972
HT4BVJT00189,HT4BTJT00078,88034,18,75,76589,1,11350
HT4CWJT00250,HT4BTJT00078,97061,17,64,87189,2,9791
HT4CWJT00250,HT4CWJT00250,9162,9,15,9,2,9130
HT4BTJT00078,HT4BVJT00003,13448,14,67,3406,2,9957
HT4BTJT00078,HT4BVJT00003,23616,15,158,12402,1,11038
HT4CWJT00250,HT4CWJT00250,16334,17,18,6506,14,9784
HT4BTJT00078,HT4CWJT00250,25535,12,106,15920,1,9412
HT4APJT01039,HT4CWJT00250,34970,29,38,25304,1,9547
HT4CWJT00250,HT4CWJT00250,44233,14,46,34613,3,9560
HT4BVJT00189,HT4CWJT00250,54140,21,113,44072,5,9840
HT4BVJT00189,HT4CWJT00250,63921,27,37,53893,3,9965
HT4BTJT00078,HT4CWJT00250,73937,11,72,63538,1,10223
HT4BVJT00003,HT4CWJT00250,83370,50,112,72860,1,10343
HT4BTJT00127,HT4BTJT00127,9623,37,16,13,3,9555
HT4BTJT00127,HT4BTJT00127,19019,51,8,9469,4,9480
HT4BTJT00078,HT4BTJT00127,28464,12,36,18548,10,9819
HT4BTJT00127,HT4BTJT00127,38355,13,48,28330,2,9958
HT4BVJT00012,HT4BTJT00127,48194,9,73,38066,3,10045
HT4BVJT00003,HT4BTJT00127,58642,41,59,47805,1,10693
HT4BVJT00003,HT4BTJT00127,69379,34,105,58440,2,10714
HT4BVJT00189,HT4BTJT00127,77917,19,175,66694,1,11014
HT4BVJT00003,HT4BTJT00127,88724,17,52,77364,2,11219
HT4APJT01039,HT4BTJT00127,100701,48,53,88486,2,12113
HT4CWJT00250,HT4BTJT00127,113215,9,71,100490,2,12643
HT4APJT01039,HT4BVJT00012,24925,11,25,15348,1,9540
HT4CWJT00250,HT4BVJT00012,34757,19,124,24756,4,9765
HT4BTJT00078,HT4BVJT00012,41773,17,115,33664,2,7965
HT4BVJT00012,HT4BVJT00012,51562,12,8,41391,2,10151
HT4BTJT00127,HT4BVJT00012,61394,46,78,51072,2,10186
HT4BTJT00127,HT4BVJT00012,82974,17,220,71399,2,11275
HT4CWJT00250,HT4BVJT00012,71491,13,64,60486,2,10929
HT4CWJT00250,HT4BVJT00012,106692,60,94,94169,2,12339
HT4BTJT00078,HT4BVJT00012,94306,24,77,82340,2,11855
HT4BTJT00078,HT4BVJT00012,118575,13,165,105776,2,12517
HT4BVJT00189,HT4BVJT00012,129010,23,138,117817,2,11015
HT4BTJT00127,HT4BVJT00012,141129,11,46,128575,2,12490
HT4BVJT00003,HT4APJT01039,14096,50,57,6066,10,7857
HT4BVJT00189,HT4APJT01039,23685,11,70,13514,2,10044
HT4BTJT00078,HT4APJT01039,32761,11,158,22312,2,10260
HT4APJT01039,HT4APJT01039,42506,60,27,31739,3,10688
HT4CWJT00250,HT4APJT01039,51857,12,58,41081,2,10703
