ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4APJT01039,10974,19,856,67,11,10090
HT4BVJT00012,HT4APJT01039,22653,19,1979,8847,9,11752
HT4AVJT02309,HT4AVJT02309,11228,45,115,75,4,10992
HT4BTJT00127,HT4AVJT02309,20512,16,1276,8791,19,10481
HT4BTJT00078,HT4AVJT02309,30276,19,865,19233,5,10183
HT4BVJT00012,HT4AVJT02309,40535,7,859,29305,6,10391
HT4CWJT00250,HT4AVJT02309,63582,16,1120,51068,5,11422
HT4BTJT00030,HT4AVJT02309,52049,12,800,39042,12,12198
HT4BTJT00030,HT4BTJT00030,7546,50,130,18,6,7373
HT4CWJT00250,HT4CWJT00250,10193,48,67,54,4,10021
HT4BVJT00003,HT4BTJT00127,10601,19,992,20,9,9601
HT4APJT01039,HT4CWJT00250,18555,32,1041,7627,8,9862
HT4BTJT00127,HT4BTJT00127,18185,90,138,8082,3,9910
HT4BVJT00003,HT4BVJT00003,9929,31,107,31,6,9717
HT4BTJT00127,HT4BTJT00127,27572,83,164,16888,21,10437
HT4BTJT00127,HT4BTJT00127,37445,30,64,27022,23,10305
HT4CWJT00250,HT4CWJT00250,26757,46,155,15155,4,11386
HT4AVJT02309,HT4BTJT00078,20257,19,995,9399,8,9870
HT4BVJT00012,HT4BVJT00012,10591,10,87,18,3,10505
HT4AVJT02309,HT4BVJT00012,17993,45,1479,9036,6,7471
HT4BVJT00003,HT4BVJT00003,19041,10,143,7819,5,11093
HT4BTJT00078,HT4BTJT00078,9712,17,91,13,3,9620
HT4CWJT00250,HT4BTJT00030,10614,30,481,49,3,10028
HT4BVJT00003,HT4BTJT00030,21158,11,814,9121,4,11258
HT4CWJT00250,HT4BTJT00030,31236,9,1457,19720,5,10106
HT4AVJT02309,HT4BTJT00078,39293,18,1284,27579,5,10426
HT4APJT01039,HT4BVJT00012,25578,47,1335,14396,5,9793
HT4BTJT00078,HT4BTJT00078,28444,12,174,17474,8,10814
HT4APJT01039,HT4BVJT00012,35721,58,746,24155,4,10672
HT4APJT01039,HT4BVJT00012,44628,21,609,33771,6,10203
HT4CWJT00250,HT4APJT01039,17388,14,665,6381,9,10357
HT4AVJT02309,HT4APJT01039,36815,17,604,25531,7,10671
HT4APJT01039,HT4APJT01039,25950,45,152,15318,6,10466
HT4AVJT02309,HT4APJT01039,47469,18,436,35111,7,11808
HT4CWJT00250,HT4APJT01039,59225,36,783,46500,9,11933
HT4BVJT00003,HT4APJT01039,70899,26,650,58155,22,12001
HT4BTJT00127,HT4APJT01039,83227,12,470,69866,9,12760
HT4BTJT00030,HT4APJT01039,96838,15,467,82352,6,13972
HT4BTJT00030,HT4BVJT00003,17764,8,523,6676,7,10546
HT4BTJT00127,HT4BVJT00003,28176,13,505,17010,4,10627
HT4BTJT00127,HT4BVJT00003,40502,21,411,27529,5,12490
HT4APJT01039,HT4BVJT00003,51759,50,651,39404,10,11660
HT4BTJT00030,HT4BVJT00003,61824,10,453,49086,8,12227
HT4BTJT00078,HT4BTJT00030,26367,32,451,16144,7,9731
HT4BTJT00078,HT4BTJT00030,35726,72,267,25208,4,10144
HT4BVJT00003,HT4BTJT00030,46132,22,357,35126,4,10654
HT4BTJT00078,HT4BTJT00030,56300,21,406,45263,5,10644
HT4AVJT02309,HT4BTJT00030,66401,35,415,55497,5,10428
HT4BVJT00003,HT4BTJT00030,87108,58,382,75766,4,10903
HT4BVJT00003,HT4BTJT00030,76172,31,382,65347,3,10396
HT4APJT01039,HT4BTJT00030,98794,62,481,86342,5,11863
HT4BTJT00078,HT4BTJT00030,109530,17,245,97986,17,11286
HT4BTJT00127,HT4CWJT00250,49837,46,2020,36718,8,10947
HT4APJT01039,HT4CWJT00250,17140,34,938,5840,6,10398
HT4BTJT00127,HT4CWJT00250,113103,26,2772,97029,10,13291
HT4BTJT00030,HT4CWJT00250,61512,20,1759,47558,5,12064
HT4BTJT00030,HT4CWJT00250,38431,55,1469,26105,4,10711
HT4BTJT00127,HT4CWJT00250,99402,14,2157,82995,5,14216
HT4BVJT00012,HT4CWJT00250,27243,8,828,15461,5,10969
HT4BTJT00078,HT4CWJT00250,71929,28,1070,59229,7,11607
HT4BVJT00003,HT4CWJT00250,83777,53,645,70795,7,12275
HT4BTJT00127,HT4CWJT00250,123770,23,336,109725,8,13692
HT4CWJT00250,HT4CWJT00250,138317,44,141,122881,8,15259
HT4CWJT00250,HT4CWJT00250,151394,22,172,137237,13,13986
HT4BTJT00127,HT4BTJT00078,27479,28,781,15617,6,10970
HT4BTJT00030,HT4BTJT00078,37825,37,433,26507,5,10845
HT4BVJT00012,HT4BTJT00078,49395,31,298,36783,4,12277
HT4BTJT00078,HT4BTJT00078,60518,16,97,48769,6,11653
HT4CWJT00250,HT4BTJT00078,71867,32,341,59387,6,12123
HT4BTJT00127,HT4BTJT00127,21567,27,163,9425,25,11967
HT4APJT01039,HT4BTJT00078,98350,16,882,84426,7,13021
HT4BTJT00078,HT4BTJT00078,85277,34,135,71369,19,13710
HT4CWJT00250,HT4BTJT00078,112091,68,613,97430,5,14011
HT4BVJT00003,HT4BTJT00127,31816,30,1102,19936,8,10719
HT4BTJT00030,HT4BVJT00012,29079,92,844,16927,7,11250
HT4BTJT00078,HT4BVJT00012,39111,10,586,27780,6,10738
HT4BTJT00030,HT4BVJT00012,49552,31,582,37539,4,11396
HT4CWJT00250,HT4AVJT02309,34578,25,444,22943,6,11186
HT4CWJT00250,HT4BVJT00012,59183,10,862,46720,8,11640
HT4BTJT00127,HT4AVJT02309,46555,23,940,32365,7,13230
HT4BTJT00078,HT4AVJT02309,59378,11,1075,45426,5,12885
HT4BVJT00003,HT4AVJT02309,72880,25,987,58227,9,13576
HT4BVJT00012,HT4AVJT02309,98207,20,1016,83835,11,13342
HT4CWJT00250,HT4AVJT02309,84577,47,449,70531,6,13509
HT4BTJT00078,HT4AVJT02309,110615,24,400,96177,10,14023
HT4CWJT00250,HT4BTJT00127,30970,28,558,19096,20,11226
HT4BVJT00003,HT4BTJT00127,42960,19,872,30006,4,12053
HT4BTJT00078,HT4BTJT00127,67067,20,1249,52738,9,13039
HT4AVJT02309,HT4BTJT00127,53630,13,867,40816,6,11964
HT4BVJT00003,HT4BTJT00127,78578,33,491,65306,5,12775
HT4AVJT02309,HT4BTJT00127,92200,17,610,76500,11,15053
HT4BVJT00012,HT4BTJT00127,105007,21,814,90386,9,13804
HT4APJT01039,HT4BTJT00127,118749,48,680,104167,6,13834
HT4BTJT00127,HT4BTJT00127,132609,57,233,117918,8,14406
HT4CWJT00250,HT4BVJT00003,43145,18,432,30300,5,12373
HT4APJT01039,HT4BVJT00003,69944,38,442,56613,12,12873
HT4BVJT00003,HT4BVJT00003,56902,74,149,42082,6,14626
HT4BTJT00030,HT4BVJT00003,83224,29,288,69255,8,13634
HT4APJT01039,HT4BVJT00003,96604,30,473,82444,6,13631
HT4APJT01039,HT4BVJT00003,125948,35,962,110112,8,14745
HT4APJT01039,HT4BVJT00003,110927,58,753,95455,7,14689
HT4BTJT00030,HT4BVJT00003,140361,30,761,124754,23,14694
HT4CWJT00250,HT4BVJT00003,154893,12,830,139182,8,14840
HT4AVJT02309,HT4BVJT00003,168862,32,433,152850,9,15530
HT4BTJT00030,HT4BVJT00012,53587,40,559,41020,8,11901
HT4CWJT00250,HT4BVJT00012,65787,23,398,52473,4,12811
HT4APJT01039,HT4BVJT00012,80189,92,384,64798,9,14904
HT4BTJT00030,HT4BVJT00012,119794,18,1148,105157,7,13425
HT4AVJT02309,HT4BVJT00012,106365,13,789,92266,10,13233
HT4APJT01039,HT4BVJT00012,92834,31,394,79193,8,13191
HT4AVJT02309,HT4BVJT00012,132288,21,288,118471,6,13519
HT4BTJT00030,HT4APJT01039,65164,11,485,51056,7,13599
HT4BTJT00078,HT4APJT01039,78962,23,621,64242,7,14069
HT4BTJT00127,HT4APJT01039,93086,19,394,78198,7,14452
HT4APJT01039,HT4APJT01039,106540,44,127,92389,9,13993
HT4AVJT02309,HT4APJT01039,120621,12,445,105732,8,14416
HT4BTJT00078,HT4APJT01039,133138,25,432,118446,8,14235
HT4CWJT00250,HT4APJT01039,161962,55,622,146334,8,14922
HT4BTJT00127,HT4APJT01039,146937,50,509,131422,5,14944
HT4BVJT00012,HT4BTJT00030,79275,25,476,67438,23,11324
HT4CWJT00250,HT4BTJT00030,90302,27,355,78577,22,11351
HT4BVJT00003,HT4BTJT00030,100268,27,465,88479,21,11290
HT4BTJT00030,HT4BTJT00030,108488,10,99,99177,28,9206
HT4BVJT00012,HT4BTJT00030,129840,57,521,118470,18,10824
HT4BVJT00003,HT4BTJT00030,140461,24,337,129264,14,10818
HT4BTJT00030,HT4BTJT00030,118747,16,108,108043,25,10599
HT4BVJT00003,HT4BTJT00030,150701,12,355,139676,24,10600
HT4BTJT00127,HT4BTJT00078,88504,41,934,73862,7,13663
HT4BTJT00127,HT4BTJT00078,102248,20,935,87321,9,14011
HT4BVJT00003,HT4BTJT00078,115640,41,691,101128,7,13774
HT4BVJT00012,HT4BTJT00078,129702,14,849,114767,10,14071
HT4BTJT00030,HT4BTJT00078,143174,29,367,128523,7,14287
HT4BVJT00003,HT4BTJT00078,157564,73,462,142358,7,14692
HT4CWJT00250,HT4BTJT00078,172110,23,445,156705,13,14916
HT4APJT01039,HT4AVJT02309,95704,15,457,79717,10,15531
HT4BVJT00003,HT4BTJT00078,200499,57,977,184171,10,15264
HT4APJT01039,HT4BTJT00078,185231,55,426,169702,14,14969
HT4BVJT00003,HT4AVJT02309,108764,61,650,93954,9,14099
HT4CWJT00250,HT4AVJT02309,122716,10,603,107978,7,14086
HT4BTJT00030,HT4AVJT02309,136216,20,408,121885,6,13930
HT4BTJT00127,HT4AVJT02309,150046,42,386,135100,8,14539
HT4BVJT00012,HT4AVJT02309,164417,26,349,149275,8,14792
HT4BTJT00030,HT4AVJT02309,178387,22,366,162861,7,15109
HT4BTJT00127,HT4AVJT02309,192945,32,463,177140,14,15274
HT4BVJT00003,HT4CWJT00250,115931,15,400,101211,6,14295
HT4APJT01039,HT4CWJT00250,129785,14,549,114877,8,14273
HT4BTJT00078,HT4CWJT00250,144554,52,785,128688,8,15019
HT4BVJT00012,HT4BTJT00127,115637,26,406,101352,6,13857
HT4BTJT00127,HT4BTJT00127,128633,33,199,115182,7,13255
HT4BVJT00003,HT4CWJT00250,183607,31,917,168485,8,14169
HT4BVJT00003,HT4CWJT00250,197764,31,929,182567,8,14173
HT4CWJT00250,HT4CWJT00250,154908,65,391,139644,8,14812
HT4CWJT00250,HT4CWJT00250,169218,67,442,154371,7,14323
HT4AVJT02309,HT4BTJT00127,152108,25,1410,137128,7,13449
HT4AVJT02309,HT4BTJT00127,138445,28,1175,123907,5,13350
HT4BTJT00030,HT4BVJT00012,120090,82,1200,105421,7,13411
HT4BTJT00127,HT4BVJT00012,132517,25,934,118520,7,12937
HT4BVJT00012,HT4BVJT00012,144537,22,194,131374,7,12950
HT4BVJT00012,HT4BVJT00012,157799,52,183,144280,6,13314
HT4BTJT00030,HT4BVJT00012,170211,22,629,156159,6,13354
HT4AVJT02309,HT4BVJT00012,183486,15,754,169337,7,13396
HT4BVJT00003,HT4BVJT00012,196598,29,640,182631,6,13292
HT4BTJT00078,HT4BVJT00012,209783,22,486,195849,5,13385
HT4BVJT00012,HT4BVJT00012,221700,30,169,208083,7,13447
HT4BTJT00030,HT4BVJT00012,234922,15,630,220898,15,13377
HT4AVJT02309,HT4BTJT00127,173772,15,701,159714,8,13336
HT4BTJT00030,HT4BTJT00127,160370,9,608,146400,7,13383
HT4BVJT00012,HT4APJT01039,166075,45,316,150546,18,15077
HT4APJT01039,HT4APJT01039,150858,76,112,135820,6,14885
HT4BTJT00078,HT4APJT01039,180816,13,417,165278,6,15101
HT4BVJT00003,HT4BVJT00003,146061,40,155,130401,8,15471
HT4APJT01039,HT4APJT01039,193619,57,207,177786,13,15603
HT4BTJT00030,HT4APJT01039,206441,84,358,193142,18,12770
HT4BTJT00127,HT4APJT01039,217881,22,412,204768,7,12616
HT4AVJT02309,HT4BVJT00003,172261,89,471,157254,6,14333
HT4BVJT00012,HT4BVJT00003,157790,16,550,142718,6,14536
HT4CWJT00250,HT4BVJT00003,185731,40,511,170420,8,14799
HT4BTJT00078,HT4BVJT00003,216199,23,1102,199728,13,15366
HT4BTJT00030,HT4BVJT00003,200488,22,610,184593,8,15243
HT4AVJT02309,HT4BVJT00003,230482,30,461,214722,12,15276
HT4BVJT00003,HT4BVJT00003,242824,21,139,229899,12,12776
HT4APJT01039,HT4BVJT00003,254418,57,393,241299,23,12662
