ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00127,HT4BTJT00127,8828,33,22,16,2,8759
HT4BTJT00078,HT4BTJT00078,9001,28,34,16,3,8928
HT4CWJT00980,HT4BTJT00078,17396,17,263,7968,3,9072
HT4CWJT00980,HT4BTJT00078,24792,10,191,15354,2,9223
HT4BVJT00189,HT4BTJT00127,12294,23,167,3080,3,9024
HT4CWJT00980,HT4CWJT00980,9507,54,58,16,5,9377
HT4BTJT00127,HT4CWJT00980,18994,8,170,9305,6,9505
HT4BTJT00127,HT4CWJT00980,28629,8,159,18599,3,9858
HT4BTJT00078,HT4BVJT00189,9594,7,255,25,4,9323
HT4CWJT00980,HT4CWJT00980,37321,29,98,27373,3,9857
HT4CWJT00980,HT4CWJT00980,46673,23,75,36532,10,10055
HT4BTJT00127,HT4BVJT00189,17407,12,180,7654,6,9491
HT4BVJT00189,HT4BVJT00189,26619,38,83,16919,2,9587
HT4BTJT00078,HT4BVJT00189,36041,23,215,26383,2,9412
HT4BVJT00189,HT4BTJT00127,14429,28,175,5592,3,8633
HT4BTJT00127,HT4BTJT00127,22912,9,74,14084,4,8779
HT4BVJT00189,HT4BTJT00127,31013,14,228,21582,7,9129
HT4CWJT00980,HT4BTJT00127,37784,44,230,28588,4,8908
HT4BVJT00189,HT4BTJT00078,20379,14,218,10820,2,9318
HT4CWJT00980,HT4BTJT00078,29407,28,236,19143,3,9684
HT4BTJT00127,HT4BTJT00078,36596,11,164,26201,2,10177
HT4BVJT00189,HT4BVJT00189,34587,14,29,24813,8,9725
HT4BTJT00078,HT4BVJT00189,41369,7,152,31581,19,9607
HT4BTJT00078,HT4BVJT00189,50087,56,188,40108,4,9739
HT4BTJT00078,HT4BVJT00189,59151,7,330,49037,3,9768
HT4BVJT00189,HT4BTJT00127,33868,7,234,24628,3,8931
HT4BTJT00078,HT4BTJT00078,39118,11,49,29147,2,9943
HT4BVJT00189,HT4BTJT00127,41555,11,166,32609,2,8765
HT4BTJT00078,HT4BTJT00078,47602,10,68,37318,7,10201
HT4CWJT00980,HT4CWJT00980,34761,7,76,24415,4,10296
HT4CWJT00980,HT4CWJT00980,44222,17,68,33707,3,10467
HT4BTJT00078,HT4CWJT00980,53132,8,130,42336,3,10655
HT4CWJT00980,HT4BTJT00127,43305,19,382,33926,4,8929
HT4BTJT00078,HT4BTJT00127,52184,36,336,42820,2,9004
HT4BVJT00189,HT4BTJT00127,60916,52,186,51594,3,8999
HT4CWJT00980,HT4BTJT00127,69747,12,208,60368,2,9171
HT4BTJT00078,HT4BTJT00127,75572,22,149,66359,3,8996
HT4CWJT00980,HT4BTJT00078,45370,20,223,34499,9,10564
HT4CWJT00980,HT4BTJT00078,65373,9,189,54929,5,10244
HT4BTJT00078,HT4BTJT00078,55047,51,27,44397,2,10570
HT4BTJT00127,HT4BTJT00078,75070,7,235,64477,3,10385
HT4CWJT00980,HT4BTJT00078,83443,7,175,73044,3,10179
HT4CWJT00980,HT4BTJT00078,93541,15,113,83097,2,10335
HT4BTJT00127,HT4BTJT00078,103414,10,145,92986,3,10203
HT4BTJT00078,HT4BVJT00189,48681,6,111,38629,2,9920
HT4BTJT00078,HT4BVJT00189,55559,11,205,45638,4,9725
HT4CWJT00980,HT4CWJT00980,46668,10,25,35651,2,10985
HT4BTJT00127,HT4CWJT00980,57611,7,124,46238,2,11127
HT4BVJT00189,HT4CWJT00980,68372,9,174,56299,3,11926
HT4CWJT00980,HT4CWJT00980,79911,14,16,67642,6,12240
HT4BVJT00189,HT4BVJT00189,59488,46,61,49177,3,10208
HT4BTJT00127,HT4BVJT00189,67117,9,155,58992,4,7867
HT4BVJT00189,HT4BVJT00189,76475,7,58,66585,3,9855
HT4BTJT00127,HT4BTJT00127,67328,46,14,58048,3,9220
HT4CWJT00980,HT4BTJT00127,75138,11,114,65561,2,9373
HT4BTJT00127,HT4BTJT00127,83063,10,69,73620,10,9391
HT4BVJT00189,HT4CWJT00980,84610,11,92,70747,8,13753
HT4BTJT00078,HT4CWJT00980,96244,12,205,83082,2,12939
HT4CWJT00980,HT4BVJT00189,76680,11,279,66189,2,10175
HT4BTJT00078,HT4BVJT00189,85408,22,207,75235,2,9894
HT4CWJT00980,HT4BVJT00189,95118,13,168,84927,2,10008
