ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00012,HT4BVJT00012,8625,34,35,11,2,8545
HT4BVJT00003,HT4BVJT00012,15646,64,36,6991,0,8544
HT4BTJT00127,HT4BVJT00012,23386,18,64,14798,1,8428
HT4BTJT00127,HT4BTJT00127,8775,31,54,11,3,8713
HT4BTJT00127,HT4BTJT00127,16162,15,59,7495,4,8591
HT4BTJT00078,HT4BTJT00078,8753,56,14,8,2,8675
HT4BTJT00127,HT4BTJT00127,24003,16,34,15236,4,8724
HT4BVJT00012,HT4BTJT00078,14257,5,55,5480,1,8611
HT4BVJT00012,HT4BTJT00078,22411,6,24,13882,1,8473
HT4BTJT00127,HT4BTJT00078,30891,8,109,22144,2,8577
HT4BVJT00003,HT4BVJT00003,8699,29,64,20,7,8590
HT4BVJT00012,HT4BTJT00078,37143,7,35,28578,1,8513
HT4BVJT00003,HT4BVJT00003,14934,12,49,6231,3,8640
HT4BVJT00012,HT4BVJT00003,22423,6,104,13566,4,8634
HT4BTJT00078,HT4BVJT00012,18068,11,137,9392,2,8526
HT4BTJT00078,HT4BVJT00012,25852,22,44,17270,1,8511
HT4BTJT00078,HT4BTJT00127,20578,86,154,11645,2,8624
HT4BVJT00012,HT4BVJT00003,22066,6,137,13265,1,8656
HT4BTJT00078,HT4BVJT00003,30115,53,62,21345,2,8616
HT4BTJT00127,HT4BVJT00003,37608,29,55,28849,2,8672
HT4BTJT00127,HT4BTJT00127,22520,12,42,13905,2,8557
HT4BVJT00003,HT4BTJT00127,30035,7,65,21356,12,8567
HT4BVJT00003,HT4BTJT00127,37711,5,67,29044,2,8588
HT4BVJT00003,HT4BVJT00012,32521,38,135,23562,2,8729
HT4BTJT00078,HT4BVJT00012,23702,15,64,15017,1,8557
HT4BTJT00127,HT4BVJT00012,41044,9,107,32273,1,8612
HT4BTJT00127,HT4BVJT00012,49041,9,129,40265,1,8641
HT4BVJT00003,HT4BVJT00012,57637,26,68,48839,1,8668
HT4BVJT00003,HT4BVJT00012,64612,6,22,55857,0,8719
HT4BTJT00078,HT4BTJT00078,23775,20,42,14946,1,8765
HT4BTJT00127,HT4BTJT00078,31876,8,34,23142,2,8682
HT4BTJT00078,HT4BTJT00078,40126,9,7,31518,3,8594
HT4BTJT00127,HT4BTJT00078,48302,15,75,39536,2,8659
HT4BVJT00003,HT4BTJT00078,54802,8,42,47970,2,6772
HT4BVJT00003,HT4BVJT00003,32831,10,16,24133,1,8682
HT4BTJT00127,HT4BTJT00127,35764,7,44,27116,1,8595
HT4BTJT00127,HT4BTJT00127,44063,8,47,35411,2,8596
HT4BVJT00003,HT4BVJT00003,40677,8,8,32042,2,8618
HT4BVJT00003,HT4BVJT00003,46195,7,7,37466,2,8712
HT4BTJT00078,HT4BVJT00003,54057,63,79,45052,2,8749
HT4BTJT00127,HT4BTJT00127,46534,26,45,37660,9,8797
HT4BVJT00003,HT4BVJT00003,60920,6,14,52081,4,8814
HT4BVJT00012,HT4BTJT00127,53933,7,42,45157,2,8721
HT4BTJT00127,HT4BTJT00127,61934,12,12,53189,1,8724
HT4BVJT00012,HT4BTJT00127,69046,10,61,60167,4,8802
HT4BTJT00127,HT4BVJT00012,52867,46,37,44021,1,8757
HT4BVJT00012,HT4BTJT00078,44786,9,43,35967,2,8758
HT4BVJT00012,HT4BVJT00012,54838,9,42,45920,1,8866
HT4BTJT00127,HT4BVJT00012,62859,12,138,53891,3,8794
HT4BVJT00012,HT4BVJT00012,71462,6,45,62542,2,8868
HT4BVJT00003,HT4BVJT00012,79565,7,29,70719,2,8802
HT4BTJT00078,HT4BVJT00012,88193,12,180,79029,1,8979
HT4BTJT00127,HT4BVJT00012,97110,50,122,88004,1,8929
HT4BTJT00078,HT4BVJT00012,112950,14,89,103889,1,8963
HT4BVJT00012,HT4BVJT00012,104054,23,50,94972,1,8974
HT4BVJT00003,HT4BTJT00078,45652,54,60,36358,1,9162
HT4BTJT00078,HT4BTJT00078,54355,13,46,45486,2,8811
HT4BTJT00127,HT4BTJT00078,60912,11,61,51972,4,8864
HT4BTJT00078,HT4BVJT00003,44672,7,50,35711,5,8809
HT4BTJT00127,HT4BVJT00003,48792,32,104,39808,1,8847
HT4BVJT00003,HT4BTJT00127,47215,45,41,38300,1,8820
HT4BTJT00078,HT4BVJT00003,48838,46,61,39978,1,8747
HT4BTJT00078,HT4BVJT00003,57147,6,64,48153,1,8925
HT4BTJT00127,HT4BVJT00003,65688,18,54,56735,1,8874
HT4BTJT00127,HT4BVJT00003,74568,16,54,65566,1,8906
HT4BVJT00012,HT4BTJT00127,50244,6,61,41309,2,8865
HT4BVJT00012,HT4BTJT00127,59029,10,42,50070,1,8904
HT4BVJT00003,HT4BTJT00127,65968,6,66,57027,1,8863
HT4BTJT00078,HT4BTJT00127,74532,6,134,65415,2,8965
HT4BVJT00012,HT4BTJT00078,47486,21,35,38636,1,8791
HT4BVJT00012,HT4BTJT00078,53945,7,68,45000,1,8820
HT4BVJT00003,HT4BTJT00078,62446,44,91,53359,2,8871
HT4BVJT00012,HT4BTJT00078,65531,12,56,56466,1,8901
HT4BVJT00003,HT4BTJT00078,74477,7,61,65309,1,8994
HT4BTJT00127,HT4BTJT00078,82759,10,38,73674,1,9031
HT4BVJT00012,HT4BTJT00127,72289,7,126,63022,2,9030
HT4BTJT00078,HT4BTJT00127,80891,8,28,71741,2,9063
HT4BTJT00078,HT4BVJT00003,68162,6,37,59024,1,9093
HT4BVJT00012,HT4BVJT00003,74244,10,131,65041,1,8967
HT4BVJT00003,HT4BVJT00003,82110,13,16,73165,2,8916
HT4BVJT00012,HT4BVJT00003,91038,5,46,82034,6,8947
HT4BTJT00127,HT4BVJT00003,99000,14,113,89937,1,8912
HT4BVJT00003,HT4BVJT00003,107832,9,47,98828,1,8949
HT4BTJT00078,HT4BTJT00078,83168,7,46,74252,1,8864
HT4BVJT00012,HT4BTJT00078,91357,21,80,82397,1,8860
HT4BVJT00003,HT4BVJT00012,76154,14,81,67007,1,9027
HT4BVJT00012,HT4BVJT00012,84995,18,10,76024,2,8947
HT4BVJT00012,HT4BVJT00012,89741,6,8,80761,3,8964
HT4BTJT00078,HT4BTJT00127,72139,6,98,63089,1,8936
HT4BVJT00012,HT4BTJT00127,81008,6,110,72012,1,8874
HT4BVJT00003,HT4BTJT00127,89011,19,26,79896,1,8995
HT4BVJT00003,HT4BTJT00127,96762,45,35,87603,1,8987
HT4BTJT00078,HT4BTJT00078,86413,10,55,77466,1,8889
HT4BVJT00003,HT4BTJT00078,95332,6,56,86353,2,8917
HT4BVJT00012,HT4BTJT00078,103224,6,137,94087,1,8948
HT4BVJT00003,HT4BTJT00078,111001,13,40,101894,1,9052
HT4BTJT00078,HT4BVJT00012,85378,16,114,76202,2,8971
HT4BVJT00012,HT4BVJT00012,93891,5,7,84900,2,8976
HT4BVJT00003,HT4BVJT00012,102392,50,80,93243,2,9010
HT4BTJT00127,HT4BVJT00012,111468,49,115,102218,1,9054
HT4BTJT00127,HT4BTJT00127,91530,8,45,82477,2,9000
HT4BVJT00012,HT4BTJT00127,100006,7,49,90840,2,9079
HT4BVJT00003,HT4BVJT00003,85937,8,45,76856,1,9027
HT4BTJT00127,HT4BVJT00003,94010,29,112,84870,2,8997
HT4BVJT00012,HT4BVJT00003,99972,6,142,90800,2,9021
HT4BVJT00012,HT4BTJT00078,102458,16,55,93172,2,9170
HT4BVJT00012,HT4BTJT00078,110996,19,113,101400,1,9460
HT4BTJT00078,HT4BTJT00078,120180,47,11,110734,3,9387
HT4BVJT00003,HT4BTJT00127,109151,21,33,100024,1,9041
HT4BTJT00127,HT4BTJT00127,100104,9,12,90977,1,9107
HT4BTJT00127,HT4BTJT00127,118111,9,8,109035,1,9059
HT4BTJT00078,HT4BTJT00127,126742,6,47,117554,4,9121
HT4BVJT00012,HT4BTJT00127,134850,7,71,125636,2,9131
HT4BVJT00012,HT4BTJT00127,143880,7,34,134680,2,9149
HT4BTJT00078,HT4BVJT00003,103428,20,57,94257,1,9090
HT4BTJT00078,HT4BVJT00003,111914,21,222,102568,1,9078
HT4BTJT00127,HT4BVJT00003,121027,17,225,111644,1,9085
HT4BVJT00012,HT4BVJT00012,100693,6,47,91587,2,9052
HT4BVJT00003,HT4BVJT00012,104127,27,129,94835,1,9071
HT4BVJT00012,HT4BVJT00012,112239,49,41,103078,0,9072
HT4BTJT00078,HT4BVJT00012,121232,5,44,112084,1,9092
HT4BVJT00012,HT4BVJT00012,129066,12,8,119894,1,9150
HT4BTJT00078,HT4BVJT00012,136921,10,74,127677,1,9152
HT4BTJT00127,HT4BVJT00012,153340,8,82,144014,1,9157
HT4BVJT00012,HT4BVJT00012,144052,14,22,136819,1,7195
HT4BTJT00127,HT4BVJT00012,161295,8,130,151949,1,9199
HT4BTJT00127,HT4BVJT00012,170321,9,36,161024,1,9244
HT4BVJT00012,HT4BTJT00078,113189,9,48,103812,5,9305
HT4BVJT00003,HT4BTJT00078,119133,12,62,109661,2,9379
HT4BTJT00078,HT4BTJT00078,127878,5,6,118376,1,9451
HT4BVJT00003,HT4BTJT00078,137318,6,39,127798,1,9457
HT4BVJT00012,HT4BTJT00078,146700,7,28,136929,1,9697
HT4BVJT00012,HT4BTJT00078,155744,6,130,146247,1,9312
HT4BVJT00012,HT4BVJT00003,113454,10,58,104114,1,9250
HT4BVJT00003,HT4BVJT00003,121976,5,45,112793,1,9136
HT4BTJT00078,HT4BVJT00003,140071,12,146,130681,2,9193
HT4BTJT00078,HT4BVJT00003,149150,19,164,139848,1,9112
HT4BTJT00127,HT4BVJT00003,130844,30,111,121509,2,9190
HT4BVJT00003,HT4BVJT00003,158075,5,46,148868,1,9158
HT4BTJT00127,HT4BVJT00003,174033,35,44,164778,1,9171
HT4BVJT00012,HT4BVJT00003,164868,7,37,157654,2,7163
HT4BTJT00127,HT4BTJT00127,132690,47,11,123415,2,9216
HT4BVJT00003,HT4BTJT00127,141612,6,43,132361,1,9124
HT4BVJT00003,HT4BTJT00127,150108,6,77,140729,2,9217
HT4BVJT00012,HT4BTJT00127,158502,12,109,149092,1,9233
HT4BTJT00078,HT4BTJT00127,167421,15,45,158090,1,9180
HT4BTJT00078,HT4BTJT00127,176301,7,77,166979,2,9227
HT4BVJT00003,HT4BTJT00127,183700,24,62,174318,1,9232
HT4BTJT00127,HT4BTJT00078,157542,9,69,148001,1,9449
HT4BTJT00127,HT4BTJT00078,164997,27,82,155201,2,9684
HT4BTJT00078,HT4BTJT00078,172321,56,6,162233,2,10023
HT4BVJT00003,HT4BTJT00078,181770,11,74,171849,2,9818
HT4BTJT00127,HT4BTJT00078,190436,7,55,180689,2,9674
HT4BVJT00003,HT4BTJT00078,199282,7,67,189348,2,9844
HT4BVJT00012,HT4BTJT00078,209075,15,57,199152,1,9769
