ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4APJT01039,HT4BTJT00127,9780,9,599,16,5,9195
HT4APJT01039,HT4BTJT00127,16671,12,319,7471,5,8860
HT4APJT01039,HT4BTJT00127,25774,10,694,15504,6,9574
HT4APJT01039,HT4APJT01039,9973,46,100,26,4,9816
HT4APJT01039,compute-europe-west,10124,8,8997,7,4,1106
HT4APJT01039,compute-europe-west,15896,9,12595,2065,3,937
HT4APJT01039,compute-europe-west,10527,7,9001,559,1,954
HT4APJT01039,compute-europe-west,11937,17,10974,6,1,939
HT4APJT01039,compute-europe-west,12579,51,10102,1399,1,912
HT4APJT01039,HT4APJT01039,17243,29,192,6990,10,10050
HT4APJT01039,compute-europe-west,10356,30,8692,710,1,931
HT4APJT01039,compute-europe-west,12216,15,9363,1907,3,926
HT4APJT01039,compute-europe-west,12339,23,8654,2728,1,929
HT4APJT01039,compute-europe-west,12639,16,8051,3572,3,926
HT4APJT01039,HT4AVJT02309,10379,7,851,37,10,9467
HT4APJT01039,HT4AVJT02309,18655,9,726,8912,9,9023
HT4APJT01039,HT4APJT01039,15638,14,122,5220,13,10299
HT4APJT01039,compute-europe-west,2942,11,809,1212,1,906
HT4APJT01039,compute-europe-west,3046,11,707,1417,2,907
HT4APJT01039,HT4BTJT00127,12416,20,813,2429,6,9161
HT4APJT01039,HT4BTJT00127,19674,25,687,9825,13,9115
HT4APJT01039,HT4BTJT00127,28683,15,742,18671,6,9225
HT4APJT01039,compute-europe-west,1908,11,960,4,1,927
HT4APJT01039,compute-europe-west,2812,52,1343,507,1,904
HT4APJT01039,compute-europe-west,4349,12,1394,2014,2,928
HT4APJT01039,compute-europe-west,3202,15,960,1309,2,921
HT4APJT01039,compute-europe-west,4490,20,909,2636,1,921
HT4APJT01039,compute-europe-west,4993,11,588,3457,2,929
HT4APJT01039,compute-europe-west,3674,17,1387,1341,2,922
HT4APJT01039,compute-europe-west,3453,51,1724,750,2,923
HT4APJT01039,compute-europe-west,2587,15,937,717,1,910
HT4APJT01039,compute-europe-west,2330,58,1347,5,2,911
HT4APJT01039,compute-europe-west,4662,11,3699,17,3,941
HT4APJT01039,compute-europe-west,5437,48,3520,947,2,929
HT4APJT01039,compute-europe-west,7072,60,6028,14,2,949
HT4APJT01039,compute-europe-west,7747,12,5948,850,2,931
HT4APJT01039,compute-europe-west,8623,7,5764,1949,1,920
