ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4BTJT00078,8915,45,39,19,1,8803
HT4AVJT02309,HT4APJT01039,8993,24,119,16,2,8791
HT4AVJT02309,HT4BTJT00078,15529,28,55,6496,2,8955
HT4AVJT02309,compute-europe-west,1017,26,264,3,0,634
HT4AVJT02309,compute-europe-west,1519,84,215,521,1,617
HT4AVJT02309,compute-europe-west,1858,32,125,1086,0,603
HT4AVJT02309,compute-europe-west,2282,24,97,1549,0,595
HT4AVJT02309,compute-europe-west,2291,11,86,1614,0,576
HT4AVJT02309,compute-europe-west,1689,7,170,915,0,589
HT4AVJT02309,compute-europe-west,1715,54,217,864,0,578
HT4AVJT02309,compute-europe-west,2222,21,219,1364,0,598
HT4AVJT02309,compute-europe-west,1935,25,340,928,1,585
HT4AVJT02309,compute-europe-west,1935,21,174,1066,1,579
HT4AVJT02309,compute-europe-west,815,30,170,3,0,608
HT4AVJT02309,compute-europe-west,912,29,216,3,0,601
HT4AVJT02309,compute-europe-west,906,24,217,2,0,598
HT4AVJT02309,compute-europe-west,929,27,294,3,0,603
HT4AVJT02309,compute-europe-west,891,21,254,2,1,600
HT4AVJT02309,compute-europe-west,975,51,295,3,0,594
HT4AVJT02309,compute-europe-west,1016,55,304,3,0,604
HT4AVJT02309,compute-europe-west,1383,26,190,565,0,600
HT4AVJT02309,compute-europe-west,1191,46,300,176,1,584
HT4AVJT02309,compute-europe-west,734,22,133,2,0,574
HT4AVJT02309,compute-europe-west,1066,25,87,330,0,607
HT4AVJT02309,compute-europe-west,1425,36,178,609,0,591
HT4AVJT02309,compute-europe-west,1378,21,175,583,0,592
HT4AVJT02309,compute-europe-west,1043,27,213,138,0,595
HT4AVJT02309,compute-europe-west,1027,95,300,3,1,621
HT4AVJT02309,compute-europe-west,845,28,174,2,1,629
HT4AVJT02309,compute-europe-west,1056,16,420,3,0,615
HT4AVJT02309,compute-europe-west,1132,11,535,2,0,583
HT4AVJT02309,compute-europe-west,1585,65,539,382,0,596
HT4AVJT02309,compute-europe-west,1711,32,399,696,1,577
HT4AVJT02309,compute-europe-west,2188,28,466,1115,0,570
HT4AVJT02309,compute-europe-west,2482,25,285,1524,0,571
HT4AVJT02309,compute-europe-west,2850,9,641,1608,0,594
