ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,10387,51,130,18,3,10181
HT4BTJT00078,HT4AVJT02309,10005,11,509,16,5,9498
HT4BTJT00078,HT4AVJT02309,18929,15,841,8683,7,9421
HT4BTJT00078,HT4BTJT00078,14147,23,164,4360,15,9622
HT4BTJT00078,HT4CWJT00250,9498,62,377,28,5,8910
HT4BTJT00078,HT4APJT01039,9729,29,579,44,17,9091
HT4BTJT00078,compute-europe-west,1777,13,599,5,3,1153
HT4BTJT00078,HT4BTJT00078,24117,28,176,12698,12,11224
HT4BTJT00078,HT4BTJT00078,33661,37,88,22686,9,10798
HT4BTJT00078,HT4BTJT00078,46154,19,132,33215,8,12799
HT4BTJT00078,compute-europe-west,1710,91,625,7,2,975
HT4BTJT00078,HT4BTJT00078,55791,15,111,44216,8,11484
HT4BTJT00078,HT4APJT01039,13729,57,352,4218,5,9118
HT4BTJT00078,HT4APJT01039,22273,18,304,12743,7,9207
HT4BTJT00078,compute-europe-west,7395,16,6356,20,2,990
HT4BTJT00078,compute-europe-west,7760,10,6770,6,2,977
HT4BTJT00078,compute-europe-west,4726,12,3461,293,1,959
HT4BTJT00078,compute-europe-west,3693,15,1838,884,1,949
HT4BTJT00078,compute-europe-west,3800,25,1194,1639,1,937
HT4BTJT00078,compute-europe-west,3316,39,864,1397,3,1007
HT4BTJT00078,compute-europe-west,2364,14,880,504,3,977
HT4BTJT00078,compute-europe-west,3197,15,868,1322,2,989
HT4BTJT00078,compute-europe-west,4244,55,543,2690,2,953
HT4BTJT00078,compute-europe-west,3283,19,322,1998,1,943
HT4BTJT00078,compute-europe-west,4921,16,671,3257,2,969
HT4BTJT00078,compute-europe-west,5639,58,430,4182,2,959
HT4BTJT00078,compute-europe-west,6061,20,348,4721,2,963
HT4BTJT00078,compute-europe-west,6581,55,534,5022,2,965
HT4BTJT00078,compute-europe-west,8538,10,7543,16,2,964
HT4BTJT00078,compute-europe-west,10739,20,8617,1120,3,987
HT4BTJT00078,compute-europe-west,6999,11,6002,5,1,966
HT4BTJT00078,compute-europe-west,5617,22,4472,133,2,988
HT4BTJT00078,compute-europe-west,6362,76,3285,2028,3,966
HT4BTJT00078,compute-europe-west,5233,11,2796,1465,1,959
HT4BTJT00078,compute-europe-west,6356,21,2659,2703,2,963
HT4BTJT00078,compute-europe-west,6151,10,1910,3229,2,956
HT4BTJT00078,compute-europe-west,7169,13,3094,3024,3,1029
HT4BTJT00078,compute-europe-west,5522,20,2243,2316,1,941
HT4BTJT00078,compute-europe-west,7395,12,2820,3559,3,999
HT4BTJT00078,compute-europe-west,6759,26,1796,3933,2,997
HT4BTJT00078,compute-europe-west,4296,18,870,2413,2,991
HT4BTJT00078,compute-europe-west,4546,27,927,2595,1,993
HT4BTJT00078,compute-europe-west,4022,9,882,2145,2,986
HT4BTJT00078,compute-europe-west,4566,12,943,2646,2,961
HT4BTJT00078,compute-europe-west,4742,55,1146,2567,2,955
HT4BTJT00078,compute-europe-west,5490,16,1237,3221,1,943
HT4BTJT00078,compute-europe-west,6202,22,1656,3556,2,969
HT4BTJT00078,compute-europe-west,7061,17,1632,4438,2,966
HT4BTJT00078,compute-europe-west,4476,11,979,2519,2,960
HT4BTJT00078,compute-europe-west,1431,26,452,4,1,945
