ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4BTJT00030,9515,23,274,21,3,9184
HT4AVJT02309,HT4BTJT00030,16694,32,157,7381,2,9133
HT4AVJT02309,compute-europe-west,1223,54,462,4,1,701
HT4AVJT02309,compute-europe-west,1425,76,612,5,1,716
HT4AVJT02309,compute-europe-west,1949,38,764,430,1,714
HT4AVJT02309,compute-europe-west,2489,12,654,1095,1,703
HT4AVJT02309,compute-europe-west,2720,17,335,1670,1,679
HT4AVJT02309,compute-europe-west,2959,8,246,2024,2,672
HT4AVJT02309,compute-europe-west,2307,32,401,1201,1,660
HT4AVJT02309,compute-europe-west,2680,40,318,1649,0,667
HT4AVJT02309,compute-europe-west,2409,16,322,1399,1,676
HT4AVJT02309,compute-europe-west,2302,26,231,1267,0,668
HT4AVJT02309,compute-europe-west,2033,48,277,1050,1,657
HT4AVJT02309,compute-europe-west,2120,13,301,1016,1,672
HT4AVJT02309,compute-europe-west,1130,57,386,3,0,669
HT4AVJT02309,compute-europe-west,1054,27,224,129,1,664
HT4AVJT02309,compute-europe-west,1236,18,489,4,0,675
HT4AVJT02309,compute-europe-west,1069,9,398,3,0,656
HT4AVJT02309,compute-europe-west,1043,49,327,3,1,660
HT4AVJT02309,compute-europe-west,1209,19,512,4,1,676
HT4AVJT02309,compute-europe-west,1110,13,405,3,1,679
HT4AVJT02309,compute-europe-west,1516,29,261,551,1,672
HT4AVJT02309,compute-europe-west,1303,35,339,258,1,666
HT4AVJT02309,compute-europe-west,1942,50,321,901,0,657
HT4AVJT02309,compute-europe-west,2348,52,130,1481,1,673
HT4AVJT02309,compute-europe-west,2811,11,154,1978,0,668
HT4AVJT02309,compute-europe-west,2792,12,199,1909,0,660
HT4AVJT02309,compute-europe-west,3127,17,121,2317,1,657
HT4AVJT02309,compute-europe-west,1524,27,361,474,1,654
HT4AVJT02309,compute-europe-west,1157,30,436,3,0,674
HT4AVJT02309,compute-europe-west,1214,59,455,3,1,664
HT4AVJT02309,compute-europe-west,1243,55,503,3,1,681
HT4AVJT02309,compute-europe-west,1179,17,498,4,0,688
HT4AVJT02309,compute-europe-west,1741,45,429,587,0,669
HT4AVJT02309,compute-europe-west,2054,15,106,1156,0,668
HT4AVJT02309,compute-europe-west,2576,32,118,1690,1,654
HT4AVJT02309,compute-europe-west,2793,19,199,1915,1,655
HT4AVJT02309,compute-europe-west,1215,27,485,4,1,661
HT4AVJT02309,compute-europe-west,1239,59,495,3,0,677
HT4AVJT02309,compute-europe-west,8666,68,7916,4,1,676
HT4AVJT02309,compute-europe-west,10714,42,9499,478,1,693
HT4AVJT02309,compute-europe-west,10911,15,9317,919,1,659
HT4AVJT02309,compute-europe-west,12148,16,8963,2496,1,667
HT4AVJT02309,compute-europe-west,8506,27,7794,3,1,680
HT4AVJT02309,compute-europe-west,10378,15,8156,1540,1,663
HT4AVJT02309,compute-europe-west,10969,25,8143,2079,0,673
HT4AVJT02309,HT4AVJT02309,9386,52,30,18,3,9274
HT4AVJT02309,HT4AVJT02309,13515,14,47,4270,4,9141
HT4AVJT02309,HT4BTJT00030,9442,7,271,14,4,9180
HT4AVJT02309,HT4BTJT00030,17778,51,106,8577,2,9049
HT4AVJT02309,HT4BTJT00030,25849,13,155,16552,3,9075
HT4AVJT02309,HT4BTJT00078,8994,9,155,19,3,8807
HT4AVJT02309,HT4BTJT00030,33916,8,108,24670,2,9123
HT4AVJT02309,compute-europe-west,1269,62,535,3,1,663
HT4AVJT02309,compute-europe-west,1093,10,406,3,0,667
HT4AVJT02309,compute-europe-west,1091,14,390,3,0,668
HT4AVJT02309,compute-europe-west,1097,8,423,2,1,657
HT4AVJT02309,compute-europe-west,1247,7,556,3,1,677
HT4AVJT02309,compute-europe-west,1218,13,519,3,1,681
HT4AVJT02309,compute-europe-west,1317,13,136,497,0,662
HT4AVJT02309,compute-europe-west,1882,52,1135,3,1,692
HT4AVJT02309,compute-europe-west,2388,38,1661,3,0,679
HT4AVJT02309,compute-europe-west,2628,53,1905,3,1,668
HT4AVJT02309,compute-europe-west,3188,44,2011,497,1,650
HT4AVJT02309,compute-europe-west,3155,33,2430,3,1,685
HT4AVJT02309,compute-europe-west,3078,28,1732,644,0,668
HT4AVJT02309,compute-europe-west,2831,23,1924,209,0,669
HT4AVJT02309,compute-europe-west,3524,46,2092,701,1,677
HT4AVJT02309,compute-europe-west,2668,42,1749,210,1,665
HT4AVJT02309,compute-europe-west,1958,58,1026,211,0,663
HT4AVJT02309,compute-europe-west,2611,52,1031,868,0,653
HT4AVJT02309,compute-europe-west,1802,16,695,330,1,671
HT4AVJT02309,compute-europe-west,1230,18,519,3,1,678
HT4AVJT02309,compute-europe-west,1159,26,273,150,1,676
HT4AVJT02309,compute-europe-west,1183,56,437,3,0,682
HT4AVJT02309,compute-europe-west,1182,24,462,3,0,689
HT4AVJT02309,compute-europe-west,1089,20,241,80,1,686
HT4AVJT02309,compute-europe-west,1424,46,161,541,0,673
HT4AVJT02309,compute-europe-west,2557,18,1833,3,10,686
HT4AVJT02309,compute-europe-west,4494,50,3771,3,0,670
HT4AVJT02309,compute-europe-west,5017,30,4301,3,0,675
HT4AVJT02309,compute-europe-west,5238,9,2797,1693,1,697
HT4AVJT02309,compute-europe-west,2508,15,1346,407,0,679
HT4AVJT02309,compute-europe-west,2848,51,959,1049,0,686
HT4AVJT02309,compute-europe-west,1065,16,357,2,0,681
HT4AVJT02309,compute-europe-west,1314,50,282,320,1,672
HT4AVJT02309,compute-europe-west,1875,39,279,855,0,663
HT4AVJT02309,compute-europe-west,1624,52,393,408,0,685
HT4AVJT02309,compute-europe-west,1223,55,438,3,1,672
HT4AVJT02309,compute-europe-west,4927,29,4194,4,1,692
HT4AVJT02309,compute-europe-west,5042,25,4323,23,0,670
HT4AVJT02309,compute-europe-west,6056,10,4709,596,1,678
HT4AVJT02309,compute-europe-west,4874,62,4132,3,1,676
HT4AVJT02309,compute-europe-west,2680,17,1169,808,0,671
HT4AVJT02309,compute-europe-west,1172,16,480,2,1,671
HT4AVJT02309,compute-europe-west,1804,32,959,130,1,670
HT4AVJT02309,compute-europe-west,1540,27,835,3,1,674
HT4AVJT02309,compute-europe-west,2220,48,1267,173,0,665
HT4AVJT02309,compute-europe-west,2423,48,941,755,1,668
HT4AVJT02309,compute-europe-west,1149,29,440,2,1,675
HT4AVJT02309,compute-europe-west,1392,50,350,235,1,674
HT4AVJT02309,compute-europe-west,1902,44,936,242,0,671
HT4AVJT02309,compute-europe-west,1358,46,603,2,1,693
HT4AVJT02309,compute-europe-west,1430,15,689,33,0,691
HT4AVJT02309,compute-europe-west,2713,86,1932,3,0,687
HT4AVJT02309,compute-europe-west,3874,36,1938,1232,1,671
HT4AVJT02309,compute-europe-west,4522,26,2033,1774,1,686
HT4AVJT02309,compute-europe-west,2962,12,1668,616,1,666
HT4AVJT02309,compute-europe-west,2716,29,524,1488,0,667
HT4AVJT02309,compute-europe-west,3200,19,1117,1385,1,674
HT4AVJT02309,compute-europe-west,4762,61,4021,3,1,673
HT4AVJT02309,compute-europe-west,5944,23,4703,541,1,676
HT4AVJT02309,compute-europe-west,5011,36,4302,2,0,662
HT4AVJT02309,compute-europe-west,7308,21,6091,514,0,671
HT4AVJT02309,compute-europe-west,6501,14,5791,3,0,681
HT4AVJT02309,compute-europe-west,6244,21,4540,1013,0,663
HT4AVJT02309,compute-europe-west,1202,25,483,2,1,675
HT4AVJT02309,HT4AVJT02309,9028,36,76,10,2,8939
HT4AVJT02309,HT4AVJT02309,17785,9,51,8576,9,9139
HT4AVJT02309,compute-europe-west,3122,47,2388,3,0,683
HT4AVJT02309,HT4BTJT00030,9290,13,260,16,4,8992
HT4AVJT02309,compute-europe-west,2872,8,2189,2,1,670
HT4AVJT02309,HT4BTJT00030,16110,13,248,6882,3,8943
HT4AVJT02309,compute-europe-west,4755,13,3427,594,1,664
HT4AVJT02309,compute-europe-west,5097,8,3508,908,1,672
HT4AVJT02309,compute-europe-west,3744,56,3010,2,1,674
HT4AVJT02309,compute-europe-west,2832,47,2108,2,0,672
HT4AVJT02309,compute-europe-west,4996,48,2912,1323,2,671
HT4AVJT02309,compute-europe-west,2914,16,527,1707,1,656
HT4AVJT02309,compute-europe-west,2217,10,558,935,1,675
HT4AVJT02309,compute-europe-west,1208,12,439,2,1,689
HT4AVJT02309,compute-europe-west,1371,27,648,3,1,684
HT4AVJT02309,compute-europe-west,1236,15,531,3,0,690
HT4AVJT02309,compute-europe-west,1523,16,264,564,0,668
HT4AVJT02309,compute-europe-west,1146,23,447,3,1,677
HT4AVJT02309,compute-europe-west,1574,58,319,515,1,677
HT4AVJT02309,compute-europe-west,1126,21,398,2,1,684
HT4AVJT02309,compute-europe-west,1552,16,382,466,1,674
HT4AVJT02309,compute-europe-west,2033,15,161,1089,0,678
HT4BTJT00078,HT4BVJT00189,10034,24,346,17,4,9669
HT4BTJT00078,HT4BVJT00003,9290,29,232,12,3,9029
HT4BTJT00078,HT4BVJT00003,15831,18,160,8632,3,7006
HT4BTJT00078,compute-europe-west,5512,17,4742,5,1,753
HT4BTJT00078,compute-europe-west,8443,33,6963,654,1,775
HT4BTJT00078,compute-europe-west,9731,41,7051,1895,1,734
HT4BTJT00078,compute-europe-west,7048,36,6199,43,2,769
HT4BTJT00078,compute-europe-west,9590,36,6252,2553,2,737
HT4BTJT00078,compute-europe-west,4533,29,3734,3,1,755
HT4BTJT00078,compute-europe-west,10142,14,5008,4463,1,680
HT4BTJT00078,compute-europe-west,8511,40,3995,3744,1,732
HT4BTJT00078,compute-europe-west,4716,33,2783,1159,0,736
HT4BTJT00078,compute-europe-west,6053,64,2165,3128,1,714
HT4BTJT00078,compute-europe-west,7477,29,1724,5021,0,669
HT4BTJT00078,compute-europe-west,4414,64,1294,2320,0,657
HT4BTJT00078,compute-europe-west,4235,43,1398,2140,1,652
HT4BTJT00078,compute-europe-west,1799,19,1084,4,0,678
HT4BTJT00078,compute-europe-west,1115,30,415,3,0,663
HT4BTJT00078,compute-europe-west,1184,43,468,3,1,661
HT4BTJT00078,compute-europe-west,2130,51,1399,3,1,680
HT4BTJT00078,compute-europe-west,1770,36,1045,3,1,678
HT4BTJT00078,compute-europe-west,2519,19,1822,3,0,675
HT4BTJT00078,compute-europe-west,5936,9,4101,1132,2,686
HT4BTJT00078,compute-europe-west,2991,10,2305,3,0,674
HT4BTJT00078,compute-europe-west,4251,34,3511,3,0,690
HT4BTJT00078,compute-europe-west,4701,59,3297,654,1,676
HT4BTJT00078,compute-europe-west,6198,23,3710,1781,0,673
HT4BTJT00078,compute-europe-west,5062,18,2983,1387,1,669
HT4BTJT00078,compute-europe-west,4139,57,1434,1977,0,663
HT4BTJT00078,compute-europe-west,3771,53,1380,1578,1,667
HT4BTJT00078,compute-europe-west,2570,30,1036,823,1,676
HT4BTJT00078,compute-europe-west,1950,53,1202,4,1,683
HT4BTJT00078,compute-europe-west,2027,29,1320,3,1,671
HT4BTJT00078,compute-europe-west,4184,18,2481,1016,0,677
HT4BTJT00078,compute-europe-west,2349,25,1654,2,1,663
HT4BTJT00078,compute-europe-west,3011,14,1905,352,0,671
HT4BTJT00078,compute-europe-west,3917,39,1746,1467,1,661
HT4BTJT00078,compute-europe-west,2011,42,660,538,0,675
