ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,9672,17,43,11,5,9599
HT4AVJT02309,HT4CWJT00250,9071,37,160,16,3,8815
HT4AVJT02309,HT4BVJT00003,7229,23,227,32,5,6863
HT4AVJT02309,compute-europe-west,1420,57,572,8,1,770
HT4AVJT02309,compute-europe-west,2104,55,538,683,1,733
HT4AVJT02309,compute-europe-west,2567,15,402,1408,2,741
HT4AVJT02309,compute-europe-west,2924,17,122,1998,3,729
HT4AVJT02309,compute-europe-west,3146,9,182,2231,1,717
HT4AVJT02309,compute-europe-west,2536,8,374,1460,0,691
HT4AVJT02309,compute-europe-west,2976,20,230,2009,1,704
HT4AVJT02309,compute-europe-west,2733,11,253,1748,1,705
HT4AVJT02309,compute-europe-west,2432,16,264,1427,1,695
HT4AVJT02309,compute-europe-west,2436,28,279,1390,0,681
HT4AVJT02309,compute-europe-west,2344,30,362,1250,1,688
HT4AVJT02309,compute-europe-west,1120,51,390,3,1,678
HT4AVJT02309,compute-europe-west,1015,27,219,71,1,684
HT4AVJT02309,compute-europe-west,3381,15,2649,4,0,702
HT4AVJT02309,compute-europe-west,2359,36,1639,3,1,682
HT4AVJT02309,compute-europe-west,2697,10,1997,3,1,680
HT4AVJT02309,compute-europe-west,2992,38,2242,3,1,702
HT4AVJT02309,compute-europe-west,2244,21,1530,3,1,680
HT4AVJT02309,compute-europe-west,3180,43,2441,3,1,683
HT4AVJT02309,compute-europe-west,6034,34,4066,1221,1,701
HT4AVJT02309,compute-europe-west,3855,60,3085,2,1,697
HT4AVJT02309,compute-europe-west,5041,20,3751,569,0,691
HT4AVJT02309,compute-europe-west,4102,64,3351,3,1,685
HT4AVJT02309,compute-europe-west,6324,57,3119,2439,0,705
HT4AVJT02309,compute-europe-west,5231,26,2598,1878,0,683
HT4AVJT02309,compute-europe-west,4318,31,649,2960,0,674
HT4AVJT02309,compute-europe-west,3852,15,471,2676,1,687
HT4AVJT02309,compute-europe-west,2708,65,477,1469,0,697
HT4AVJT02309,compute-europe-west,4482,23,3751,3,1,682
HT4AVJT02309,compute-europe-west,7138,33,5623,802,1,682
HT4AVJT02309,compute-europe-west,8505,49,5723,1948,1,688
