ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00012,HT4BVJT00012,10549,18,100,33,4,10424
HT4BVJT00012,HT4CWJT00250,9720,29,341,16,4,9332
HT4BVJT00012,HT4CWJT00250,18699,29,379,8922,5,9380
HT4BVJT00012,HT4BVJT00012,15308,14,146,5603,5,9571
HT4BVJT00012,compute-europe-west,1933,9,759,7,3,1178
HT4BVJT00012,compute-europe-west,2547,25,777,813,3,969
HT4BVJT00012,compute-europe-west,3168,133,451,1589,2,1008
HT4BVJT00012,compute-europe-west,3677,37,394,2311,1,925
HT4BVJT00012,compute-europe-west,3473,27,438,2061,2,943
HT4BVJT00012,compute-europe-west,4069,28,446,2638,2,937
HT4BVJT00012,compute-europe-west,4258,21,262,3050,1,913
HT4BVJT00012,compute-europe-west,4399,22,500,2941,2,924
HT4BVJT00012,compute-europe-west,4633,48,387,3238,2,950
HT4BVJT00012,compute-europe-west,4833,12,438,3428,2,949
HT4BVJT00012,compute-europe-west,2720,11,613,1163,2,926
HT4BVJT00012,compute-europe-west,2976,14,384,1626,2,942
HT4BVJT00012,compute-europe-west,3860,31,2878,10,2,916
HT4BVJT00012,compute-europe-west,5509,63,4534,4,1,900
HT4BVJT00012,compute-europe-west,6092,80,5072,4,1,918
HT4BVJT00012,compute-europe-west,13961,49,9101,3871,3,958
HT4BVJT00012,compute-europe-west,9688,10,6939,1799,2,930
HT4BVJT00012,compute-europe-west,10312,12,7023,2312,2,943
HT4BVJT00012,compute-europe-west,7669,16,5676,980,1,941
HT4BVJT00012,compute-europe-west,5706,51,4726,4,1,936
HT4BVJT00012,compute-europe-west,12870,23,6190,5719,2,943
HT4BVJT00012,compute-europe-west,5897,27,4865,49,1,953
HT4BVJT00012,compute-europe-west,12991,12,5383,6654,2,934
HT4BVJT00012,compute-europe-west,10762,39,4954,4821,2,917
HT4BVJT00012,compute-europe-west,7102,27,3166,2983,2,925
HT4BVJT00012,compute-europe-west,10679,21,2307,7378,1,915
HT4BVJT00012,compute-europe-west,10026,14,827,8273,2,906
HT4BVJT00012,compute-europe-west,9055,47,522,7561,1,909
HT4BVJT00012,compute-europe-west,8199,9,850,6402,2,923
HT4BVJT00012,compute-europe-west,8742,16,524,7286,1,911
HT4BVJT00012,compute-europe-west,8970,54,355,7560,3,932
HT4BVJT00012,compute-europe-west,8736,15,503,7274,2,945
HT4BVJT00012,compute-europe-west,8929,10,371,7601,1,941
HT4BVJT00012,compute-europe-west,9115,26,277,7905,1,904
HT4BVJT00012,compute-europe-west,9698,18,305,8447,1,933
HT4BVJT00012,compute-europe-west,9062,45,586,7489,2,926
HT4BVJT00012,HT4APJT01039,9427,23,566,18,4,8843
HT4BVJT00012,HT4BVJT00012,9727,10,91,22,4,9634
HT4BVJT00012,HT4BVJT00012,18603,23,112,8428,4,10002
HT4BVJT00012,HT4CWJT00980,9384,47,396,24,8,8918
HT4BVJT00012,HT4BVJT00012,27529,15,105,17392,4,10036
HT4BVJT00012,HT4BTJT00030,9516,61,441,15,4,9035
HT4BVJT00012,HT4AVJT02309,9667,26,559,25,8,9032
HT4BVJT00012,compute-europe-west,3468,51,617,1855,1,938
HT4BVJT00012,compute-europe-west,1698,27,633,12,1,932
HT4BVJT00012,compute-europe-west,1509,54,536,4,1,915
HT4BVJT00012,compute-europe-west,1689,57,453,257,1,918
HT4BVJT00012,compute-europe-west,1865,47,429,475,1,912
HT4BVJT00012,compute-europe-west,1985,31,634,370,2,938
HT4BVJT00012,compute-europe-west,2182,53,467,741,2,917
HT4BVJT00012,compute-europe-west,2693,21,483,1278,2,907
HT4BVJT00012,compute-europe-west,2476,19,682,840,2,931
HT4BVJT00012,compute-europe-west,1914,15,295,703,1,897
HT4BVJT00012,compute-europe-west,1632,15,685,5,2,920
HT4BVJT00012,compute-europe-west,1673,10,739,5,1,908
HT4BVJT00012,compute-europe-west,2019,11,1078,10,1,926
HT4BVJT00012,compute-europe-west,2166,53,1111,92,2,908
HT4BVJT00012,compute-europe-west,1819,55,852,5,1,906
HT4BVJT00012,compute-europe-west,1920,18,916,11,1,918
HT4BVJT00012,compute-europe-west,2024,29,742,344,1,906
HT4BVJT00012,compute-europe-west,1942,10,964,11,1,938
HT4BVJT00012,compute-europe-west,2009,17,1023,14,2,931
HT4BVJT00012,compute-europe-west,2859,19,1442,452,2,929
HT4BVJT00012,compute-europe-west,3983,25,1586,1434,2,932
HT4BVJT00012,compute-europe-west,2342,61,747,639,0,896
HT4BVJT00012,compute-europe-west,3449,67,947,1493,2,941
HT4BVJT00012,compute-europe-west,3630,14,1344,1348,1,909
HT4BVJT00012,compute-europe-west,4158,12,1691,1528,2,929
HT4BVJT00012,compute-europe-west,3247,26,1039,1262,2,922
HT4BVJT00012,compute-europe-west,2594,31,1347,304,1,913
HT4BVJT00012,compute-europe-west,3563,25,2585,12,3,936
HT4BVJT00012,compute-europe-west,3040,47,1156,939,1,901
HT4BVJT00012,compute-europe-west,1797,12,816,12,1,953
HT4BVJT00012,compute-europe-west,2008,28,528,547,1,916
HT4BVJT00012,compute-europe-west,1801,12,844,5,2,923
HT4BVJT00012,compute-europe-west,2385,41,1396,12,2,940
HT4BVJT00012,compute-europe-west,3809,19,2322,497,2,947
HT4BVJT00012,compute-europe-west,2520,26,1554,5,1,917
HT4BVJT00012,compute-europe-west,2840,15,1881,27,2,926
HT4BVJT00012,compute-europe-west,3417,10,1653,837,1,916
HT4BVJT00012,compute-europe-west,3974,16,1632,1423,2,904
HT4BVJT00012,compute-europe-west,3324,88,549,1781,1,891
HT4BVJT00012,compute-europe-west,3957,39,1912,1054,2,927
HT4BVJT00012,compute-europe-west,2734,26,1589,208,1,897
HT4BVJT00012,compute-europe-west,2412,59,1433,5,1,904
HT4BVJT00012,compute-europe-west,10156,12,9192,11,2,927
HT4BVJT00012,compute-europe-west,12334,16,10627,752,3,937
HT4BVJT00012,compute-europe-west,10680,19,9707,13,2,938
HT4BVJT00012,compute-europe-west,11636,16,8411,2216,2,924
HT4BVJT00012,compute-europe-west,9812,17,4696,4113,2,948
HT4BVJT00012,compute-europe-west,5415,17,3058,1410,1,897
HT4BVJT00012,compute-europe-west,6463,34,2894,2614,1,919
HT4BVJT00012,compute-europe-west,7059,38,2605,3481,1,923
HT4BVJT00012,HT4APJT01039,9406,14,583,55,7,8770
HT4BVJT00012,HT4CWJT00980,9691,40,856,37,6,8785
HT4BVJT00012,HT4CWJT00980,18372,44,860,8738,5,8757
HT4BVJT00012,compute-europe-west,2681,47,1724,4,1,907
HT4BVJT00012,compute-europe-west,5039,48,3189,875,1,918
HT4BVJT00012,compute-europe-west,3744,116,2722,4,1,910
HT4BVJT00012,compute-europe-west,3021,15,1593,440,2,952
HT4BVJT00012,compute-europe-west,3506,17,1855,724,1,917
HT4BVJT00012,HT4AVJT02309,9596,55,696,25,6,8810
HT4BVJT00012,HT4CWJT00250,9416,14,583,34,9,8808
HT4BVJT00012,compute-europe-west,2385,69,1406,4,2,909
HT4BVJT00012,HT4BVJT00012,10457,43,95,21,4,10329
HT4BVJT00012,compute-europe-west,3132,16,1477,709,1,909
HT4BVJT00012,HT4BVJT00012,19956,8,96,10214,7,9667
HT4BVJT00012,HT4BVJT00012,29766,12,118,19500,9,10176
HT4BVJT00012,compute-europe-west,1942,60,1101,4,1,907
HT4BVJT00012,compute-europe-west,2479,28,990,546,1,912
HT4BVJT00012,compute-europe-west,2302,36,830,530,2,923
HT4BVJT00012,compute-europe-west,2441,56,787,679,1,916
HT4BVJT00012,compute-europe-west,3014,19,1496,573,1,921
HT4BVJT00012,compute-europe-west,4833,24,1607,2216,1,929
HT4BVJT00012,compute-europe-west,3562,57,1200,1398,1,905
HT4BVJT00012,compute-europe-west,4000,41,721,2204,2,921
HT4BVJT00012,compute-europe-west,3154,11,2197,11,2,926
HT4BVJT00012,compute-europe-west,4652,12,2619,1081,2,926
HT4BVJT00012,compute-europe-west,3364,47,2159,211,1,910
HT4BVJT00012,compute-europe-west,4191,15,3262,14,2,925
HT4BVJT00012,compute-europe-west,6411,21,5431,12,2,941
HT4BVJT00012,compute-europe-west,3875,14,2949,4,1,906
HT4BVJT00012,compute-europe-west,13623,8,12669,11,2,931
HT4BVJT00012,compute-europe-west,9396,40,8433,5,1,914
HT4BVJT00012,compute-europe-west,7168,13,6247,3,1,902
HT4BVJT00012,compute-europe-west,15514,52,13800,734,3,923
HT4BVJT00012,compute-europe-west,11344,16,10415,4,2,903
HT4BVJT00012,HT4BTJT00030,12489,46,1563,26,8,10858
HT4BVJT00012,compute-europe-west,11558,22,10616,4,1,898
HT4BVJT00012,compute-europe-west,13071,13,12069,12,2,966
HT4BVJT00012,compute-europe-west,12066,14,10368,734,2,954
HT4BVJT00012,HT4APJT01039,9702,19,616,26,6,9033
HT4BVJT00012,HT4BVJT00012,10496,48,86,24,5,10364
HT4BVJT00012,HT4CWJT00980,9089,11,283,13,4,8807
HT4BVJT00012,HT4BVJT00012,17337,55,182,7586,8,9517
HT4BVJT00012,HT4APJT01039,14266,29,334,4856,4,9047
HT4BVJT00012,HT4AVJT02309,9574,16,478,28,6,9042
HT4BVJT00012,HT4AVJT02309,18051,16,536,8840,4,8855
HT4BVJT00012,HT4APJT01039,19315,14,277,9401,4,9618
HT4BVJT00012,HT4CWJT00250,9231,53,289,16,4,8839
HT4BVJT00012,HT4CWJT00250,17678,20,320,8437,5,8913
HT4BVJT00012,HT4AVJT02309,24863,10,351,15521,4,9009
HT4BVJT00012,HT4AVJT02309,33194,53,318,23659,5,9162
HT4BVJT00012,HT4BVJT00003,7580,11,531,43,11,6916
HT4BVJT00012,HT4CWJT00980,9338,49,517,20,7,8772
HT4BVJT00012,HT4CWJT00980,17722,57,217,8712,4,8755
HT4BVJT00012,HT4APJT01039,18403,30,4782,4176,6,9522
HT4BVJT00012,HT4BTJT00030,9415,15,2516,24,10,6956
HT4BVJT00012,HT4BTJT00030,18665,34,2748,6839,6,9246
HT4BVJT00012,HT4BVJT00012,9786,17,138,33,8,9635
HT4BVJT00012,HT4BVJT00003,10552,72,1485,24,9,8986
HT4BVJT00012,HT4BVJT00012,14402,58,140,4056,17,10163
HT4BVJT00012,HT4BVJT00012,21902,10,92,12452,3,9357
HT4BVJT00012,HT4APJT01039,14262,9,431,4151,3,9584
HT4BVJT00012,HT4CWJT00980,9828,49,509,30,8,9190
HT4BVJT00012,HT4CWJT00980,18553,54,372,9165,5,8944
HT4BVJT00012,HT4CWJT00980,27248,13,159,17986,9,9052
HT4BVJT00012,HT4CWJT00980,35963,12,558,26320,5,9105
HT4BVJT00012,HT4BTJT00030,13728,11,530,3548,8,9507
HT4BVJT00012,compute-europe-west,1468,91,462,3,1,905
HT4BVJT00012,HT4CWJT00980,42015,35,339,32458,5,9110
HT4BVJT00012,HT4CWJT00250,9277,10,386,30,6,8875
HT4BVJT00012,HT4BTJT00030,18102,65,413,8193,6,9416
HT4BVJT00012,HT4BVJT00012,9412,12,131,21,4,9284
HT4BVJT00012,HT4BVJT00012,17872,29,114,7791,9,9931
HT4BVJT00012,HT4BVJT00012,28474,27,180,17242,5,11041
HT4BVJT00012,compute-europe-west,29636,25,27128,1548,2,929
HT4BVJT00012,compute-europe-west,24454,20,23501,5,1,924
HT4BVJT00012,compute-europe-west,30726,12,27213,2578,1,921
HT4BVJT00012,compute-europe-west,22368,19,21225,4,2,1104
HT4BVJT00012,compute-europe-west,27207,27,25351,898,2,926
HT4BVJT00012,compute-europe-west,27904,36,24785,2165,1,919
HT4BVJT00012,compute-europe-west,30349,63,25982,3357,2,939
HT4BVJT00012,compute-europe-west,24032,20,23048,7,2,942
HT4BVJT00012,HT4APJT01039,10137,52,603,68,11,9403
HT4BVJT00012,compute-europe-west,27180,11,23804,2424,3,934
HT4BVJT00012,compute-europe-west,28291,27,23081,4246,2,937
HT4BVJT00012,HT4APJT01039,15108,19,419,5209,6,9470
HT4BVJT00012,HT4APJT01039,23877,12,337,14070,5,9475
HT4BVJT00012,HT4APJT01039,30066,14,296,20165,5,9575
HT4BVJT00012,HT4CWJT00980,9429,15,252,15,4,9140
HT4BVJT00012,HT4CWJT00980,17571,33,375,8394,3,8821
HT4BVJT00012,HT4CWJT00980,26038,22,611,15730,8,9627
HT4BVJT00012,HT4BVJT00012,18059,9,139,7434,17,10499
HT4BVJT00012,HT4BVJT00003,10459,14,757,22,14,9686
HT4BVJT00012,HT4BVJT00012,37774,73,185,27322,16,10186
HT4BVJT00012,HT4BVJT00012,27527,70,99,16813,5,10550
HT4BVJT00012,HT4BVJT00012,47807,18,120,37269,5,10406
HT4BVJT00012,HT4BVJT00012,58499,13,100,47347,14,11062
HT4BVJT00012,HT4BVJT00012,68627,13,151,57882,6,10588
HT4BVJT00012,HT4BVJT00012,78691,45,136,68111,11,10418
HT4BVJT00012,HT4BVJT00012,87017,53,127,76695,4,10144
HT4BVJT00012,HT4BVJT00003,14462,57,514,4641,5,9261
HT4BVJT00012,HT4BVJT00003,22120,15,422,12576,4,9104
HT4BVJT00012,HT4BVJT00003,30102,28,410,19731,4,9961
HT4BVJT00012,HT4CWJT00250,10476,10,423,45,6,10030
HT4BVJT00012,HT4BTJT00030,9823,15,452,17,6,9307
HT4BVJT00012,HT4CWJT00250,18412,20,450,8856,8,9072
HT4BVJT00012,HT4CWJT00250,26528,12,342,17027,5,9177
HT4BVJT00012,HT4CWJT00250,34998,28,340,25343,5,9279
HT4BVJT00012,HT4CWJT00250,43618,64,217,34086,4,9276
HT4BVJT00012,HT4BTJT00030,15833,12,451,5607,4,9787
HT4BVJT00012,HT4APJT01039,18266,22,405,8260,6,9587
HT4BVJT00012,HT4CWJT00980,14438,16,266,5097,3,9084
HT4BVJT00012,HT4CWJT00980,22848,28,343,13343,10,9138
HT4BVJT00012,HT4CWJT00980,30887,47,311,21396,4,9149
HT4BVJT00012,HT4CWJT00980,39814,40,224,30269,4,9270
