ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10329,68,6,7,2,10210
HT4BVJT00003,HT4CWJT00980,9107,67,54,17,4,8943
HT4BVJT00003,HT4CWJT00980,17928,24,37,8772,1,9083
HT4BVJT00003,HT4AVJT02309,9812,47,89,25,3,9658
HT4BVJT00003,HT4AVJT02309,19251,23,157,9621,2,9518
HT4BVJT00003,HT4AVJT02309,38813,58,126,28583,1,10068
HT4BVJT00003,HT4AVJT02309,28834,47,83,18882,1,9707
HT4BVJT00003,HT4BTJT00030,9181,43,28,15,5,8983
HT4BVJT00003,compute-europe-west,840,10,208,2,0,614
HT4BVJT00003,compute-europe-west,1187,54,138,397,0,594
HT4BVJT00003,compute-europe-west,1730,46,139,910,0,615
HT4BVJT00003,compute-europe-west,1927,51,190,1062,0,612
HT4BVJT00003,compute-europe-west,2162,52,91,1421,0,592
HT4BVJT00003,compute-europe-west,857,17,170,66,0,604
HT4BVJT00003,compute-europe-west,1093,33,171,286,1,595
HT4BVJT00003,compute-europe-west,811,8,213,2,1,585
HT4BVJT00003,compute-europe-west,1033,26,388,2,1,605
HT4BVJT00003,compute-europe-west,1232,67,256,310,1,594
HT4BVJT00003,compute-europe-west,1085,16,301,181,0,588
HT4BVJT00003,compute-europe-west,990,40,344,2,1,600
HT4BVJT00003,compute-europe-west,1593,42,419,518,0,585
HT4BVJT00003,compute-europe-west,1709,46,267,801,1,589
HT4BVJT00003,compute-europe-west,1088,44,142,322,0,581
HT4BVJT00003,compute-europe-west,1549,39,97,804,0,596
HT4BVJT00003,compute-europe-west,2018,58,222,1161,0,577
HT4BVJT00003,compute-europe-west,2307,21,135,1564,1,583
HT4BVJT00003,compute-europe-west,2387,75,222,1476,0,605
HT4BVJT00003,compute-europe-west,1841,44,389,800,0,603
HT4BVJT00003,compute-europe-west,1552,32,222,700,0,595
HT4BVJT00003,compute-europe-west,1201,68,509,2,1,616
HT4BVJT00003,compute-europe-west,1066,80,385,3,0,596
HT4BVJT00003,compute-europe-west,1662,52,561,431,0,599
HT4BVJT00003,compute-europe-west,2605,116,593,1309,0,583
HT4BVJT00003,compute-europe-west,1956,51,527,762,0,609
HT4BVJT00003,compute-europe-west,2930,56,527,1762,0,579
HT4BVJT00003,compute-europe-west,3462,32,1044,1798,1,577
HT4BVJT00003,compute-europe-west,3634,47,661,2322,1,597
HT4BVJT00003,compute-europe-west,3593,41,345,2510,0,599
HT4BVJT00003,compute-europe-west,3862,35,369,2862,1,582
HT4BVJT00003,compute-europe-west,2642,53,263,1682,1,579
HT4BVJT00003,compute-europe-west,1613,59,226,757,0,578
HT4BVJT00003,compute-europe-west,2202,54,387,1158,0,595
HT4BVJT00003,compute-europe-west,2793,56,468,1631,1,583
HT4BVJT00003,compute-europe-west,1559,53,265,647,0,586
HT4BVJT00003,compute-europe-west,893,44,264,2,0,579
HT4BVJT00003,compute-europe-west,1071,30,257,189,0,596
HT4BVJT00003,compute-europe-west,1272,41,217,420,0,592
HT4BVJT00003,compute-europe-west,1299,24,308,349,0,576
HT4BVJT00003,compute-europe-west,1765,55,343,716,0,590
HT4BVJT00003,compute-europe-west,1199,54,179,280,0,587
HT4BVJT00003,compute-europe-west,1009,48,357,2,1,595
HT4BVJT00003,compute-europe-west,1092,68,143,272,0,579
HT4BVJT00003,compute-europe-west,1360,65,224,452,0,599
HT4BVJT00003,compute-europe-west,1113,72,184,230,0,610
HT4BVJT00003,compute-europe-west,1385,29,168,611,0,573
HT4BVJT00003,compute-europe-west,967,31,353,2,0,580
HT4BVJT00003,compute-europe-west,1415,27,259,540,0,586
HT4BVJT00003,compute-europe-west,1301,35,238,388,1,589
HT4BVJT00003,compute-europe-west,1822,55,272,896,0,592
HT4BVJT00003,compute-europe-west,2125,53,143,1343,0,587
HT4BVJT00003,compute-europe-west,831,21,219,2,0,585
HT4BVJT00003,compute-europe-west,980,43,269,54,0,611
HT4BVJT00003,compute-europe-west,1212,41,195,395,0,575
HT4BVJT00003,compute-europe-west,1745,14,348,763,0,594
HT4BVJT00003,compute-europe-west,1310,55,177,428,0,576
HT4BVJT00003,compute-europe-west,1784,34,332,840,1,577
HT4BVJT00003,compute-europe-west,1663,32,217,814,1,589
HT4BVJT00003,compute-europe-west,834,25,218,2,1,584
HT4BVJT00003,compute-europe-west,862,36,220,2,0,592
HT4BVJT00003,compute-europe-west,1160,13,131,410,0,598
HT4BVJT00003,compute-europe-west,1643,9,92,965,0,573
HT4BVJT00003,compute-europe-west,2063,35,101,1337,0,590
HT4BVJT00003,compute-europe-west,1734,66,263,811,0,590
HT4BVJT00003,compute-europe-west,2236,9,319,1315,0,591
HT4BVJT00003,compute-europe-west,2779,12,298,1847,0,572
HT4BVJT00003,compute-europe-west,2348,18,216,1527,1,585
HT4BVJT00003,compute-europe-west,2358,29,304,1339,0,572
HT4BVJT00003,compute-europe-west,2650,51,222,1786,0,588
HT4BVJT00003,compute-europe-west,865,56,180,31,0,593
HT4BVJT00003,compute-europe-west,1224,49,218,367,0,586
HT4BVJT00003,compute-europe-west,1741,57,304,784,0,572
HT4BVJT00003,compute-europe-west,1455,33,269,577,1,575
HT4BVJT00003,compute-europe-west,916,63,223,43,0,584
HT4BVJT00003,compute-europe-west,880,26,259,2,0,595
HT4BVJT00003,compute-europe-west,1221,48,181,392,0,592
HT4BVJT00003,compute-europe-west,1474,15,132,737,0,585
HT4BVJT00003,compute-europe-west,1014,18,209,96,1,587
HT4BVJT00003,compute-europe-west,1002,15,386,2,0,589
HT4BVJT00003,compute-europe-west,1539,40,529,384,0,583
HT4BVJT00003,compute-europe-west,1776,43,1148,2,0,579
HT4BVJT00003,compute-europe-west,3672,44,2560,466,1,598
HT4BVJT00003,compute-europe-west,2864,17,2258,2,0,587
HT4BVJT00003,compute-europe-west,2435,48,1012,777,0,590
HT4BVJT00003,compute-europe-west,2736,49,950,1159,0,574
HT4BVJT00003,compute-europe-west,1440,20,266,580,0,567
HT4BVJT00003,compute-europe-west,2302,81,385,1263,0,575
HT4BVJT00003,compute-europe-west,1696,44,304,761,1,583
HT4BVJT00003,compute-europe-west,2769,27,508,1660,0,571
HT4BVJT00003,compute-europe-west,3918,72,760,2493,0,589
HT4BVJT00003,compute-europe-west,3236,51,625,1981,0,576
HT4BVJT00003,compute-europe-west,3257,16,379,2282,0,576
HT4BVJT00003,compute-europe-west,3774,8,479,2689,0,595
HT4BVJT00003,compute-europe-west,3669,13,191,2882,0,584
HT4BVJT00003,compute-europe-west,3805,14,301,2883,0,570
HT4BVJT00003,compute-europe-west,4163,85,144,3366,0,569
HT4BVJT00003,compute-europe-west,4702,65,217,3852,0,567
HT4BVJT00003,compute-europe-west,5256,49,293,4330,1,576
HT4BVJT00003,compute-europe-west,5059,37,255,4187,0,570
HT4BVJT00003,compute-europe-west,1747,30,918,213,1,583
HT4BVJT00003,compute-europe-west,2116,30,1065,444,0,576
HT4BVJT00003,compute-europe-west,2473,30,1094,778,0,575
HT4BVJT00003,compute-europe-west,788,18,195,1,1,573
HT4BVJT00003,compute-europe-west,1116,26,464,43,0,576
HT4BVJT00003,compute-europe-west,1224,37,447,140,0,592
HT4BVJT00003,compute-europe-west,1225,41,352,236,0,594
HT4BVJT00003,compute-europe-west,1645,24,407,623,0,585
HT4BVJT00003,compute-europe-west,2071,26,462,1010,0,568
HT4BVJT00003,compute-europe-west,2643,50,502,1498,0,589
HT4BVJT00003,compute-europe-west,3194,21,525,2037,1,574
HT4BVJT00003,compute-europe-west,3388,83,247,2487,0,571
HT4BVJT00003,compute-europe-west,2621,59,260,1719,0,577
HT4BVJT00003,compute-europe-west,2487,27,300,1583,0,574
HT4BVJT00003,compute-europe-west,1855,99,299,885,0,571
HT4BVJT00003,compute-europe-west,1184,34,257,315,0,579
HT4BVJT00003,compute-europe-west,945,19,344,1,1,571
HT4BVJT00003,compute-europe-west,1364,36,490,199,1,574
HT4BVJT00003,compute-europe-west,1007,45,376,1,1,577
HT4BVJT00003,compute-europe-west,1498,29,754,42,0,596
HT4BVJT00003,compute-europe-west,1586,26,962,2,0,592
HT4BVJT00003,compute-europe-west,2139,34,1507,2,1,595
HT4BVJT00003,compute-europe-west,2638,10,2048,2,0,575
HT4BVJT00003,compute-europe-west,3174,86,2227,254,0,598
HT4BVJT00003,compute-europe-west,2136,29,1517,2,0,586
HT4BVJT00003,compute-europe-west,3639,59,1911,1008,0,588
HT4BVJT00003,compute-europe-west,2640,65,1444,519,0,575
HT4BVJT00003,compute-europe-west,1716,65,221,854,0,573
HT4BVJT00003,compute-europe-west,1088,30,473,2,0,577
HT4BVJT00003,compute-europe-west,1602,52,673,293,0,577
HT4BVJT00003,compute-europe-west,902,27,223,80,0,568
HT4BVJT00003,compute-europe-west,890,40,260,2,0,591
HT4BVJT00003,compute-europe-west,2099,102,302,1048,0,584
HT4BVJT00003,compute-europe-west,1455,61,309,508,0,581
HT4BVJT00003,compute-europe-west,1751,61,304,810,1,580
HT4BVJT00003,compute-europe-west,894,39,261,2,0,581
HT4BVJT00003,compute-europe-west,906,65,137,1,0,592
HT4BVJT00003,compute-europe-west,894,15,264,2,0,611
HT4BVJT00003,compute-europe-west,913,26,272,2,0,618
HT4BVJT00003,compute-europe-west,1464,10,413,421,1,613
HT4BVJT00003,compute-europe-west,1981,27,929,411,0,612
HT4BVJT00003,compute-europe-west,3093,43,973,1475,0,601
HT4BVJT00003,compute-europe-west,2381,55,694,1021,0,611
HT4BVJT00003,compute-europe-west,3143,65,610,1866,1,602
HT4BVJT00003,compute-europe-west,2522,16,255,1649,0,597
HT4BVJT00003,compute-europe-west,2278,11,377,1273,0,610
HT4BVJT00003,compute-europe-west,2652,33,373,1633,1,603
HT4BVJT00003,compute-europe-west,1815,66,313,804,1,610
HT4BVJT00003,compute-europe-west,962,30,299,2,8,618
HT4BVJT00003,compute-europe-west,1424,39,248,544,0,591
HT4BVJT00003,compute-europe-west,1969,23,305,1051,0,583
HT4BVJT00003,compute-europe-west,2014,61,184,1171,0,598
HT4BVJT00003,compute-europe-west,1120,27,224,284,0,586
HT4BVJT00003,compute-europe-west,900,8,304,2,0,581
HT4BVJT00003,compute-europe-west,1357,58,179,536,0,581
HT4BVJT00003,compute-europe-west,1728,90,52,1010,0,571
HT4BVJT00003,compute-europe-west,1956,24,139,1189,0,599
HT4BVJT00003,compute-europe-west,2484,47,155,1701,0,581
HT4BVJT00003,compute-europe-west,2843,42,92,2129,0,576
HT4BVJT00003,compute-europe-west,3242,28,95,2532,0,582
HT4BVJT00003,compute-europe-west,2200,37,310,1219,0,592
HT4BVJT00003,compute-europe-west,2673,13,567,1485,0,599
HT4BVJT00003,compute-europe-west,2246,75,233,1290,0,566
HT4BVJT00003,compute-europe-west,2538,30,363,1564,0,570
HT4BVJT00003,compute-europe-west,996,61,340,2,0,589
HT4BVJT00003,compute-europe-west,967,42,339,2,0,578
HT4BVJT00003,compute-europe-west,1139,23,345,192,0,579
HT4BVJT00003,compute-europe-west,1685,23,398,686,0,573
HT4BVJT00003,compute-europe-west,2109,63,329,1136,0,584
HT4BVJT00003,compute-europe-west,2646,44,372,1635,0,593
HT4BVJT00003,compute-europe-west,2929,53,236,2061,0,574
HT4BVJT00003,compute-europe-west,2202,18,133,1471,0,573
HT4BVJT00003,compute-europe-west,2448,29,262,1563,0,591
HT4BVJT00003,compute-europe-west,1942,62,228,1057,0,595
HT4BVJT00003,compute-europe-west,2480,77,538,1270,1,592
HT4BVJT00003,compute-europe-west,2161,29,267,1293,0,573
HT4BVJT00003,compute-europe-west,2572,29,309,1661,0,569
HT4BVJT00003,compute-europe-west,2260,72,390,1198,0,591
HT4BVJT00003,compute-europe-west,2119,15,259,1218,0,579
HT4BVJT00003,compute-europe-west,1994,38,348,1039,0,570
HT4BVJT00003,compute-europe-west,1021,30,389,2,0,599
HT4BVJT00003,compute-europe-west,1465,33,489,355,1,585
HT4BVJT00003,compute-europe-west,1066,81,155,818,0,5
HT4BVJT00003,compute-europe-west,820,30,220,2,0,568
HT4BVJT00003,compute-europe-west,1307,50,266,403,0,582
HT4BVJT00003,compute-europe-west,1748,15,377,734,1,590
HT4BVJT00003,compute-europe-west,1937,24,138,1179,0,589
HT4BVJT00003,compute-europe-west,2343,62,346,1258,0,573
HT4BVJT00003,compute-europe-west,2451,18,133,1733,0,566
HT4BVJT00003,compute-europe-west,917,26,303,1,1,578
HT4BVJT00003,compute-europe-west,984,32,267,2,0,577
HT4BVJT00003,compute-europe-west,1352,13,419,366,1,577
HT4BVJT00003,compute-europe-west,1660,63,93,848,0,563
HT4BVJT00003,compute-europe-west,1283,26,256,427,0,574
HT4BVJT00003,compute-europe-west,1844,50,340,875,0,574
HT4BVJT00003,compute-europe-west,842,38,225,1,0,579
HT4BVJT00003,compute-europe-west,863,22,268,2,0,575
HT4BVJT00003,compute-europe-west,1317,24,144,476,0,569
HT4BVJT00003,compute-europe-west,1169,25,550,2,0,595
HT4BVJT00003,compute-europe-west,1395,47,332,435,0,575
HT4BVJT00003,compute-europe-west,1413,32,250,555,0,576
