ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,9064,26,95,12,5,8952
HT4BTJT00030,HT4APJT01039,18636,13,867,8465,7,9323
HT4APJT01039,HT4APJT01039,8992,13,87,28,5,8887
HT4AVJT02309,HT4CWJT00250,9989,43,751,35,7,9184
HT4AVJT02309,compute-europe-west,2447,14,917,7,3,1372
HT4BVJT00189,compute-europe-west,2864,21,869,975,3,976
HT4CWJT00250,compute-europe-west,3114,15,564,1576,2,942
HT4BTJT00030,compute-europe-west,6546,21,5558,6,1,951
HT4BVJT00189,compute-europe-west,11973,17,8740,2290,1,952
HT4BTJT00030,HT4BTJT00030,9397,17,108,18,17,9267
HT4BTJT00030,compute-europe-west,7167,10,5130,1104,1,916
HT4BVJT00003,HT4BVJT00003,9450,28,145,226,5,9070
HT4AVJT02309,compute-europe-west,7697,11,6184,586,1,914
HT4BVJT00003,HT4BVJT00003,18411,37,117,9245,7,9036
HT4APJT01039,compute-europe-west,5559,7,4015,578,1,924
HT4BVJT00189,compute-europe-west,12644,37,8092,3500,2,908
HT4AVJT02309,compute-europe-west,7180,49,4904,1299,2,918
HT4CWJT00250,compute-europe-west,10590,27,6904,2627,3,941
HT4BVJT00003,HT4BVJT00003,25306,56,122,16111,15,9050
HT4AVJT02309,compute-europe-west,7340,24,4677,1661,3,927
HT4BVJT00189,compute-europe-west,11921,13,6578,4402,2,925
HT4CWJT00250,compute-europe-west,8971,10,5901,2040,1,915
HT4APJT01039,HT4AVJT02309,10101,24,705,45,13,9241
HT4CWJT00250,HT4CWJT00250,9998,42,141,30,8,9808
HT4AVJT02309,HT4AVJT02309,14226,24,134,5469,9,8615
HT4BVJT00003,HT4APJT01039,12151,25,732,1998,5,9426
HT4CWJT00250,compute-europe-west,6615,74,1312,4294,2,915
HT4BVJT00003,HT4BVJT00189,7648,9,583,21,11,7033
HT4AVJT02309,HT4AVJT02309,20521,15,112,11115,10,9307
HT4BVJT00189,HT4BVJT00189,16713,11,87,6449,4,10194
HT4BTJT00030,HT4BTJT00030,9105,45,93,15,4,8978
HT4BTJT00030,HT4BTJT00030,16694,25,137,6855,8,9689
HT4BTJT00030,HT4BTJT00030,25563,32,151,16173,6,9229
HT4CWJT00250,compute-europe-west,2741,57,738,1004,2,916
HT4APJT01039,HT4APJT01039,13168,30,142,3503,4,9521
HT4APJT01039,HT4APJT01039,21820,7,86,12356,3,9404
HT4BVJT00189,HT4APJT01039,30909,13,659,20548,6,9716
HT4APJT01039,HT4CWJT00250,10848,10,1247,27,6,9555
HT4BVJT00003,HT4BVJT00003,17845,8,81,8641,8,9118
HT4CWJT00250,compute-europe-west,1571,32,609,6,2,923
HT4BVJT00189,HT4BVJT00189,17643,77,145,7381,4,10051
HT4BVJT00189,HT4BVJT00189,27412,42,158,17406,4,9836
HT4APJT01039,compute-europe-west,1801,9,741,148,1,899
HT4CWJT00250,compute-europe-west,2387,14,389,1023,2,911
HT4BTJT00030,HT4BVJT00189,36608,61,909,25688,8,9889
HT4BTJT00030,HT4BVJT00189,57370,64,1349,45262,10,10626
HT4BTJT00030,HT4BVJT00189,46121,29,736,35123,4,10185
HT4APJT01039,HT4AVJT02309,17963,60,468,8275,8,9191
HT4BVJT00189,HT4BVJT00189,65645,25,120,55152,5,10379
HT4BTJT00030,HT4CWJT00250,14434,20,329,5039,4,9035
HT4AVJT02309,HT4AVJT02309,24850,7,118,15309,5,9438
HT4AVJT02309,HT4AVJT02309,32892,17,95,23604,10,9197
HT4BTJT00030,HT4CWJT00250,21721,21,474,12079,6,9078
HT4APJT01039,compute-europe-west,1643,25,685,11,1,918
HT4APJT01039,compute-europe-west,1532,13,457,137,2,916
HT4BTJT00030,HT4CWJT00250,29053,15,645,18486,4,9931
HT4AVJT02309,compute-europe-west,2456,8,1484,6,1,957
HT4CWJT00250,compute-europe-west,4277,16,1888,1447,2,918
HT4AVJT02309,compute-europe-west,2751,9,1145,685,2,908
HT4BVJT00189,compute-europe-west,4075,57,860,2242,2,917
HT4APJT01039,compute-europe-west,2129,11,650,559,1,907
HT4AVJT02309,compute-europe-west,5389,18,4430,12,1,924
HT4AVJT02309,compute-europe-west,7807,12,6081,806,2,906
HT4BTJT00030,HT4BTJT00030,12010,12,165,2553,7,9314
HT4APJT01039,compute-europe-west,6568,16,5608,11,2,929
HT4BVJT00189,compute-europe-west,1716,23,707,12,2,922
HT4AVJT02309,compute-europe-west,8136,8,6402,701,2,911
HT4APJT01039,compute-europe-west,8728,7,6496,1314,2,912
HT4AVJT02309,compute-europe-west,5538,9,4000,610,2,910
HT4BVJT00189,compute-europe-west,2746,53,529,1263,1,896
HT4APJT01039,compute-europe-west,6680,17,4179,1552,2,926
HT4BVJT00003,HT4BVJT00003,9235,37,117,14,5,9094
HT4BVJT00189,compute-europe-west,1588,23,576,4,1,894
HT4BVJT00003,HT4BVJT00003,16172,25,149,6776,4,9248
HT4CWJT00250,compute-europe-west,9171,29,8205,15,2,917
HT4BTJT00030,HT4BTJT00030,10849,22,128,1423,6,9310
HT4CWJT00250,compute-europe-west,7878,9,6964,4,1,899
HT4AVJT02309,compute-europe-west,3267,8,1511,852,1,895
HT4CWJT00250,compute-europe-west,9841,26,7293,1592,2,923
HT4BVJT00189,compute-europe-west,1592,10,666,5,2,907
HT4CWJT00250,HT4CWJT00250,17354,53,131,8086,6,9115
HT4CWJT00250,compute-europe-west,8281,53,6442,812,1,904
HT4AVJT02309,compute-europe-west,2623,26,1680,5,2,901
HT4BVJT00003,HT4APJT01039,10164,28,560,27,6,9559
HT4BVJT00003,HT4BVJT00003,15706,17,101,6436,12,9175
HT4AVJT02309,compute-europe-west,2140,12,1000,220,1,899
HT4CWJT00250,HT4APJT01039,15579,55,545,5552,4,9340
HT4BVJT00003,HT4BVJT00003,23781,62,78,14562,6,9108
HT4CWJT00250,HT4APJT01039,24068,12,410,14323,4,9337
HT4APJT01039,HT4APJT01039,31309,15,138,21682,9,9500
HT4BTJT00030,compute-europe-west,1760,17,842,176,1,901
HT4BVJT00003,HT4BVJT00003,30576,60,96,20665,12,9770
HT4CWJT00250,HT4CWJT00250,16943,28,126,7534,6,9280
HT4APJT01039,HT4AVJT02309,9708,14,580,28,6,9094
HT4BTJT00030,compute-europe-west,1564,21,533,5,1,899
HT4AVJT02309,compute-europe-west,1688,53,708,5,2,916
HT4AVJT02309,compute-europe-west,1331,19,390,5,2,912
HT4BVJT00189,compute-europe-west,1900,24,933,10,2,924
HT4BVJT00189,compute-europe-west,1537,68,550,4,1,909
HT4BVJT00189,compute-europe-west,1983,38,861,135,2,942
HT4BTJT00030,compute-europe-west,2923,14,1103,748,2,919
HT4BTJT00030,compute-europe-west,3509,18,979,1556,2,914
HT4BVJT00189,compute-europe-west,3244,83,766,1460,1,898
HT4BVJT00189,compute-europe-west,3088,30,756,1394,1,906
HT4AVJT02309,compute-europe-west,3725,60,669,2006,1,913
HT4CWJT00250,compute-europe-west,3384,19,724,1741,1,897
HT4CWJT00250,compute-europe-west,3609,32,249,2431,1,889
HT4BVJT00189,compute-europe-west,4449,16,1111,2389,1,909
HT4BVJT00189,compute-europe-west,5596,14,1130,3473,2,919
HT4AVJT02309,compute-europe-west,4661,33,652,3021,1,895
HT4BTJT00030,compute-europe-west,5822,11,640,4238,2,909
HT4BTJT00030,compute-europe-west,4433,55,974,2452,3,932
HT4APJT01039,compute-europe-west,4550,17,679,2861,1,902
HT4BVJT00189,compute-europe-west,3574,17,509,2072,1,900
HT4CWJT00250,compute-europe-west,4906,9,652,3320,2,911
HT4BTJT00030,compute-europe-west,4782,10,594,3243,1,911
HT4BVJT00003,HT4CWJT00250,20046,57,1727,8828,6,9451
HT4BVJT00003,HT4CWJT00250,10346,48,1254,29,6,9013
HT4AVJT02309,compute-europe-west,5986,32,3031,1959,2,905
HT4AVJT02309,compute-europe-west,5070,17,2850,1250,1,910
HT4BVJT00189,compute-europe-west,1974,29,924,102,3,913
HT4BVJT00189,compute-europe-west,2816,42,933,918,3,915
HT4BTJT00030,compute-europe-west,3204,13,666,1611,1,893
HT4BVJT00003,HT4BVJT00003,14601,17,106,4959,7,9533
HT4APJT01039,compute-europe-west,3586,56,521,2107,1,893
HT4BVJT00189,compute-europe-west,3969,20,511,2535,1,888
HT4BVJT00003,HT4BVJT00003,21879,58,130,11908,6,9814
HT4APJT01039,compute-europe-west,2045,8,772,314,1,896
HT4CWJT00250,compute-europe-west,2668,50,510,1208,1,897
HT4BVJT00189,compute-europe-west,1701,34,708,11,2,926
HT4CWJT00250,compute-europe-west,2263,8,669,662,2,916
HT4BTJT00030,compute-europe-west,2974,17,612,1433,2,901
HT4BVJT00003,compute-europe-west,2369,47,825,595,2,893
HT4AVJT02309,HT4AVJT02309,8842,15,114,22,5,8725
HT4APJT01039,compute-europe-west,2272,13,1290,12,3,938
HT4BVJT00003,HT4BVJT00189,10321,18,582,19,8,9687
HT4BVJT00189,compute-europe-west,1650,68,661,5,2,913
HT4CWJT00250,compute-europe-west,2231,9,657,627,1,929
HT4BVJT00003,compute-europe-west,1658,50,588,108,2,907
HT4CWJT00250,compute-europe-west,1921,15,590,327,1,905
HT4BTJT00030,compute-europe-west,2973,46,579,1356,1,907
HT4BVJT00003,compute-europe-west,2240,55,346,934,2,898
HT4APJT01039,compute-europe-west,2427,23,836,515,2,939
