ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4BTJT00030,7175,18,68,9,5,7078
HT4BVJT00189,HT4BVJT00189,7482,57,43,15,4,7361
HT4BTJT00078,HT4BTJT00078,9086,25,22,12,2,9024
HT4BVJT00003,HT4BVJT00003,7224,37,94,13,3,7117
HT4AVJT02309,HT4AVJT02309,9342,51,65,11,2,9248
HT4BVJT00189,HT4BVJT00189,15190,85,38,5248,4,9823
HT4BTJT00127,HT4BTJT00127,9412,43,98,12,3,9254
HT4BTJT00030,HT4BTJT00030,13551,54,89,4234,3,9209
HT4BTJT00030,HT4BTJT00030,22560,58,52,13052,3,9404
HT4BTJT00127,compute-europe-west,1294,35,434,4,1,696
HT4APJT01039,compute-europe-west,1302,56,353,186,1,690
HT4CWJT00250,compute-europe-west,1536,47,780,4,0,685
HT4BVJT00003,compute-europe-west,1101,54,341,3,1,690
HT4APJT01039,compute-europe-west,3127,67,1429,888,1,657
HT4BVJT00003,compute-europe-west,1112,32,385,3,1,675
HT4BVJT00003,compute-europe-west,1421,17,143,577,1,677
HT4BTJT00127,compute-europe-west,2491,58,375,1385,0,660
HT4BVJT00189,compute-europe-west,4437,89,922,2745,0,645
HT4BTJT00078,compute-europe-west,3096,14,457,1948,1,657
HT4BTJT00078,compute-europe-west,3683,10,448,2560,1,658
HT4AVJT02309,compute-europe-west,4399,62,375,3195,0,650
HT4BTJT00127,compute-europe-west,4503,59,586,3127,0,653
HT4BTJT00127,compute-europe-west,4426,67,381,3292,0,664
HT4BTJT00078,compute-europe-west,4710,33,467,3559,1,653
HT4CWJT00250,compute-europe-west,5260,60,779,3759,0,654
HT4AVJT02309,compute-europe-west,6908,29,1749,4462,1,655
HT4CWJT00250,compute-europe-west,5388,51,784,3897,1,647
HT4APJT01039,compute-europe-west,5726,60,521,4502,1,643
HT4BTJT00078,compute-europe-west,6895,41,1035,5056,0,649
HT4APJT01039,compute-europe-west,7030,87,748,5551,1,648
HT4CWJT00250,compute-europe-west,7433,22,556,6161,1,652
