ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4CWJT00250,9152,24,22,12,2,9094
HT4BTJT00030,HT4BTJT00030,9176,22,58,8,2,9087
HT4BTJT00078,HT4BTJT00078,9203,43,23,11,2,9130
HT4APJT01039,HT4APJT01039,9395,21,65,14,2,9293
HT4BVJT00189,HT4BVJT00189,7145,44,23,23,3,7060
HT4BTJT00030,HT4BTJT00030,16317,32,10,7090,2,9185
HT4BTJT00127,HT4BTJT00127,9275,34,24,14,5,9202
HT4CWJT00250,HT4BTJT00127,18398,50,115,8995,1,9227
HT4CWJT00250,HT4BTJT00127,27466,49,58,17846,2,9497
HT4BTJT00127,compute-europe-west,1142,25,248,3,0,602
HT4CWJT00980,compute-europe-west,985,54,326,4,1,590
HT4BTJT00127,compute-europe-west,1003,65,327,10,0,588
HT4AVJT02309,compute-europe-west,1818,23,467,751,0,577
HT4BTJT00127,compute-europe-west,1117,14,324,176,1,599
HT4APJT01039,compute-europe-west,937,12,204,120,1,597
HT4CWJT00980,compute-europe-west,1179,17,262,299,0,588
HT4APJT01039,compute-europe-west,1101,48,211,220,0,575
HT4APJT01039,compute-europe-west,1321,55,166,439,1,592
HT4BTJT00030,compute-europe-west,1518,49,207,686,0,571
HT4BTJT00127,compute-europe-west,3292,50,565,2072,1,605
HT4BTJT00078,compute-europe-west,2012,57,255,1091,1,589
HT4BTJT00078,compute-europe-west,2583,58,295,1638,0,586
HT4BVJT00189,compute-europe-west,3157,52,211,2319,1,572
HT4BTJT00078,compute-europe-west,2220,56,131,1439,0,585
HT4BVJT00189,compute-europe-west,2454,51,172,1644,0,580
HT4CWJT00980,compute-europe-west,2435,51,267,1493,0,599
HT4BTJT00078,compute-europe-west,2834,13,129,2038,0,587
HT4CWJT00980,compute-europe-west,2936,78,137,2113,0,598
HT4AVJT02309,compute-europe-west,925,53,283,2,1,585
HT4AVJT02309,compute-europe-west,935,34,132,186,0,575
HT4AVJT02309,compute-europe-west,876,47,214,3,0,588
HT4APJT01039,compute-europe-west,993,55,297,2,1,579
HT4CWJT00250,compute-europe-west,1256,34,186,458,0,581
HT4CWJT00980,compute-europe-west,2873,67,764,1431,1,603
HT4BTJT00078,compute-europe-west,1508,31,254,546,0,598
HT4CWJT00250,compute-europe-west,869,17,174,2,0,612
HT4APJT01039,compute-europe-west,1803,21,212,997,0,563
HT4APJT01039,compute-europe-west,2723,31,143,1920,1,582
HT4AVJT02309,compute-europe-west,2916,57,469,1709,0,596
HT4CWJT00250,compute-europe-west,3329,38,543,2170,0,571
HT4BTJT00127,compute-europe-west,3187,55,868,1638,0,576
HT4BTJT00127,compute-europe-west,2788,12,362,1818,0,594
HT4BVJT00189,compute-europe-west,1933,13,239,1075,0,600
HT4BVJT00189,compute-europe-west,1698,70,260,769,0,592
HT4BTJT00127,compute-europe-west,1987,21,478,863,1,593
HT4AVJT02309,compute-europe-west,2216,31,180,1347,0,578
HT4BVJT00189,compute-europe-west,2731,15,250,1892,0,575
HT4BTJT00127,compute-europe-west,3105,55,208,2220,1,579
HT4CWJT00250,compute-europe-west,3637,51,215,2768,0,586
HT4CWJT00250,compute-europe-west,4102,17,263,3234,1,582
HT4BVJT00189,compute-europe-west,4353,52,393,3324,0,574
HT4CWJT00980,compute-europe-west,4068,27,393,3037,0,603
HT4APJT01039,compute-europe-west,4388,51,253,3415,0,664
HT4APJT01039,compute-europe-west,5046,49,275,3997,0,648
HT4APJT01039,compute-europe-west,5222,49,88,4386,1,689
HT4BVJT00189,compute-europe-west,5888,65,131,4974,0,618
HT4BTJT00030,compute-europe-west,6194,19,252,5240,0,673
HT4CWJT00980,compute-europe-west,6655,31,211,5719,0,687
HT4CWJT00980,compute-europe-west,7337,49,340,6243,0,699
HT4CWJT00250,compute-europe-west,5614,35,303,4604,0,659
HT4CWJT00980,compute-europe-west,5748,47,260,4805,0,609
HT4AVJT02309,compute-europe-west,6323,69,212,5381,1,588
HT4BTJT00127,compute-europe-west,6705,30,214,5878,0,567
HT4AVJT02309,compute-europe-west,6395,48,127,5642,0,575
HT4BTJT00127,compute-europe-west,7056,67,374,5926,1,589
HT4BVJT00189,compute-europe-west,6815,19,206,6023,0,564
HT4BTJT00030,compute-europe-west,6960,32,207,6135,1,573
HT4APJT01039,compute-europe-west,7155,69,260,6240,0,582
HT4APJT01039,compute-europe-west,7081,17,190,6304,0,567
HT4BTJT00127,compute-europe-west,7546,63,218,6609,0,579
HT4BTJT00127,compute-europe-west,7739,36,213,6923,0,565
HT4BVJT00189,compute-europe-west,8270,38,288,7385,0,563
HT4BVJT00189,compute-europe-west,8158,53,203,7319,0,580
HT4CWJT00250,compute-europe-west,8217,14,215,7406,0,574
HT4APJT01039,compute-europe-west,8483,66,213,7632,0,562
HT4CWJT00980,compute-europe-west,8127,38,274,7243,1,570
HT4CWJT00250,compute-europe-west,8302,55,298,7353,0,589
HT4BVJT00189,compute-europe-west,7652,69,299,6711,1,574
HT4AVJT02309,HT4BVJT00189,9118,11,113,11,2,8978
HT4BTJT00127,compute-europe-west,6123,43,213,5238,0,587
HT4BVJT00189,compute-europe-west,6170,99,242,5261,1,567
HT4BTJT00078,compute-europe-west,5691,62,222,4837,1,574
HT4BTJT00127,compute-europe-west,5657,54,270,4747,0,585
HT4BTJT00030,compute-europe-west,6211,64,254,5277,0,575
HT4APJT01039,compute-europe-west,5591,28,179,4725,0,560
HT4CWJT00980,compute-europe-west,6167,54,259,5268,0,579
HT4BTJT00078,compute-europe-west,6236,51,260,5345,0,583
HT4BTJT00127,compute-europe-west,4382,92,175,3498,0,578
HT4CWJT00980,compute-europe-west,2984,44,262,2025,0,567
HT4BTJT00078,compute-europe-west,1789,56,247,900,0,576
HT4CWJT00980,compute-europe-west,1977,42,223,1076,0,571
HT4BTJT00030,compute-europe-west,2123,54,173,1213,0,581
HT4CWJT00250,compute-europe-west,2050,48,302,1105,6,580
HT4CWJT00250,compute-europe-west,1850,56,214,917,1,569
HT4APJT01039,compute-europe-west,1468,18,291,555,0,593
HT4BTJT00078,compute-europe-west,1809,28,218,991,0,569
HT4CWJT00250,compute-europe-west,2245,51,220,1401,0,568
HT4BTJT00127,compute-europe-west,2668,43,333,1629,0,587
HT4BTJT00078,compute-europe-west,2505,13,170,1745,0,566
HT4BTJT00127,compute-europe-west,2438,25,254,1573,0,584
HT4CWJT00980,compute-europe-west,2709,55,300,1772,1,575
HT4BVJT00189,compute-europe-west,3094,63,167,2286,0,577
HT4AVJT02309,compute-europe-west,3391,48,342,2418,0,580
HT4CWJT00250,compute-europe-west,3810,31,264,2945,1,568
HT4BTJT00078,compute-europe-west,2996,12,211,2199,0,577
HT4AVJT02309,compute-europe-west,3095,17,335,2155,0,584
HT4BVJT00189,compute-europe-west,3323,41,207,2250,1,565
HT4AVJT02309,compute-europe-west,3469,24,172,2698,0,572
HT4BTJT00127,compute-europe-west,2927,58,219,1560,0,576
HT4CWJT00250,compute-europe-west,814,23,214,2,0,566
HT4APJT01039,compute-europe-west,1648,66,290,635,0,568
HT4CWJT00250,compute-europe-west,990,38,126,240,0,580
HT4AVJT02309,compute-europe-west,1185,19,213,354,0,588
HT4CWJT00250,compute-europe-west,947,24,306,2,0,573
HT4BTJT00030,compute-europe-west,899,22,244,2,0,564
HT4APJT01039,compute-europe-west,895,52,250,2,1,586
HT4BTJT00127,compute-europe-west,785,9,204,2,0,558
HT4BTJT00030,compute-europe-west,871,33,207,2,0,565
HT4CWJT00250,compute-europe-west,1166,41,217,230,1,571
HT4CWJT00980,compute-europe-west,1034,33,257,145,0,589
HT4BTJT00030,compute-europe-west,1001,65,254,2,1,582
HT4CWJT00980,compute-europe-west,1106,18,304,174,0,570
HT4CWJT00980,compute-europe-west,1257,56,184,439,1,582
HT4APJT01039,compute-europe-west,1615,20,250,767,1,573
HT4APJT01039,compute-europe-west,1957,39,136,1190,0,582
HT4CWJT00980,compute-europe-west,1872,39,258,919,0,579
HT4BVJT00189,compute-europe-west,1796,42,164,1023,0,562
HT4CWJT00980,compute-europe-west,1897,52,403,865,1,573
HT4CWJT00250,compute-europe-west,1660,35,648,405,0,562
HT4CWJT00250,compute-europe-west,2272,26,880,779,0,586
HT4CWJT00980,compute-europe-west,1468,75,497,306,0,581
HT4BTJT00030,compute-europe-west,1827,42,556,446,0,569
HT4AVJT02309,compute-europe-west,1146,62,262,245,1,570
HT4APJT01039,compute-europe-west,1464,15,210,649,0,588
HT4BTJT00127,compute-europe-west,2299,47,215,1121,0,575
HT4BTJT00127,compute-europe-west,2518,47,298,1574,0,591
HT4AVJT02309,compute-europe-west,3028,40,222,2099,0,576
HT4BTJT00078,compute-europe-west,2732,11,262,1899,0,560
HT4BTJT00078,compute-europe-west,3264,22,243,2339,0,592
HT4APJT01039,compute-europe-west,2754,30,257,1882,0,581
HT4CWJT00250,compute-europe-west,2819,53,336,1832,0,595
HT4AVJT02309,compute-europe-west,2609,24,251,1748,0,582
HT4BTJT00030,compute-europe-west,3833,36,291,2809,1,582
HT4BVJT00189,compute-europe-west,3223,42,251,2260,0,581
HT4BTJT00078,compute-europe-west,4119,40,174,3315,0,582
HT4CWJT00250,compute-europe-west,3565,33,222,2653,1,568
HT4APJT01039,compute-europe-west,3828,38,251,2955,0,578
HT4BTJT00078,compute-europe-west,3567,43,294,2592,0,578
HT4BVJT00189,compute-europe-west,3417,44,246,2452,0,575
HT4BTJT00030,compute-europe-west,2074,16,288,1214,1,559
HT4APJT01039,compute-europe-west,1922,31,302,1015,0,567
HT4BTJT00078,compute-europe-west,902,26,251,2,0,566
HT4BTJT00127,compute-europe-west,990,64,213,51,0,574
HT4BVJT00189,compute-europe-west,1468,35,246,578,0,574
HT4BTJT00030,compute-europe-west,1324,56,297,391,0,567
HT4BTJT00078,compute-europe-west,772,29,177,2,1,564
HT4AVJT02309,compute-europe-west,694,7,128,1,1,556
HT4AVJT02309,compute-europe-west,817,45,170,2,1,566
HT4CWJT00980,compute-europe-west,904,18,263,1,1,559
HT4CWJT00250,compute-europe-west,1134,48,259,241,0,569
HT4BTJT00078,compute-europe-west,1009,31,254,104,0,576
HT4APJT01039,compute-europe-west,1032,69,255,130,0,573
HT4BTJT00078,compute-europe-west,1072,63,221,223,1,561
HT4BVJT00189,compute-europe-west,1056,63,290,100,0,605
HT4BTJT00127,compute-europe-west,1417,53,212,572,0,579
HT4BVJT00189,compute-europe-west,1290,62,171,464,0,575
HT4AVJT02309,compute-europe-west,1485,18,212,624,0,584
HT4BTJT00078,compute-europe-west,1967,84,94,1126,0,562
HT4CWJT00250,compute-europe-west,1570,58,215,724,0,566
HT4CWJT00980,compute-europe-west,2217,24,302,1229,0,571
HT4CWJT00980,compute-europe-west,2691,60,351,1715,1,561
HT4BTJT00078,compute-europe-west,1957,45,263,1052,0,589
HT4BVJT00189,compute-europe-west,1874,71,252,976,0,567
HT4CWJT00980,compute-europe-west,1169,60,266,276,0,563
HT4APJT01039,compute-europe-west,1000,17,253,55,1,566
HT4CWJT00250,compute-europe-west,1002,21,299,2,1,574
HT4BTJT00030,compute-europe-west,1012,12,276,157,0,565
HT4BTJT00078,compute-europe-west,1319,51,221,379,1,556
HT4BTJT00030,compute-europe-west,1298,21,248,408,1,559
HT4CWJT00980,compute-europe-west,850,48,182,2,0,577
HT4BTJT00030,compute-europe-west,825,22,210,1,1,587
HT4BTJT00078,compute-europe-west,867,53,215,1,1,582
HT4AVJT02309,compute-europe-west,1276,28,175,498,0,570
HT4CWJT00250,compute-europe-west,899,27,256,2,0,575
HT4BVJT00189,compute-europe-west,1092,69,130,341,0,553
HT4BTJT00030,compute-europe-west,897,64,251,2,0,577
HT4BVJT00189,compute-europe-west,1151,63,131,378,0,573
HT4AVJT02309,compute-europe-west,1323,22,171,548,1,573
HT4BVJT00189,compute-europe-west,1422,8,236,609,0,563
HT4BTJT00078,compute-europe-west,1520,29,214,642,0,569
HT4CWJT00980,compute-europe-west,1924,57,216,965,1,569
HT4BVJT00189,compute-europe-west,866,34,168,91,0,569
HT4APJT01039,compute-europe-west,924,19,173,65,1,561
HT4CWJT00250,compute-europe-west,779,63,151,2,0,571
HT4AVJT02309,compute-europe-west,882,30,261,2,0,569
HT4BTJT00078,compute-europe-west,1122,27,314,215,0,569
HT4CWJT00250,compute-europe-west,1560,25,299,556,0,579
HT4BTJT00127,compute-europe-west,1718,39,292,772,0,571
HT4BVJT00189,compute-europe-west,2026,32,200,1205,0,578
HT4BTJT00030,compute-europe-west,2266,23,286,1363,0,591
HT4BTJT00030,compute-europe-west,2202,71,133,1416,0,572
HT4BTJT00030,compute-europe-west,2555,62,127,1793,1,565
HT4BTJT00030,compute-europe-west,2323,24,238,1468,0,587
HT4BTJT00030,compute-europe-west,2630,73,126,1797,0,560
HT4APJT01039,compute-europe-west,2988,41,227,2033,0,575
HT4CWJT00980,compute-europe-west,2787,65,218,1929,0,569
HT4BTJT00127,compute-europe-west,851,48,213,2,1,581
HT4BTJT00078,compute-europe-west,1039,13,216,232,0,572
HT4APJT01039,compute-europe-west,1506,38,379,515,0,580
HT4APJT01039,compute-europe-west,2070,47,353,1045,1,565
HT4BVJT00189,compute-europe-west,885,43,252,2,0,584
HT4BTJT00127,compute-europe-west,903,31,249,2,0,567
HT4CWJT00980,compute-europe-west,972,52,257,1,1,572
HT4BTJT00078,compute-europe-west,894,48,256,1,0,585
HT4BTJT00030,compute-europe-west,1271,61,208,418,0,577
HT4BTJT00078,compute-europe-west,1763,13,136,957,1,576
HT4BTJT00030,compute-europe-west,1542,22,247,682,0,561
HT4BTJT00078,compute-europe-west,2087,43,174,1231,0,570
HT4AVJT02309,compute-europe-west,1919,72,295,964,1,568
HT4APJT01039,compute-europe-west,1266,22,297,373,0,570
HT4CWJT00250,compute-europe-west,1863,36,216,939,0,563
