ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,8706,30,37,17,3,8628
HT4BTJT00127,HT4BTJT00127,6926,83,64,9,3,6802
HT4BVJT00003,HT4BVJT00189,9262,55,270,15,4,8916
HT4BVJT00003,HT4BVJT00003,8934,25,57,36,8,8776
HT4BVJT00189,compute-europe-west,1185,110,333,7,1,716
HT4BVJT00003,HT4BVJT00003,12833,12,48,4058,1,8753
HT4BTJT00078,HT4BTJT00078,17058,18,146,8519,3,8415
HT4BTJT00078,HT4BTJT00078,8542,9,54,8,1,8508
HT4BTJT00127,compute-europe-west,1119,46,383,4,1,681
HT4BVJT00003,HT4BVJT00003,20066,6,62,11504,5,8525
HT4BVJT00003,HT4BVJT00003,28143,19,17,19330,4,8771
HT4BTJT00078,HT4BTJT00078,23151,8,65,14615,2,8505
HT4BVJT00189,compute-europe-west,1136,17,405,4,1,696
HT4BTJT00127,compute-europe-west,1770,26,390,675,2,679
HT4BVJT00189,compute-europe-west,1663,32,203,774,2,644
HT4BTJT00078,HT4BTJT00127,9005,6,208,15,4,8724
HT4BVJT00189,compute-europe-west,1133,11,335,141,1,628
HT4BVJT00003,HT4BTJT00127,14820,12,287,5591,4,8916
HT4BVJT00189,compute-europe-west,1112,12,440,3,1,640
HT4BVJT00003,HT4BVJT00189,9127,11,205,17,5,8883
HT4BTJT00078,HT4BVJT00189,15461,10,179,6175,9,9119
HT4BVJT00189,compute-europe-west,1056,10,405,3,1,631
HT4BTJT00127,compute-europe-west,1083,48,392,2,1,583
HT4BTJT00127,compute-europe-west,896,8,251,3,1,579
HT4BTJT00127,compute-europe-west,942,15,252,3,1,576
HT4BVJT00189,compute-europe-west,1110,7,415,3,1,579
HT4BTJT00127,compute-europe-west,1066,8,391,3,1,581
HT4BVJT00189,compute-europe-west,1416,56,291,293,1,585
HT4BTJT00127,compute-europe-west,1177,37,429,3,0,571
HT4BVJT00003,HT4BVJT00003,12787,7,28,6036,9,6715
HT4BVJT00003,HT4BVJT00003,20383,10,49,11582,5,8772
HT4BTJT00127,compute-europe-west,979,19,330,2,1,621
HT4BVJT00003,HT4BTJT00078,8720,6,232,19,4,8452
HT4BVJT00189,compute-europe-west,1101,26,439,3,1,623
HT4BVJT00003,HT4BTJT00127,9136,6,198,12,2,8908
HT4BTJT00127,compute-europe-west,1321,39,413,231,1,629
HT4BTJT00127,compute-europe-west,1082,50,396,3,1,629
HT4BVJT00003,HT4BTJT00127,12020,7,137,3086,3,8708
HT4BVJT00003,HT4BTJT00127,19752,7,160,10842,2,8726
HT4BTJT00078,HT4BTJT00078,9143,6,68,662,3,8437
HT4BTJT00127,compute-europe-west,951,7,315,3,0,618
HT4BVJT00003,HT4BVJT00003,16408,22,85,7451,3,8852
HT4BTJT00078,HT4BTJT00078,15198,20,78,6678,2,8456
HT4BVJT00003,HT4BVJT00003,24505,23,67,15689,2,8761
HT4BTJT00127,compute-europe-west,935,31,282,3,0,615
HT4BTJT00127,compute-europe-west,1066,45,390,3,1,623
HT4BTJT00078,HT4BVJT00189,7229,14,203,8,2,6986
HT4BVJT00003,HT4BVJT00189,15756,11,178,6507,2,8985
HT4BVJT00189,compute-europe-west,1362,8,670,3,1,622
HT4BVJT00003,HT4BVJT00189,22411,22,141,13160,2,9081
HT4BTJT00078,HT4BTJT00078,13929,16,29,5443,11,8430
HT4BVJT00189,compute-europe-west,1267,8,634,3,1,620
HT4BVJT00189,compute-europe-west,1347,17,642,3,1,625
HT4BTJT00078,HT4BTJT00127,14704,25,99,5902,1,8673
HT4BVJT00003,HT4BTJT00127,20745,7,100,12095,3,8531
HT4BTJT00078,HT4BTJT00078,18254,6,70,9685,9,8481
HT4BVJT00189,compute-europe-west,925,9,199,3,0,620
HT4BTJT00127,compute-europe-west,1315,52,540,3,0,621
HT4BVJT00003,HT4BVJT00003,12719,7,67,3870,3,8809
HT4BVJT00003,HT4BVJT00003,20247,7,18,11112,7,9113
HT4BTJT00127,compute-europe-west,1156,8,456,3,0,631
HT4BVJT00003,HT4BTJT00078,12888,8,260,4048,2,8590
HT4BVJT00189,compute-europe-west,2226,14,1580,2,1,621
HT4BVJT00189,compute-europe-west,3031,8,2378,3,1,633
HT4BVJT00189,HT4BVJT00189,9365,17,111,8,3,9266
HT4BTJT00078,HT4BTJT00078,12706,6,19,4171,3,8512
HT4BTJT00078,HT4BTJT00078,20910,11,52,12249,4,8630
HT4BVJT00003,HT4BVJT00003,14774,6,54,5735,10,9009
HT4BTJT00127,compute-europe-west,1143,18,493,3,1,629
HT4BTJT00078,HT4BTJT00127,8804,11,149,8,2,8626
HT4BTJT00078,HT4BTJT00127,15307,8,108,6343,1,8819
HT4BVJT00003,HT4BVJT00003,14091,6,31,5215,3,8837
HT4BVJT00003,HT4BVJT00003,22856,11,75,13843,3,8963
HT4BVJT00189,HT4BVJT00189,9204,24,74,13,3,9118
HT4BTJT00127,compute-europe-west,1012,9,350,3,0,620
HT4BVJT00189,HT4BVJT00189,17817,11,50,8487,3,9283
HT4BTJT00078,HT4BVJT00003,30425,5,191,21339,1,8887
HT4BTJT00127,compute-europe-west,1131,30,393,2,1,626
HT4BTJT00078,HT4BTJT00078,16413,8,42,7336,6,9020
HT4BVJT00189,HT4BTJT00127,12581,8,185,3650,3,8738
HT4BTJT00078,HT4BTJT00127,20349,48,670,10624,3,8941
HT4BTJT00078,HT4BTJT00078,19705,11,12,10969,1,8715
HT4BTJT00127,compute-europe-west,1081,8,437,3,1,630
HT4BTJT00078,HT4BTJT00078,25987,6,56,17328,2,8632
HT4BVJT00003,HT4BVJT00189,15601,7,223,5763,7,9546
HT4BTJT00078,HT4BTJT00127,22377,8,169,13505,2,8727
HT4BTJT00127,compute-europe-west,1115,19,356,3,1,621
HT4BVJT00189,compute-europe-west,1135,7,483,3,0,628
HT4BTJT00127,compute-europe-west,1819,49,912,168,1,634
HT4BTJT00078,HT4BVJT00003,21942,6,162,12707,2,8982
HT4BVJT00003,HT4BVJT00189,16982,16,247,7342,3,9375
HT4BVJT00189,compute-europe-west,1116,8,396,2,1,620
HT4BTJT00127,compute-europe-west,2209,28,1525,3,1,649
HT4BTJT00127,compute-europe-west,2769,23,1567,533,0,641
HT4BTJT00127,compute-europe-west,2307,14,1191,442,1,657
HT4BTJT00078,HT4BVJT00189,23635,11,217,13984,2,9414
HT4BTJT00127,compute-europe-west,2086,48,852,530,1,648
HT4BTJT00127,compute-europe-west,1421,21,729,3,1,642
HT4BVJT00189,compute-europe-west,2508,8,1292,567,2,631
HT4BTJT00078,HT4BTJT00078,18474,7,68,9788,4,8651
HT4BTJT00127,compute-europe-west,1161,9,501,3,0,641
HT4BTJT00078,HT4BVJT00003,17057,6,144,7734,9,9146
HT4BTJT00127,compute-europe-west,2015,18,1255,3,0,629
HT4BTJT00078,HT4BTJT00078,14598,6,53,5745,4,8824
HT4BTJT00127,compute-europe-west,2422,15,1266,505,1,622
HT4BVJT00003,HT4BVJT00003,14263,24,83,7175,3,7007
HT4BVJT00189,compute-europe-west,1054,9,409,3,0,618
HT4BVJT00003,HT4BTJT00127,8899,16,244,10,3,8580
HT4BTJT00078,HT4BVJT00003,19746,5,290,10450,11,9001
HT4BTJT00078,HT4BVJT00003,28459,5,137,19241,2,9102
HT4BVJT00189,compute-europe-west,1079,7,444,3,0,619
HT4BTJT00078,HT4BVJT00003,36652,21,232,27372,3,9042
HT4BVJT00189,compute-europe-west,1920,47,655,592,1,625
HT4BTJT00127,compute-europe-west,1324,15,593,3,0,620
HT4BVJT00189,compute-europe-west,1514,23,856,3,0,628
HT4BTJT00078,HT4BTJT00078,12742,9,55,3972,2,8742
HT4BTJT00078,HT4BTJT00078,21325,16,57,12404,5,8884
HT4BVJT00189,compute-europe-west,2830,30,2103,4,0,622
HT4BTJT00078,HT4BVJT00189,9558,6,170,16,5,9360
HT4BTJT00127,compute-europe-west,1294,33,505,3,1,630
HT4BVJT00189,compute-europe-west,1628,11,593,304,1,624
HT4BTJT00078,HT4BTJT00127,9006,14,181,22,7,8746
HT4BVJT00189,compute-europe-west,1119,11,442,2,1,629
HT4BTJT00078,HT4BVJT00189,10992,10,230,1097,3,9615
HT4BVJT00003,HT4BVJT00189,19664,18,160,9886,3,9599
HT4BTJT00078,HT4BTJT00127,15136,11,127,6017,2,8978
HT4BTJT00078,HT4BTJT00078,17113,21,33,8278,4,8783
HT4BVJT00003,HT4BTJT00078,24384,13,154,15274,3,8859
HT4BVJT00189,compute-europe-west,1056,47,379,3,0,624
HT4BTJT00127,compute-europe-west,1633,19,409,579,1,623
HT4BVJT00189,compute-europe-west,1937,13,152,1134,1,624
HT4BVJT00189,compute-europe-west,2457,22,146,1656,1,625
