ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4BTJT00030,6738,24,35,44,3,6638
HT4BVJT00189,HT4BVJT00189,8822,61,21,17,3,8727
HT4BTJT00078,HT4BTJT00030,13151,27,49,4344,1,8640
HT4BTJT00078,compute-europe-west,819,28,213,3,0,570
HT4BTJT00078,compute-europe-west,951,17,366,3,0,561
HT4BVJT00003,compute-europe-west,1406,61,334,405,1,559
HT4BTJT00078,compute-europe-west,1402,21,788,2,1,574
HT4BTJT00030,HT4BTJT00030,14998,26,12,6464,1,8498
HT4BTJT00030,HT4BTJT00030,23399,20,46,14840,2,8493
HT4BVJT00189,HT4BTJT00030,31640,7,126,22815,3,8652
HT4BTJT00078,compute-europe-west,1629,54,952,3,1,576
HT4BVJT00189,HT4BTJT00030,46893,8,34,38186,2,8627
HT4BTJT00030,HT4BTJT00030,38323,6,44,29702,2,8569
HT4BTJT00030,HT4BTJT00030,54278,14,4,45608,1,8652
HT4BVJT00003,compute-europe-west,868,23,269,3,0,560
HT4BVJT00003,compute-europe-west,723,26,136,2,0,549
HT4BVJT00003,compute-europe-west,898,51,233,2,1,559
HT4BTJT00030,HT4BVJT00189,8847,6,82,23,6,8725
HT4BVJT00003,compute-europe-west,1432,46,818,2,1,561
HT4BTJT00078,compute-europe-west,901,28,284,2,0,553
HT4BTJT00078,compute-europe-west,879,12,280,3,0,564
HT4BVJT00189,HT4BVJT00189,13804,7,44,4910,1,8843
HT4BVJT00189,HT4BVJT00189,21903,5,7,12973,1,8916
HT4BVJT00189,HT4BVJT00189,30383,6,20,21190,2,9169
HT4BVJT00003,compute-europe-west,806,28,214,2,0,549
HT4BVJT00189,HT4BTJT00078,8766,18,103,7,1,8598
HT4BTJT00078,compute-europe-west,1242,11,651,3,1,570
HT4BTJT00078,compute-europe-west,1091,20,240,282,0,547
HT4BVJT00189,HT4BTJT00078,15368,5,27,6741,1,8587
HT4BVJT00003,compute-europe-west,815,27,222,3,0,555
HT4BTJT00078,compute-europe-west,757,7,194,2,1,547
HT4BVJT00003,compute-europe-west,1237,19,135,525,0,559
HT4BVJT00189,HT4BVJT00003,7041,48,52,19,6,6883
HT4BTJT00078,compute-europe-west,1065,6,347,141,0,567
HT4BVJT00189,HT4BVJT00003,14023,7,141,4624,2,9142
HT4BVJT00189,HT4BVJT00003,21825,10,133,12955,5,8720
HT4BTJT00078,compute-europe-west,785,16,196,2,0,563
HT4BTJT00078,compute-europe-west,949,24,164,202,0,555
HT4BVJT00189,HT4BTJT00078,11954,11,151,3357,1,8429
HT4BVJT00003,compute-europe-west,886,6,301,3,0,567
HT4BVJT00189,HT4BTJT00078,17814,6,49,9241,0,8431
HT4BTJT00078,compute-europe-west,912,46,196,2,0,561
HT4BTJT00030,HT4BTJT00078,25943,48,31,17129,1,8726
HT4BTJT00078,compute-europe-west,911,12,277,3,0,568
HT4BTJT00030,HT4BVJT00003,21479,12,139,12559,1,8756
HT4BTJT00078,compute-europe-west,901,6,159,3,0,578
HT4BTJT00030,HT4BVJT00189,13250,9,49,4071,2,9114
HT4BTJT00030,HT4BVJT00189,18710,15,51,9613,2,9020
HT4BTJT00030,HT4BTJT00030,17579,8,44,8925,1,8639
HT4BTJT00078,compute-europe-west,965,48,352,2,0,561
HT4BVJT00189,HT4BVJT00003,17728,22,97,8852,1,8754
HT4BVJT00003,compute-europe-west,914,10,306,3,0,566
HT4BTJT00078,compute-europe-west,1660,6,1026,3,0,559
HT4BTJT00030,HT4BTJT00030,23182,7,46,14435,3,8691
HT4BVJT00003,compute-europe-west,1081,10,506,3,0,560
HT4BVJT00189,HT4BVJT00003,23407,11,51,14554,1,8761
HT4BVJT00003,compute-europe-west,979,16,419,2,0,535
HT4BTJT00078,compute-europe-west,915,17,269,2,1,568
HT4BVJT00003,compute-europe-west,980,31,302,2,0,555
HT4BTJT00078,compute-europe-west,778,24,209,3,0,534
HT4BVJT00189,HT4BTJT00078,8593,21,94,11,1,8466
HT4BVJT00003,compute-europe-west,851,7,298,2,1,541
HT4BVJT00003,compute-europe-west,914,6,297,2,1,549
HT4BTJT00030,HT4BTJT00030,9238,10,46,392,1,8751
HT4BTJT00030,HT4BTJT00030,17749,7,8,8878,1,8856
HT4BTJT00078,compute-europe-west,829,7,234,2,0,555
HT4BTJT00078,compute-europe-west,1332,45,276,439,1,568
HT4BVJT00189,HT4BVJT00003,6876,12,69,7,4,6779
HT4BVJT00003,compute-europe-west,858,36,253,2,0,561
HT4BTJT00030,HT4BTJT00030,23808,6,42,14900,2,8860
HT4BTJT00030,HT4BVJT00003,12905,7,136,3983,1,8767
HT4BVJT00189,HT4BTJT00078,8658,24,82,17,2,8525
HT4BTJT00030,HT4BTJT00078,11509,24,53,3020,1,8382
HT4BVJT00189,HT4BTJT00078,19226,14,154,10678,2,8378
HT4BTJT00078,compute-europe-west,760,6,193,2,0,553
HT4BTJT00030,HT4BVJT00003,13094,7,41,4031,1,8898
HT4BVJT00003,compute-europe-west,727,12,171,2,1,541
HT4BVJT00003,compute-europe-west,736,7,171,2,0,549
HT4BTJT00030,HT4BVJT00003,17809,17,49,8822,1,8817
HT4BTJT00030,HT4BVJT00003,25643,23,54,16657,2,8838
HT4BVJT00189,HT4BVJT00003,33962,23,68,24995,1,8851
HT4BVJT00189,HT4BVJT00003,41912,15,50,32811,2,8920
HT4BVJT00003,compute-europe-west,791,7,212,3,0,567
HT4BTJT00078,compute-europe-west,938,5,195,191,0,541
HT4BTJT00030,HT4BVJT00003,50051,6,15,41002,0,8989
