ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,8997,18,81,25,5,8877
HT4BTJT00078,HT4BTJT00078,8766,12,84,15,4,8685
HT4BVJT00189,HT4BVJT00189,9403,19,132,18,7,9264
HT4BVJT00189,HT4BVJT00189,17730,24,103,7719,4,9925
HT4BTJT00030,HT4BTJT00030,7270,9,184,13,5,7098
HT4BVJT00003,HT4BVJT00003,9485,9,157,191,7,9116
HT4BVJT00189,HT4BVJT00003,27264,15,343,17917,8,9014
HT4BVJT00003,HT4BVJT00003,18136,20,152,9205,6,8789
HT4BTJT00078,HT4BTJT00030,12463,6,361,3080,8,9007
HT4BVJT00189,HT4BVJT00003,35627,7,313,25652,3,9649
HT4BVJT00189,HT4BTJT00078,9397,21,536,24,6,8840
HT4BVJT00003,HT4BTJT00078,26829,25,628,17136,4,9037
HT4BTJT00030,HT4BTJT00078,35597,14,678,26134,5,8800
HT4BTJT00078,HT4BTJT00078,17343,12,201,8409,5,8756
HT4BTJT00030,HT4BTJT00030,18877,8,88,9886,4,8925
HT4BTJT00030,HT4BTJT00030,27661,7,160,17548,11,9947
HT4BVJT00189,HT4BVJT00189,15404,19,111,6100,4,9206
HT4BVJT00003,HT4BVJT00189,24035,20,686,13050,6,10255
HT4BTJT00030,HT4BVJT00189,33627,12,1101,22612,6,9925
HT4BVJT00003,HT4BVJT00189,52275,6,574,42188,12,9524
HT4BVJT00189,HT4BVJT00189,42429,24,117,32285,4,9990
HT4BTJT00030,HT4BTJT00030,27361,14,172,18062,5,9147
HT4BTJT00078,HT4BTJT00078,30006,20,121,20830,4,9061
HT4BTJT00078,HT4BTJT00078,37822,5,95,29190,13,8552
HT4BTJT00078,HT4BTJT00078,46057,6,104,37022,5,8960
HT4BVJT00003,HT4BVJT00003,26965,19,116,17880,6,8976
HT4BTJT00030,HT4BTJT00030,30744,19,102,21333,19,9308
HT4BTJT00078,HT4BTJT00078,52886,7,65,44076,3,8766
HT4BTJT00030,HT4BTJT00078,61239,14,328,52203,6,8704
HT4BTJT00078,HT4BVJT00003,32485,23,331,23136,4,9002
HT4BVJT00189,HT4BVJT00003,39636,21,438,29907,7,9260
HT4BVJT00189,HT4BTJT00030,34659,12,782,24230,7,9589
HT4BTJT00078,HT4BTJT00030,41624,16,615,31946,4,9021
HT4BVJT00189,HT4BTJT00030,59043,20,477,49577,5,9000
HT4BTJT00030,HT4BTJT00030,49981,20,144,40640,4,9200
HT4BTJT00078,HT4BTJT00030,67831,5,729,57869,6,9220
HT4BVJT00189,HT4BTJT00030,77000,8,425,67004,4,9587
HT4BTJT00078,HT4BVJT00003,40709,15,281,31232,4,9033
HT4BVJT00189,HT4BVJT00003,47348,22,502,37570,7,9254
HT4BVJT00189,HT4BVJT00003,55666,13,270,46315,4,9093
HT4BTJT00078,HT4BVJT00003,65006,19,362,54901,6,9656
HT4BVJT00189,HT4BVJT00189,33320,9,101,23501,4,9742
HT4BTJT00078,HT4BVJT00189,41512,10,430,31534,8,9508
HT4BVJT00189,HT4BVJT00189,49537,7,133,39625,5,9797
HT4BVJT00003,HT4BTJT00078,48757,7,285,39550,4,8927
HT4BTJT00078,HT4BTJT00078,57397,12,122,48336,4,8958
HT4BVJT00003,HT4BTJT00078,64799,10,327,55061,5,9382
HT4BTJT00030,HT4BTJT00078,72683,60,275,63236,4,9096
HT4BVJT00189,HT4BVJT00189,52822,9,86,43116,7,9641
HT4BTJT00030,HT4BVJT00189,63134,46,302,52368,14,10434
HT4BTJT00030,HT4BVJT00189,72091,14,332,61891,5,9756
HT4BTJT00030,HT4BVJT00189,81421,7,305,71278,6,9832
HT4BTJT00030,HT4BVJT00189,90721,15,242,80821,4,9651
HT4BVJT00189,HT4BVJT00189,98202,13,103,90173,5,7941
HT4BVJT00003,HT4BVJT00189,107580,10,423,97012,13,10114
HT4BVJT00003,HT4BVJT00003,56105,14,117,46677,5,9328
HT4BVJT00189,HT4BVJT00003,65469,25,270,55762,6,9345
HT4BTJT00030,HT4BVJT00003,74103,10,393,64645,5,9046
HT4BTJT00030,HT4BTJT00030,60009,9,96,50510,4,9435
HT4BVJT00003,HT4BTJT00030,69601,59,607,59290,12,9597
HT4BTJT00078,HT4BTJT00030,77124,11,506,67074,5,9547
HT4BVJT00003,HT4BTJT00030,95054,8,751,84602,5,9712
HT4BTJT00030,HT4BTJT00030,84930,20,146,75422,5,9350
HT4BTJT00078,HT4BTJT00078,66697,69,119,57369,4,9171
HT4BVJT00189,HT4BTJT00078,74413,7,341,65202,3,8888
HT4BVJT00189,HT4BTJT00078,81951,24,288,72567,4,9078
HT4BVJT00189,HT4BVJT00003,68583,44,346,58799,5,9350
HT4BTJT00030,HT4BVJT00003,76588,7,254,67138,4,9185
HT4BTJT00030,HT4BTJT00030,91463,60,88,82043,3,9310
HT4BVJT00189,HT4BTJT00078,82431,25,289,72856,4,9240
HT4BTJT00078,HT4BVJT00003,79877,49,298,70219,4,9320
HT4BTJT00030,HT4BVJT00003,88925,53,310,78700,6,9846
HT4BVJT00003,HT4BVJT00189,116499,34,642,106010,7,9787
HT4BVJT00003,HT4BVJT00189,96919,42,548,86208,8,10099
HT4BVJT00189,HT4BVJT00189,86452,24,249,76115,5,10122
HT4BVJT00189,HT4BVJT00189,106340,63,270,96248,4,9794
HT4BVJT00003,HT4BTJT00078,79475,10,374,69937,4,9158
HT4BTJT00078,HT4BTJT00078,88406,9,126,79047,3,9258
HT4BVJT00003,HT4BTJT00078,95253,10,341,86011,18,8884
HT4BTJT00078,HT4BTJT00030,85089,13,286,74766,4,10019
HT4BTJT00030,HT4BTJT00030,93644,61,120,84132,3,9358
HT4BTJT00030,HT4BVJT00003,83910,10,342,74182,5,9297
HT4BVJT00003,HT4BVJT00003,92268,33,121,82891,3,9258
HT4BTJT00078,HT4BVJT00003,100221,14,431,90536,9,9190
HT4BVJT00189,HT4BVJT00003,108763,54,335,99262,6,9103
HT4BVJT00003,HT4BVJT00003,117181,45,134,107889,6,9131
HT4BTJT00030,HT4BTJT00030,93948,23,109,84252,13,9589
HT4BVJT00003,HT4BTJT00078,91657,7,223,82482,4,8928
HT4BVJT00003,HT4BTJT00078,99449,13,402,90132,4,8929
HT4BTJT00030,HT4BTJT00078,108377,11,429,99018,4,8933
HT4BTJT00078,HT4BTJT00078,116195,9,78,107138,4,8997
HT4BVJT00189,HT4BTJT00030,98926,25,411,89160,3,9374
HT4BVJT00003,HT4BTJT00030,107958,5,604,98095,17,9198
HT4BTJT00078,HT4BTJT00030,117154,6,585,107269,22,9307
HT4BVJT00003,HT4BVJT00189,101941,9,312,91840,5,9754
HT4BTJT00078,HT4BVJT00189,121020,20,459,110769,4,9754
HT4BTJT00078,HT4BVJT00189,111287,14,341,101107,6,9741
HT4BTJT00078,HT4BVJT00189,129604,12,445,119424,6,9753
HT4BTJT00030,HT4BVJT00189,138996,10,703,128478,4,9811
HT4BTJT00078,HT4BVJT00189,148402,6,271,138263,3,9788
HT4BVJT00003,HT4BVJT00189,157251,9,637,146947,6,9821
HT4BTJT00078,HT4BVJT00189,165463,53,338,155261,7,9819
HT4BTJT00030,HT4BVJT00003,109722,15,345,100122,9,9247
HT4BTJT00078,HT4BVJT00003,117985,47,452,108367,5,9149
HT4BTJT00030,HT4BVJT00003,134828,21,377,125269,8,9186
HT4BVJT00003,HT4BVJT00003,125607,18,96,116380,7,9146
HT4BTJT00030,HT4BTJT00078,110397,12,244,101185,4,8942
HT4BTJT00030,HT4BTJT00078,118851,22,495,109565,4,8969
HT4BTJT00078,HT4BTJT00030,107351,8,527,97508,5,9331
HT4BTJT00030,HT4BTJT00030,114223,21,94,104807,4,9331
HT4BVJT00189,HT4BTJT00030,123650,9,388,113866,8,9384
HT4BVJT00189,HT4BTJT00078,118479,21,381,109002,5,8973
HT4BTJT00078,HT4BTJT00078,126979,27,150,117846,4,8966
HT4BTJT00030,HT4BTJT00078,135963,21,383,126548,6,8987
HT4BVJT00003,HT4BTJT00030,126544,57,200,117039,2,9273
HT4BTJT00030,HT4BTJT00030,133941,21,122,124475,5,9344
HT4BTJT00030,HT4BVJT00003,125792,50,261,116253,4,9163
HT4BTJT00030,HT4BVJT00003,134579,13,187,125178,4,9186
HT4BTJT00078,HT4BVJT00003,143031,16,247,133560,5,9193
HT4BVJT00003,HT4BVJT00003,151079,7,87,141719,5,9293
HT4BTJT00030,HT4BTJT00030,139463,15,85,129996,5,9411
HT4BTJT00030,HT4BTJT00078,134564,56,223,125329,3,8955
HT4BVJT00003,HT4BTJT00078,140452,11,326,131013,5,9076
HT4BTJT00078,HT4BVJT00189,142881,16,332,132689,5,9860
HT4BVJT00189,HT4BVJT00189,152282,14,145,142281,6,9868
HT4BTJT00030,HT4BVJT00189,161367,49,270,151111,8,9867
HT4BVJT00189,HT4BTJT00030,147085,46,579,137104,5,9367
HT4BVJT00003,HT4BTJT00030,137660,6,431,127877,6,9396
HT4BVJT00189,HT4BTJT00030,155731,14,345,145925,5,9447
HT4BTJT00078,HT4BTJT00078,137668,6,110,128464,6,9101
HT4BTJT00078,HT4BTJT00078,145851,15,110,136749,4,9007
HT4BVJT00003,HT4BTJT00078,154308,16,348,144772,5,9065
HT4BVJT00003,HT4BTJT00078,163134,29,181,153584,4,9334
HT4BVJT00189,HT4BTJT00078,172011,12,306,162021,5,9600
HT4BVJT00189,HT4BTJT00078,180994,50,255,171254,5,9465
HT4BTJT00078,HT4BTJT00078,189600,11,162,179922,6,9487
HT4BVJT00189,HT4BVJT00003,137234,6,448,127530,16,9242
HT4BVJT00003,HT4BVJT00003,144919,49,110,135526,5,9268
HT4BTJT00030,HT4BVJT00003,154289,17,382,144537,8,9275
HT4BVJT00003,HT4BVJT00003,162686,20,72,153342,3,9271
HT4BTJT00078,HT4BVJT00003,171602,6,322,161858,20,9318
HT4BVJT00003,HT4BVJT00189,151731,13,423,141299,5,9879
HT4BVJT00003,HT4BVJT00189,161152,9,325,150923,4,9917
HT4BTJT00078,HT4BVJT00189,171035,22,447,160652,6,9916
HT4BVJT00003,HT4BTJT00030,146990,8,319,137266,4,9416
HT4BTJT00030,HT4BTJT00030,156055,6,120,146481,5,9480
HT4BTJT00078,HT4BTJT00030,165468,14,411,155570,3,9414
HT4BTJT00078,HT4BTJT00030,174173,7,317,164364,4,9504
HT4BVJT00189,HT4BTJT00030,183133,10,530,173333,5,9414
HT4BVJT00189,HT4BTJT00030,191567,24,478,181458,5,9482
HT4BVJT00189,HT4BTJT00030,210114,29,293,200276,5,9475
HT4BTJT00030,HT4BTJT00030,200557,47,114,190914,4,9515
HT4BVJT00003,HT4BVJT00189,170531,24,357,162156,5,7934
HT4BTJT00030,HT4BVJT00003,165522,15,345,155832,5,9320
HT4BVJT00003,HT4BVJT00003,9083,49,90,15,5,8959
HT4BTJT00078,HT4BVJT00003,17320,18,324,7116,4,9858
HT4BTJT00030,HT4BTJT00030,9731,9,139,18,8,9585
HT4BTJT00030,compute-europe-west,1906,57,553,144,4,1126
HT4BTJT00127,HT4BTJT00127,9288,16,168,14,5,9123
HT4BTJT00030,compute-europe-west,1563,18,568,6,2,963
HT4BVJT00003,compute-europe-west,2479,30,963,547,2,929
HT4BVJT00003,compute-europe-west,3372,24,1000,1440,2,903
HT4BTJT00078,compute-europe-west,3846,29,747,2091,1,884
HT4BTJT00030,compute-europe-west,3969,8,212,2849,1,874
HT4BTJT00030,compute-europe-west,4258,15,422,2728,1,886
HT4BTJT00127,HT4BTJT00127,13021,11,154,3655,13,9219
HT4BVJT00003,compute-europe-west,4814,7,516,3359,3,891
HT4BTJT00078,HT4BTJT00078,9656,9,122,25,7,9528
HT4BTJT00127,HT4BTJT00127,21375,20,95,12230,5,9048
HT4BTJT00127,HT4BTJT00127,29147,18,159,20010,14,8971
HT4BTJT00030,compute-europe-west,1640,9,617,6,2,903
HT4BVJT00003,compute-europe-west,1612,23,670,10,2,902
HT4BTJT00127,HT4BVJT00003,11151,27,548,1109,5,9466
HT4BVJT00003,compute-europe-west,1318,7,341,11,2,889
HT4BTJT00030,compute-europe-west,1820,10,624,272,2,898
HT4BTJT00127,HT4BVJT00003,13519,62,442,5880,5,7133
HT4BTJT00078,compute-europe-west,1702,47,744,10,1,896
HT4BTJT00078,compute-europe-west,1792,10,293,595,1,882
HT4BTJT00078,compute-europe-west,1908,15,512,484,1,894
HT4BVJT00003,compute-europe-west,2249,14,631,708,2,891
HT4BTJT00127,HT4BTJT00078,10557,7,428,17,5,10090
HT4BTJT00078,compute-europe-west,3173,6,2282,4,1,878
HT4BTJT00127,HT4BTJT00078,19248,15,336,8934,4,9894
HT4BTJT00078,compute-europe-west,3070,15,2159,5,1,883
HT4BTJT00030,compute-europe-west,2539,45,1591,5,2,898
HT4BTJT00030,compute-europe-west,7277,8,6336,10,2,902
HT4BTJT00078,compute-europe-west,2903,22,1967,9,1,901
HT4BTJT00127,HT4BVJT00003,7572,42,459,22,8,7026
HT4BTJT00078,compute-europe-west,3540,6,2621,11,1,899
HT4BTJT00030,compute-europe-west,6609,9,4961,677,1,875
HT4BTJT00030,compute-europe-west,4977,17,4022,4,1,879
HT4BTJT00078,compute-europe-west,3451,24,1367,1167,1,876
HT4BTJT00030,compute-europe-west,10259,8,9332,11,2,907
HT4BTJT00078,compute-europe-west,7019,13,6103,11,2,904
HT4BTJT00030,compute-europe-west,10374,26,8511,918,1,886
HT4BTJT00030,HT4BTJT00030,9386,11,94,15,5,9262
HT4BTJT00078,compute-europe-west,8708,8,7794,9,2,892
HT4BTJT00030,HT4BTJT00030,15809,45,91,6135,5,9563
HT4BVJT00003,compute-europe-west,7142,63,6001,214,2,890
HT4BTJT00078,HT4BTJT00078,9687,22,109,19,16,9551
HT4BVJT00003,compute-europe-west,6418,45,5467,5,1,895
HT4BTJT00127,HT4BTJT00127,9185,16,116,24,5,9054
HT4BTJT00127,HT4BTJT00127,16109,22,149,6720,4,9248
HT4BTJT00030,HT4BVJT00003,7747,8,462,22,5,7283
HT4BTJT00127,HT4BTJT00127,24279,8,97,15250,5,8953
HT4BTJT00127,HT4BTJT00127,32745,16,158,23701,17,8884
HT4BTJT00127,HT4BTJT00127,41240,8,102,32322,5,8845
HT4BTJT00030,HT4BVJT00003,24124,60,514,14352,5,9198
HT4BVJT00003,HT4BVJT00003,14628,46,155,5116,7,9302
HT4BVJT00003,HT4BTJT00078,10345,23,547,21,6,9729
HT4BTJT00127,HT4BTJT00030,22292,9,593,11945,15,9650
HT4BTJT00030,HT4BTJT00030,12447,10,91,2890,4,9492
