ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9127,26,19,16,3,9063
HT4BTJT00078,HT4BTJT00078,17313,16,46,8060,2,9191
HT4BTJT00078,HT4BTJT00078,27105,9,49,17077,1,9971
HT4BTJT00078,HT4CWJT00250,9885,9,159,19,2,9695
HT4BTJT00078,compute-europe-west,1037,56,255,3,0,636
HT4BTJT00078,joaquim-MS-7996,1522,23,86,3,1,1411
HT4BTJT00078,compute-europe-west,1366,9,194,558,1,604
HT4BTJT00078,compute-europe-west,1725,12,85,1050,0,575
HT4BTJT00078,compute-europe-west,1699,10,127,915,1,582
HT4BTJT00078,compute-europe-west,2029,7,130,1212,1,584
HT4BTJT00078,compute-europe-west,2531,7,91,1723,0,601
HT4BTJT00078,joaquim-MS-7996,1563,7,78,7,1,1465
HT4BTJT00078,compute-europe-west,2261,7,171,1499,0,582
HT4BTJT00078,joaquim-MS-7996,1484,11,23,6,0,1425
HT4BTJT00078,joaquim-MS-7996,2474,45,45,988,0,1373
HT4BTJT00078,joaquim-MS-7996,1762,5,30,342,1,1382
HT4BTJT00078,joaquim-MS-7996,2127,10,59,672,1,1394
HT4BTJT00078,joaquim-MS-7996,3165,14,47,1667,0,1375
HT4BTJT00078,compute-europe-west,883,9,284,2,1,583
HT4BTJT00078,compute-europe-west,868,9,247,3,0,602
HT4BTJT00078,compute-europe-west,1610,43,138,564,1,585
HT4BTJT00078,compute-europe-west,1458,46,163,659,0,583
HT4BTJT00078,compute-europe-west,826,7,163,85,0,565
HT4BTJT00078,compute-europe-west,1271,6,84,585,0,589
HT4BTJT00078,compute-europe-west,1743,11,173,971,0,581
HT4BTJT00078,compute-europe-west,2038,9,88,1355,0,583
HT4BTJT00078,compute-europe-west,2017,11,180,1232,0,590
HT4BTJT00078,compute-europe-west,1567,19,292,646,1,599
HT4BTJT00078,compute-europe-west,1258,9,219,439,0,589
HT4BTJT00078,compute-europe-west,1783,10,1158,2,1,608
HT4BTJT00078,compute-europe-west,1266,17,590,83,1,574
HT4BTJT00078,compute-europe-west,1787,13,845,339,0,588
HT4BTJT00078,compute-europe-west,2129,19,924,608,1,576
HT4BTJT00078,compute-europe-west,2654,43,1170,867,1,572
HT4BTJT00078,compute-europe-west,3052,53,1146,1277,0,574
HT4BTJT00078,compute-europe-west,4133,43,2037,1473,0,578
HT4BTJT00078,compute-europe-west,3269,13,1428,1126,1,588
HT4BTJT00078,compute-europe-west,3605,7,1287,1695,0,608
HT4BTJT00078,joaquim-MS-7996,1583,12,69,5,1,1391
HT4BTJT00078,joaquim-MS-7996,1427,19,53,1,1,1352
HT4BTJT00078,joaquim-MS-7996,1535,42,48,2,0,1410
HT4BTJT00078,joaquim-MS-7996,2794,60,55,1302,1,1382
HT4BTJT00078,joaquim-MS-7996,4209,39,36,2660,0,1377
HT4BTJT00078,joaquim-MS-7996,3694,6,49,2249,1,1379
HT4BTJT00078,compute-europe-west,816,26,216,3,0,567
HT4BTJT00078,compute-europe-west,959,15,220,137,1,585
HT4BTJT00078,compute-europe-west,1117,23,177,331,1,581
HT4BTJT00078,joaquim-MS-7996,1579,21,66,4,1,1478
HT4BTJT00078,compute-europe-west,1000,47,211,132,1,586
HT4BTJT00078,compute-europe-west,843,78,135,3,0,619
HT4BTJT00078,compute-europe-west,901,15,295,3,0,587
HT4BTJT00078,compute-europe-west,955,35,132,203,0,566
HT4BTJT00078,compute-europe-west,1226,7,168,459,0,591
HT4BTJT00078,compute-europe-west,989,28,173,137,0,597
HT4BTJT00078,compute-europe-west,1221,46,133,470,0,570
HT4BTJT00078,compute-europe-west,939,55,303,3,0,577
HT4BTJT00078,compute-europe-west,1408,17,266,539,0,577
HT4BTJT00078,compute-europe-west,1366,28,141,602,0,588
HT4BTJT00078,compute-europe-west,1884,53,135,1103,0,590
HT4BTJT00078,compute-europe-west,2092,29,95,1376,0,587
HT4BTJT00078,compute-europe-west,833,28,213,3,0,586
HT4BTJT00078,compute-europe-west,944,50,257,46,0,588
HT4BTJT00078,compute-europe-west,1188,36,137,422,1,577
HT4BTJT00078,joaquim-MS-7996,1533,50,77,6,2,1393
HT4BTJT00078,compute-europe-west,856,45,230,2,0,575
HT4BTJT00078,compute-europe-west,1393,66,208,538,0,577
HT4BTJT00078,compute-europe-west,1202,22,220,365,0,588
HT4BTJT00078,compute-europe-west,876,24,266,2,1,584
HT4BTJT00078,compute-europe-west,779,28,134,30,0,585
HT4BTJT00078,compute-europe-west,1221,56,100,386,1,582
