ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,7207,33,43,12,5,7120
HT4BVJT00003,HT4BVJT00003,14882,9,26,5608,2,9248
HT4BVJT00003,HT4BVJT00003,23914,47,64,14264,3,9577
HT4BVJT00003,joaquim-MS-7996,2044,46,292,4,2,1687
HT4BVJT00003,joaquim-MS-7996,3299,17,264,1488,1,1525
HT4BVJT00003,joaquim-MS-7996,4477,10,126,2842,1,1498
HT4BVJT00003,joaquim-MS-7996,5594,7,161,3945,0,1482
HT4BVJT00003,joaquim-MS-7996,6713,18,177,5019,1,1503
HT4BVJT00003,joaquim-MS-7996,7146,10,144,5520,0,1472
HT4BVJT00003,joaquim-MS-7996,8440,8,176,6719,0,1495
HT4BVJT00003,joaquim-MS-7996,9092,71,197,7331,0,1490
HT4BVJT00003,joaquim-MS-7996,9845,27,109,8227,1,1476
HT4BVJT00003,joaquim-MS-7996,10563,25,100,8934,0,1498
HT4BVJT00003,joaquim-MS-7996,11534,48,152,9847,0,1486
HT4BVJT00003,HT4BTJT00030,9103,10,147,39,3,8878
HT4BVJT00003,HT4AVJT02309,9115,58,191,23,3,8838
HT4BVJT00003,HT4AVJT02309,14679,66,366,5527,2,8736
HT4BVJT00003,joaquim-MS-7996,4498,88,153,2765,0,1482
HT4BVJT00003,joaquim-MS-7996,5519,56,138,3708,1,1504
HT4BVJT00003,joaquim-MS-7996,5666,9,233,3935,1,1480
HT4BVJT00003,joaquim-MS-7996,5736,13,171,3944,0,1501
HT4BVJT00003,joaquim-MS-7996,7034,9,167,5318,1,1477
HT4BVJT00003,joaquim-MS-7996,7871,33,275,5957,1,1484
HT4BVJT00003,joaquim-MS-7996,9201,39,244,7435,0,1483
HT4BVJT00003,joaquim-MS-7996,10548,86,134,8737,1,1487
HT4BVJT00003,joaquim-MS-7996,11764,11,103,10147,0,1501
HT4BVJT00003,joaquim-MS-7996,12695,58,139,11013,0,1486
HT4BVJT00003,joaquim-MS-7996,13914,61,82,12270,0,1499
HT4BVJT00003,joaquim-MS-7996,13593,70,142,11873,0,1524
HT4BVJT00003,joaquim-MS-7996,14075,47,158,12298,1,1511
HT4BVJT00003,HT4BVJT00003,9445,65,81,11,3,9310
HT4BVJT00003,HT4BVJT00003,17018,44,69,7486,8,9448
HT4BVJT00003,HT4AVJT02309,9342,40,398,42,5,8857
HT4BVJT00003,HT4AVJT02309,18181,12,431,8834,2,8912
HT4BVJT00003,HT4AVJT02309,24870,9,132,17663,1,7091
HT4BVJT00003,HT4APJT01039,9154,83,272,15,2,8777
HT4BVJT00003,HT4APJT01039,17816,14,380,8485,2,8966
HT4BVJT00003,joaquim-MS-7996,7564,19,177,5873,0,1480
HT4BVJT00003,joaquim-MS-7996,7028,9,116,5355,0,1472
HT4BVJT00003,joaquim-MS-7996,7780,8,258,6002,1,1480
HT4BVJT00003,joaquim-MS-7996,8011,52,174,6278,1,1496
HT4BVJT00003,joaquim-MS-7996,9148,52,127,7466,0,1494
HT4BVJT00003,joaquim-MS-7996,10021,21,208,8251,1,1539
HT4BVJT00003,joaquim-MS-7996,11271,28,96,9655,1,1493
HT4BVJT00003,joaquim-MS-7996,12629,48,105,10993,0,1492
HT4BVJT00003,joaquim-MS-7996,14027,49,103,12352,0,1492
HT4BVJT00003,HT4BVJT00003,13465,15,61,3848,9,9570
HT4BVJT00003,HT4APJT01039,12526,12,277,2987,2,9124
HT4BVJT00003,HT4BTJT00030,9182,20,220,13,3,8908
HT4BVJT00003,joaquim-MS-7996,7220,8,99,5627,0,1485
HT4BVJT00003,joaquim-MS-7996,7745,21,127,6103,0,1487
HT4BVJT00003,joaquim-MS-7996,8776,13,78,7191,0,1487
HT4BVJT00003,joaquim-MS-7996,9973,7,79,8401,1,1479
HT4BVJT00003,joaquim-MS-7996,10350,12,212,8564,0,1491
HT4BVJT00003,joaquim-MS-7996,10292,8,154,8623,1,1499
HT4BVJT00003,HT4BVJT00003,11980,11,49,2185,5,9729
HT4BVJT00003,HT4BVJT00003,19959,16,10,10394,1,9536
HT4BVJT00003,HT4AVJT02309,9495,9,199,32,2,9255
HT4BVJT00003,joaquim-MS-7996,6263,30,193,4564,1,1479
HT4BVJT00003,joaquim-MS-7996,7410,44,58,5823,0,1483
HT4BVJT00003,joaquim-MS-7996,6970,51,147,5204,1,1497
HT4BVJT00003,joaquim-MS-7996,8179,17,114,6563,0,1476
HT4BVJT00003,joaquim-MS-7996,8730,16,159,7000,1,1483
HT4BVJT00003,joaquim-MS-7996,10022,53,73,8417,0,1478
HT4BVJT00003,joaquim-MS-7996,10846,53,168,9069,0,1499
HT4BVJT00003,HT4AVJT02309,12193,13,222,2833,3,9079
HT4BVJT00003,HT4AVJT02309,20674,66,253,11077,2,9209
HT4BVJT00003,HT4AVJT02309,29430,7,180,19897,3,9214
HT4BVJT00003,HT4AVJT02309,38386,48,127,28981,2,9255
HT4BVJT00003,HT4APJT01039,9117,14,237,16,2,8829
HT4BVJT00003,HT4APJT01039,18326,50,311,8759,2,9203
HT4BVJT00003,HT4BTJT00030,9052,60,280,34,9,8708
HT4BVJT00003,joaquim-MS-7996,2848,50,189,1115,0,1492
HT4BVJT00003,joaquim-MS-7996,3711,12,145,2028,1,1510
HT4BVJT00003,joaquim-MS-7996,3928,59,105,2251,0,1501
HT4BVJT00003,joaquim-MS-7996,2295,55,206,437,0,1497
HT4BVJT00003,joaquim-MS-7996,2938,50,176,1223,0,1488
HT4BVJT00003,joaquim-MS-7996,4129,25,117,2493,0,1487
HT4BVJT00003,joaquim-MS-7996,4337,42,170,2604,0,1484
HT4BVJT00003,joaquim-MS-7996,5474,21,87,3878,0,1476
HT4BVJT00003,joaquim-MS-7996,6846,24,152,5182,1,1487
HT4BVJT00003,joaquim-MS-7996,6706,42,184,4989,0,1495
HT4BVJT00003,joaquim-MS-7996,7207,43,125,5508,0,1487
HT4BVJT00003,joaquim-MS-7996,8338,21,70,6750,1,1491
HT4BVJT00003,joaquim-MS-7996,5998,30,104,4375,0,1477
HT4BVJT00003,joaquim-MS-7996,7207,37,222,5389,0,1479
HT4BVJT00003,joaquim-MS-7996,8504,11,197,6784,0,1506
HT4BVJT00003,joaquim-MS-7996,9176,26,184,7466,0,1502
HT4BVJT00003,joaquim-MS-7996,8862,9,162,7209,0,1485
HT4BVJT00003,joaquim-MS-7996,5816,54,195,4024,0,1496
HT4BVJT00003,joaquim-MS-7996,6809,32,111,5177,0,1487
HT4BVJT00003,joaquim-MS-7996,7705,56,210,5962,1,1482
HT4BVJT00003,joaquim-MS-7996,8865,31,118,7206,0,1497
HT4BVJT00003,joaquim-MS-7996,7416,48,147,5742,1,1477
HT4BVJT00003,joaquim-MS-7996,8242,76,285,6398,0,1480
HT4BVJT00003,joaquim-MS-7996,6741,56,278,4909,1,1499
HT4BVJT00003,joaquim-MS-7996,7640,69,279,5738,0,1479
HT4BVJT00003,joaquim-MS-7996,8958,55,249,7180,1,1478
HT4BVJT00003,joaquim-MS-7996,10115,59,72,8494,0,1484
HT4BVJT00003,joaquim-MS-7996,8978,52,128,7311,0,1483
HT4BVJT00003,joaquim-MS-7996,10016,38,133,8367,0,1483
HT4BVJT00003,joaquim-MS-7996,11386,42,183,9693,0,1472
HT4BVJT00003,HT4BVJT00003,9449,16,51,9,2,9375
HT4BVJT00003,HT4BVJT00003,18482,7,12,9029,3,9431
HT4BVJT00003,HT4BVJT00003,28015,44,64,18377,3,9561
HT4BVJT00003,HT4BVJT00003,37497,7,22,27823,6,9646
HT4BVJT00003,HT4BVJT00003,47065,9,55,37416,8,9611
HT4BVJT00003,HT4BVJT00003,56486,66,26,46787,2,9609
HT4BVJT00003,HT4AVJT02309,9197,43,213,9,4,8896
HT4BVJT00003,HT4AVJT02309,18425,23,171,8885,1,9236
HT4BVJT00003,HT4APJT01039,9086,19,289,14,3,8752
HT4BVJT00003,joaquim-MS-7996,6596,12,74,4919,1,1487
HT4BVJT00003,joaquim-MS-7996,7751,7,55,6204,0,1477
HT4BVJT00003,joaquim-MS-7996,9149,9,134,7526,0,1481
HT4BVJT00003,joaquim-MS-7996,10500,60,100,8838,0,1484
HT4BVJT00003,joaquim-MS-7996,10694,12,187,9011,0,1481
HT4BVJT00003,joaquim-MS-7996,5963,10,194,4270,0,1491
HT4BVJT00003,HT4AVJT02309,17579,11,174,8056,2,9228
HT4BVJT00003,joaquim-MS-7996,6801,8,132,5147,0,1494
HT4BVJT00003,joaquim-MS-7996,4475,12,146,2788,1,1510
HT4BVJT00003,joaquim-MS-7996,5524,14,141,3872,0,1492
HT4BVJT00003,joaquim-MS-7996,6207,52,149,4504,0,1481
HT4BVJT00003,joaquim-MS-7996,6727,8,184,5048,0,1486
HT4BVJT00003,joaquim-MS-7996,7893,30,108,6269,0,1482
HT4BVJT00003,joaquim-MS-7996,9141,75,116,7442,0,1514
HT4BVJT00003,joaquim-MS-7996,12142,58,239,10313,1,1510
HT4BVJT00003,joaquim-MS-7996,10513,24,155,8858,0,1486
HT4BVJT00003,joaquim-MS-7996,12946,8,164,11224,1,1511
HT4BVJT00003,joaquim-MS-7996,12382,40,162,10602,0,1476
HT4BVJT00003,joaquim-MS-7996,12681,53,178,10913,1,1496
HT4BVJT00003,HT4AVJT02309,13901,11,205,4390,2,9314
HT4BVJT00003,HT4BTJT00030,7448,16,452,43,6,6960
HT4BVJT00003,HT4BTJT00030,23691,63,342,13882,3,8963
