ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,9082,54,5,5,1,9014
HT4AVJT02309,HT4AVJT02309,16496,9,42,7412,1,9033
HT4AVJT02309,HT4AVJT02309,25405,60,61,15967,2,9319
HT4AVJT02309,joaquim-MS-7996,1412,6,54,5,1,1344
HT4AVJT02309,joaquim-MS-7996,2666,44,58,1216,0,1331
HT4AVJT02309,joaquim-MS-7996,3843,13,51,2432,1,1324
HT4AVJT02309,joaquim-MS-7996,4953,49,35,3570,0,1297
HT4AVJT02309,joaquim-MS-7996,5935,7,12,4526,0,1293
HT4AVJT02309,joaquim-MS-7996,6034,7,31,4672,0,1304
HT4AVJT02309,joaquim-MS-7996,6987,7,49,5630,0,1300
HT4AVJT02309,joaquim-MS-7996,8233,6,42,6802,0,1307
HT4AVJT02309,joaquim-MS-7996,8965,8,66,7380,0,1306
HT4AVJT02309,joaquim-MS-7996,9515,7,40,8137,0,1297
HT4AVJT02309,joaquim-MS-7996,7715,46,27,6335,0,1308
HT4AVJT02309,joaquim-MS-7996,8458,6,44,7085,0,1314
HT4AVJT02309,joaquim-MS-7996,6546,7,29,5104,0,1294
HT4AVJT02309,joaquim-MS-7996,6268,9,51,4894,0,1312
HT4AVJT02309,joaquim-MS-7996,6839,15,42,5444,0,1334
HT4AVJT02309,joaquim-MS-7996,6900,16,55,5535,0,1299
HT4AVJT02309,joaquim-MS-7996,6796,12,56,5430,0,1301
HT4AVJT02309,joaquim-MS-7996,7889,21,36,6531,1,1302
HT4AVJT02309,joaquim-MS-7996,8525,9,51,7119,0,1300
HT4AVJT02309,joaquim-MS-7996,7930,8,23,6524,0,1294
HT4AVJT02309,joaquim-MS-7996,8919,8,21,7580,0,1309
HT4AVJT02309,joaquim-MS-7996,10026,7,36,8673,1,1307
HT4AVJT02309,joaquim-MS-7996,10791,9,30,9453,0,1298
HT4AVJT02309,joaquim-MS-7996,11299,12,31,9927,0,1325
HT4AVJT02309,HT4AVJT02309,9830,14,11,503,4,9297
HT4AVJT02309,HT4AVJT02309,18142,61,50,8385,1,9654
HT4AVJT02309,HT4AVJT02309,25520,7,14,16207,1,9292
HT4AVJT02309,joaquim-MS-7996,5625,25,55,4152,0,1297
HT4AVJT02309,joaquim-MS-7996,6832,41,33,5430,0,1305
HT4AVJT02309,joaquim-MS-7996,7759,45,33,6378,0,1308
HT4AVJT02309,joaquim-MS-7996,9053,49,14,7615,0,1292
HT4AVJT02309,joaquim-MS-7996,9911,20,24,8573,0,1289
HT4AVJT02309,joaquim-MS-7996,11179,7,51,9765,0,1299
HT4AVJT02309,joaquim-MS-7996,11766,11,43,10409,0,1307
HT4AVJT02309,joaquim-MS-7996,11866,39,77,10349,0,1323
HT4AVJT02309,joaquim-MS-7996,12820,9,42,11450,0,1311
HT4AVJT02309,HT4CWJT00250,9316,40,68,18,3,9184
HT4AVJT02309,HT4CWJT00250,15694,7,137,6795,3,8737
HT4AVJT02309,HT4CWJT00250,24376,16,96,15481,3,8775
HT4AVJT02309,HT4CWJT00250,33140,8,48,24160,1,8876
HT4AVJT02309,joaquim-MS-7996,5677,7,43,4309,0,1312
HT4AVJT02309,joaquim-MS-7996,2864,30,30,1451,0,1305
HT4AVJT02309,joaquim-MS-7996,3509,49,44,2113,0,1304
HT4AVJT02309,joaquim-MS-7996,4097,76,34,2674,0,1310
HT4AVJT02309,joaquim-MS-7996,4509,8,40,3150,0,1311
HT4AVJT02309,joaquim-MS-7996,5575,46,35,4182,0,1308
HT4AVJT02309,joaquim-MS-7996,5141,67,28,3730,0,1311
HT4AVJT02309,joaquim-MS-7996,4003,7,74,2608,0,1312
HT4AVJT02309,joaquim-MS-7996,4446,10,40,3101,0,1298
HT4AVJT02309,joaquim-MS-7996,5253,65,49,3811,0,1327
HT4AVJT02309,joaquim-MS-7996,5203,69,26,3764,0,1309
HT4AVJT02309,joaquim-MS-7996,5969,9,32,4615,0,1304
HT4AVJT02309,joaquim-MS-7996,5322,28,63,3920,0,1293
HT4AVJT02309,joaquim-MS-7996,6399,52,32,5001,0,1311
HT4AVJT02309,joaquim-MS-7996,6613,25,41,5219,0,1320
HT4AVJT02309,joaquim-MS-7996,7951,58,45,6487,0,1336
HT4AVJT02309,joaquim-MS-7996,8537,23,38,7165,0,1308
HT4AVJT02309,joaquim-MS-7996,6574,58,40,5093,0,1305
HT4AVJT02309,joaquim-MS-7996,7045,52,58,5526,0,1327
HT4AVJT02309,joaquim-MS-7996,7822,11,67,6437,0,1306
HT4AVJT02309,joaquim-MS-7996,8989,23,113,7534,0,1307
HT4AVJT02309,joaquim-MS-7996,8690,44,76,7205,0,1299
HT4AVJT02309,joaquim-MS-7996,9896,43,54,8490,0,1309
HT4AVJT02309,joaquim-MS-7996,9961,27,62,8545,1,1316
HT4AVJT02309,HT4CWJT00250,9152,25,68,18,2,9031
HT4AVJT02309,HT4CWJT00250,17180,53,58,7941,1,9031
HT4AVJT02309,HT4CWJT00250,25714,26,83,16506,2,9064
HT4AVJT02309,HT4CWJT00250,34656,24,40,25430,1,9162
HT4AVJT02309,HT4CWJT00250,43529,26,191,34178,1,9136
HT4AVJT02309,joaquim-MS-7996,3293,30,37,1906,0,1311
HT4AVJT02309,joaquim-MS-7996,4342,21,40,2930,1,1313
HT4AVJT02309,joaquim-MS-7996,5487,21,31,4125,0,1306
HT4AVJT02309,joaquim-MS-7996,5271,25,59,3870,0,1312
HT4AVJT02309,joaquim-MS-7996,5574,10,50,4104,0,1310
HT4AVJT02309,joaquim-MS-7996,6496,23,38,5101,0,1319
HT4AVJT02309,joaquim-MS-7996,3962,15,73,2569,1,1311
HT4AVJT02309,joaquim-MS-7996,4904,31,48,3518,0,1304
HT4AVJT02309,joaquim-MS-7996,6153,11,33,4721,0,1307
HT4AVJT02309,joaquim-MS-7996,6029,9,59,4652,1,1297
HT4AVJT02309,joaquim-MS-7996,5521,66,55,4053,0,1343
HT4AVJT02309,joaquim-MS-7996,2351,14,44,862,1,1315
HT4AVJT02309,joaquim-MS-7996,3071,35,72,1650,0,1307
HT4AVJT02309,joaquim-MS-7996,3898,27,41,2460,0,1307
HT4AVJT02309,joaquim-MS-7996,3287,27,41,1899,1,1310
HT4AVJT02309,joaquim-MS-7996,2521,29,63,1101,0,1322
HT4AVJT02309,joaquim-MS-7996,3859,40,37,2359,0,1306
HT4AVJT02309,joaquim-MS-7996,2909,63,79,1442,0,1301
HT4AVJT02309,joaquim-MS-7996,4113,34,59,2692,0,1318
HT4AVJT02309,joaquim-MS-7996,5192,20,50,3734,0,1300
HT4AVJT02309,joaquim-MS-7996,3948,7,44,2467,0,1320
HT4AVJT02309,joaquim-MS-7996,4682,52,43,3271,0,1307
HT4AVJT02309,joaquim-MS-7996,2982,50,40,1592,0,1301
HT4AVJT02309,joaquim-MS-7996,3741,34,20,2386,0,1294
HT4AVJT02309,joaquim-MS-7996,5050,66,45,3621,0,1306
HT4AVJT02309,joaquim-MS-7996,6279,14,27,4887,0,1315
HT4AVJT02309,joaquim-MS-7996,7559,9,33,6155,1,1321
HT4AVJT02309,joaquim-MS-7996,8682,58,29,7225,1,1293
HT4AVJT02309,joaquim-MS-7996,8065,62,59,6625,0,1304
HT4AVJT02309,joaquim-MS-7996,9203,57,42,7792,0,1314
HT4AVJT02309,joaquim-MS-7996,9390,23,36,8027,0,1301
HT4AVJT02309,joaquim-MS-7996,10037,24,53,8579,0,1299
HT4AVJT02309,joaquim-MS-7996,11045,11,25,9701,0,1297
HT4AVJT02309,joaquim-MS-7996,12280,23,27,10886,0,1303
HT4AVJT02309,joaquim-MS-7996,13430,22,28,12070,0,1312
HT4AVJT02309,joaquim-MS-7996,13452,37,50,12062,0,1299
HT4AVJT02309,HT4CWJT00250,9492,31,84,156,2,9210
HT4AVJT02309,HT4CWJT00250,18318,60,54,9015,1,9186
HT4AVJT02309,HT4CWJT00250,27228,28,53,17886,1,9263
HT4AVJT02309,joaquim-MS-7996,3975,21,29,2503,0,1311
HT4AVJT02309,joaquim-MS-7996,4903,23,61,3478,0,1315
HT4AVJT02309,joaquim-MS-7996,5380,51,57,3947,0,1311
HT4AVJT02309,joaquim-MS-7996,5649,58,63,4218,0,1308
HT4AVJT02309,joaquim-MS-7996,6715,16,30,5365,0,1306
HT4AVJT02309,joaquim-MS-7996,7800,16,43,6446,1,1296
HT4AVJT02309,joaquim-MS-7996,9141,29,19,7742,0,1307
HT4AVJT02309,joaquim-MS-7996,10290,8,18,8958,0,1302
HT4AVJT02309,joaquim-MS-7996,11044,25,40,9680,0,1297
HT4AVJT02309,joaquim-MS-7996,10171,62,37,8759,0,1310
HT4AVJT02309,joaquim-MS-7996,10424,48,39,8980,0,1298
HT4AVJT02309,HT4AVJT02309,8778,23,20,17,4,8708
HT4AVJT02309,HT4AVJT02309,15805,16,52,6838,3,8866
HT4AVJT02309,HT4AVJT02309,23429,8,14,14260,1,9153
HT4AVJT02309,joaquim-MS-7996,5954,8,52,4584,0,1305
HT4AVJT02309,joaquim-MS-7996,4954,6,51,3575,0,1321
HT4AVJT02309,joaquim-MS-7996,5990,10,32,4631,0,1311
HT4AVJT02309,joaquim-MS-7996,3832,15,48,2455,0,1309
HT4AVJT02309,joaquim-MS-7996,4910,19,56,3525,0,1316
HT4AVJT02309,joaquim-MS-7996,6066,22,38,4621,1,1301
HT4AVJT02309,joaquim-MS-7996,5505,7,71,4113,0,1311
HT4AVJT02309,joaquim-MS-7996,6070,11,24,4727,0,1301
HT4AVJT02309,joaquim-MS-7996,6801,7,54,5433,0,1306
HT4AVJT02309,joaquim-MS-7996,7490,8,51,6131,0,1300
HT4AVJT02309,joaquim-MS-7996,5507,45,28,4136,1,1297
HT4AVJT02309,joaquim-MS-7996,4986,39,71,3576,0,1300
HT4AVJT02309,joaquim-MS-7996,5956,13,43,4600,0,1299
HT4AVJT02309,joaquim-MS-7996,5215,9,35,3864,0,1293
HT4AVJT02309,joaquim-MS-7996,2931,8,28,1573,0,1314
HT4AVJT02309,joaquim-MS-7996,4253,46,23,2814,0,1299
HT4AVJT02309,joaquim-MS-7996,5332,41,18,3961,0,1308
HT4AVJT02309,joaquim-MS-7996,5239,6,69,3845,0,1305
HT4AVJT02309,joaquim-MS-7996,2636,24,58,1230,0,1316
HT4AVJT02309,joaquim-MS-7996,2238,45,22,802,0,1312
HT4AVJT02309,joaquim-MS-7996,1528,21,56,4,0,1442
HT4AVJT02309,joaquim-MS-7996,1459,26,50,4,0,1371
HT4AVJT02309,joaquim-MS-7996,2633,15,43,1268,0,1302
HT4AVJT02309,joaquim-MS-7996,3879,47,49,2399,0,1318
HT4AVJT02309,joaquim-MS-7996,4984,21,52,3597,0,1307
HT4AVJT02309,joaquim-MS-7996,6017,60,30,4634,0,1294
HT4AVJT02309,joaquim-MS-7996,6596,26,53,5211,0,1305
HT4AVJT02309,joaquim-MS-7996,5843,60,37,4443,0,1294
HT4AVJT02309,joaquim-MS-7996,5832,12,56,4444,0,1308
HT4AVJT02309,joaquim-MS-7996,6767,17,56,5380,0,1309
HT4AVJT02309,joaquim-MS-7996,5710,27,46,4314,0,1314
HT4AVJT02309,joaquim-MS-7996,2078,56,62,642,0,1314
HT4BTJT00078,HT4CWJT00250,9025,23,31,24,4,8932
HT4BTJT00078,HT4AVJT02309,9389,56,171,16,4,9052
HT4BTJT00078,HT4AVJT02309,18352,16,41,8914,1,9377
HT4BTJT00078,joaquim-MS-7996,1454,24,57,5,1,1355
HT4BTJT00078,joaquim-MS-7996,2742,10,52,1259,0,1326
HT4BTJT00078,joaquim-MS-7996,3805,31,59,2387,1,1321
HT4BTJT00078,joaquim-MS-7996,4935,30,43,3556,0,1302
HT4BTJT00078,joaquim-MS-7996,5910,47,27,4485,0,1290
HT4BTJT00078,joaquim-MS-7996,6138,12,37,4692,0,1302
HT4BTJT00078,joaquim-MS-7996,6971,31,45,5568,1,1300
HT4BTJT00078,joaquim-MS-7996,8107,13,33,6749,1,1310
HT4BTJT00078,HT4BTJT00078,8962,30,38,25,3,8873
HT4BTJT00078,HT4BTJT00078,17467,8,8,8390,3,9060
HT4BTJT00078,HT4CWJT00250,9061,48,69,21,3,8919
HT4BTJT00078,HT4CWJT00250,17520,10,39,8371,0,9090
HT4BTJT00078,joaquim-MS-7996,1462,12,35,2,0,1361
HT4BTJT00078,joaquim-MS-7996,1490,8,57,4,1,1414
HT4BTJT00078,joaquim-MS-7996,2096,25,42,713,0,1317
HT4BTJT00078,joaquim-MS-7996,2213,18,55,812,1,1312
HT4BTJT00078,joaquim-MS-7996,2022,10,65,637,1,1308
HT4BTJT00078,joaquim-MS-7996,3103,36,22,1733,0,1308
HT4BTJT00078,joaquim-MS-7996,3716,10,60,2345,0,1299
HT4BTJT00078,joaquim-MS-7996,3066,9,17,1731,0,1299
HT4BTJT00078,joaquim-MS-7996,4131,18,16,2772,0,1312
HT4BTJT00078,joaquim-MS-7996,5258,9,43,3895,0,1301
