ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4APJT01039,HT4BVJT00003,9975,10,473,14,5,9452
HT4APJT01039,HT4BVJT00003,17548,10,332,8074,3,9070
HT4APJT01039,HT4BVJT00003,25921,8,658,16114,8,9141
HT4APJT01039,joaquim-MS-7996,2555,10,747,6,3,1847
HT4APJT01039,joaquim-MS-7996,3965,21,429,1738,1,1779
HT4APJT01039,joaquim-MS-7996,5361,23,275,3284,2,1777
HT4APJT01039,joaquim-MS-7996,6831,21,168,4899,2,1736
HT4APJT01039,joaquim-MS-7996,8186,16,221,6207,1,1725
HT4APJT01039,joaquim-MS-7996,8838,10,273,6828,1,1729
HT4APJT01039,joaquim-MS-7996,10338,17,309,8273,1,1747
HT4APJT01039,joaquim-MS-7996,11333,29,231,9334,1,1741
HT4APJT01039,joaquim-MS-7996,12321,15,367,10191,2,1741
HT4APJT01039,joaquim-MS-7996,13457,89,303,11235,2,1817
HT4APJT01039,HT4APJT01039,9461,11,91,21,4,9367
HT4APJT01039,HT4APJT01039,16774,9,98,6358,14,10336
HT4APJT01039,HT4APJT01039,26463,13,138,16020,20,10321
HT4APJT01039,HT4BTJT00030,9571,45,508,31,6,8991
HT4APJT01039,joaquim-MS-7996,6331,15,335,4087,2,1807
HT4APJT01039,joaquim-MS-7996,7299,58,191,5316,1,1725
HT4APJT01039,joaquim-MS-7996,7852,13,474,5537,2,1764
HT4APJT01039,joaquim-MS-7996,7992,52,457,5731,1,1761
HT4APJT01039,joaquim-MS-7996,9597,10,475,7372,2,1737
HT4APJT01039,joaquim-MS-7996,10648,20,390,8495,1,1727
HT4APJT01039,joaquim-MS-7996,12283,15,372,10194,1,1712
HT4APJT01039,joaquim-MS-7996,13823,21,505,11556,1,1736
HT4APJT01039,joaquim-MS-7996,15345,18,322,13278,1,1720
HT4APJT01039,joaquim-MS-7996,16753,13,271,14605,2,1745
HT4APJT01039,joaquim-MS-7996,18002,9,237,16024,2,1730
HT4APJT01039,joaquim-MS-7996,17883,23,260,15871,1,1726
HT4APJT01039,joaquim-MS-7996,18683,19,331,16596,1,1741
HT4APJT01039,joaquim-MS-7996,18982,61,338,16870,1,1720
HT4APJT01039,HT4BVJT00003,9887,8,352,26,7,9488
HT4APJT01039,HT4BVJT00003,17267,47,812,7203,7,9202
HT4APJT01039,HT4BVJT00003,26461,55,751,16377,5,9272
HT4APJT01039,HT4BVJT00003,35687,11,474,25345,5,9879
HT4APJT01039,HT4BTJT00030,9630,20,676,21,6,8940
HT4APJT01039,HT4APJT01039,16099,13,126,5649,10,10339
HT4APJT01039,HT4APJT01039,25869,49,81,15446,3,10327
HT4APJT01039,HT4APJT01039,36389,22,96,25665,7,10628
HT4APJT01039,HT4AVJT02309,10154,21,510,97,4,9524
HT4APJT01039,HT4APJT01039,42695,9,95,32303,6,10321
HT4APJT01039,joaquim-MS-7996,9246,8,276,7233,2,1722
HT4APJT01039,HT4AVJT02309,14415,54,296,5181,4,8871
HT4APJT01039,HT4AVJT02309,23111,16,383,13729,7,9018
HT4APJT01039,HT4AVJT02309,31571,54,357,22003,4,9160
HT4APJT01039,HT4AVJT02309,40648,53,479,30862,4,9191
HT4APJT01039,HT4AVJT02309,49723,21,691,39764,5,9230
HT4APJT01039,HT4AVJT02309,59045,75,621,48899,9,9466
HT4APJT01039,joaquim-MS-7996,5447,10,355,3305,1,1768
HT4APJT01039,joaquim-MS-7996,3148,8,214,1157,1,1751
HT4APJT01039,joaquim-MS-7996,4187,10,306,2108,2,1749
HT4APJT01039,joaquim-MS-7996,5300,14,238,3288,2,1721
HT4APJT01039,joaquim-MS-7996,6159,26,322,4042,1,1733
HT4APJT01039,joaquim-MS-7996,7303,21,205,5306,1,1759
HT4APJT01039,joaquim-MS-7996,8777,23,191,6799,1,1737
HT4APJT01039,joaquim-MS-7996,9339,39,354,7172,2,1737
HT4APJT01039,joaquim-MS-7996,9470,13,128,7605,1,1714
HT4APJT01039,joaquim-MS-7996,9772,13,249,7779,1,1728
HT4APJT01039,joaquim-MS-7996,9951,13,232,7969,1,1728
HT4APJT01039,joaquim-MS-7996,10751,10,338,8642,2,1756
HT4APJT01039,joaquim-MS-7996,11823,13,237,9829,1,1740
HT4APJT01039,joaquim-MS-7996,10718,23,237,8723,1,1734
HT4APJT01039,HT4BTJT00030,9598,41,548,29,6,8982
HT4APJT01039,HT4BVJT00003,13460,46,351,3476,4,9502
HT4APJT01039,HT4BVJT00003,21594,10,399,11639,5,9529
HT4APJT01039,HT4BVJT00003,30120,22,589,19984,6,9533
HT4APJT01039,HT4BVJT00003,39677,35,631,29433,7,9583
HT4APJT01039,HT4BVJT00003,48877,35,322,38678,6,9805
HT4APJT01039,joaquim-MS-7996,7016,8,159,5127,0,1720
HT4APJT01039,joaquim-MS-7996,8070,50,625,5577,2,1732
HT4APJT01039,joaquim-MS-7996,9193,10,458,7005,1,1728
HT4APJT01039,joaquim-MS-7996,10939,36,498,8452,2,1747
HT4APJT01039,joaquim-MS-7996,10947,40,319,8752,1,1733
HT4APJT01039,joaquim-MS-7996,11093,9,414,8944,1,1738
HT4APJT01039,joaquim-MS-7996,12847,22,612,10418,1,1752
HT4APJT01039,HT4BTJT00030,9625,16,287,17,5,9292
HT4APJT01039,HT4BTJT00030,14347,62,626,4401,6,9195
HT4APJT01039,joaquim-MS-7996,8085,21,222,6084,1,1744
HT4APJT01039,joaquim-MS-7996,8491,10,338,6398,2,1741
