ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9191,32,19,12,2,9134
HT4BTJT00078,HT4BTJT00078,16287,59,55,7132,4,9041
HT4BTJT00078,HT4BTJT00078,24959,62,53,15652,4,9190
HT4BTJT00078,joaquim-MS-7996,1501,14,54,2,1,1388
HT4BTJT00078,joaquim-MS-7996,2606,9,45,1183,0,1366
HT4BTJT00078,joaquim-MS-7996,3779,16,53,2331,1,1373
HT4BTJT00078,joaquim-MS-7996,4972,13,38,3521,0,1347
HT4BTJT00078,joaquim-MS-7996,5794,11,18,4416,0,1343
HT4BTJT00078,joaquim-MS-7996,5815,63,38,4364,1,1346
HT4BTJT00078,joaquim-MS-7996,6765,10,41,5261,0,1352
HT4BTJT00078,joaquim-MS-7996,7810,20,32,6397,0,1359
HT4BTJT00078,joaquim-MS-7996,8320,57,68,6848,1,1347
HT4BTJT00078,joaquim-MS-7996,8864,18,39,7453,0,1350
HT4BTJT00078,joaquim-MS-7996,6514,37,22,5087,0,1362
HT4BTJT00078,joaquim-MS-7996,7090,14,33,5675,0,1364
HT4BTJT00078,joaquim-MS-7996,4442,39,34,3005,1,1358
HT4BTJT00078,joaquim-MS-7996,3818,12,73,2387,0,1366
HT4BTJT00078,joaquim-MS-7996,4334,14,41,2915,0,1359
HT4BTJT00078,joaquim-MS-7996,4225,41,161,2612,0,1345
HT4BTJT00078,joaquim-MS-7996,3670,11,52,2245,0,1362
HT4BTJT00078,joaquim-MS-7996,4763,48,27,3330,0,1349
HT4BTJT00078,joaquim-MS-7996,5354,71,52,3752,0,1351
HT4BTJT00078,joaquim-MS-7996,4173,27,26,2750,0,1360
HT4BTJT00078,joaquim-MS-7996,5225,39,25,3792,0,1368
HT4BTJT00078,joaquim-MS-7996,6368,27,41,4925,0,1354
HT4BTJT00078,joaquim-MS-7996,7212,26,28,5698,0,1363
HT4BTJT00078,joaquim-MS-7996,7319,32,39,5865,0,1382
HT4BTJT00078,joaquim-MS-7996,6500,29,154,4962,0,1361
HT4BTJT00078,joaquim-MS-7996,6057,22,30,4631,0,1368
HT4BTJT00078,joaquim-MS-7996,5098,19,62,3629,0,1383
HT4BTJT00078,joaquim-MS-7996,4178,25,57,2734,0,1359
HT4BTJT00078,joaquim-MS-7996,5544,61,27,4028,0,1349
HT4BTJT00078,joaquim-MS-7996,6250,69,49,4788,0,1345
HT4BTJT00078,joaquim-MS-7996,7539,64,24,6055,0,1351
HT4BTJT00078,joaquim-MS-7996,8504,32,32,7093,0,1344
HT4BTJT00078,joaquim-MS-7996,9656,32,59,8208,0,1358
HT4BTJT00078,joaquim-MS-7996,10281,28,41,8771,0,1350
HT4BTJT00078,HT4BTJT00078,8915,42,68,23,1,8790
HT4BTJT00078,HT4BTJT00078,17395,9,47,8405,2,8932
HT4BTJT00078,HT4BTJT00078,22735,20,9,13562,1,9147
HT4BTJT00078,joaquim-MS-7996,2892,11,29,1499,0,1347
HT4BTJT00078,joaquim-MS-7996,4201,29,44,2719,0,1360
HT4BTJT00078,joaquim-MS-7996,5418,45,30,3962,0,1347
HT4BTJT00078,joaquim-MS-7996,3253,29,64,1698,0,1352
HT4BTJT00078,joaquim-MS-7996,1480,13,31,2,0,1371
HT4BTJT00078,joaquim-MS-7996,1919,11,37,497,1,1363
HT4BTJT00078,joaquim-MS-7996,2499,12,34,1085,0,1365
HT4BTJT00078,joaquim-MS-7996,2668,60,49,1207,0,1354
HT4BTJT00078,joaquim-MS-7996,3716,65,38,2248,0,1364
HT4BTJT00078,joaquim-MS-7996,2860,11,25,1449,0,1353
HT4BTJT00078,joaquim-MS-7996,1572,47,59,4,1,1460
HT4BTJT00078,joaquim-MS-7996,1937,55,27,396,0,1345
HT4BTJT00078,joaquim-MS-7996,2581,23,40,1127,0,1380
HT4BTJT00078,joaquim-MS-7996,2120,11,26,727,0,1352
HT4BTJT00078,joaquim-MS-7996,2866,28,30,1443,0,1358
HT4BTJT00078,joaquim-MS-7996,1814,26,77,362,1,1343
HT4BTJT00078,joaquim-MS-7996,2861,19,27,1460,0,1346
HT4BTJT00078,joaquim-MS-7996,2898,18,39,1482,0,1355
HT4BTJT00078,joaquim-MS-7996,4213,10,36,2764,0,1353
HT4BTJT00078,joaquim-MS-7996,4699,58,32,3242,0,1357
HT4BTJT00078,joaquim-MS-7996,1763,33,38,333,0,1357
HT4BTJT00078,joaquim-MS-7996,2200,30,53,729,0,1385
HT4BTJT00078,joaquim-MS-7996,2842,90,57,1311,0,1377
HT4BTJT00078,joaquim-MS-7996,4036,16,58,2584,0,1373
HT4BTJT00078,joaquim-MS-7996,4703,70,73,3207,0,1353
HT4BTJT00078,joaquim-MS-7996,3329,49,49,1867,0,1363
HT4BTJT00078,joaquim-MS-7996,4466,20,69,3012,0,1355
HT4BTJT00078,joaquim-MS-7996,1466,21,42,3,1,1393
HT4BTJT00078,joaquim-MS-7996,1590,65,73,64,0,1359
HT4BTJT00078,joaquim-MS-7996,2315,62,42,843,0,1357
HT4BTJT00078,joaquim-MS-7996,3433,70,33,1980,0,1347
HT4BTJT00078,joaquim-MS-7996,4490,29,30,3058,0,1372
HT4BTJT00078,joaquim-MS-7996,4053,55,39,2595,0,1355
HT4BTJT00078,joaquim-MS-7996,5115,16,42,3689,0,1362
HT4BTJT00078,joaquim-MS-7996,6284,33,46,4861,1,1345
HT4BTJT00078,joaquim-MS-7996,5781,29,53,4286,0,1358
HT4BTJT00078,joaquim-MS-7996,5694,29,57,4246,0,1352
HT4BTJT00078,joaquim-MS-7996,6807,15,29,5292,0,1362
HT4BTJT00078,joaquim-MS-7996,3185,34,34,1755,0,1362
HT4BTJT00078,joaquim-MS-7996,4138,31,51,2689,0,1355
HT4BTJT00078,joaquim-MS-7996,5399,48,40,3927,0,1357
HT4BTJT00078,joaquim-MS-7996,5007,12,46,3588,1,1346
HT4BTJT00078,joaquim-MS-7996,4141,29,43,2679,0,1375
HT4BTJT00078,joaquim-MS-7996,1442,29,44,1,0,1365
HT4BTJT00078,joaquim-MS-7996,2233,37,49,793,0,1352
HT4BTJT00078,joaquim-MS-7996,2912,39,43,1448,0,1350
HT4BTJT00078,joaquim-MS-7996,1944,54,38,483,0,1358
HT4BTJT00078,joaquim-MS-7996,1481,33,57,4,1,1380
HT4BTJT00078,joaquim-MS-7996,2744,11,18,1340,1,1345
HT4BTJT00078,joaquim-MS-7996,3065,58,134,1416,0,1352
HT4BTJT00078,joaquim-MS-7996,1604,48,85,5,1,1468
