ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00030,HT4BTJT00030,8901,36,39,26,2,8801
HT4BVJT00189,HT4BVJT00189,9270,20,24,16,3,9217
HT4BTJT00078,HT4BTJT00030,15540,63,73,6620,2,8772
HT4BTJT00078,joaquim-MS-7996,1734,33,64,7,0,1635
HT4BTJT00078,joaquim-MS-7996,2035,30,87,423,0,1482
HT4BVJT00003,joaquim-MS-7996,3489,14,102,1854,1,1484
HT4BTJT00078,joaquim-MS-7996,4467,61,60,2838,0,1501
HT4BTJT00030,joaquim-MS-7996,3036,8,54,1481,0,1487
HT4BTJT00030,joaquim-MS-7996,4508,11,35,2919,1,1481
HT4BTJT00078,joaquim-MS-7996,5830,13,90,4230,1,1471
HT4BVJT00189,joaquim-MS-7996,6970,11,38,5349,0,1454
HT4BTJT00030,joaquim-MS-7996,6659,60,38,5082,0,1475
HT4BVJT00189,joaquim-MS-7996,7750,84,45,6129,0,1484
HT4BTJT00030,joaquim-MS-7996,8386,8,17,6812,1,1467
HT4BVJT00003,HT4BVJT00003,9386,30,57,12,2,9289
HT4BVJT00003,HT4BTJT00030,10027,6,106,1286,2,8599
HT4BVJT00003,joaquim-MS-7996,4487,94,50,2846,0,1491
HT4BTJT00030,joaquim-MS-7996,2347,14,40,735,0,1471
HT4BVJT00003,joaquim-MS-7996,3091,14,52,1567,0,1458
HT4BTJT00078,joaquim-MS-7996,3431,24,33,1863,1,1461
HT4BTJT00078,joaquim-MS-7996,3914,34,43,2337,0,1502
HT4BVJT00189,joaquim-MS-7996,4124,61,55,2544,0,1461
HT4BVJT00189,joaquim-MS-7996,4843,38,59,3251,0,1489
HT4BTJT00078,joaquim-MS-7996,5735,38,69,4156,0,1470
HT4BVJT00003,joaquim-MS-7996,7105,16,41,5584,0,1464
HT4BVJT00189,joaquim-MS-7996,8548,16,66,6978,0,1474
HT4BTJT00078,joaquim-MS-7996,9452,31,38,7917,0,1469
HT4BVJT00189,joaquim-MS-7996,10718,60,56,9120,0,1476
HT4BVJT00189,HT4BTJT00030,8831,31,91,20,2,8685
HT4BVJT00003,joaquim-MS-7996,7110,50,36,5478,1,1463
HT4BTJT00078,joaquim-MS-7996,8057,33,28,6529,0,1456
HT4BVJT00003,joaquim-MS-7996,9026,36,20,7498,1,1467
HT4BTJT00078,joaquim-MS-7996,10168,38,68,8580,0,1473
HT4BVJT00189,joaquim-MS-7996,11001,39,45,9450,1,1461
HT4BTJT00078,joaquim-MS-7996,10611,33,46,9066,0,1465
HT4BVJT00189,joaquim-MS-7996,11920,21,48,10388,1,1459
HT4BTJT00078,joaquim-MS-7996,13299,19,45,11730,0,1474
HT4BVJT00189,joaquim-MS-7996,14163,90,51,12527,0,1473
HT4BVJT00189,HT4BTJT00030,9029,28,234,24,10,8740
HT4BVJT00003,HT4BTJT00030,17068,29,113,8233,4,8669
HT4BTJT00078,HT4BVJT00003,8966,35,173,19,4,8659
HT4BVJT00189,HT4BVJT00003,17087,23,77,8401,2,8570
HT4BTJT00030,HT4BVJT00003,24520,54,44,15865,1,8542
HT4BTJT00078,HT4BVJT00003,32518,32,96,23836,1,8536
HT4BTJT00030,HT4BVJT00189,8996,14,64,22,5,8824
HT4BTJT00078,joaquim-MS-7996,3614,46,37,1970,0,1472
HT4BTJT00030,joaquim-MS-7996,1563,15,50,2,0,1454
HT4BTJT00030,joaquim-MS-7996,1603,7,75,5,0,1516
HT4BTJT00078,joaquim-MS-7996,2526,32,69,946,0,1475
HT4BTJT00030,joaquim-MS-7996,3350,11,29,1842,0,1463
HT4BTJT00078,joaquim-MS-7996,4071,24,56,2482,0,1479
HT4BVJT00003,joaquim-MS-7996,5352,7,48,3827,1,1468
HT4BVJT00189,joaquim-MS-7996,6769,76,33,5196,0,1452
HT4BTJT00030,joaquim-MS-7996,6226,13,31,4674,0,1488
HT4BVJT00003,joaquim-MS-7996,7647,8,60,6086,1,1490
HT4BVJT00003,joaquim-MS-7996,8304,25,25,6759,0,1454
HT4BVJT00189,joaquim-MS-7996,9689,67,37,8118,0,1458
HT4BTJT00078,joaquim-MS-7996,9116,49,47,7544,0,1478
HT4BVJT00003,joaquim-MS-7996,5988,51,38,4433,0,1459
HT4BTJT00078,joaquim-MS-7996,3002,25,28,1462,0,1447
HT4BVJT00189,joaquim-MS-7996,1562,12,28,1,0,1510
HT4BVJT00003,joaquim-MS-7996,1791,27,65,20,1,1660
HT4BVJT00003,joaquim-MS-7996,2642,60,103,968,0,1449
HT4BTJT00078,joaquim-MS-7996,4071,38,104,2406,0,1511
HT4BTJT00078,joaquim-MS-7996,5501,56,122,3846,0,1476
HT4BTJT00030,joaquim-MS-7996,6130,29,58,4571,1,1453
HT4BTJT00030,joaquim-MS-7996,7541,61,50,5870,0,1461
HT4BVJT00003,joaquim-MS-7996,6833,14,47,5238,0,1471
HT4BVJT00189,joaquim-MS-7996,8033,15,57,6454,1,1469
HT4BTJT00030,joaquim-MS-7996,9235,29,37,7679,0,1490
HT4BTJT00030,HT4BTJT00030,8853,63,62,22,4,8708
HT4BVJT00189,HT4BVJT00003,8794,55,81,14,2,8628
HT4BTJT00030,joaquim-MS-7996,2350,14,38,790,0,1457
HT4BVJT00189,joaquim-MS-7996,3139,32,63,1555,1,1478
HT4BTJT00078,joaquim-MS-7996,4508,60,48,2937,0,1460
HT4BTJT00030,joaquim-MS-7996,4370,42,30,2796,0,1496
HT4BVJT00003,joaquim-MS-7996,5285,5,22,3737,0,1514
HT4BVJT00003,joaquim-MS-7996,6308,9,26,4693,0,1464
HT4BTJT00030,joaquim-MS-7996,4790,62,52,3129,0,1484
HT4BTJT00030,joaquim-MS-7996,5211,33,40,3640,0,1463
HT4BVJT00189,joaquim-MS-7996,6224,53,75,4525,0,1465
HT4BTJT00078,joaquim-MS-7996,7222,16,64,5674,0,1469
HT4BVJT00189,joaquim-MS-7996,8043,63,43,6461,0,1467
HT4BVJT00003,joaquim-MS-7996,9190,23,49,7659,0,1464
