ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,joaquim-MS-7996,1562,51,80,2,1,1420
HT4BTJT00127,joaquim-MS-7996,1802,48,211,3,1,1424
HT4AVJT02309,joaquim-MS-7996,2799,52,156,1196,1,1390
HT4APJT01039,joaquim-MS-7996,3410,46,172,1749,1,1377
HT4APJT01039,joaquim-MS-7996,3096,8,183,1526,0,1372
HT4BVJT00003,joaquim-MS-7996,4014,54,161,2405,1,1389
HT4CWJT00250,joaquim-MS-7996,4351,51,113,2795,0,1389
HT4BTJT00127,joaquim-MS-7996,4287,15,99,2688,0,1386
HT4BVJT00003,joaquim-MS-7996,5285,29,319,3519,1,1386
HT4BTJT00127,joaquim-MS-7996,5918,21,131,4392,1,1367
HT4BTJT00127,joaquim-MS-7996,7034,16,124,5410,0,1372
HT4BTJT00078,joaquim-MS-7996,9516,16,211,7849,0,1369
HT4APJT01039,joaquim-MS-7996,8096,18,168,6495,0,1367
HT4BTJT00078,joaquim-MS-7996,10727,23,196,9143,0,1367
HT4AVJT02309,joaquim-MS-7996,12018,21,128,9978,0,1371
HT4APJT01039,joaquim-MS-7996,12370,15,161,10753,0,1372
HT4APJT01039,joaquim-MS-7996,12850,16,174,11282,0,1383
HT4CWJT00250,joaquim-MS-7996,13946,16,197,12369,1,1368
HT4BTJT00078,joaquim-MS-7996,15435,20,218,13683,0,1375
HT4AVJT02309,joaquim-MS-7996,16395,27,135,14830,1,1394
HT4CWJT00250,joaquim-MS-7996,17399,10,138,15838,1,1409
HT4BVJT00003,HT4BVJT00003,9137,20,31,16,2,9033
HT4BTJT00078,HT4BTJT00078,9066,18,113,11,3,8958
HT4BVJT00003,HT4BVJT00003,17722,50,67,8230,2,9379
HT4CWJT00250,HT4CWJT00250,9136,17,82,19,2,9005
HT4APJT01039,HT4APJT01039,9047,13,74,15,2,8945
HT4CWJT00250,HT4CWJT00250,14873,11,63,4810,2,10023
HT4APJT01039,HT4APJT01039,15892,46,74,5860,4,9946
HT4BTJT00127,HT4BTJT00127,7217,81,99,15,3,7055
HT4BVJT00003,HT4BTJT00127,25101,10,733,14463,4,9882
HT4BTJT00078,HT4BTJT00078,9865,44,14,8,3,9800
HT4BTJT00127,HT4BTJT00127,14684,16,14,5242,5,9408
HT4BTJT00127,HT4BTJT00127,33886,20,66,24180,4,9658
HT4CWJT00250,joaquim-MS-7996,8528,9,117,7002,0,1394
HT4AVJT02309,joaquim-MS-7996,6630,19,143,5088,1,1361
HT4AVJT02309,joaquim-MS-7996,7098,17,165,5526,0,1371
HT4AVJT02309,joaquim-MS-7996,7814,15,186,6229,0,1380
HT4CWJT00250,joaquim-MS-7996,8057,13,183,6484,1,1379
HT4BVJT00003,joaquim-MS-7996,9008,7,121,7512,1,1370
HT4AVJT02309,joaquim-MS-7996,10182,18,143,8658,0,1370
HT4CWJT00250,joaquim-MS-7996,11316,11,156,9722,1,1384
HT4BTJT00127,joaquim-MS-7996,12650,66,185,11032,0,1366
HT4BTJT00127,joaquim-MS-7996,13901,27,185,12278,1,1380
HT4BTJT00127,joaquim-MS-7996,14806,65,80,13281,1,1377
HT4BVJT00003,joaquim-MS-7996,15831,19,106,14326,1,1383
HT4BVJT00003,joaquim-MS-7996,17106,18,126,15574,0,1383
HT4AVJT02309,joaquim-MS-7996,18022,37,151,16461,0,1375
HT4BTJT00127,HT4CWJT00250,9718,12,114,10,3,9473
HT4APJT01039,HT4APJT01039,11196,8,34,1524,5,9624
HT4BVJT00003,HT4BVJT00003,9331,14,72,24,2,9253
HT4APJT01039,HT4APJT01039,19998,18,62,10235,2,9723
HT4BTJT00127,HT4APJT01039,29397,14,336,19302,3,9744
HT4AVJT02309,HT4AVJT02309,8890,25,38,28,4,8804
HT4APJT01039,HT4CWJT00250,33877,15,376,23973,3,9484
HT4BTJT00127,HT4CWJT00250,24209,16,216,14467,6,9504
HT4CWJT00250,HT4CWJT00250,14644,36,95,5256,2,9308
HT4AVJT02309,HT4AVJT02309,16876,10,87,7740,2,9075
HT4APJT01039,HT4CWJT00250,42971,65,207,33003,3,9689
HT4BVJT00003,HT4BVJT00003,12740,17,40,3193,5,9490
HT4AVJT02309,HT4BTJT00078,9343,8,259,34,6,9045
HT4APJT01039,joaquim-MS-7996,7022,7,135,5511,0,1369
HT4APJT01039,joaquim-MS-7996,7734,8,111,6146,0,1368
HT4BTJT00127,joaquim-MS-7996,9812,15,166,8254,1,1374
HT4AVJT02309,joaquim-MS-7996,8438,10,169,6883,1,1370
HT4BTJT00078,joaquim-MS-7996,11054,23,191,9443,0,1389
HT4APJT01039,joaquim-MS-7996,10744,51,147,9147,1,1377
HT4APJT01039,joaquim-MS-7996,11816,25,130,10252,1,1411
HT4BVJT00003,joaquim-MS-7996,13217,10,190,11632,0,1384
HT4BTJT00078,joaquim-MS-7996,14229,18,113,12711,1,1381
HT4AVJT02309,HT4BVJT00003,13924,13,192,4115,10,9487
HT4AVJT02309,HT4AVJT02309,12357,7,62,3457,4,8865
HT4BVJT00003,HT4BTJT00127,13863,10,202,4137,3,9494
HT4APJT01039,joaquim-MS-7996,9617,14,102,8036,0,1367
HT4BTJT00078,HT4BTJT00078,9338,22,72,21,3,9257
HT4BVJT00003,HT4BTJT00127,21514,12,256,11530,2,9745
HT4CWJT00250,joaquim-MS-7996,9747,11,108,8256,0,1372
HT4BTJT00127,HT4BTJT00078,17045,38,152,7495,5,9285
HT4APJT01039,HT4BTJT00078,26305,9,92,16746,2,9456
HT4CWJT00250,joaquim-MS-7996,8982,18,114,7484,0,1367
HT4BTJT00078,HT4BTJT00078,34341,7,58,24622,2,9688
HT4CWJT00250,joaquim-MS-7996,9618,29,135,7995,0,1370
HT4BTJT00078,joaquim-MS-7996,10357,30,73,8884,0,1369
HT4BVJT00003,joaquim-MS-7996,10963,15,211,9345,0,1383
HT4APJT01039,joaquim-MS-7996,11590,53,90,10014,0,1370
HT4BTJT00078,joaquim-MS-7996,11560,36,141,9998,1,1371
HT4CWJT00250,HT4AVJT02309,9163,7,86,25,4,9037
HT4AVJT02309,HT4AVJT02309,16300,13,17,7244,1,9024
HT4BTJT00127,HT4AVJT02309,25060,67,147,15679,4,9154
HT4APJT01039,HT4APJT01039,10074,13,82,12,3,9997
HT4APJT01039,joaquim-MS-7996,5326,50,110,3793,0,1373
HT4AVJT02309,joaquim-MS-7996,6378,8,85,4900,0,1377
HT4BTJT00127,joaquim-MS-7996,6575,61,94,4942,0,1386
HT4APJT01039,joaquim-MS-7996,4392,46,162,2759,0,1388
HT4BVJT00003,joaquim-MS-7996,4825,38,183,3139,0,1379
HT4BTJT00127,joaquim-MS-7996,5792,73,168,4132,0,1374
HT4BTJT00127,joaquim-MS-7996,6959,10,106,5360,0,1386
HT4BVJT00003,joaquim-MS-7996,7558,24,111,5996,0,1367
HT4BVJT00003,joaquim-MS-7996,8363,8,192,6789,1,1377
HT4CWJT00250,joaquim-MS-7996,8989,12,98,7435,0,1370
HT4BVJT00003,joaquim-MS-7996,9975,15,169,8380,1,1364
HT4CWJT00250,joaquim-MS-7996,11066,11,154,9524,1,1368
HT4BVJT00003,joaquim-MS-7996,11650,25,173,10086,1,1372
HT4BTJT00127,joaquim-MS-7996,10914,13,129,9286,0,1396
HT4BVJT00003,joaquim-MS-7996,12108,51,140,10537,1,1379
HT4CWJT00250,joaquim-MS-7996,13226,48,140,11638,1,1391
HT4BVJT00003,joaquim-MS-7996,14197,34,112,12667,0,1383
HT4APJT01039,HT4APJT01039,9926,15,56,9,2,9878
HT4BTJT00127,HT4BTJT00127,9868,62,109,13,4,9709
HT4BTJT00078,HT4BVJT00003,9446,13,288,21,6,9110
HT4BTJT00078,HT4BVJT00003,18601,17,381,8941,2,9289
HT4AVJT02309,HT4AVJT02309,15735,9,70,6449,4,9241
HT4BTJT00127,HT4BTJT00127,16466,49,29,6763,3,9628
HT4BTJT00078,HT4BTJT00078,14954,48,57,4847,3,10023
HT4BVJT00003,HT4APJT01039,16242,31,318,6147,2,9751
HT4BTJT00078,HT4BTJT00078,23103,62,19,12630,2,10395
HT4BTJT00127,joaquim-MS-7996,6944,56,141,5351,0,1371
HT4BVJT00003,joaquim-MS-7996,7360,14,109,5812,0,1369
HT4BVJT00003,joaquim-MS-7996,8600,10,137,7086,0,1367
HT4APJT01039,joaquim-MS-7996,10293,56,211,8658,0,1364
HT4APJT01039,joaquim-MS-7996,8995,46,184,7314,0,1380
HT4AVJT02309,joaquim-MS-7996,11249,21,154,9706,0,1365
HT4CWJT00250,joaquim-MS-7996,12384,19,135,10858,0,1374
HT4CWJT00250,joaquim-MS-7996,13220,10,115,11733,0,1363
HT4BTJT00078,joaquim-MS-7996,13730,7,82,12169,0,1377
HT4BVJT00003,joaquim-MS-7996,14910,56,129,13343,1,1368
HT4AVJT02309,HT4AVJT02309,13861,15,23,4467,5,9356
HT4BTJT00078,joaquim-MS-7996,14098,13,571,12019,1,1382
HT4CWJT00250,HT4CWJT00250,9153,47,58,19,3,9061
HT4BVJT00003,HT4BVJT00003,11647,20,31,2180,3,9416
HT4BTJT00127,HT4BTJT00127,12213,61,40,2436,10,9657
HT4BTJT00078,HT4CWJT00250,16865,24,471,7061,9,9341
HT4AVJT02309,HT4APJT01039,10257,6,348,30,3,9865
HT4BTJT00078,HT4CWJT00250,25244,83,158,15510,1,9459
HT4BTJT00078,HT4AVJT02309,15307,11,263,5486,5,9552
HT4APJT01039,HT4BTJT00127,17401,19,392,6881,16,10025
HT4BVJT00003,HT4BVJT00003,15428,23,51,5833,10,9501
HT4BTJT00078,HT4BTJT00078,14842,53,54,4250,5,10484
HT4BTJT00127,joaquim-MS-7996,4654,16,472,2774,0,1371
HT4AVJT02309,joaquim-MS-7996,4291,18,805,2075,0,1371
HT4AVJT02309,joaquim-MS-7996,6055,7,896,3739,0,1400
HT4CWJT00250,joaquim-MS-7996,4602,12,477,2675,0,1376
HT4BTJT00078,joaquim-MS-7996,6403,11,280,4735,0,1377
HT4APJT01039,joaquim-MS-7996,6452,17,388,4668,0,1372
HT4CWJT00250,joaquim-MS-7996,6963,45,1967,3590,1,1367
HT4AVJT02309,joaquim-MS-7996,9449,6,2100,6002,0,1370
HT4AVJT02309,joaquim-MS-7996,8061,49,1927,4674,0,1364
HT4BVJT00003,joaquim-MS-7996,9944,45,1215,7321,1,1366
HT4AVJT02309,joaquim-MS-7996,11001,15,1291,8274,0,1379
HT4BTJT00078,joaquim-MS-7996,11683,38,747,9538,0,1368
HT4AVJT02309,joaquim-MS-7996,12842,23,572,10877,0,1372
HT4AVJT02309,HT4AVJT02309,10732,10,60,1276,3,9418
HT4CWJT00250,HT4CWJT00250,17620,63,86,7880,3,9620
HT4BTJT00127,HT4BTJT00127,12702,14,68,2380,2,10276
HT4AVJT02309,HT4BTJT00127,23252,9,308,12245,2,10679
HT4BTJT00078,HT4BTJT00127,34079,19,313,22914,4,10784
HT4BVJT00003,HT4BVJT00003,9568,29,110,12,4,9450
HT4BTJT00078,joaquim-MS-7996,4934,19,167,3374,0,1375
HT4BTJT00127,joaquim-MS-7996,5323,12,125,3726,1,1377
HT4AVJT02309,joaquim-MS-7996,4101,6,103,2472,0,1370
HT4BTJT00127,joaquim-MS-7996,3832,35,133,2276,0,1389
HT4BTJT00127,joaquim-MS-7996,5125,31,141,3558,1,1378
HT4BTJT00078,joaquim-MS-7996,5644,22,161,4093,0,1368
HT4BVJT00003,joaquim-MS-7996,4343,18,171,2776,1,1374
HT4BVJT00003,joaquim-MS-7996,6727,51,82,5211,1,1365
HT4AVJT02309,joaquim-MS-7996,7483,18,423,5647,1,1376
HT4CWJT00250,joaquim-MS-7996,8047,9,219,6405,0,1364
HT4APJT01039,joaquim-MS-7996,9228,71,151,7605,1,1363
HT4BVJT00003,joaquim-MS-7996,9923,20,534,7924,0,1380
HT4BVJT00003,joaquim-MS-7996,10595,21,177,9027,0,1374
HT4APJT01039,joaquim-MS-7996,11511,12,398,9739,0,1370
HT4BTJT00078,HT4BTJT00078,10665,34,63,12,4,10586
HT4CWJT00250,HT4CWJT00250,10056,17,34,9,2,9995
HT4BTJT00078,HT4BTJT00078,20849,12,66,10178,5,10620
HT4BTJT00127,HT4AVJT02309,9992,14,1155,27,4,8827
HT4BTJT00078,HT4CWJT00250,19399,22,596,8493,3,10308
HT4AVJT02309,HT4AVJT02309,17502,8,53,8255,3,9220
HT4CWJT00250,HT4BVJT00003,10112,57,522,10,3,9515
HT4BTJT00127,HT4APJT01039,10472,19,663,32,4,9734
HT4CWJT00250,HT4CWJT00250,26932,81,78,16303,3,10501
HT4CWJT00250,HT4CWJT00250,37055,15,52,26390,9,10626
HT4BTJT00078,HT4APJT01039,18117,11,805,7674,3,9636
HT4BTJT00078,HT4APJT01039,27748,13,869,17141,3,9709
HT4BTJT00078,joaquim-MS-7996,4080,20,963,1675,1,1375
HT4BVJT00003,joaquim-MS-7996,4708,16,441,2877,1,1376
HT4BVJT00003,joaquim-MS-7996,4818,55,199,3117,0,1375
HT4AVJT02309,joaquim-MS-7996,3504,14,244,1760,0,1380
HT4BVJT00003,joaquim-MS-7996,4848,22,302,3140,0,1374
HT4BVJT00003,joaquim-MS-7996,6050,12,329,4342,1,1366
HT4CWJT00250,joaquim-MS-7996,7250,56,133,5595,0,1377
HT4BTJT00078,joaquim-MS-7996,7190,16,139,5657,1,1374
HT4BTJT00127,joaquim-MS-7996,8301,18,137,6756,1,1387
HT4CWJT00250,joaquim-MS-7996,9013,12,118,7497,0,1379
HT4BTJT00078,HT4BTJT00078,17252,20,80,6355,9,10824
HT4APJT01039,HT4AVJT02309,13824,25,192,4090,5,9510
HT4BTJT00078,HT4BTJT00078,27296,15,31,16116,3,11146
HT4BTJT00078,joaquim-MS-7996,7193,10,122,5666,0,1390
HT4BTJT00127,joaquim-MS-7996,8274,70,106,6729,0,1364
HT4APJT01039,joaquim-MS-7996,8285,15,142,6749,0,1374
HT4CWJT00250,joaquim-MS-7996,8896,57,138,7254,0,1368
HT4CWJT00250,joaquim-MS-7996,10045,49,99,8527,0,1372
HT4CWJT00250,joaquim-MS-7996,11321,19,108,9819,1,1372
HT4AVJT02309,joaquim-MS-7996,12581,10,127,11075,0,1373
HT4AVJT02309,joaquim-MS-7996,13371,10,123,11848,0,1374
HT4BTJT00078,HT4BVJT00003,9524,55,230,10,10,9114
HT4BTJT00078,HT4BVJT00003,18762,16,276,8987,2,9445
HT4BTJT00078,joaquim-MS-7996,13046,14,146,11441,0,1371
HT4AVJT02309,joaquim-MS-7996,14278,8,115,12761,0,1393
HT4AVJT02309,joaquim-MS-7996,15254,9,94,13704,1,1360
HT4CWJT00250,joaquim-MS-7996,16301,9,119,14756,0,1370
HT4BTJT00127,joaquim-MS-7996,18900,42,143,17266,0,1363
HT4CWJT00250,joaquim-MS-7996,17433,17,81,15968,1,1366
HT4APJT01039,joaquim-MS-7996,20155,56,134,18549,1,1370
HT4BTJT00078,HT4BVJT00003,35770,20,115,25985,2,9651
HT4BVJT00003,HT4BVJT00003,26242,22,70,16634,5,9513
HT4AVJT02309,HT4AVJT02309,14409,20,58,4552,2,9810
HT4BTJT00127,HT4BTJT00127,10479,19,69,12,3,10415
HT4BTJT00078,HT4BTJT00127,18737,17,247,8200,4,10263
HT4BTJT00127,HT4APJT01039,15573,62,213,5342,2,9912
