ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00189,HT4BVJT00189,10463,29,110,14,4,10345
HT4BTJT00030,HT4AVJT02309,21846,12,1045,10261,8,10530
HT4BTJT00078,HT4AVJT02309,11125,71,560,42,4,10452
HT4BTJT00127,HT4AVJT02309,31820,71,526,19889,6,11365
HT4AVJT02309,HT4AVJT02309,43470,35,149,31258,4,12025
HT4BTJT00030,HT4AVJT02309,54931,20,1040,42146,14,11697
HT4CWJT00250,HT4BVJT00189,28930,58,854,17231,13,10794
HT4BVJT00189,HT4BVJT00189,17981,63,146,7440,7,10353
HT4BVJT00189,joaquim-MS-7996,2387,47,461,10,3,1750
HT4CWJT00250,HT4CWJT00250,9568,17,82,24,4,9474
HT4BVJT00003,joaquim-MS-7996,2324,12,304,242,1,1649
HT4APJT01039,joaquim-MS-7996,3141,15,689,602,1,1735
HT4BTJT00127,joaquim-MS-7996,3287,53,306,1200,2,1716
HT4BVJT00003,joaquim-MS-7996,4747,33,298,2575,1,1838
HT4BTJT00127,HT4BTJT00127,7462,46,147,13,9,7282
HT4BTJT00127,joaquim-MS-7996,5405,51,206,3379,1,1670
HT4CWJT00250,HT4CWJT00250,14752,14,86,4769,22,9870
HT4BTJT00030,joaquim-MS-7996,6766,18,313,4771,1,1639
HT4BTJT00078,HT4BTJT00078,9563,16,96,43,5,9419
HT4BTJT00078,HT4BTJT00078,19181,50,134,9391,5,9636
HT4AVJT02309,joaquim-MS-7996,7802,22,267,5829,0,1635
HT4BVJT00003,joaquim-MS-7996,9300,29,391,7169,2,1691
HT4CWJT00250,HT4CWJT00250,23744,23,50,13497,3,10182
HT4BVJT00003,joaquim-MS-7996,9774,32,328,7729,5,1686
HT4CWJT00250,HT4CWJT00250,33169,16,111,22772,7,10270
HT4BTJT00078,HT4BTJT00078,28571,55,172,16789,5,11587
HT4APJT01039,joaquim-MS-7996,11120,51,509,8840,2,1722
HT4AVJT02309,joaquim-MS-7996,14225,15,697,11814,2,1688
HT4APJT01039,joaquim-MS-7996,12283,11,328,10214,2,1653
HT4APJT01039,joaquim-MS-7996,14367,9,503,12121,3,1744
HT4CWJT00250,HT4BTJT00030,10403,48,512,27,9,9724
HT4BTJT00078,HT4BVJT00003,10630,76,772,27,6,9779
HT4APJT01039,HT4APJT01039,9626,50,125,29,6,9437
HT4BTJT00078,HT4BVJT00003,19557,56,616,8718,4,10154
HT4CWJT00250,HT4BTJT00030,17332,12,625,6601,5,10083
HT4BVJT00003,HT4BVJT00003,29563,61,207,18818,20,10489
HT4BTJT00127,HT4BTJT00127,9706,14,95,14,5,9603
HT4BVJT00189,joaquim-MS-7996,9530,21,337,7364,3,1798
HT4BVJT00189,joaquim-MS-7996,9621,50,356,7492,2,1713
HT4BTJT00127,HT4BTJT00127,17824,31,97,7367,5,10345
HT4BTJT00127,HT4BTJT00127,27141,12,132,17197,6,9813
HT4APJT01039,HT4APJT01039,15266,56,177,4612,6,10425
HT4BVJT00189,joaquim-MS-7996,8348,38,370,6189,1,1711
HT4AVJT02309,joaquim-MS-7996,8950,18,312,6905,2,1680
HT4AVJT02309,joaquim-MS-7996,9700,89,276,7675,1,1658
HT4BVJT00003,joaquim-MS-7996,11195,26,303,9142,2,1709
HT4AVJT02309,joaquim-MS-7996,12293,56,277,10295,2,1659
HT4BTJT00078,joaquim-MS-7996,13705,44,377,11564,2,1698
HT4BVJT00003,joaquim-MS-7996,16489,52,407,14351,1,1682
HT4BVJT00003,joaquim-MS-7996,14684,27,353,12643,0,1659
HT4APJT01039,joaquim-MS-7996,18060,81,416,15810,2,1750
HT4AVJT02309,HT4BTJT00030,16985,20,365,6627,3,9931
HT4BTJT00127,HT4APJT01039,29467,42,871,18056,21,10447
HT4APJT01039,HT4APJT01039,18955,28,147,8226,7,10576
HT4BTJT00127,joaquim-MS-7996,18726,52,606,16381,2,1657
HT4BVJT00189,HT4BVJT00189,12724,90,192,1857,4,10625
HT4BVJT00189,HT4BVJT00189,23077,69,130,12412,9,10456
HT4BTJT00127,HT4APJT01039,39474,15,645,28276,5,10506
HT4BTJT00030,HT4BTJT00030,26142,19,133,15881,13,10131
HT4AVJT02309,HT4BTJT00030,36409,38,397,24991,10,10997
HT4BVJT00003,joaquim-MS-7996,18638,13,324,16584,1,1690
HT4BTJT00127,HT4APJT01039,47864,15,711,36066,5,11056
HT4CWJT00250,HT4BTJT00078,16608,19,505,6410,16,9691
HT4CWJT00250,HT4BTJT00078,25867,53,513,15078,5,10231
HT4BTJT00127,HT4BTJT00078,36227,18,637,24909,15,10693
HT4BVJT00189,HT4BTJT00078,46579,56,404,35470,4,10573
