ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9241,46,94,10,2,9120
HT4BTJT00127,HT4CWJT00980,9475,35,218,17,3,9160
HT4CWJT00980,joaquim-MS-7996,1830,9,244,4,1,1571
HT4CWJT00980,joaquim-MS-7996,1832,12,161,19,2,1556
HT4BTJT00030,joaquim-MS-7996,2008,53,106,222,1,1518
HT4BTJT00078,joaquim-MS-7996,1870,11,278,13,1,1563
HT4BTJT00078,joaquim-MS-7996,4934,15,267,3109,1,1529
HT4CWJT00980,joaquim-MS-7996,3377,11,212,1539,1,1568
HT4BTJT00127,joaquim-MS-7996,5757,31,161,4033,0,1525
HT4CWJT00980,joaquim-MS-7996,6723,14,138,5036,1,1530
HT4CWJT00980,joaquim-MS-7996,7463,8,186,5677,0,1515
HT4BTJT00030,joaquim-MS-7996,8878,16,229,7111,0,1518
HT4BTJT00078,joaquim-MS-7996,10297,74,159,8534,1,1509
HT4BTJT00127,joaquim-MS-7996,11422,39,190,9641,1,1543
HT4BTJT00030,joaquim-MS-7996,12844,47,145,11106,1,1507
HT4BTJT00078,joaquim-MS-7996,13666,34,148,11964,0,1521
HT4BTJT00030,HT4BTJT00030,8749,25,24,14,3,8682
HT4CWJT00980,HT4CWJT00980,8956,20,82,17,2,8838
HT4BTJT00030,HT4BTJT00030,13327,8,53,4465,7,8829
HT4CWJT00980,HT4CWJT00980,15040,10,70,5870,3,9126
HT4BTJT00078,HT4BTJT00078,9501,23,54,20,3,9407
HT4BTJT00030,HT4BTJT00078,17687,44,193,8637,2,8717
HT4BTJT00127,joaquim-MS-7996,2099,66,148,287,1,1527
HT4BTJT00127,joaquim-MS-7996,2691,17,145,970,0,1547
HT4BTJT00127,joaquim-MS-7996,3555,54,159,1823,0,1519
HT4BTJT00030,joaquim-MS-7996,4107,8,166,2402,1,1521
HT4BTJT00127,joaquim-MS-7996,4963,50,147,3165,1,1519
HT4BTJT00030,joaquim-MS-7996,6301,7,145,4601,1,1519
HT4BTJT00127,joaquim-MS-7996,6164,9,150,4460,1,1535
HT4CWJT00980,joaquim-MS-7996,5375,14,136,3603,1,1606
HT4CWJT00980,joaquim-MS-7996,6037,9,113,4332,0,1529
HT4BTJT00127,joaquim-MS-7996,5638,42,85,3921,0,1507
HT4BTJT00030,joaquim-MS-7996,6398,15,169,4675,1,1526
HT4CWJT00980,joaquim-MS-7996,7878,28,261,6038,1,1548
HT4BTJT00127,joaquim-MS-7996,9120,47,164,7357,0,1554
HT4CWJT00980,joaquim-MS-7996,10360,34,131,8643,0,1540
HT4BTJT00127,HT4BTJT00127,6994,90,143,10,3,6783
HT4CWJT00980,joaquim-MS-7996,6100,11,139,4349,1,1534
HT4CWJT00980,joaquim-MS-7996,6749,46,124,5037,0,1536
HT4BTJT00127,joaquim-MS-7996,7812,18,83,6180,0,1522
HT4BTJT00078,joaquim-MS-7996,9204,20,191,7369,0,1524
HT4CWJT00980,joaquim-MS-7996,8956,9,128,7258,1,1538
HT4CWJT00980,joaquim-MS-7996,10148,28,116,8476,1,1519
HT4BTJT00078,joaquim-MS-7996,11540,18,168,9710,1,1537
HT4BTJT00127,joaquim-MS-7996,12228,9,86,10556,0,1522
HT4BTJT00127,HT4BTJT00127,6788,36,65,12,4,6667
HT4CWJT00980,joaquim-MS-7996,8301,43,131,6610,0,1513
HT4BTJT00078,joaquim-MS-7996,9810,24,134,8090,1,1509
HT4BTJT00030,joaquim-MS-7996,10508,52,98,8759,1,1516
HT4CWJT00980,joaquim-MS-7996,10925,28,65,9213,0,1509
HT4BTJT00030,joaquim-MS-7996,11384,16,112,9729,0,1523
HT4BTJT00078,joaquim-MS-7996,12392,28,136,10676,1,1520
