ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BTJT00078,HT4BTJT00078,9263,20,198,16,5,9061
HT4BVJT00003,HT4BVJT00012,9515,9,568,21,4,8889
HT4CWJT00980,joaquim-MS-7996,2909,13,948,7,2,1832
HT4CWJT00980,joaquim-MS-7996,3063,40,398,833,2,1754
HT4BVJT00012,joaquim-MS-7996,3461,10,297,1327,2,1740
HT4BTJT00078,joaquim-MS-7996,6022,18,1374,2819,2,1733
HT4BTJT00078,joaquim-MS-7996,7717,28,1519,4353,2,1741
HT4CWJT00980,joaquim-MS-7996,2206,18,392,12,2,1781
HT4BVJT00003,joaquim-MS-7996,3490,34,366,1148,1,1880
HT4CWJT00980,joaquim-MS-7996,8015,38,260,6004,1,1711
HT4CWJT00980,joaquim-MS-7996,9029,63,573,6566,2,1730
HT4BTJT00078,joaquim-MS-7996,10604,46,1288,7547,2,1738
HT4BVJT00012,joaquim-MS-7996,12255,43,1320,9199,3,1724
HT4BVJT00003,joaquim-MS-7996,13661,7,915,10893,2,1740
HT4BVJT00012,joaquim-MS-7996,15195,15,810,12602,2,1768
HT4BVJT00012,joaquim-MS-7996,15817,10,402,13477,3,1816
HT4CWJT00980,HT4CWJT00980,7124,8,117,19,23,6987
HT4BTJT00078,HT4BVJT00012,17856,70,465,8551,10,8715
HT4BVJT00012,HT4BVJT00012,8891,44,137,29,5,8709
HT4BTJT00078,HT4BTJT00078,9327,11,96,22,6,9227
HT4CWJT00980,HT4CWJT00980,13589,8,102,4317,4,9196
HT4BVJT00012,HT4BVJT00003,9795,8,438,18,7,9343
HT4BVJT00003,joaquim-MS-7996,4973,15,351,2881,4,1718
HT4BVJT00003,joaquim-MS-7996,5887,7,168,3939,1,1753
HT4BVJT00003,joaquim-MS-7996,6921,8,310,4835,2,1721
HT4BTJT00078,joaquim-MS-7996,8406,57,363,6204,3,1721
HT4BVJT00012,joaquim-MS-7996,9357,11,277,7285,2,1775
HT4BVJT00003,joaquim-MS-7996,10338,6,199,8370,3,1700
HT4BVJT00012,HT4BVJT00012,14631,5,86,5839,5,8728
HT4BVJT00003,joaquim-MS-7996,10331,14,257,8332,1,1718
HT4CWJT00980,HT4CWJT00980,10288,30,136,21,8,10116
HT4CWJT00980,HT4CWJT00980,19643,30,131,9129,25,10363
