ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4CWJT00250,9082,27,220,28,6,8741
HT4AVJT02309,HT4CWJT00250,16426,16,182,7810,1,8419
HT4AVJT02309,HT4CWJT00250,25104,20,161,16117,2,8828
HT4AVJT02309,HT4BTJT00127,9305,51,247,27,9,8990
HT4AVJT02309,HT4AVJT02309,9199,41,87,44,3,9042
HT4AVJT02309,HT4AVJT02309,18089,25,76,9035,4,8986
HT4AVJT02309,HT4BTJT00078,9116,8,196,27,5,8872
HT4AVJT02309,HT4BTJT00078,17272,6,131,8697,1,8465
HT4AVJT02309,HT4BTJT00078,25210,8,151,16431,1,8622
HT4AVJT02309,HT4BTJT00078,33898,9,117,24939,3,8834
HT4AVJT02309,HT4BTJT00078,42242,52,177,33147,2,8892
HT4AVJT02309,HT4BTJT00078,50518,17,130,41679,2,8690
HT4AVJT02309,HT4BTJT00078,59045,20,89,49924,2,9019
HT4AVJT02309,HT4BTJT00078,67862,6,110,58656,3,9089
HT4AVJT02309,HT4BTJT00127,12816,6,103,4003,3,8696
HT4AVJT02309,HT4BTJT00127,21515,5,80,12314,2,9104
HT4AVJT02309,HT4BTJT00127,28031,8,209,19273,2,8561
HT4AVJT02309,HT4BTJT00127,35534,7,116,26887,2,8504
HT4AVJT02309,HT4BTJT00127,43998,7,223,34840,3,8915
HT4AVJT02309,HT4BTJT00127,51783,8,336,42848,3,8585
HT4AVJT02309,HT4AVJT02309,16328,6,19,7367,11,8932
HT4AVJT02309,HT4AVJT02309,25172,9,28,16220,2,8914
HT4AVJT02309,HT4AVJT02309,42769,66,85,33647,5,9001
HT4AVJT02309,HT4AVJT02309,33755,17,65,24652,2,9069
HT4AVJT02309,HT4AVJT02309,51546,20,70,42542,2,8959
HT4AVJT02309,HT4AVJT02309,60546,13,34,51383,2,9120
HT4AVJT02309,HT4AVJT02309,69292,7,20,60152,2,9112
HT4AVJT02309,HT4AVJT02309,78198,8,50,69081,2,9094
HT4AVJT02309,HT4AVJT02309,86200,6,25,77006,1,9161
HT4AVJT02309,HT4AVJT02309,94751,6,48,85607,4,9116
HT4AVJT02309,HT4CWJT00250,16850,37,161,8071,3,8572
HT4AVJT02309,HT4CWJT00250,24266,6,157,15448,5,8651
HT4AVJT02309,HT4CWJT00250,31634,6,275,22880,2,8471
HT4AVJT02309,HT4CWJT00250,40358,12,304,31253,2,8783
HT4AVJT02309,HT4CWJT00250,48694,6,80,39977,2,8600
HT4AVJT02309,HT4CWJT00250,57334,6,104,48498,2,8754
HT4AVJT02309,HT4CWJT00250,66121,6,115,57068,2,8958
HT4AVJT02309,HT4CWJT00250,73431,9,137,64637,1,8640
HT4AVJT02309,HT4BTJT00127,49710,17,94,40922,1,8680
HT4AVJT02309,HT4BTJT00127,57615,52,239,48827,2,8514
HT4AVJT02309,HT4BTJT00127,65809,10,224,56782,2,8797
HT4AVJT02309,HT4BTJT00127,74171,6,103,65473,3,8577
HT4AVJT02309,HT4BTJT00127,82631,16,306,73450,3,8851
HT4AVJT02309,HT4BTJT00127,91093,13,212,82267,3,8598
HT4AVJT02309,HT4BTJT00127,100151,13,258,90729,2,9153
HT4AVJT02309,HT4BTJT00127,108742,16,259,99839,2,8660
HT4AVJT02309,HT4BTJT00127,115651,15,189,106765,3,8697
HT4AVJT02309,HT4BTJT00078,52910,47,122,43871,2,8819
HT4AVJT02309,HT4BTJT00078,61264,5,134,52296,2,8794
HT4AVJT02309,HT4BTJT00078,70135,11,133,60614,2,9172
HT4AVJT02309,HT4BTJT00078,78567,17,267,69122,3,9158
HT4AVJT02309,HT4BTJT00078,87298,5,57,78161,2,9070
HT4AVJT02309,HT4CWJT00250,72450,23,93,63533,1,8691
HT4AVJT02309,HT4CWJT00250,80323,13,140,71102,2,9064
HT4AVJT02309,HT4CWJT00250,88368,7,182,79420,1,8740
HT4AVJT02309,HT4CWJT00250,96254,6,131,87291,2,8751
HT4AVJT02309,HT4CWJT00250,104045,7,191,94968,2,8881
HT4AVJT02309,HT4CWJT00250,112682,11,119,103364,2,9175
HT4AVJT02309,HT4CWJT00250,120589,8,149,111563,2,8861
HT4AVJT02309,HT4CWJT00250,129173,7,37,120293,1,8827
HT4AVJT02309,HT4AVJT02309,82152,6,63,72960,2,9154
HT4AVJT02309,HT4AVJT02309,91303,6,15,81953,2,9330
HT4AVJT02309,HT4AVJT02309,99908,13,60,90526,6,9322
HT4AVJT02309,HT4AVJT02309,109155,29,70,99826,1,9258
HT4AVJT02309,HT4AVJT02309,115873,8,29,108615,2,7219
HT4AVJT02309,HT4AVJT02309,125046,9,32,115534,5,9473
HT4AVJT02309,HT4AVJT02309,133903,14,72,124442,3,9372
HT4AVJT02309,HT4AVJT02309,143138,11,50,133530,3,9565
HT4AVJT02309,HT4AVJT02309,150077,22,87,142915,2,7098
HT4AVJT02309,HT4BTJT00078,85764,6,148,76476,2,9134
HT4AVJT02309,HT4BTJT00078,94955,8,127,85550,2,9269
HT4AVJT02309,HT4BTJT00078,103112,6,143,93969,2,8983
HT4AVJT02309,HT4BTJT00078,109151,6,279,99870,3,8972
HT4AVJT02309,HT4BTJT00078,118259,11,84,108659,2,9398
HT4AVJT02309,HT4BTJT00127,104497,6,136,95534,1,8849
HT4AVJT02309,HT4BTJT00127,111350,23,158,102299,2,8840
HT4AVJT02309,HT4BTJT00127,119851,51,169,110536,2,9090
HT4AVJT02309,HT4BTJT00127,128441,14,121,119560,2,8738
HT4AVJT02309,HT4BTJT00127,136399,47,143,127277,2,8925
HT4AVJT02309,HT4BTJT00127,145203,10,120,136167,2,8806
HT4AVJT02309,HT4BTJT00127,153788,7,113,144866,2,8824
HT4AVJT02309,HT4BTJT00127,161733,7,179,152697,2,8848
HT4AVJT02309,HT4CWJT00250,122524,5,133,113447,2,8955
HT4AVJT02309,HT4CWJT00250,131404,12,60,122240,2,9086
HT4AVJT02309,HT4CWJT00250,137904,7,84,128909,2,8874
HT4AVJT02309,HT4CWJT00250,146591,11,114,137493,2,8888
HT4AVJT02309,HT4CWJT00250,155315,7,93,146308,2,8899
HT4AVJT02309,HT4CWJT00250,163740,6,114,154613,2,8942
HT4AVJT02309,HT4BTJT00078,116379,21,240,106901,2,9246
HT4AVJT02309,HT4BTJT00078,123531,10,172,113346,3,9830
HT4AVJT02309,HT4BTJT00078,132488,8,59,123017,2,9402
HT4AVJT02309,HT4BTJT00078,141543,14,125,131971,2,9420
HT4AVJT02309,HT4BTJT00078,150997,5,79,141244,2,9659
HT4AVJT02309,HT4AVJT02309,137332,12,62,128242,2,9051
HT4AVJT02309,HT4AVJT02309,145044,5,19,135998,3,9032
HT4AVJT02309,HT4AVJT02309,154046,11,64,144958,2,9051
HT4AVJT02309,HT4AVJT02309,161732,7,52,152689,3,9016
HT4AVJT02309,HT4AVJT02309,170778,42,47,161644,7,9071
HT4AVJT02309,HT4AVJT02309,179717,6,22,170546,1,9144
HT4AVJT02309,HT4AVJT02309,187144,12,29,178011,3,9099
HT4AVJT02309,HT4AVJT02309,195985,10,53,186867,2,9056
HT4AVJT02309,HT4AVJT02309,205181,9,62,195840,4,9272
HT4AVJT02309,HT4BTJT00078,152779,10,202,142894,2,9658
HT4AVJT02309,HT4BTJT00078,172013,63,154,162019,2,9707
HT4AVJT02309,HT4BTJT00078,162178,6,109,152417,3,9647
HT4AVJT02309,HT4BTJT00078,181494,63,98,171613,2,9688
HT4AVJT02309,HT4BTJT00078,191109,51,149,181244,3,9662
HT4AVJT02309,HT4BTJT00078,200723,8,128,190875,3,9635
HT4AVJT02309,HT4BTJT00078,209169,22,171,199264,2,9626
HT4AVJT02309,HT4BTJT00078,218629,9,79,208861,1,9673
