ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00189,HT4BVJT00189,9005,15,10,9,1,8969
HT4BVJT00189,HT4BVJT00189,17016,50,51,7925,1,8994
HT4BVJT00189,HT4BVJT00189,25759,23,49,16740,2,8949
HT4BVJT00189,HT4APJT01039,8787,14,82,14,2,8674
HT4BVJT00189,HT4APJT01039,17152,6,57,8608,4,8470
HT4BVJT00189,HT4APJT01039,25434,12,74,16929,7,8387
HT4BVJT00189,HT4APJT01039,33835,6,52,25249,1,8524
HT4BVJT00189,HT4APJT01039,42100,6,18,33574,2,8378
HT4BVJT00189,HT4APJT01039,49840,7,98,41214,1,8517
HT4BVJT00189,HT4APJT01039,58151,7,63,49511,2,8566
HT4BVJT00189,HT4APJT01039,66588,8,48,58007,2,8506
HT4BVJT00189,HT4APJT01039,74985,13,75,66064,2,8827
HT4BVJT00189,HT4APJT01039,83143,7,139,74403,1,8593
HT4BVJT00189,HT4BTJT00078,8888,7,147,19,4,8708
HT4BVJT00189,HT4BTJT00078,17007,8,49,8396,0,8552
HT4BVJT00189,HT4BVJT00003,8999,21,47,18,3,8878
HT4BVJT00189,HT4BVJT00003,16750,24,135,7888,2,8703
HT4BVJT00189,HT4BVJT00003,25033,10,144,16186,2,8653
HT4BVJT00189,HT4BVJT00003,32852,8,149,24122,1,8518
HT4BVJT00189,HT4BTJT00078,20422,46,65,11847,1,8456
HT4BVJT00189,HT4BTJT00078,28615,6,62,20242,1,8340
HT4BVJT00189,HT4BVJT00189,22607,8,46,13540,2,9009
HT4BVJT00189,HT4BVJT00189,30447,6,11,21467,1,8969
HT4BVJT00189,HT4BVJT00189,39394,7,4,30306,2,9076
HT4BVJT00189,HT4BVJT00189,48393,7,47,39221,2,9119
HT4BVJT00189,HT4BVJT00189,57278,7,42,48042,3,9183
HT4BVJT00189,HT4BVJT00189,65996,11,43,56655,3,9287
HT4BVJT00189,HT4BVJT00189,74123,48,10,64809,2,9256
HT4BVJT00189,HT4BVJT00189,82400,42,41,73122,2,9190
HT4BVJT00189,HT4BTJT00078,31065,23,66,22494,1,8461
HT4BVJT00189,HT4BTJT00078,38383,54,180,29726,1,8422
HT4BVJT00189,HT4BTJT00078,46681,57,97,38134,1,8385
HT4BVJT00189,HT4BTJT00078,54992,58,28,46369,1,8529
HT4BVJT00189,HT4BTJT00078,63337,41,25,54866,0,8359
HT4BVJT00189,HT4BTJT00078,71500,18,23,63052,0,8406
