ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4AVJT02309,HT4AVJT02309,10965,43,51,23,4,10854
HT4AVJT02309,HT4AVJT02309,20663,52,93,9918,8,10621
HT4AVJT02309,HT4AVJT02309,30492,9,197,20224,7,10103
HT4AVJT02309,HT4AVJT02309,38842,54,133,28560,6,10052
HT4AVJT02309,HT4AVJT02309,48700,18,59,38574,4,10043
HT4AVJT02309,HT4AVJT02309,58345,11,104,48431,4,9817
HT4AVJT02309,HT4BTJT00030,9912,23,332,16,6,9537
HT4AVJT02309,HT4BTJT00127,10194,36,792,12,5,9387
HT4AVJT02309,HT4APJT01039,9886,21,591,72,10,9197
HT4AVJT02309,HT4APJT01039,18539,10,662,9126,6,8769
HT4AVJT02309,HT4BTJT00030,17402,22,386,8087,5,8930
HT4AVJT02309,HT4BTJT00030,25989,16,425,16515,7,9035
HT4AVJT02309,HT4APJT01039,26040,63,416,16716,17,8847
HT4AVJT02309,HT4APJT01039,35482,14,384,25313,8,9802
HT4AVJT02309,HT4BTJT00030,32549,19,398,22881,8,9245
HT4AVJT02309,HT4BVJT00003,7896,45,753,20,8,7082
HT4AVJT02309,HT4BTJT00127,12395,16,371,3040,5,8997
HT4AVJT02309,HT4CWJT00250,10250,8,398,19,5,9842
HT4AVJT02309,HT4CWJT00250,18629,22,235,9600,4,8796
HT4AVJT02309,HT4BTJT00127,19623,29,603,9501,21,9462
HT4AVJT02309,HT4CWJT00250,25809,27,502,16413,5,8889
HT4AVJT02309,HT4CWJT00250,34469,14,502,25160,5,8800
HT4AVJT02309,HT4CWJT00250,52307,29,314,43148,5,8828
HT4AVJT02309,HT4CWJT00250,43425,43,273,33710,5,9420
HT4AVJT02309,HT4CWJT00250,70006,14,549,60330,4,9081
HT4AVJT02309,HT4CWJT00250,60793,9,364,51624,3,8800
HT4AVJT02309,HT4CWJT00250,78558,21,302,69278,6,8910
HT4AVJT02309,HT4BVJT00189,7560,18,442,19,8,7062
HT4AVJT02309,HT4CWJT00250,86622,56,211,76883,5,9423
HT4AVJT02309,HT4CWJT00250,94859,11,450,85541,5,8855
HT4AVJT02309,HT4BVJT00189,14812,45,308,4628,4,9819
HT4AVJT02309,HT4BVJT00003,8778,55,364,17,7,8338
HT4AVJT02309,HT4BVJT00003,26784,31,1170,16169,7,9612
HT4AVJT02309,HT4BVJT00003,17156,42,789,6777,4,9494
HT4AVJT02309,HT4BVJT00003,36002,15,949,25361,4,9672
HT4AVJT02309,HT4BVJT00003,45108,58,499,34853,6,9691
HT4AVJT02309,HT4BVJT00003,55597,11,413,44218,5,10956
HT4AVJT02309,HT4BVJT00003,65434,42,445,54783,4,10102
HT4AVJT02309,HT4BVJT00003,75922,29,553,64755,5,10585
HT4AVJT02309,HT4BVJT00003,86002,69,470,74565,6,10924
HT4AVJT02309,HT4BTJT00127,17673,23,265,7647,6,9712
HT4AVJT02309,HT4BTJT00127,27052,12,274,16972,11,9810
HT4AVJT02309,HT4BVJT00189,15899,11,362,6452,4,9069
HT4AVJT02309,HT4BVJT00189,24766,12,312,15338,7,9091
HT4AVJT02309,HT4BVJT00189,33424,54,237,24122,5,9041
HT4AVJT02309,HT4BVJT00189,42868,24,331,32868,5,9634
HT4AVJT02309,HT4BVJT00189,51977,23,568,42179,6,9213
HT4AVJT02309,HT4BVJT00189,61127,59,501,51326,8,9233
HT4AVJT02309,HT4BVJT00189,69428,23,417,58943,5,10038
HT4AVJT02309,HT4BTJT00078,9655,50,308,56,5,9257
HT4AVJT02309,HT4BTJT00078,18294,30,281,9033,5,8984
HT4AVJT02309,HT4BTJT00078,28318,29,197,17687,5,10392
HT4AVJT02309,HT4BTJT00078,37005,9,278,27438,6,9282
HT4AVJT02309,HT4APJT01039,17965,22,492,8417,4,9044
HT4AVJT02309,HT4APJT01039,26795,19,435,17360,4,8994
HT4AVJT02309,HT4APJT01039,35167,18,341,25712,6,9095
HT4AVJT02309,HT4APJT01039,44167,27,135,34065,2,9941
HT4AVJT02309,HT4APJT01039,52500,23,370,42896,3,9188
HT4AVJT02309,HT4APJT01039,58785,25,254,51196,12,7291
HT4AVJT02309,HT4APJT01039,67399,52,773,57300,10,9251
HT4AVJT02309,HT4BTJT00030,12630,8,600,2546,5,9495
HT4AVJT02309,HT4BTJT00127,21939,18,273,12317,6,9353
HT4AVJT02309,HT4BTJT00127,30677,12,297,21032,5,9355
HT4AVJT02309,HT4BTJT00127,39541,7,205,30022,5,9327
HT4AVJT02309,HT4BTJT00127,48118,23,387,38294,5,9424
HT4AVJT02309,HT4BTJT00127,57094,36,434,47108,4,9488
