ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,10832,44,1277,16,4,9513
HT4BTJT00127,HT4CWJT00250,18193,17,1026,8367,2,8818
HT4BVJT00003,HT4CWJT00250,27270,40,1964,16061,3,9216
HT4BVJT00003,HT4BVJT00003,9587,5,31,15,2,9544
HT4CWJT00250,HT4BVJT00003,17379,7,1070,6582,2,9386
HT4BVJT00189,HT4BVJT00189,9451,47,121,27,9,9296
HT4BVJT00003,HT4BVJT00003,13161,7,14,3897,2,9241
HT4BVJT00003,HT4CWJT00250,26947,24,3356,14545,5,9107
HT4CWJT00250,HT4CWJT00250,17171,16,23,8130,2,9000
HT4BTJT00127,HT4BVJT00003,13218,59,225,3614,4,9313
HT4CWJT00250,HT4BVJT00003,27575,8,825,16669,2,9417
HT4BVJT00003,HT4BVJT00003,16767,12,83,7453,2,9257
HT4BVJT00189,HT4BVJT00189,9443,11,24,10,5,9398
HT4BVJT00189,HT4CWJT00250,16689,6,1104,6313,3,9318
HT4CWJT00250,HT4BVJT00189,14012,11,692,3499,4,9761
HT4BTJT00127,HT4BTJT00127,9239,7,32,10,2,9190
HT4BTJT00127,HT4CWJT00250,18468,8,1572,7469,2,9392
HT4BTJT00127,HT4BVJT00003,17756,7,90,8210,2,9438
HT4CWJT00250,HT4BVJT00189,22280,5,1027,11326,3,9928
HT4BVJT00003,HT4BVJT00189,12221,5,138,2279,2,9796
HT4CWJT00250,HT4BVJT00189,32498,5,1147,20837,4,10358
HT4CWJT00250,HT4BTJT00127,9662,11,564,25,3,9050
HT4BTJT00127,HT4BTJT00127,18147,15,26,9051,2,9053
HT4BVJT00003,HT4CWJT00250,17864,8,4107,4524,5,9210
HT4CWJT00250,HT4CWJT00250,16222,6,67,6441,2,9749
HT4BTJT00127,HT4BTJT00127,11615,12,11,2520,2,9071
HT4BVJT00189,HT4BVJT00003,9383,6,186,16,3,9173
HT4BVJT00189,HT4CWJT00250,27732,6,8299,11135,2,9317
HT4BVJT00189,HT4CWJT00250,18342,5,5439,4295,5,9581
HT4BVJT00189,HT4CWJT00250,36345,23,9002,18163,7,9211
HT4BVJT00003,HT4CWJT00250,43494,5,9997,24166,2,9329
HT4BVJT00003,HT4BTJT00127,9388,20,215,9,4,9180
HT4BVJT00189,HT4BTJT00127,18592,14,187,9094,2,9286
HT4BVJT00189,HT4BVJT00003,9577,7,211,10,4,9379
HT4BVJT00189,HT4BVJT00003,18443,9,228,8763,4,9447
HT4BVJT00003,HT4BVJT00189,10225,43,199,15,3,9966
HT4BVJT00189,HT4BVJT00189,15274,5,41,5053,3,10173
HT4BVJT00189,HT4BTJT00127,15898,6,247,6206,2,9462
HT4CWJT00250,HT4BVJT00003,15700,5,491,5659,2,9527
HT4BVJT00189,HT4BTJT00127,18192,39,215,8572,2,9396
HT4BVJT00189,HT4BVJT00003,17661,8,178,7965,2,9511
HT4BVJT00189,HT4BVJT00189,10124,41,65,10,3,10042
