ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00189,9514,68,72,30,6,9298
HT4BTJT00127,HT4BVJT00189,17510,17,143,7855,3,9491
HT4BVJT00003,HT4BVJT00189,27107,25,106,17300,2,9649
HT4CWJT00250,HT4CWJT00250,8670,9,56,9,2,8630
HT4BVJT00189,HT4CWJT00250,9945,17,59,1144,2,8723
HT4CWJT00250,HT4CWJT00250,10499,49,47,1734,2,8668
HT4BTJT00127,HT4CWJT00250,12439,16,78,3525,3,8808
HT4CWJT00250,HT4BVJT00189,9658,11,72,26,5,9543
HT4BVJT00189,HT4CWJT00250,12249,14,85,3368,3,8775
HT4BVJT00189,HT4CWJT00250,18198,8,68,9120,3,9000
HT4CWJT00250,HT4BVJT00189,9879,14,71,103,2,9697
HT4BVJT00003,HT4BVJT00189,18901,19,87,9014,4,9764
HT4BTJT00127,HT4BVJT00189,26332,23,91,16224,1,9987
HT4BTJT00127,HT4BVJT00003,8971,55,88,23,4,8734
HT4BVJT00189,HT4BVJT00003,16276,8,55,7521,2,8694
HT4BVJT00189,HT4CWJT00250,14018,21,67,5045,2,8881
HT4CWJT00250,HT4CWJT00250,22399,44,9,13308,3,9038
HT4CWJT00250,HT4CWJT00250,31175,5,10,22033,2,9125
HT4CWJT00250,HT4BTJT00127,9003,45,58,7,2,8854
HT4BVJT00189,HT4BVJT00003,16119,8,43,7244,1,8821
HT4BVJT00003,HT4BVJT00003,23436,9,14,14452,1,8961
HT4BVJT00003,HT4BVJT00189,17358,7,85,7167,1,10028
HT4BVJT00189,HT4BVJT00189,26401,10,15,16463,2,9913
HT4BVJT00189,HT4BTJT00127,8998,15,71,41,4,8861
HT4BVJT00189,HT4BTJT00127,17419,7,47,8402,1,8961
HT4CWJT00250,HT4BVJT00003,23105,48,54,14105,4,8898
HT4BTJT00127,HT4CWJT00250,21834,5,116,12690,1,9022
HT4BVJT00189,HT4CWJT00250,29615,14,97,20385,2,9113
HT4BVJT00189,HT4BTJT00127,16504,45,55,7455,2,8963
HT4BVJT00003,HT4BTJT00127,25533,7,41,16392,5,9053
HT4BTJT00127,HT4BTJT00127,34421,15,18,25251,1,9138
HT4BVJT00189,HT4BTJT00127,43562,8,72,34270,1,9145
HT4BVJT00189,HT4BVJT00003,19866,10,134,10591,2,9119
HT4BVJT00189,HT4BVJT00189,17647,17,32,7649,1,9961
HT4BVJT00189,HT4BVJT00189,26781,11,13,16799,3,9961
HT4BVJT00189,HT4BVJT00189,36448,13,14,26410,2,10011
HT4BTJT00127,HT4BVJT00003,16481,10,89,7280,2,9108
HT4BTJT00127,HT4BVJT00003,25425,5,21,16305,2,9082
HT4BTJT00127,HT4CWJT00250,17223,24,107,8022,2,9101
HT4BVJT00189,HT4CWJT00250,23957,6,141,14649,2,9139
HT4BVJT00003,HT4CWJT00250,32708,6,50,23533,3,9106
HT4CWJT00250,HT4CWJT00250,40920,7,13,31739,1,9164
HT4BVJT00189,HT4BVJT00003,27216,11,52,17986,3,9158
HT4BVJT00003,HT4BVJT00003,35946,19,33,26671,1,9239
HT4BVJT00189,HT4BTJT00127,21827,9,64,12465,2,9178
HT4BVJT00003,HT4CWJT00250,9296,26,70,28,4,9165
HT4BTJT00127,HT4CWJT00250,16988,15,95,7730,2,9115
HT4BVJT00003,HT4CWJT00250,26013,24,69,16653,2,9261
HT4CWJT00250,HT4BVJT00003,9436,6,115,43,6,9258
HT4BVJT00189,HT4BVJT00003,11205,39,61,1701,2,9397
HT4CWJT00250,HT4CWJT00250,16355,17,56,6897,1,9390
HT4BTJT00127,HT4BVJT00003,9422,11,87,23,7,9278
HT4CWJT00250,HT4CWJT00250,13980,6,9,4595,2,9366
HT4BVJT00189,HT4BVJT00003,9799,18,67,199,3,9509
HT4BVJT00189,HT4CWJT00250,16184,20,104,6640,3,9413
HT4CWJT00250,HT4BVJT00003,14066,8,78,4399,3,9576
HT4BVJT00003,HT4BVJT00189,9655,5,64,25,6,9428
HT4BTJT00127,HT4BVJT00189,16847,21,89,6900,2,9837
HT4BTJT00127,HT4CWJT00250,18147,47,66,8440,2,9586
HT4BVJT00189,HT4BVJT00003,17064,11,56,7307,5,9675
HT4BVJT00189,HT4BVJT00189,19438,5,14,9327,2,10095
HT4CWJT00250,HT4BTJT00127,9275,50,116,22,8,9070
HT4CWJT00250,HT4BTJT00127,18194,6,39,8932,1,9216
HT4CWJT00250,HT4CWJT00250,19195,7,11,9246,2,9931
HT4BVJT00189,HT4BVJT00003,17784,5,72,8023,2,9679
HT4BVJT00003,HT4CWJT00250,26494,8,118,16030,2,10333
HT4BVJT00003,HT4BVJT00189,18030,11,70,7726,2,10220
HT4BVJT00189,HT4BTJT00127,16117,5,89,6647,1,9370
HT4BVJT00189,HT4BVJT00003,18346,44,87,8283,1,9919
HT4BVJT00189,HT4CWJT00250,28751,11,36,18167,2,10525
HT4CWJT00250,HT4BVJT00003,26955,5,67,16739,2,10141
HT4BTJT00127,HT4BTJT00127,18669,4,48,9087,1,9533
HT4BVJT00189,HT4BVJT00189,19165,15,65,8862,2,10223
HT4BVJT00189,HT4CWJT00250,29769,5,45,18945,3,10764
HT4BVJT00003,HT4CWJT00250,40295,6,34,29503,2,10739
HT4BTJT00127,HT4CWJT00250,50578,10,42,40040,3,10478
HT4BVJT00189,HT4CWJT00250,60966,5,58,50441,3,10455
HT4BVJT00189,HT4BVJT00003,25252,5,74,14565,2,10601
HT4BVJT00189,HT4BTJT00127,16539,27,64,6853,2,9568
HT4BVJT00189,HT4BVJT00189,18333,13,20,7899,2,10403
HT4BVJT00189,HT4BTJT00127,24918,20,58,15220,3,9618
HT4BTJT00127,HT4BVJT00189,20097,17,134,9529,4,10406
HT4BTJT00127,HT4BVJT00189,30689,7,43,19873,1,10772
HT4BTJT00127,HT4BVJT00003,21997,6,67,10992,1,10915
HT4BVJT00189,HT4BVJT00003,30299,5,176,19482,2,10639
HT4BVJT00003,HT4BTJT00127,21899,11,49,12189,1,9648
HT4CWJT00250,HT4BVJT00003,39478,9,84,28863,2,10522
HT4BVJT00189,HT4BTJT00127,28498,5,78,18675,2,9729
HT4BVJT00003,HT4BTJT00127,38137,46,69,27817,2,10194
HT4BVJT00189,HT4BVJT00189,26148,6,45,15450,3,10641
HT4BVJT00003,HT4BVJT00003,9963,13,16,27,4,9903
HT4BTJT00127,HT4BVJT00003,17934,24,119,8398,3,9380
HT4BVJT00003,HT4CWJT00250,9216,10,80,21,6,9102
HT4CWJT00250,HT4CWJT00250,14878,14,58,5655,1,9150
HT4BVJT00189,HT4CWJT00250,16640,73,70,7212,2,9288
HT4CWJT00250,HT4CWJT00250,17842,58,60,8489,1,9234
HT4BTJT00127,HT4BVJT00003,9391,18,81,21,5,9267
HT4CWJT00250,HT4CWJT00250,15555,5,49,6008,2,9495
HT4BVJT00189,HT4BVJT00003,9918,9,62,226,2,9603
HT4BVJT00189,HT4CWJT00250,17973,44,80,8235,3,9608
HT4CWJT00250,HT4BVJT00003,14131,6,83,4488,2,9546
HT4BVJT00003,HT4BTJT00127,9675,15,99,30,2,9534
HT4BTJT00127,HT4BTJT00127,16342,27,23,7130,1,9170
HT4BTJT00127,HT4BVJT00003,18461,6,71,8698,2,9675
HT4BVJT00189,HT4CWJT00250,18552,69,69,8862,3,9551
HT4BVJT00189,HT4BVJT00189,9556,47,51,14,3,9442
HT4CWJT00250,HT4BTJT00127,17497,7,69,8099,4,9324
HT4CWJT00250,HT4BTJT00127,26694,6,40,17163,1,9488
HT4CWJT00250,HT4BVJT00189,16038,5,58,6123,1,9846
HT4BVJT00189,HT4BVJT00003,17981,8,34,8089,2,9843
HT4BVJT00003,HT4CWJT00250,17825,5,83,7867,2,9860
HT4BVJT00003,HT4BVJT00189,18004,10,57,7821,2,10116
HT4BVJT00189,HT4CWJT00250,22176,6,81,11853,1,10228
HT4BVJT00189,HT4BVJT00003,18806,11,49,8566,2,10182
HT4BVJT00189,HT4BVJT00003,28770,13,39,18191,2,10517
HT4CWJT00250,HT4CWJT00250,29205,12,23,18788,1,10382
HT4BTJT00127,HT4BTJT00127,17782,11,13,8225,1,9533
HT4BVJT00189,HT4BVJT00189,19190,4,16,8875,3,10288
HT4BVJT00189,HT4CWJT00250,30821,5,85,20362,5,10393
HT4BVJT00003,HT4CWJT00250,41150,13,29,30572,1,10527
HT4BTJT00127,HT4BTJT00127,21924,9,44,12164,4,9703
HT4BVJT00189,HT4BTJT00127,31913,8,64,21793,4,10037
