ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,10501,16,807,26,8,9690
HT4BTJT00127,HT4CWJT00250,18629,11,843,8172,8,9617
HT4CWJT00250,HT4BVJT00003,10635,7,904,19,7,9685
HT4BVJT00003,HT4BVJT00003,15861,11,136,6154,4,9588
HT4BVJT00189,HT4CWJT00250,16903,11,992,6518,8,9432
HT4CWJT00250,HT4CWJT00250,18440,6,120,8812,3,9545
HT4BTJT00127,HT4BVJT00003,9959,7,435,18,6,9512
HT4CWJT00250,HT4CWJT00250,16631,7,129,6551,4,9969
HT4BVJT00003,HT4BVJT00003,14459,6,133,4460,6,9883
HT4BVJT00189,HT4BVJT00189,10207,44,126,13,4,10052
HT4BVJT00189,HT4CWJT00250,19597,5,784,8698,7,10131
HT4CWJT00250,HT4BVJT00003,15442,13,748,4688,11,10000
HT4BTJT00127,HT4BVJT00189,11854,6,1293,361,6,10265
HT4BTJT00127,HT4BVJT00189,20003,72,578,9149,5,10244
HT4BTJT00127,HT4CWJT00250,18175,8,581,7559,4,10058
HT4CWJT00250,HT4BVJT00003,13923,6,568,3446,4,9916
HT4CWJT00250,HT4BVJT00003,23945,8,361,13292,4,10310
HT4CWJT00250,HT4BTJT00127,9761,11,503,35,5,9204
HT4BTJT00127,HT4BTJT00127,18593,10,75,9190,3,9349
HT4CWJT00250,HT4CWJT00250,11589,17,143,700,4,10748
HT4BTJT00127,HT4CWJT00250,18376,13,497,7237,7,10668
HT4BVJT00189,HT4CWJT00250,29178,9,662,17437,7,11114
HT4BVJT00003,HT4BVJT00003,14550,10,171,3560,5,10807
HT4BVJT00189,HT4BTJT00127,10361,29,768,13,7,9555
HT4BVJT00189,HT4BTJT00127,20009,14,945,9400,6,9688
HT4BVJT00189,HT4BTJT00127,29262,7,582,18953,7,9737
HT4BVJT00189,HT4BVJT00003,15754,11,561,3851,9,11319
HT4BVJT00189,HT4BVJT00189,10075,6,88,18,6,9984
HT4BVJT00189,HT4BVJT00189,20449,4,99,9505,6,10875
HT4BVJT00003,HT4BVJT00003,21055,5,134,9251,6,11694
HT4BVJT00189,HT4CWJT00250,20972,6,430,9142,7,11386
HT4BVJT00003,HT4BTJT00127,20343,12,679,9513,7,10175
HT4CWJT00250,HT4BVJT00189,18818,20,647,7521,5,10655
HT4BVJT00003,HT4BVJT00189,28723,6,813,17297,6,10589
HT4BVJT00003,HT4BVJT00003,21799,13,50,10075,15,11655
HT4BVJT00003,HT4CWJT00250,19208,58,482,7634,6,11044
HT4BVJT00189,HT4BTJT00127,19820,5,740,8856,7,10251
HT4BVJT00189,HT4BTJT00127,26543,6,536,15502,5,10497
HT4BTJT00127,HT4CWJT00250,29154,39,812,17066,7,11257
HT4BVJT00189,HT4CWJT00250,17759,6,620,6454,5,10680
HT4BVJT00003,HT4CWJT00250,10514,10,807,21,6,9687
HT4BTJT00127,HT4CWJT00250,18594,7,1091,7980,7,9543
HT4CWJT00250,HT4BVJT00003,10263,5,734,27,7,9486
HT4BVJT00003,HT4BVJT00003,15561,7,110,5821,10,9614
HT4BVJT00189,HT4CWJT00250,16980,6,841,6526,6,9590
HT4CWJT00250,HT4CWJT00250,18641,4,66,8911,5,9689
HT4BTJT00127,HT4BVJT00003,10475,42,480,31,6,9856
HT4CWJT00250,HT4CWJT00250,16502,5,105,6726,4,9703
HT4BVJT00003,HT4CWJT00250,26421,8,471,15812,12,10141
HT4BVJT00189,HT4BVJT00003,11403,29,474,897,5,10032
HT4BVJT00189,HT4BVJT00003,18880,9,603,7758,6,10500
HT4CWJT00250,HT4BTJT00127,10325,7,625,17,12,9683
HT4BTJT00127,HT4BTJT00127,16674,11,122,6929,6,9643
HT4BTJT00127,HT4BVJT00189,10337,8,662,25,12,9665
HT4BTJT00127,HT4CWJT00250,18270,11,436,7641,4,10186
HT4CWJT00250,HT4BVJT00003,15536,12,698,4422,8,10388
HT4CWJT00250,HT4BVJT00003,25986,8,550,14697,4,10718
HT4CWJT00250,HT4BTJT00127,15442,15,359,5374,13,9617
HT4BTJT00127,HT4BVJT00189,11028,47,340,567,3,10068
HT4CWJT00250,HT4CWJT00250,11694,19,145,651,6,10889
HT4BTJT00127,HT4CWJT00250,18700,56,608,7301,9,10705
HT4BVJT00189,HT4CWJT00250,29835,30,722,17583,6,11501
HT4BVJT00003,HT4BTJT00127,10550,19,528,11,7,9982
HT4BVJT00189,HT4BTJT00127,18239,6,1471,7016,5,9746
HT4BVJT00189,HT4BTJT00127,28550,5,1800,16374,5,10367
HT4BVJT00189,HT4BTJT00127,38527,6,1401,26627,6,10499
HT4BVJT00189,HT4BVJT00003,12641,10,740,28,8,11822
HT4BVJT00189,HT4BVJT00003,21863,11,671,10053,6,11119
HT4BVJT00189,HT4BVJT00003,32432,7,797,20441,8,11183
HT4BVJT00003,HT4BVJT00189,10945,8,906,19,6,10004
HT4BVJT00189,HT4CWJT00250,21503,10,689,9547,6,11284
HT4BVJT00003,HT4BVJT00189,16450,15,679,5167,4,10608
HT4CWJT00250,HT4BTJT00127,27363,41,483,15817,5,11051
HT4BVJT00003,HT4BTJT00127,37710,14,538,26150,6,10993
HT4BVJT00003,HT4CWJT00250,24857,8,399,12111,8,12360
HT4BVJT00003,HT4BVJT00189,17496,13,512,6482,7,10517
HT4BVJT00189,HT4BVJT00189,26394,20,110,15894,5,10381
HT4BVJT00189,HT4BVJT00003,20177,48,394,8258,5,11496
HT4BTJT00127,HT4CWJT00250,21204,43,764,8259,10,12155
HT4BVJT00189,HT4CWJT00250,33800,18,710,20363,9,12698
HT4BVJT00003,HT4CWJT00250,10353,10,1016,25,6,9318
HT4BTJT00127,HT4CWJT00250,17736,11,1121,7790,6,8846
HT4CWJT00250,HT4BVJT00003,10210,12,699,19,8,9503
HT4BVJT00003,HT4BVJT00003,14758,18,132,5537,5,9067
HT4BVJT00189,HT4BVJT00189,9391,42,166,17,5,9200
HT4CWJT00250,HT4CWJT00250,9040,44,87,14,3,8931
HT4BTJT00127,HT4CWJT00250,11517,7,465,1840,7,9199
HT4CWJT00250,HT4BVJT00003,21449,6,518,10573,6,10378
HT4BVJT00003,HT4BVJT00003,10711,35,144,22,6,10538
HT4BVJT00189,HT4CWJT00250,11879,7,748,1682,4,9487
HT4BVJT00189,HT4BVJT00189,9646,26,150,17,11,9438
HT4CWJT00250,HT4BVJT00189,17460,56,954,6398,5,10066
HT4BTJT00127,HT4CWJT00250,10625,8,626,2679,6,7325
HT4BTJT00127,HT4CWJT00250,17613,10,666,7806,4,9157
HT4BTJT00127,HT4BVJT00189,18025,8,555,7734,4,9754
HT4CWJT00250,HT4BVJT00189,26308,18,963,14822,4,10507
HT4CWJT00250,HT4BVJT00189,36373,7,834,25263,4,10349
HT4CWJT00250,HT4BVJT00003,9561,5,460,14,5,9062
HT4BTJT00127,HT4BVJT00003,18301,21,349,8634,3,9161
HT4CWJT00250,HT4CWJT00250,9624,15,194,27,7,9419
HT4BTJT00127,HT4CWJT00250,14881,22,608,5164,3,9137
HT4BVJT00189,HT4CWJT00250,24353,21,1369,13265,6,9627
HT4BVJT00003,HT4BVJT00003,10898,10,170,875,5,9866
HT4BVJT00189,HT4BVJT00003,16405,9,1519,7362,9,7484
HT4BVJT00189,HT4BVJT00003,26160,25,1927,14357,7,9779
HT4BVJT00189,HT4BVJT00003,35317,19,1624,23960,6,9739
HT4BVJT00189,HT4BVJT00189,16735,6,77,5937,5,10718
HT4BVJT00189,HT4BTJT00127,11170,17,973,22,10,10090
HT4BVJT00189,HT4BTJT00127,19750,10,1049,9546,8,8980
HT4BVJT00003,HT4CWJT00250,15763,51,797,5610,7,9333
HT4BVJT00189,HT4CWJT00250,23308,11,706,13252,5,9354
