ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,11687,30,147,14,3,11528
HT4BTJT00127,HT4BTJT00127,10442,9,124,18,3,10327
HT4BVJT00003,HT4BVJT00003,20112,12,69,9906,3,10127
HT4BVJT00003,HT4BVJT00003,28299,15,78,18540,2,9669
HT4CWJT00250,HT4CWJT00250,9875,18,96,25,2,9737
HT4BVJT00189,HT4BVJT00189,10764,15,28,21,3,10701
HT4BVJT00003,HT4BVJT00189,15437,23,190,5064,3,10142
HT4BVJT00003,HT4BVJT00189,24070,8,232,13360,2,10461
HT4CWJT00250,HT4BVJT00189,33907,25,232,23179,2,10497
HT4BTJT00127,HT4CWJT00250,9323,18,223,16,4,9073
HT4CWJT00250,HT4CWJT00250,13721,49,68,4316,2,9327
HT4BVJT00003,HT4BTJT00127,10589,50,233,8,3,10290
HT4BVJT00189,HT4BTJT00127,17810,6,239,7017,3,10552
HT4BVJT00189,HT4CWJT00250,15981,7,375,6149,2,9439
HT4CWJT00250,HT4BVJT00003,9547,4,208,29,5,9334
HT4BTJT00127,HT4BTJT00127,19299,11,98,9093,9,10093
HT4BTJT00127,HT4CWJT00250,17776,6,123,8208,2,9440
HT4BTJT00127,HT4BVJT00189,14063,8,95,3437,2,10511
HT4CWJT00250,HT4BVJT00003,9897,52,221,28,3,9597
HT4BVJT00003,HT4BVJT00003,19481,88,68,9615,1,9745
HT4CWJT00250,HT4BVJT00003,29551,16,148,19218,5,10193
HT4CWJT00250,HT4CWJT00250,18436,5,22,8868,2,9544
HT4BTJT00127,HT4BTJT00127,17818,12,79,7767,4,9994
HT4BVJT00003,HT4BVJT00189,18740,12,178,7864,3,10655
HT4CWJT00250,HT4CWJT00250,16035,5,36,6120,2,9870
HT4BTJT00127,HT4BTJT00127,12657,13,13,2143,2,10484
HT4BVJT00189,HT4BVJT00189,14276,7,58,3146,2,11083
HT4BVJT00189,HT4CWJT00250,29238,5,339,18373,3,10537
HT4BVJT00189,HT4CWJT00250,18627,15,217,8318,3,10077
HT4BVJT00189,HT4BVJT00003,17273,11,257,6522,4,10511
HT4BVJT00003,HT4BTJT00127,17229,6,178,6150,12,10825
HT4BVJT00003,HT4BVJT00003,20627,6,18,9818,3,10783
HT4BVJT00189,HT4BVJT00003,31567,19,109,20436,2,11001
HT4BVJT00189,HT4BTJT00127,21109,13,272,9742,3,11027
HT4BVJT00189,HT4BTJT00127,31951,9,296,20195,4,11425
HT4BVJT00003,HT4BVJT00189,10944,6,172,13,3,10754
HT4BVJT00189,HT4BVJT00189,16638,13,65,5736,3,10848
HT4BVJT00189,HT4CWJT00250,19652,15,185,8821,3,10621
HT4CWJT00250,HT4BVJT00189,21336,16,170,10133,2,11004
HT4BVJT00189,HT4CWJT00250,23623,9,187,12416,3,11008
HT4BVJT00189,HT4BVJT00003,20775,6,142,9167,3,11416
HT4BVJT00189,HT4BTJT00127,20483,9,228,8830,4,11408
HT4BVJT00189,HT4BVJT00189,20882,39,83,9707,3,11061
HT4BVJT00189,HT4CWJT00250,27581,45,143,16098,2,11279
HT4BVJT00189,HT4CWJT00250,39295,14,173,27094,5,12027
HT4BTJT00127,HT4BVJT00003,21688,40,200,9610,8,11805
HT4BVJT00003,HT4BVJT00003,10220,33,74,38,2,10086
HT4BTJT00127,HT4BTJT00127,10413,20,141,34,2,10256
HT4BVJT00003,HT4BVJT00003,18142,42,39,8534,4,9525
HT4BVJT00003,HT4BVJT00003,26313,40,38,16526,3,9714
HT4CWJT00250,HT4CWJT00250,9980,50,114,17,2,9835
HT4BVJT00189,HT4BVJT00189,10687,41,42,25,3,10580
HT4BVJT00003,HT4BVJT00189,15203,6,170,4931,3,10084
HT4BVJT00003,HT4BVJT00189,23724,5,379,13018,3,10358
HT4CWJT00250,HT4BVJT00189,33527,22,202,22918,3,10416
HT4BTJT00127,HT4BVJT00003,12370,19,293,1699,4,10375
HT4CWJT00250,HT4BVJT00003,17349,10,249,7163,13,9924
HT4BVJT00003,HT4CWJT00250,9529,46,248,27,4,9205
HT4BVJT00189,HT4CWJT00250,15532,5,255,5918,3,9323
HT4BVJT00189,HT4BTJT00127,9748,5,374,8,3,9389
HT4CWJT00250,HT4BVJT00003,18287,4,129,7780,3,10370
HT4BTJT00127,HT4CWJT00250,16523,15,199,6675,3,9571
HT4BTJT00127,HT4BTJT00127,12088,5,36,2067,3,9980
HT4BTJT00127,HT4BTJT00127,18032,12,86,8178,4,9771
HT4CWJT00250,HT4CWJT00250,17969,13,67,8259,2,9659
HT4BVJT00003,HT4CWJT00250,27567,6,128,17739,6,9681
HT4CWJT00250,HT4BVJT00003,17016,34,170,6302,4,10497
HT4CWJT00250,HT4BVJT00189,10720,11,178,19,8,10495
HT4BTJT00127,HT4BVJT00189,21051,15,217,9975,3,10876
HT4BVJT00003,HT4BVJT00189,31457,5,343,20328,4,10777
HT4CWJT00250,HT4BTJT00127,10924,10,177,510,12,10214
HT4BTJT00127,HT4CWJT00250,18566,8,112,8570,3,9872
HT4BVJT00189,HT4CWJT00250,28614,10,197,18019,2,10319
HT4BVJT00189,HT4BTJT00127,24223,6,470,13144,4,10587
HT4BVJT00189,HT4BTJT00127,13569,8,376,3054,2,10118
HT4BVJT00189,HT4BTJT00127,34560,9,327,23322,3,10928
HT4BVJT00003,HT4BVJT00003,11335,30,65,19,2,11252
