ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10141,23,62,25,4,10067
HT4BTJT00127,HT4BTJT00127,10530,10,16,18,2,10492
HT4BVJT00003,HT4BVJT00003,18398,52,10,8466,2,9866
HT4CWJT00250,HT4CWJT00250,9972,18,21,18,3,9916
HT4BVJT00189,HT4BVJT00189,11334,15,58,24,3,11239
HT4CWJT00250,HT4BVJT00189,13620,12,74,3213,4,10318
HT4BTJT00127,HT4CWJT00250,9207,68,91,29,5,9013
HT4CWJT00250,HT4CWJT00250,13408,6,10,4250,2,9144
HT4BVJT00189,HT4BVJT00003,9509,53,101,27,6,9324
HT4BVJT00189,HT4CWJT00250,15452,40,91,6020,1,9303
HT4CWJT00250,HT4BVJT00003,13814,6,67,4146,2,9538
HT4BVJT00003,HT4BTJT00127,9556,7,62,36,4,9449
HT4BTJT00127,HT4BTJT00127,16694,15,49,6975,2,9650
HT4BTJT00127,HT4CWJT00250,17391,12,58,7813,1,9508
HT4BVJT00189,HT4BVJT00003,16822,90,67,6890,3,9764
HT4BVJT00189,HT4BTJT00127,19072,9,59,9109,2,9895
HT4CWJT00250,HT4BVJT00189,9863,7,76,31,6,9634
HT4CWJT00250,HT4BVJT00189,19675,43,49,9373,2,10211
HT4CWJT00250,HT4CWJT00250,18007,8,47,8446,1,9506
HT4BVJT00189,HT4BVJT00003,17696,6,106,7731,1,9853
HT4BVJT00003,HT4CWJT00250,24681,6,75,14893,1,9706
HT4BVJT00003,HT4BTJT00127,17483,7,58,7403,2,10012
HT4BVJT00189,HT4BVJT00189,18571,11,51,8082,1,10425
HT4BVJT00189,HT4BVJT00003,18382,18,46,8292,2,10027
HT4BVJT00189,HT4CWJT00250,26258,16,34,16352,1,9853
HT4CWJT00250,HT4BVJT00003,27272,12,57,16812,1,10382
HT4BTJT00127,HT4BTJT00127,17929,4,8,9638,3,8274
HT4BVJT00189,HT4BVJT00189,20899,11,12,10314,7,10555
HT4BVJT00189,HT4CWJT00250,26744,13,49,16448,2,10221
HT4BVJT00003,HT4CWJT00250,37027,14,41,26476,1,10504
HT4BTJT00127,HT4CWJT00250,47442,5,37,36779,2,10607
HT4BVJT00189,HT4CWJT00250,58372,8,51,47312,2,10986
HT4BVJT00189,HT4BVJT00003,25938,6,51,14893,2,10975
HT4BVJT00189,HT4BTJT00127,17045,5,47,6232,6,10754
HT4BVJT00189,HT4BVJT00189,20263,5,49,9610,2,10596
HT4BVJT00189,HT4BTJT00127,26835,12,67,15751,2,11003
HT4BTJT00127,HT4BTJT00127,29883,9,10,18505,1,11364
HT4BTJT00127,HT4BTJT00127,41179,5,7,29695,1,11473
HT4BTJT00127,HT4BVJT00189,20594,5,71,9917,5,10590
HT4BVJT00189,HT4BVJT00003,20555,5,68,9345,2,11124
HT4BVJT00003,HT4BVJT00003,31513,12,16,20048,2,11437
HT4CWJT00250,HT4BVJT00189,27456,12,79,16795,1,10559
HT4BVJT00189,HT4BVJT00003,40022,11,47,28373,3,11575
HT4BVJT00003,HT4BTJT00127,45598,6,69,33263,4,12255
HT4BVJT00189,HT4BVJT00189,28165,7,49,17353,2,10750
HT4BVJT00003,HT4BVJT00003,10032,46,23,22,3,9946
HT4BTJT00127,HT4BTJT00127,10287,59,47,27,3,10162
HT4BVJT00003,HT4BVJT00003,17823,18,23,8398,3,9390
HT4CWJT00250,HT4CWJT00250,10239,9,14,16,2,10199
HT4BVJT00189,HT4BVJT00189,10437,16,55,22,2,10375
HT4CWJT00250,HT4BVJT00189,12471,15,78,2302,2,10063
HT4BTJT00127,HT4BVJT00003,9364,17,55,19,3,9259
HT4CWJT00250,HT4BVJT00003,13900,26,65,4225,3,9516
HT4BVJT00189,HT4BTJT00127,9427,44,75,20,5,9272
HT4BVJT00189,HT4BVJT00003,16437,9,63,6652,1,9697
HT4CWJT00250,HT4BTJT00127,13659,14,139,3932,5,9571
HT4BVJT00003,HT4CWJT00250,9033,9,53,10,2,8952
HT4BTJT00127,HT4CWJT00250,15798,5,59,6455,2,9064
HT4BTJT00127,HT4BVJT00003,18546,9,52,8725,4,9746
HT4BVJT00189,HT4BTJT00127,16846,43,63,6868,4,9804
HT4BVJT00189,HT4CWJT00250,17302,26,70,7960,2,9244
HT4CWJT00250,HT4BVJT00189,9792,13,71,30,3,9676
HT4CWJT00250,HT4BVJT00189,19646,14,45,9446,2,10132
HT4CWJT00250,HT4BTJT00127,19170,11,63,9177,1,9911
HT4BVJT00189,HT4BVJT00003,18177,33,35,8149,3,9949
HT4BVJT00003,HT4BVJT00003,26986,5,8,16552,2,10420
HT4BVJT00003,HT4CWJT00250,15029,4,61,5631,6,9318
HT4BVJT00189,HT4BVJT00189,18654,6,26,8155,4,10471
HT4BVJT00189,HT4BTJT00127,18581,6,94,8296,1,10187
HT4BVJT00189,HT4CWJT00250,21130,6,79,11708,2,9332
HT4CWJT00250,HT4BVJT00003,28567,4,143,17590,1,10824
HT4BTJT00127,HT4CWJT00250,26097,44,80,16440,2,9526
HT4BVJT00189,HT4BTJT00127,22719,5,86,12018,1,10581
HT4BVJT00189,HT4BVJT00189,16863,9,45,6474,3,10332
HT4BVJT00003,HT4BVJT00189,27194,13,124,16507,5,10516
HT4BTJT00127,HT4BVJT00003,30495,31,80,19312,2,11113
HT4BVJT00189,HT4BVJT00003,41759,11,65,30349,2,11321
HT4BVJT00189,HT4CWJT00250,27061,5,77,17355,2,9621
HT4BVJT00189,HT4BTJT00127,23235,8,50,12260,1,10905
HT4BVJT00189,HT4BVJT00189,30479,61,14,19901,2,10501
HT4BVJT00189,HT4BVJT00189,40676,14,51,30058,2,10547
HT4BTJT00127,HT4CWJT00250,24453,4,63,14444,1,9939
HT4BTJT00127,HT4CWJT00250,34563,5,30,24233,1,10199
HT4BTJT00127,HT4BTJT00127,23097,5,47,11979,2,11068
HT4BVJT00189,HT4BVJT00003,33647,5,54,22135,2,11441
HT4BVJT00003,HT4BTJT00127,31728,42,56,20305,2,11314
HT4CWJT00250,HT4CWJT00250,39790,75,48,29234,1,10470
HT4BVJT00189,HT4BVJT00003,41908,9,42,30025,2,11812
HT4BVJT00003,HT4BTJT00127,40126,7,70,27980,2,12060
HT4BVJT00189,HT4BVJT00189,27562,16,48,16947,4,10550
HT4BVJT00003,HT4BVJT00003,10103,21,34,29,3,10018
HT4BTJT00127,HT4BTJT00127,10519,33,34,32,2,10426
HT4BVJT00003,HT4BVJT00003,17916,18,17,8387,2,9495
HT4CWJT00250,HT4CWJT00250,9932,53,49,20,3,9806
HT4BVJT00189,HT4BVJT00189,10745,45,24,56,2,10621
HT4CWJT00250,HT4BVJT00189,12931,5,76,2648,1,10189
HT4BTJT00127,HT4BVJT00003,9576,20,82,31,2,9429
HT4CWJT00250,HT4BVJT00003,14578,22,56,4538,2,9955
HT4BVJT00189,HT4CWJT00250,9174,10,92,27,2,9032
HT4BVJT00189,HT4BVJT00003,17436,28,86,7270,3,10057
HT4CWJT00250,HT4CWJT00250,13066,10,46,3795,1,9213
HT4BVJT00003,HT4BVJT00189,10175,12,51,19,9,10085
HT4BTJT00127,HT4BVJT00189,18102,20,73,7564,1,10446
HT4BTJT00127,HT4CWJT00250,16974,22,72,7592,2,9282
HT4BVJT00189,HT4BVJT00003,18554,6,57,8426,1,10060
HT4BVJT00189,HT4BTJT00127,9711,10,66,28,10,9598
HT4CWJT00250,HT4BVJT00189,20613,4,50,9892,1,10665
HT4CWJT00250,HT4BVJT00189,31145,4,50,20250,2,10834
HT4CWJT00250,HT4CWJT00250,17584,13,56,8056,2,9495
HT4BVJT00189,HT4BVJT00003,19978,9,29,9512,2,10423
HT4BVJT00003,HT4BTJT00127,12789,20,81,2999,2,9683
HT4BVJT00003,HT4CWJT00250,19040,5,63,9382,1,9591
HT4BVJT00189,HT4BTJT00127,16782,14,58,6901,1,9809
HT4BVJT00189,HT4CWJT00250,26283,6,45,16356,1,9866
HT4BVJT00189,HT4BVJT00003,20910,6,32,10054,6,10810
HT4CWJT00250,HT4BVJT00003,31136,6,58,19890,3,11179
HT4BTJT00127,HT4BTJT00127,19761,6,13,9778,1,9970
HT4BVJT00189,HT4BTJT00127,28850,6,94,18364,2,10383
HT4BVJT00189,HT4BVJT00189,18339,7,46,7516,2,10768
HT4BVJT00003,HT4CWJT00250,26151,11,27,15730,1,10340
HT4BTJT00127,HT4CWJT00250,36526,5,40,25877,1,10596
HT4BVJT00189,HT4CWJT00250,47299,12,55,36372,1,10861
HT4BVJT00189,HT4BVJT00003,30321,41,87,18704,1,11502
HT4BVJT00189,HT4BTJT00127,29138,6,70,18398,2,10669
HT4BVJT00189,HT4BVJT00189,21680,45,9,10875,4,10750
HT4BVJT00189,HT4BVJT00189,32178,5,6,21321,2,10837
HT4BTJT00127,HT4BTJT00127,30507,8,55,19560,2,10886
HT4BTJT00127,HT4BTJT00127,41645,12,16,30298,1,11323
HT4BTJT00127,HT4BVJT00003,27898,5,62,16109,3,11714
HT4BVJT00189,HT4BVJT00189,28576,8,16,19866,5,8684
HT4BVJT00003,HT4CWJT00250,38445,6,49,27291,3,11093
