ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10188,12,111,22,4,10074
HT4BTJT00127,HT4BTJT00127,10582,11,128,46,8,10422
HT4CWJT00250,HT4CWJT00250,10030,43,122,40,6,9848
HT4BVJT00003,HT4BVJT00003,10338,18,85,762,4,9474
HT4BVJT00189,HT4BVJT00189,10759,10,131,36,12,10617
HT4CWJT00250,HT4BVJT00189,12862,26,472,2227,6,10109
HT4BTJT00127,HT4BVJT00003,10186,9,462,19,6,9715
HT4CWJT00250,HT4BVJT00003,24954,8,637,14483,9,9842
HT4BVJT00003,HT4BVJT00003,14781,12,157,4794,10,9848
HT4BVJT00189,HT4CWJT00250,9754,6,396,16,4,9338
HT4BVJT00189,HT4CWJT00250,16141,28,502,6164,6,9464
HT4CWJT00250,HT4BVJT00189,11502,5,570,18,5,10939
HT4BTJT00127,HT4BVJT00189,19075,7,677,7548,7,10874
HT4BTJT00127,HT4CWJT00250,17926,10,547,8025,4,9365
HT4BTJT00127,HT4BVJT00003,16084,12,374,5926,7,9684
HT4CWJT00250,HT4BTJT00127,11332,43,389,31,13,10867
HT4CWJT00250,HT4BTJT00127,20528,6,257,10814,4,9430
HT4CWJT00250,HT4CWJT00250,18481,7,51,9033,5,9389
HT4BTJT00127,HT4BVJT00189,18163,46,321,7236,4,10586
HT4CWJT00250,HT4CWJT00250,16122,8,76,6124,6,9907
HT4BTJT00127,HT4BVJT00003,10462,10,320,21,6,10130
HT4BVJT00189,HT4BVJT00003,20499,20,463,9680,8,10356
HT4BVJT00003,HT4BVJT00189,12031,44,641,334,6,10998
HT4BVJT00189,HT4CWJT00250,18162,46,808,7837,5,9474
HT4BVJT00189,HT4CWJT00250,28136,11,1091,17005,5,10024
HT4BVJT00189,HT4CWJT00250,37456,12,731,26910,9,9834
HT4BVJT00189,HT4BVJT00003,19847,17,292,8876,4,10627
HT4BVJT00189,HT4BTJT00127,9920,13,537,17,10,9363
HT4BVJT00189,HT4BTJT00127,18967,6,349,9040,6,9566
HT4BVJT00003,HT4BVJT00189,10945,17,455,15,6,10381
HT4BVJT00189,HT4BVJT00189,19912,8,117,8822,5,10985
HT4BVJT00003,HT4BVJT00003,18496,49,157,8079,5,10209
HT4CWJT00250,HT4BTJT00127,16504,5,255,6429,4,9803
HT4BVJT00003,HT4CWJT00250,24660,12,787,13822,7,10074
HT4BVJT00003,HT4BVJT00189,21662,7,446,10625,4,10768
HT4BVJT00003,HT4BVJT00003,19658,6,166,8881,6,10639
HT4BVJT00189,HT4BTJT00127,18702,14,494,8280,8,9913
HT4BVJT00189,HT4CWJT00250,23871,17,416,13437,6,10021
HT4BTJT00127,HT4BTJT00127,18040,14,129,7827,6,10089
HT4BVJT00189,HT4BTJT00127,28377,45,290,17540,5,10468
HT4BVJT00003,HT4BVJT00003,10022,12,102,18,5,9923
HT4BTJT00127,HT4BTJT00127,10337,12,143,54,5,10157
HT4CWJT00250,HT4CWJT00250,9644,52,127,43,6,9447
HT4BVJT00003,HT4BVJT00003,9716,22,120,432,5,9167
HT4BVJT00189,HT4BVJT00189,10325,14,156,82,6,10114
HT4CWJT00250,HT4BVJT00189,11753,11,467,1879,12,9421
HT4BTJT00127,HT4CWJT00250,9634,45,608,23,4,8987
HT4CWJT00250,HT4CWJT00250,13464,6,130,4573,5,8785
HT4BVJT00003,HT4CWJT00250,22196,23,635,12506,7,9063
HT4BVJT00189,HT4BVJT00003,9358,11,337,22,5,9017
HT4BVJT00189,HT4BVJT00003,15268,32,440,5840,5,9000
HT4CWJT00250,HT4BVJT00189,10523,48,543,17,9,9946
HT4BTJT00127,HT4BVJT00189,17026,8,511,6849,11,9680
HT4BTJT00127,HT4BVJT00189,24884,30,411,14499,6,9911
HT4BTJT00127,HT4CWJT00250,12853,7,501,3365,4,9002
HT4CWJT00250,HT4CWJT00250,19777,19,93,10560,4,9133
HT4CWJT00250,HT4CWJT00250,29021,8,49,19438,2,9524
HT4CWJT00250,HT4BVJT00003,9449,10,290,12,4,9131
HT4BTJT00127,HT4BVJT00003,18473,6,282,8677,5,9516
HT4CWJT00250,HT4BVJT00189,14262,9,410,3310,7,10563
HT4BTJT00127,HT4BVJT00003,12115,12,339,2447,5,9304
HT4BVJT00189,HT4BVJT00003,21241,44,358,11322,7,9498
HT4BVJT00003,HT4BVJT00003,29932,18,168,19963,6,9809
HT4BVJT00189,HT4CWJT00250,15999,17,973,5837,8,9081
HT4BVJT00189,HT4CWJT00250,25006,23,1246,14527,6,9203
HT4BVJT00189,HT4CWJT00250,33769,19,897,23641,6,9236
HT4BVJT00189,HT4BVJT00189,10333,12,69,20,6,10228
HT4BVJT00189,HT4BVJT00189,18688,44,103,8382,8,10176
HT4BVJT00189,HT4BVJT00189,28469,11,131,18050,11,10303
HT4BVJT00003,HT4BTJT00127,9809,18,583,14,9,9215
HT4BVJT00189,HT4BTJT00127,16986,19,779,7137,4,9071
HT4BVJT00003,HT4BVJT00003,17905,10,154,8151,15,9591
HT4CWJT00250,HT4BVJT00003,24277,5,396,14396,9,9504
HT4BVJT00003,HT4BVJT00003,33115,26,174,23386,5,9562
HT4BVJT00003,HT4BTJT00127,17491,11,302,7685,4,9469
HT4BVJT00003,HT4CWJT00250,14742,9,377,4902,7,9448
HT4BVJT00189,HT4BVJT00189,18735,6,154,8371,6,10232
HT4BVJT00189,HT4BTJT00127,17776,19,737,7852,3,9191
HT4BTJT00127,HT4CWJT00250,21023,19,785,11018,5,9210
HT4BVJT00189,HT4CWJT00250,11632,25,538,1891,3,9191
HT4BVJT00003,HT4BVJT00003,10117,9,101,19,4,10014
HT4BTJT00127,HT4BTJT00127,10364,48,114,38,6,10183
HT4CWJT00250,HT4CWJT00250,10202,11,128,29,7,10061
HT4BVJT00003,HT4BVJT00003,9858,12,123,558,5,9209
HT4BVJT00189,HT4BVJT00189,10859,11,181,28,6,10673
HT4CWJT00250,HT4BVJT00189,12616,21,305,2556,4,9762
HT4BTJT00127,HT4BVJT00003,9773,8,342,15,6,9399
HT4CWJT00250,HT4BVJT00003,23597,80,699,13293,14,9560
HT4BVJT00003,HT4BVJT00003,13706,6,163,4312,3,9252
HT4BVJT00189,HT4CWJT00250,9868,18,585,26,5,9268
HT4BVJT00189,HT4CWJT00250,16057,5,569,6270,4,9262
HT4CWJT00250,HT4BTJT00127,10148,5,696,24,7,9456
HT4BTJT00127,HT4BTJT00127,16341,29,300,6573,4,9473
HT4BTJT00127,HT4BVJT00003,18404,15,407,8372,5,9599
HT4BTJT00127,HT4CWJT00250,13836,8,524,4149,9,9183
HT4CWJT00250,HT4BTJT00127,17599,14,325,7864,4,9408
HT4CWJT00250,HT4BTJT00127,27490,13,161,17151,3,10180
HT4CWJT00250,HT4CWJT00250,18037,4,39,8734,3,9259
HT4BTJT00127,HT4BVJT00003,18988,18,258,8764,4,9932
HT4CWJT00250,HT4CWJT00250,15467,13,122,5655,8,9702
HT4BTJT00127,HT4BVJT00003,12935,13,482,2824,4,9649
HT4BVJT00189,HT4BVJT00003,22773,9,510,12124,5,10163
HT4BVJT00003,HT4BTJT00127,17363,15,659,6653,6,10056
HT4BVJT00189,HT4CWJT00250,17399,27,1015,6978,6,9354
HT4BVJT00189,HT4CWJT00250,26847,43,1304,15999,5,9515
HT4BVJT00189,HT4CWJT00250,35929,42,953,25382,5,9575
HT4BVJT00189,HT4BTJT00127,17010,42,696,6505,6,9802
HT4BVJT00189,HT4BVJT00003,19704,6,522,9133,6,10104
HT4BVJT00189,HT4BVJT00003,29312,39,431,18733,7,10126
HT4BVJT00003,HT4BVJT00189,10523,51,676,19,6,9762
HT4BVJT00189,HT4BTJT00127,18602,10,453,8317,5,9842
HT4BVJT00003,HT4BVJT00189,15595,50,474,4906,5,10168
HT4CWJT00250,HT4CWJT00250,23257,6,121,13671,4,9459
HT4BVJT00003,HT4BVJT00003,26885,14,140,16219,6,10546
HT4BVJT00003,HT4BVJT00189,19944,9,318,9479,4,10167
HT4BVJT00003,HT4BTJT00127,15768,5,354,5217,4,9880
HT4BVJT00189,HT4CWJT00250,25051,10,566,15098,4,9532
HT4BVJT00189,HT4BVJT00003,26320,16,301,15802,6,10218
HT4BTJT00127,HT4BTJT00127,13481,20,141,3540,6,9829
HT4BVJT00189,HT4BTJT00127,23374,48,300,13007,6,10000
HT4BVJT00003,HT4BVJT00003,10428,9,88,87,6,10268
HT4BTJT00127,HT4BTJT00127,10910,20,162,40,7,10710
HT4CWJT00250,HT4CWJT00250,10631,34,102,43,5,10450
HT4BVJT00003,HT4BVJT00003,10577,13,110,884,5,9594
HT4BVJT00189,HT4BVJT00189,12280,8,128,31,7,12122
HT4CWJT00250,HT4BVJT00189,15273,7,461,3865,4,10930
HT4BTJT00127,HT4BVJT00003,10757,7,417,22,16,10293
HT4CWJT00250,HT4BVJT00003,25789,43,585,15028,8,10174
HT4BVJT00003,HT4BVJT00003,15321,22,148,5313,12,9866
HT4BVJT00189,HT4CWJT00250,11020,6,659,20,5,10401
HT4BVJT00189,HT4CWJT00250,18392,12,620,7312,4,10447
HT4CWJT00250,HT4BTJT00127,10381,5,647,19,6,9691
HT4BTJT00127,HT4BTJT00127,17455,7,158,6917,4,10402
HT4BTJT00127,HT4BVJT00189,11609,14,650,32,6,10893
HT4BTJT00127,HT4BVJT00003,17348,5,379,6819,4,10172
HT4CWJT00250,HT4BTJT00127,19186,39,288,8961,5,9889
HT4CWJT00250,HT4BTJT00127,28999,5,190,18549,5,10079
HT4CWJT00250,HT4CWJT00250,12220,5,119,1806,4,10309
HT4BTJT00127,HT4CWJT00250,22528,9,478,11263,3,10798
HT4CWJT00250,HT4BVJT00003,11558,4,368,24,8,11189
HT4BTJT00127,HT4BVJT00003,18759,5,383,7289,7,11118
HT4BVJT00189,HT4BVJT00003,30154,7,568,17943,6,11623
HT4BVJT00003,HT4BTJT00127,19377,13,667,8118,6,10594
HT4BVJT00189,HT4CWJT00250,13702,30,539,2666,4,10462
HT4BVJT00189,HT4CWJT00250,24738,39,599,13022,4,11075
HT4BVJT00189,HT4CWJT00250,35981,11,340,23951,4,11614
HT4BVJT00189,HT4BTJT00127,20050,27,520,8747,5,10789
HT4BVJT00189,HT4BVJT00189,11148,24,104,30,7,11012
HT4BVJT00189,HT4BVJT00189,21892,12,110,10571,19,11211
HT4BVJT00003,HT4BTJT00127,24846,23,347,13286,10,11133
HT4BVJT00189,HT4BVJT00003,22409,11,413,10071,7,11913
HT4BVJT00003,HT4BTJT00127,31391,6,376,19328,8,11661
HT4CWJT00250,HT4BVJT00189,20581,5,325,9351,5,10927
HT4BVJT00003,HT4BVJT00003,27191,6,172,15200,6,11834
HT4BVJT00003,HT4CWJT00250,23247,18,465,10606,4,12181
HT4BVJT00003,HT4BTJT00127,33447,21,345,21453,6,11660
HT4BVJT00189,HT4BVJT00003,32488,13,432,19771,15,12279
HT4BVJT00189,HT4BVJT00189,19585,5,112,8953,6,10549
HT4BTJT00127,HT4CWJT00250,31810,6,876,18639,8,12308
HT4BVJT00189,HT4CWJT00250,19362,9,350,6963,5,12016
HT4BVJT00003,HT4BVJT00003,10314,27,97,19,10,10192
