ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,9554,9,248,20,2,9277
HT4BTJT00127,HT4CWJT00250,17369,12,198,7908,2,9222
HT4BVJT00003,HT4CWJT00250,26564,6,290,16917,2,9384
HT4BVJT00003,HT4BVJT00003,9462,19,80,18,8,9366
HT4CWJT00250,HT4BVJT00003,17173,55,220,7304,3,9601
HT4BVJT00189,HT4BVJT00189,9751,10,53,12,3,9703
HT4BVJT00003,HT4BVJT00003,13964,6,45,3968,2,9958
HT4BVJT00003,HT4CWJT00250,17466,6,208,7871,2,9381
HT4CWJT00250,HT4BVJT00189,11731,51,172,1439,4,10092
HT4BTJT00127,HT4BVJT00003,14648,15,167,4539,3,9912
HT4CWJT00250,HT4CWJT00250,14611,12,55,5039,3,9516
HT4BVJT00003,HT4BVJT00003,16659,56,121,8765,2,7751
HT4BVJT00189,HT4BVJT00189,10249,69,117,16,5,10077
HT4BVJT00189,HT4CWJT00250,17056,6,295,7148,3,9624
HT4CWJT00250,HT4BVJT00189,15388,19,126,4816,4,10417
HT4BTJT00127,HT4BVJT00003,14885,17,270,4408,3,10179
HT4BTJT00127,HT4BVJT00189,20326,22,139,9794,2,10367
HT4BTJT00127,HT4CWJT00250,15202,14,93,5480,2,9601
HT4CWJT00250,HT4BVJT00003,27863,12,149,16816,9,10868
HT4BVJT00003,HT4BVJT00003,16938,5,40,6593,4,10313
HT4CWJT00250,HT4BVJT00003,38697,18,116,27487,3,11066
HT4CWJT00250,HT4BTJT00127,9736,6,147,76,8,9452
HT4BTJT00127,HT4BTJT00127,18591,5,17,9175,1,9395
HT4BVJT00003,HT4CWJT00250,19246,10,185,8992,2,9961
HT4CWJT00250,HT4CWJT00250,18201,45,48,7732,2,10380
HT4BTJT00127,HT4BTJT00127,12275,5,31,2914,3,9333
HT4BVJT00189,HT4BTJT00127,21574,27,270,11684,3,9632
HT4BVJT00189,HT4BVJT00189,22018,25,106,11015,12,10896
HT4BVJT00189,HT4BVJT00189,11047,6,72,17,2,10997
HT4BVJT00189,HT4CWJT00250,20481,41,305,9866,9,10300
HT4BVJT00003,HT4CWJT00250,28936,5,136,18168,3,10612
HT4BVJT00003,HT4BVJT00003,19711,11,72,8451,2,11215
HT4BVJT00189,HT4BVJT00003,30632,24,128,19462,4,11014
HT4BVJT00189,HT4BTJT00127,18080,13,183,8227,6,9637
HT4BVJT00189,HT4BTJT00127,27218,13,239,17249,3,9748
HT4BVJT00003,HT4BVJT00189,21721,13,185,10636,3,10875
HT4BVJT00189,HT4CWJT00250,25941,18,253,15081,3,10613
HT4BVJT00189,HT4BTJT00127,27764,6,168,17360,5,10218
HT4CWJT00250,HT4BVJT00189,21018,13,119,10051,2,10830
HT4BVJT00189,HT4CWJT00250,25332,6,205,14867,3,10240
HT4BVJT00189,HT4BVJT00003,19486,10,156,8227,3,11099
HT4BVJT00189,HT4BVJT00189,21012,7,29,10378,4,10593
HT4BVJT00189,HT4BTJT00127,22012,14,185,13590,3,8255
HT4BVJT00189,HT4CWJT00250,28582,42,184,17779,3,10493
HT4BVJT00189,HT4CWJT00250,38929,6,123,28033,3,10765
HT4BTJT00127,HT4BVJT00003,20155,5,207,8444,3,11526
