ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,8995,46,63,10,3,8873
HT4BTJT00127,HT4CWJT00250,16321,39,106,7382,2,8775
HT4BVJT00003,HT4CWJT00250,25070,26,61,16052,1,8932
HT4CWJT00250,HT4BVJT00003,9248,6,83,20,7,9123
HT4BVJT00189,HT4BVJT00003,10664,27,64,1612,1,8949
HT4CWJT00250,HT4CWJT00250,15152,7,10,6000,2,9135
HT4BTJT00127,HT4CWJT00250,17420,29,80,8196,3,9106
HT4CWJT00250,HT4BVJT00003,9033,5,68,14,3,8935
HT4BVJT00189,HT4CWJT00250,17477,10,84,8250,1,9131
HT4BVJT00189,HT4BVJT00003,10951,43,49,1736,1,9121
HT4CWJT00250,HT4BVJT00003,17780,4,53,8608,2,9113
HT4BVJT00003,HT4BVJT00189,9291,46,58,24,2,9144
HT4BTJT00127,HT4BVJT00189,16210,14,53,6693,2,9448
HT4BTJT00127,HT4CWJT00250,15962,9,56,6708,2,9181
HT4BVJT00189,HT4BTJT00127,9093,5,84,15,5,8982
HT4BVJT00189,HT4BVJT00003,16255,16,55,6934,1,9191
HT4CWJT00250,HT4BVJT00189,17707,7,63,7977,2,9657
HT4CWJT00250,HT4BTJT00127,13010,5,57,3992,2,8953
HT4CWJT00250,HT4CWJT00250,16282,6,54,7028,2,9198
HT4BVJT00189,HT4CWJT00250,24104,6,33,14815,1,9245
HT4BVJT00003,HT4BTJT00127,16445,6,90,7351,3,8993
HT4BVJT00003,HT4BVJT00003,13931,5,7,4579,2,9338
HT4BVJT00189,HT4BVJT00189,15904,5,26,5928,2,9942
HT4BVJT00189,HT4BTJT00127,17705,5,40,8578,1,9082
HT4BVJT00189,HT4CWJT00250,23603,9,51,14172,2,9379
HT4CWJT00250,HT4BVJT00003,19054,5,44,9734,3,9268
HT4BTJT00127,HT4BVJT00189,18838,5,84,8836,2,9909
HT4BVJT00189,HT4CWJT00250,27022,9,135,17527,4,9349
HT4BVJT00189,HT4BTJT00127,16676,7,28,7466,3,9159
HT4BVJT00003,HT4BTJT00127,25658,5,40,16382,4,9227
HT4BTJT00127,HT4BTJT00127,34654,9,12,25451,2,9183
HT4BVJT00189,HT4BVJT00003,19221,42,50,9715,1,9403
