ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4CWJT00250,10274,19,659,27,8,9565
HT4BTJT00127,HT4CWJT00250,18224,47,785,8020,6,9414
HT4CWJT00250,HT4BVJT00003,10164,8,797,25,6,9302
HT4BVJT00003,HT4BVJT00003,15674,45,192,5577,4,9894
HT4BVJT00189,HT4CWJT00250,16429,17,699,6371,8,9369
HT4CWJT00250,HT4BVJT00003,14077,9,258,4228,5,9615
HT4BTJT00127,HT4CWJT00250,10981,6,361,1239,5,9399
HT4CWJT00250,HT4CWJT00250,15492,5,163,5874,4,9465
HT4BVJT00003,HT4CWJT00250,24941,18,283,14866,8,9772
HT4BVJT00189,HT4BVJT00003,10138,18,448,23,22,9642
HT4BVJT00189,HT4BVJT00003,16808,7,419,6701,6,9724
HT4CWJT00250,HT4BTJT00127,10094,20,399,15,12,9682
HT4BTJT00127,HT4BTJT00127,16567,8,111,6696,6,9752
HT4BTJT00127,HT4BVJT00003,18974,6,346,8879,4,9774
HT4BTJT00127,HT4CWJT00250,16019,18,318,6282,4,9398
HT4CWJT00250,HT4BTJT00127,17905,11,328,8078,13,9482
HT4CWJT00250,HT4BTJT00127,27557,10,171,17433,3,9946
HT4CWJT00250,HT4BVJT00189,9885,13,484,17,8,9396
HT4BTJT00127,HT4BVJT00003,19415,6,185,9393,6,9814
HT4CWJT00250,HT4CWJT00250,9825,44,104,20,5,9668
HT4BTJT00127,HT4CWJT00250,15422,17,364,5612,4,9473
HT4BVJT00189,HT4CWJT00250,24662,46,423,14616,5,9606
HT4BVJT00003,HT4BVJT00003,12138,11,103,2117,5,9923
HT4BVJT00189,HT4BTJT00127,15021,12,943,4358,7,9712
HT4BVJT00189,HT4BTJT00127,24739,8,1128,13870,5,9770
HT4BVJT00189,HT4BVJT00003,19855,87,491,8966,4,10340
HT4BVJT00189,HT4BVJT00189,10052,8,92,16,5,9972
HT4BVJT00189,HT4BVJT00189,18487,6,100,8146,6,10272
HT4BVJT00189,HT4BVJT00003,20811,13,441,9585,5,10804
HT4BVJT00003,HT4CWJT00250,16930,9,344,6647,4,9957
HT4BVJT00189,HT4BTJT00127,18393,10,388,8091,7,9927
HT4BVJT00003,HT4BVJT00189,19333,19,654,8180,7,10508
HT4CWJT00250,HT4CWJT00250,18802,14,164,8555,4,10099
HT4BVJT00003,HT4BVJT00003,18277,5,134,7700,4,10476
HT4BVJT00003,HT4BTJT00127,19483,17,341,8990,4,10121
HT4BVJT00003,HT4BVJT00189,20168,20,411,9420,5,10317
HT4BVJT00189,HT4CWJT00250,21159,20,461,10657,6,10044
HT4BVJT00189,HT4BVJT00003,17951,6,264,7217,5,10448
HT4BTJT00127,HT4BTJT00127,14161,16,133,3581,6,10469
HT4BVJT00189,HT4BTJT00127,24728,15,308,13723,5,10710
HT4BVJT00003,HT4CWJT00250,10247,13,726,25,5,9514
HT4BTJT00127,HT4CWJT00250,18347,7,605,8184,5,9422
HT4CWJT00250,HT4BVJT00003,10027,7,500,30,7,9458
HT4BVJT00003,HT4BVJT00003,15711,19,95,5614,6,10012
HT4BVJT00189,HT4CWJT00250,16460,51,838,6115,5,9484
HT4CWJT00250,HT4CWJT00250,17904,9,69,8357,4,9471
HT4BTJT00127,HT4BVJT00003,9979,12,331,14,7,9604
HT4CWJT00250,HT4CWJT00250,15903,13,139,6005,8,9736
HT4BVJT00003,HT4BVJT00003,14526,19,111,4589,5,9830
HT4BVJT00189,HT4BVJT00189,11179,6,53,17,6,11098
HT4BVJT00189,HT4CWJT00250,18588,10,462,8234,18,9865
HT4CWJT00250,HT4BVJT00003,15342,13,333,5066,11,9948
HT4BTJT00127,HT4BVJT00189,12345,37,811,1744,5,9794
HT4BTJT00127,HT4BTJT00127,9543,8,99,12,4,9453
HT4BTJT00127,HT4CWJT00250,16729,13,300,6833,9,9575
