ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,11128,23,40,30,3,11031
HT4BTJT00127,HT4BTJT00127,10364,21,39,28,4,10278
HT4BVJT00003,HT4BVJT00003,19525,12,153,9370,4,9983
HT4BVJT00003,HT4BVJT00003,27457,8,139,17803,3,9539
HT4CWJT00250,HT4CWJT00250,10116,13,119,20,3,10000
HT4BVJT00189,HT4BVJT00189,10682,8,57,19,3,10626
HT4BVJT00003,HT4BVJT00189,15245,5,274,4771,2,10195
HT4BVJT00003,HT4BVJT00189,23894,5,280,13136,5,10400
HT4CWJT00250,HT4BVJT00189,33570,18,187,23007,3,10345
HT4BTJT00127,HT4CWJT00250,9473,59,272,26,6,9105
HT4CWJT00250,HT4CWJT00250,13894,19,61,4434,14,9400
HT4BVJT00003,HT4BVJT00003,9796,5,21,29,5,9736
HT4BVJT00189,HT4BVJT00003,16230,5,191,6232,4,9795
HT4BVJT00189,HT4CWJT00250,16322,6,256,6468,3,9570
HT4CWJT00250,HT4BTJT00127,9558,26,218,7,3,9239
HT4BTJT00127,HT4BVJT00003,17842,5,210,7458,3,10200
HT4BTJT00127,HT4CWJT00250,18197,4,150,8553,3,9515
HT4BTJT00127,HT4BTJT00127,10127,8,20,292,1,9810
HT4CWJT00250,HT4BTJT00127,27639,10,367,17447,3,9832
HT4BVJT00003,HT4BTJT00127,17724,12,254,7513,3,9945
HT4CWJT00250,HT4BTJT00127,37695,17,276,27066,3,10324
HT4CWJT00250,HT4CWJT00250,19286,4,14,9285,2,9984
HT4BTJT00127,HT4BVJT00003,16828,4,142,6249,2,10438
HT4BVJT00003,HT4BVJT00189,10382,7,210,13,3,10180
HT4CWJT00250,HT4CWJT00250,17403,10,53,6884,2,10474
HT4BTJT00127,HT4BVJT00003,12107,8,105,1024,2,10961
HT4BVJT00189,HT4BVJT00189,10428,45,38,11,2,10329
HT4BVJT00189,HT4CWJT00250,31687,7,392,20264,12,10942
HT4BVJT00189,HT4CWJT00250,20669,9,246,9743,2,10563
HT4BVJT00189,HT4CWJT00250,42296,9,237,30775,5,11293
HT4BVJT00003,HT4BVJT00003,16805,10,69,5721,3,11043
HT4BVJT00003,HT4BTJT00127,18180,12,131,7364,2,10602
HT4BVJT00189,HT4BTJT00127,28806,50,156,17697,2,10907
HT4BVJT00189,HT4BVJT00003,18976,13,190,9485,3,9318
HT4BVJT00189,HT4BVJT00189,10560,17,102,10,4,10458
HT4BVJT00003,HT4BVJT00189,20426,19,131,9650,3,10617
HT4BVJT00189,HT4BTJT00127,31871,18,199,20386,3,11264
HT4BVJT00189,HT4BVJT00003,20269,19,195,8540,8,11531
HT4CWJT00250,HT4BVJT00189,19844,6,147,8779,2,10902
HT4BVJT00189,HT4CWJT00250,27495,5,152,15453,3,11867
HT4BVJT00189,HT4BVJT00003,22088,10,178,10001,3,11928
HT4BVJT00189,HT4BVJT00189,19837,9,54,9162,3,10612
HT4BVJT00189,HT4CWJT00250,32851,12,173,20359,4,12321
HT4BVJT00189,HT4CWJT00250,45334,11,136,32371,3,12808
HT4BVJT00189,HT4BTJT00127,24704,5,185,13177,4,11310
HT4BTJT00127,HT4BVJT00003,23458,18,226,10989,3,12230
HT4BVJT00003,HT4BVJT00003,10272,13,117,22,8,10149
HT4BTJT00127,HT4BTJT00127,10378,23,98,31,2,10267
HT4BVJT00003,HT4BVJT00003,18266,51,53,8563,3,9602
HT4BVJT00003,HT4BVJT00003,26671,11,23,16667,3,9965
HT4CWJT00250,HT4CWJT00250,9815,46,33,29,2,9708
HT4BVJT00189,HT4BVJT00189,10883,46,123,40,6,10709
HT4BVJT00003,HT4BVJT00189,15403,5,231,5091,2,10109
HT4BVJT00003,HT4BVJT00189,23917,11,260,13301,3,10338
HT4CWJT00250,HT4BVJT00189,33687,5,199,23152,2,10360
HT4BTJT00127,HT4CWJT00250,9357,13,304,11,3,9059
HT4CWJT00250,HT4CWJT00250,13671,31,25,4304,2,9309
HT4BVJT00003,HT4BVJT00003,9744,17,74,24,2,9670
HT4BVJT00189,HT4BVJT00003,16311,5,264,6138,3,9891
HT4BVJT00189,HT4CWJT00250,16031,25,294,6226,16,9439
HT4CWJT00250,HT4BTJT00127,9707,6,198,13,3,9480
HT4BTJT00127,HT4BVJT00003,17947,27,230,7488,3,10209
HT4BTJT00127,HT4CWJT00250,17809,17,170,8219,2,9443
HT4BTJT00127,HT4BTJT00127,10257,5,53,388,4,9805
HT4CWJT00250,HT4BVJT00003,31236,11,167,20001,2,11030
HT4BVJT00003,HT4BVJT00003,20084,7,21,9622,3,10430
HT4CWJT00250,HT4BVJT00003,42132,10,221,30581,5,11207
HT4CWJT00250,HT4CWJT00250,18494,7,51,8866,3,9571
HT4BTJT00127,HT4BTJT00127,14383,27,50,4700,2,9636
HT4BVJT00003,HT4BTJT00127,23922,5,274,13665,3,9953
HT4CWJT00250,HT4CWJT00250,16140,12,32,6190,2,9922
HT4BTJT00127,HT4BTJT00127,18879,13,72,8605,2,10192
HT4BVJT00189,HT4BTJT00127,29055,12,399,18195,4,10484
HT4BVJT00189,HT4CWJT00250,29177,10,541,18206,3,10415
HT4BVJT00189,HT4CWJT00250,18711,12,433,8220,3,10054
HT4BVJT00189,HT4CWJT00250,39091,8,320,28299,3,10481
HT4BVJT00003,HT4BVJT00189,10129,10,198,8,2,9889
HT4BVJT00003,HT4BVJT00189,15191,11,130,4775,3,10263
HT4BVJT00189,HT4BVJT00189,25558,22,16,15008,2,10515
HT4BVJT00189,HT4BVJT00003,21528,50,165,9771,4,11535
HT4BVJT00189,HT4BTJT00127,26356,6,257,15130,6,10981
HT4BVJT00003,HT4BVJT00003,32064,8,71,20178,3,11838
HT4BVJT00189,HT4BTJT00127,31596,20,204,20251,3,11162
HT4BVJT00189,HT4CWJT00250,30445,9,198,19274,3,10968
HT4CWJT00250,HT4BVJT00003,32642,7,128,20373,3,12143
HT4BVJT00189,HT4BVJT00189,16982,8,58,6321,6,10627
HT4BVJT00189,HT4CWJT00250,31425,45,148,20073,3,11115
HT4BVJT00189,HT4BTJT00127,25974,6,232,14394,4,11327
HT4BVJT00189,HT4BVJT00189,20635,9,80,9965,6,10613
HT4BVJT00189,HT4BVJT00189,31036,7,53,20321,5,10658
HT4BVJT00189,HT4BVJT00189,41367,40,115,30560,4,10681
HT4BTJT00127,HT4CWJT00250,32545,5,344,20223,4,11956
HT4BVJT00003,HT4BVJT00003,10123,58,75,37,4,9951
HT4BTJT00127,HT4BTJT00127,10322,22,38,24,3,10238
HT4BVJT00003,HT4BVJT00003,17938,12,60,8416,13,9465
HT4BVJT00003,HT4BVJT00003,24030,5,63,16398,3,7601
HT4CWJT00250,HT4CWJT00250,9877,50,122,18,2,9728
HT4BVJT00189,HT4BVJT00189,10932,38,67,32,2,10832
HT4BVJT00003,HT4BVJT00189,15523,21,172,5154,8,10170
HT4BVJT00003,HT4BVJT00189,24102,7,340,13366,3,10385
HT4CWJT00250,HT4BVJT00189,33995,6,211,23287,3,10506
HT4BTJT00127,HT4BVJT00003,10265,10,246,10,4,10016
HT4CWJT00250,HT4BVJT00003,15317,8,173,5142,4,10004
HT4BVJT00003,HT4CWJT00250,9363,40,265,17,5,9057
HT4BVJT00189,HT4CWJT00250,15195,7,353,5663,2,9207
HT4BVJT00189,HT4BVJT00003,18276,6,268,7870,4,10124
HT4CWJT00250,HT4BTJT00127,9598,11,239,10,2,9366
HT4BTJT00127,HT4CWJT00250,15962,14,274,6232,5,9472
HT4BTJT00127,HT4BTJT00127,14293,44,16,4161,1,10069
HT4BTJT00127,HT4BVJT00003,17155,6,67,6734,2,10283
