ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10183,22,26,35,5,10098
HT4BTJT00127,HT4BTJT00127,10004,44,15,16,2,9934
HT4BVJT00003,HT4BVJT00003,17804,21,16,8490,2,9276
HT4CWJT00250,HT4CWJT00250,9776,15,74,31,1,9692
HT4BVJT00189,HT4BVJT00189,10960,36,29,35,5,10862
HT4CWJT00250,HT4BVJT00189,13343,45,76,2818,2,10398
HT4BTJT00127,HT4BVJT00003,9393,60,104,15,3,9210
HT4CWJT00250,HT4BVJT00003,13904,53,53,4320,2,9471
HT4BVJT00189,HT4CWJT00250,9146,26,104,27,4,8983
HT4BVJT00189,HT4BVJT00003,16353,33,71,6599,2,9641
HT4CWJT00250,HT4CWJT00250,12902,5,46,3778,1,9073
HT4BVJT00003,HT4BTJT00127,9253,8,50,21,9,9159
HT4BTJT00127,HT4BTJT00127,16099,46,45,6702,1,9304
HT4BTJT00127,HT4CWJT00250,16878,6,117,7424,4,9284
HT4BVJT00189,HT4BVJT00003,17163,47,60,7262,2,9793
HT4BVJT00189,HT4BTJT00127,18051,66,72,8406,3,9492
HT4CWJT00250,HT4BVJT00189,9908,5,67,21,4,9811
HT4CWJT00250,HT4BVJT00189,19818,6,55,9555,2,10195
HT4CWJT00250,HT4CWJT00250,17360,63,49,7805,2,9440
HT4BVJT00189,HT4BVJT00003,18118,11,35,8151,2,9914
HT4BVJT00003,HT4CWJT00250,23747,12,88,14244,1,9395
HT4BVJT00003,HT4BTJT00127,15989,5,52,6420,2,9509
HT4BVJT00189,HT4BVJT00189,18647,15,56,8266,2,10316
HT4BVJT00189,HT4BVJT00003,19109,7,46,8717,2,10328
HT4BVJT00189,HT4CWJT00250,24904,8,41,15408,1,9445
HT4CWJT00250,HT4BTJT00127,21453,5,53,11792,1,9602
HT4BTJT00127,HT4BTJT00127,27725,14,44,17751,1,9914
HT4BVJT00189,HT4BVJT00003,23332,43,79,12513,2,10693
HT4BVJT00189,HT4BVJT00189,16986,9,16,6504,1,10459
HT4BVJT00003,HT4BVJT00189,25100,5,29,16751,1,8304
HT4BTJT00127,HT4CWJT00250,24365,17,48,14648,1,9644
HT4BVJT00189,HT4CWJT00250,34074,7,67,24253,1,9744
HT4BVJT00189,HT4BTJT00127,29320,8,49,18987,1,10266
HT4BVJT00189,HT4BVJT00003,23891,6,52,12895,2,10936
HT4BVJT00189,HT4BVJT00189,28304,9,10,17861,1,10420
HT4BVJT00189,HT4BVJT00189,38522,21,55,27877,2,10563
HT4BTJT00127,HT4CWJT00250,28568,6,79,18407,5,10035
HT4BTJT00127,HT4CWJT00250,38702,5,28,28314,1,10347
HT4BTJT00127,HT4BTJT00127,23593,5,58,15115,2,8424
HT4BVJT00189,HT4BVJT00003,21797,6,58,10343,4,11379
HT4BVJT00003,HT4BVJT00003,32897,11,18,21356,3,11512
HT4CWJT00250,HT4BTJT00127,30661,4,76,19787,2,10766
HT4BVJT00189,HT4BTJT00127,39594,7,57,28375,1,11153
HT4BVJT00003,HT4BTJT00127,50581,9,104,39018,2,11433
HT4BVJT00189,HT4BVJT00003,33852,10,89,21811,6,11935
HT4BVJT00003,HT4BVJT00003,10318,34,54,20,3,10240
HT4BTJT00127,HT4BTJT00127,10304,55,42,25,2,10190
HT4BVJT00003,HT4BVJT00003,18288,15,17,8660,1,9599
HT4CWJT00250,HT4CWJT00250,9782,18,75,32,2,9664
HT4BVJT00189,HT4BVJT00189,10599,17,18,18,3,10542
HT4CWJT00250,HT4BVJT00189,12505,48,84,2424,1,9940
HT4BTJT00127,HT4CWJT00250,9103,29,74,8,2,8976
HT4CWJT00250,HT4CWJT00250,13250,6,8,4119,2,9116
HT4BVJT00189,HT4BVJT00003,9467,42,115,31,2,9314
HT4BVJT00189,HT4CWJT00250,15320,13,69,5984,3,9252
HT4CWJT00250,HT4BVJT00003,13590,45,61,4065,2,9407
HT4BVJT00003,HT4BTJT00127,9667,9,54,15,4,9583
HT4BTJT00127,HT4BTJT00127,17131,12,47,7095,2,9972
HT4BTJT00127,HT4CWJT00250,17037,5,63,7631,1,9342
HT4BVJT00189,HT4BVJT00003,16552,15,61,6789,2,9677
HT4BVJT00189,HT4BTJT00127,19230,11,54,9533,2,9631
HT4CWJT00250,HT4BVJT00189,9783,5,67,20,5,9688
HT4CWJT00250,HT4BVJT00189,19647,19,56,9424,1,10154
HT4CWJT00250,HT4CWJT00250,17627,46,51,8045,2,9485
HT4BVJT00189,HT4BVJT00003,17317,6,35,7518,2,9753
HT4BVJT00003,HT4CWJT00250,24176,6,93,14499,1,9580
HT4BVJT00003,HT4BTJT00127,17461,5,74,7560,2,9816
HT4BVJT00189,HT4BVJT00189,18683,31,16,8136,2,10503
HT4BVJT00189,HT4BVJT00003,18015,6,42,7930,2,10038
HT4BVJT00189,HT4CWJT00250,25596,5,46,15841,1,9693
HT4CWJT00250,HT4BVJT00003,26912,13,49,16460,3,10388
HT4BTJT00127,HT4BTJT00127,19630,5,12,9662,2,9950
HT4BVJT00189,HT4BTJT00127,28743,7,84,18208,10,10435
HT4BVJT00189,HT4BVJT00189,17074,6,44,6507,3,10513
HT4BVJT00003,HT4BVJT00189,27431,10,32,16821,5,10555
HT4BTJT00127,HT4CWJT00250,25598,6,35,15386,1,10167
HT4BVJT00189,HT4CWJT00250,35973,5,64,25457,1,10445
HT4BVJT00189,HT4BVJT00003,25448,6,56,14527,1,10854
HT4BVJT00189,HT4BTJT00127,29197,8,51,18305,2,10834
HT4BVJT00189,HT4BVJT00189,30706,53,49,20092,2,10509
HT4BVJT00189,HT4BVJT00189,40905,14,92,30284,4,10513
HT4BTJT00127,HT4BVJT00003,23794,11,59,12828,4,10893
HT4BTJT00127,HT4CWJT00250,30754,6,36,20160,1,10457
HT4BTJT00127,HT4BTJT00127,29010,7,8,18066,2,10926
HT4BVJT00189,HT4BVJT00003,31156,5,68,19763,3,11316
HT4BVJT00003,HT4CWJT00250,37547,32,62,26370,2,11080
HT4CWJT00250,HT4BVJT00003,41461,5,98,29713,2,11605
HT4BVJT00189,HT4BTJT00127,34244,45,45,22922,5,11224
HT4BVJT00003,HT4BVJT00189,35187,8,66,24496,5,10614
HT4BVJT00189,HT4CWJT00250,37997,6,71,26493,2,11409
HT4BVJT00003,HT4BVJT00003,10056,64,50,11,2,9966
HT4BTJT00127,HT4BTJT00127,10260,58,18,19,1,10167
HT4BVJT00003,HT4BVJT00003,17747,19,13,8383,5,9326
HT4CWJT00250,HT4CWJT00250,10083,7,51,16,2,10007
HT4BVJT00189,HT4BVJT00189,10529,22,67,34,2,10405
HT4CWJT00250,HT4BVJT00189,12502,14,68,2405,1,9998
HT4BTJT00127,HT4BVJT00003,9325,6,52,28,3,9216
HT4CWJT00250,HT4BVJT00003,13963,23,48,4263,1,9603
HT4BVJT00189,HT4CWJT00250,9189,9,95,23,5,9047
HT4BVJT00189,HT4BVJT00003,16412,18,71,6663,2,9657
HT4CWJT00250,HT4CWJT00250,13016,5,9,3857,2,9145
HT4BVJT00003,HT4BTJT00127,9361,5,47,18,6,9282
HT4BTJT00127,HT4BTJT00127,16780,9,49,6785,1,9936
HT4BTJT00127,HT4BVJT00003,16487,7,54,8717,2,7695
HT4BVJT00189,HT4CWJT00250,15592,45,57,6204,2,9285
HT4BVJT00189,HT4BTJT00127,19005,15,64,9191,3,9728
HT4CWJT00250,HT4BVJT00189,10025,47,177,20,3,9701
HT4CWJT00250,HT4BVJT00189,19825,8,39,9638,2,10135
HT4CWJT00250,HT4CWJT00250,17418,58,30,7968,2,9363
HT4BVJT00189,HT4BVJT00003,16018,6,29,6114,3,9864
HT4BVJT00003,HT4CWJT00250,23785,5,93,14270,2,9416
HT4BVJT00003,HT4BVJT00003,19619,5,6,9303,2,10299
HT4BVJT00189,HT4BTJT00127,16364,51,69,6446,1,9796
HT4BVJT00189,HT4BVJT00189,16879,5,48,6464,1,10364
HT4BVJT00189,HT4BVJT00003,27075,51,48,16282,2,10693
HT4CWJT00250,HT4CWJT00250,23978,8,19,14528,2,9431
HT4BTJT00127,HT4BTJT00127,19341,21,8,9383,4,9923
HT4BVJT00189,HT4BTJT00127,28527,10,136,17879,4,10435
HT4BVJT00189,HT4BVJT00189,17060,40,46,6514,4,10457
HT4BVJT00003,HT4BVJT00189,27384,6,114,16699,2,10555
HT4BTJT00127,HT4BVJT00003,27888,6,35,16939,2,10898
HT4BVJT00189,HT4BVJT00003,39178,4,47,27756,4,11357
HT4BVJT00189,HT4CWJT00250,21353,5,62,11601,1,9681
HT4BVJT00189,HT4CWJT00250,28363,6,55,18269,2,10036
HT4BVJT00189,HT4BTJT00127,28007,53,74,17089,4,10790
HT4BVJT00189,HT4BTJT00127,38637,6,71,27576,2,10923
HT4BTJT00127,HT4CWJT00250,29150,13,70,18765,2,10302
HT4BTJT00127,HT4BVJT00189,21909,12,33,11309,1,10547
HT4BTJT00127,HT4BVJT00189,31045,5,135,20349,2,10549
HT4BVJT00189,HT4BVJT00003,31134,6,65,19548,1,11502
HT4BVJT00003,HT4CWJT00250,35355,5,50,24728,2,10562
HT4CWJT00250,HT4BVJT00003,41677,9,72,29691,2,11862
HT4BVJT00189,HT4BTJT00127,34109,5,49,22700,1,11345
HT4BVJT00003,HT4BVJT00189,35217,6,68,24539,2,10577
HT4BVJT00189,HT4CWJT00250,35341,6,66,24295,2,10961
HT4BVJT00003,HT4BVJT00003,9945,13,54,17,2,9891
HT4BTJT00127,HT4BTJT00127,10228,17,29,29,2,10158
