ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,HT4BVJT00003,10396,43,122,15,4,10204
HT4BTJT00127,HT4BTJT00127,10629,86,153,24,7,10398
HT4CWJT00250,HT4CWJT00250,11154,7,149,38,6,10992
HT4BVJT00003,HT4BVJT00003,10444,36,183,722,4,9537
HT4BVJT00189,HT4BVJT00189,10895,44,99,43,6,10731
HT4CWJT00250,HT4BVJT00189,13237,47,395,2473,4,10303
HT4BTJT00127,HT4BVJT00003,10571,6,388,17,6,10152
HT4CWJT00250,HT4BVJT00003,15466,6,478,5096,8,9877
HT4BVJT00003,HT4BVJT00003,25085,16,191,14903,4,9960
HT4BVJT00189,HT4BTJT00127,10099,5,390,25,7,9679
HT4BVJT00189,HT4BTJT00127,17249,42,496,6504,6,10198
HT4CWJT00250,HT4BVJT00189,10678,6,475,15,8,10197
HT4BTJT00127,HT4BVJT00189,17855,12,413,6855,8,10520
HT4BTJT00127,HT4BTJT00127,19543,10,70,9573,6,9890
HT4BTJT00127,HT4BVJT00003,16806,11,332,6427,12,10008
HT4CWJT00250,HT4BVJT00189,20403,5,307,9438,4,10646
HT4CWJT00250,HT4BVJT00189,31287,6,167,19952,6,11146
HT4CWJT00250,HT4CWJT00250,10076,6,92,26,5,9978
HT4BTJT00127,HT4CWJT00250,19698,6,389,9161,4,10095
HT4CWJT00250,HT4BVJT00003,11611,7,426,13,5,11173
HT4BTJT00127,HT4BVJT00003,18880,15,349,7354,6,11119
HT4BVJT00189,HT4BVJT00003,30528,21,552,17887,7,12077
HT4BVJT00003,HT4BTJT00127,11528,44,518,12,6,10989
HT4BVJT00189,HT4BTJT00127,20473,45,649,8815,5,10962
HT4BVJT00189,HT4BTJT00127,31066,26,896,19511,7,10638
HT4BVJT00189,HT4BTJT00127,41679,11,521,29983,6,11109
HT4BVJT00189,HT4CWJT00250,11022,10,598,30,6,10403
HT4BVJT00189,HT4CWJT00250,19485,22,623,8500,7,10340
HT4BVJT00189,HT4CWJT00250,29465,7,640,18334,6,10500
HT4BVJT00003,HT4BVJT00189,11323,8,666,24,6,10651
HT4BVJT00189,HT4BVJT00003,22624,25,340,10586,5,11672
HT4BVJT00003,HT4BVJT00189,17386,19,450,5758,5,11092
HT4CWJT00250,HT4BVJT00003,28656,5,361,15946,10,12304
HT4BVJT00003,HT4BTJT00127,29762,8,452,18315,7,10990
HT4BVJT00003,HT4CWJT00250,24963,22,415,14124,3,10428
HT4BVJT00003,HT4BVJT00189,18738,14,372,7449,6,10838
HT4BVJT00189,HT4CWJT00250,31020,10,501,19421,7,10935
HT4BVJT00189,HT4BTJT00127,30284,18,331,18648,6,11314
HT4BTJT00127,HT4BVJT00003,22796,18,521,9634,7,12552
HT4BVJT00189,HT4BVJT00003,35227,8,472,22128,6,12580
HT4BVJT00003,HT4BVJT00003,10307,46,116,18,6,10114
HT4BTJT00127,HT4BTJT00127,10545,40,108,33,6,10382
HT4CWJT00250,HT4CWJT00250,10089,12,163,48,4,9902
HT4BVJT00003,HT4BVJT00003,10435,9,187,666,4,9604
HT4BVJT00189,HT4BVJT00189,10992,8,177,28,5,10817
HT4CWJT00250,HT4BVJT00189,13312,13,443,2565,3,10322
HT4BTJT00127,HT4BVJT00003,10168,9,426,31,8,9728
HT4CWJT00250,HT4BVJT00003,26998,10,497,16096,8,10437
HT4BVJT00003,HT4BVJT00003,16218,10,148,4716,5,11362
HT4BVJT00189,HT4CWJT00250,10026,43,525,23,5,9413
HT4BVJT00189,HT4CWJT00250,16595,6,578,6360,10,9624
HT4CWJT00250,HT4BTJT00127,10167,10,462,17,7,9679
HT4BTJT00127,HT4BTJT00127,17196,17,149,6752,6,10305
HT4BTJT00127,HT4CWJT00250,18594,12,644,8331,7,9607
HT4BTJT00127,HT4BVJT00003,18368,29,395,7972,4,9997
HT4CWJT00250,HT4BTJT00127,18820,5,412,8584,7,9810
HT4CWJT00250,HT4BTJT00127,28831,8,239,18334,3,10257
HT4CWJT00250,HT4BVJT00189,10229,5,284,13,4,9812
HT4BTJT00127,HT4CWJT00250,18899,5,453,8730,3,9707
HT4CWJT00250,HT4CWJT00250,16858,14,194,6904,6,9737
HT4BTJT00127,HT4BVJT00003,11164,7,435,15,4,10703
HT4BVJT00189,HT4BTJT00127,20368,41,413,9392,5,10570
HT4BVJT00003,HT4BVJT00003,20603,15,191,9403,5,11004
HT4BVJT00189,HT4BVJT00189,11161,6,123,20,10,11033
HT4BVJT00189,HT4BVJT00189,21811,12,139,10977,12,10695
HT4BVJT00189,HT4CWJT00250,18813,6,353,8420,4,10039
HT4BVJT00189,HT4BTJT00127,20134,8,319,8768,5,11027
HT4BVJT00189,HT4CWJT00250,19945,25,532,9030,6,10380
HT4BVJT00189,HT4CWJT00250,30023,21,322,19077,6,10608
HT4BVJT00003,HT4BVJT00003,15806,18,157,3932,5,11718
HT4BVJT00189,HT4BVJT00189,16657,12,128,5388,6,11147
HT4BVJT00003,HT4BTJT00127,19716,14,722,7862,5,11088
HT4CWJT00250,HT4BVJT00003,19237,17,288,7250,8,11672
HT4BVJT00003,HT4BVJT00189,21531,6,723,8883,6,11951
HT4BVJT00003,HT4CWJT00250,25821,5,441,14638,4,10667
HT4BVJT00003,HT4BTJT00127,21757,12,538,9697,8,11536
HT4BVJT00189,HT4CWJT00250,31700,6,397,20289,7,10991
HT4BVJT00189,HT4BVJT00003,19532,14,341,7331,11,11802
HT4BTJT00127,HT4BTJT00127,21432,47,122,9443,8,11845
HT4BVJT00189,HT4BTJT00127,33569,19,296,21058,12,12209
HT4BVJT00003,HT4BVJT00003,11109,8,118,20,6,10983
HT4BTJT00127,HT4BTJT00127,11033,28,116,26,6,10896
HT4CWJT00250,HT4CWJT00250,10483,8,166,47,5,10294
HT4BVJT00003,HT4BVJT00003,11198,68,111,1528,5,9531
HT4BVJT00189,HT4BVJT00189,10912,7,109,32,6,10785
HT4CWJT00250,HT4BVJT00189,13184,9,427,2453,4,10269
HT4BTJT00127,HT4BVJT00003,10196,7,426,19,11,9774
HT4CWJT00250,HT4BVJT00003,24919,7,695,14331,5,9933
HT4BVJT00003,HT4BVJT00003,14693,9,136,4824,5,9758
HT4BVJT00189,HT4CWJT00250,9864,43,392,34,8,9422
HT4BVJT00189,HT4CWJT00250,16379,24,696,6101,4,9596
HT4CWJT00250,HT4BVJT00189,10833,18,519,16,13,10305
HT4BTJT00127,HT4BVJT00189,18221,4,727,6888,9,10655
HT4BTJT00127,HT4CWJT00250,18365,5,576,8144,6,9627
HT4BTJT00127,HT4BVJT00003,16280,9,393,5957,6,9974
HT4CWJT00250,HT4BVJT00189,20762,10,308,9764,4,10703
