ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00003,compute-europe-west-1,3182,25,1142,3,1,2008
HT4BVJT00189,compute-europe-west-1,5024,52,2990,4,1,1971
HT4BVJT00007,HT4BVJT00007,9022,47,31,37,3,8911
HT4BVJT00007,HT4BVJT00007,14942,5,89,5695,4,9156
HT4BTJT00127,compute-europe-west-1,3528,16,1541,3,1,1963
HT4BVJT00007,HT4BVJT00007,14664,5,14,5570,1,9077
HT4BVJT00003,compute-europe-west-1,10648,16,6585,2020,2,2020
HT4BVJT00003,compute-europe-west-1,16452,41,7961,6488,2,1957
HT4BVJT00189,compute-europe-west-1,3625,52,1584,3,0,1978
HT4BVJT00007,HT4BVJT00003,9687,5,212,14,4,9443
HT4BVJT00007,HT4BVJT00003,17257,8,178,7982,3,9099
HT4BVJT00003,compute-europe-west-1,14088,15,4665,7432,2,1966
HT4BTJT00127,compute-europe-west-1,3985,22,1879,4,1,2065
HT4BVJT00189,compute-europe-west-1,7441,21,1591,3857,3,1962
HT4BTJT00127,compute-europe-west-1,8789,6,1267,5531,2,1978
HT4BVJT00003,compute-europe-west-1,15566,6,2727,10869,3,1959
HT4BTJT00127,compute-europe-west-1,12221,15,1221,9015,2,1962
HT4BVJT00007,HT4BVJT00007,10803,5,17,1403,4,9369
HT4BTJT00127,HT4BVJT00007,16388,6,232,6801,2,9347
HT4BVJT00007,HT4BVJT00003,11209,47,146,1721,3,9280
HT4BVJT00003,compute-europe-west-1,3508,6,1513,3,1,1981
HT4BTJT00127,compute-europe-west-1,3794,13,1721,82,4,1975
HT4BVJT00189,compute-europe-west-1,3875,48,1841,3,0,1984
HT4BVJT00189,compute-europe-west-1,4165,16,748,1426,2,1967
HT4BVJT00189,compute-europe-west-1,4771,19,576,2194,2,1999
HT4BTJT00127,compute-europe-west-1,4561,19,2056,501,2,1988
HT4BVJT00189,compute-europe-west-1,7309,21,1600,3729,1,1979
HT4BTJT00127,compute-europe-west-1,4719,16,751,1955,3,1987
HT4BVJT00189,compute-europe-west-1,5767,7,1796,1980,2,1965
HT4BVJT00007,HT4BVJT00007,9084,9,78,33,9,9006
HT4BVJT00007,HT4BVJT00007,16447,12,37,7079,3,9324
HT4BVJT00189,compute-europe-west-1,3352,26,1343,3,0,1976
HT4BVJT00007,HT4BVJT00003,9353,13,242,13,3,9091
HT4BTJT00127,compute-europe-west-1,7082,11,5096,4,0,1981
HT4BVJT00189,compute-europe-west-1,3126,31,743,399,2,1964
