ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00007,HT4BTJT00078,9074,17,72,13,2,8959
HT4BVJT00189,compute-europe-west-1,2502,19,526,2,1,1955
HT4BTJT00127,compute-europe-west-1,2929,46,873,68,0,1937
HT4BTJT00127,compute-europe-west-1,2811,22,869,3,0,1913
HT4BTJT00127,compute-europe-west-1,3014,43,1035,4,0,1934
HT4BTJT00078,compute-europe-west-1,6149,29,1479,2736,0,1916
HT4BTJT00127,compute-europe-west-1,3992,56,412,1596,0,1939
HT4BTJT00127,compute-europe-west-1,3213,17,1242,4,0,1933
HT4BVJT00007,HT4BTJT00078,9617,16,80,15,2,9510
HT4BVJT00007,HT4BTJT00078,18408,11,38,9430,1,8890
HT4BVJT00189,compute-europe-west-1,3740,7,728,1092,0,1909
HT4BVJT00007,HT4BVJT00007,8976,11,54,15,2,8938
HT4BVJT00189,compute-europe-west-1,3141,13,1199,3,0,1925
HT4BVJT00007,HT4BVJT00007,15499,15,10,6510,1,8958
HT4BTJT00078,compute-europe-west-1,2953,5,1026,3,0,1918
HT4BTJT00078,compute-europe-west-1,3661,13,345,1382,0,1919
HT4BTJT00078,compute-europe-west-1,3229,7,864,364,0,1990
HT4BVJT00007,HT4BVJT00007,9083,12,22,14,5,9034
HT4BTJT00078,compute-europe-west-1,3098,53,1054,4,0,1982
HT4BTJT00127,compute-europe-west-1,3375,39,869,477,0,1986
HT4BTJT00127,compute-europe-west-1,3420,52,719,716,0,1941
HT4BVJT00189,compute-europe-west-1,3214,25,1214,2,0,1967
HT4BVJT00189,compute-europe-west-1,3544,15,872,667,1,1980
HT4BTJT00127,compute-europe-west-1,4674,13,1046,1678,1,1934
HT4BVJT00189,compute-europe-west-1,5975,23,872,3142,0,1921
HT4BTJT00078,compute-europe-west-1,7724,20,713,5063,0,1929
HT4BTJT00127,compute-europe-west-1,9227,12,349,6920,0,1943
HT4BVJT00189,compute-europe-west-1,10292,47,709,7604,0,1943
HT4BVJT00189,HT4BVJT00007,9122,88,44,19,5,8973
HT4BTJT00078,compute-europe-west-1,2740,72,702,2,0,1954
HT4BTJT00127,compute-europe-west-1,4484,25,710,1770,0,1983
HT4BTJT00127,compute-europe-west-1,6896,41,1039,3801,0,2006
HT4BTJT00078,compute-europe-west-1,4863,11,530,2348,0,1971
HT4BVJT00189,compute-europe-west-1,7244,27,875,4418,0,1921
HT4BTJT00127,compute-europe-west-1,5882,17,685,3244,0,1929
HT4BTJT00127,compute-europe-west-1,7197,33,585,4667,0,1904
HT4BVJT00189,compute-europe-west-1,9000,38,1217,5860,1,1895
HT4BVJT00189,compute-europe-west-1,9578,5,695,6947,0,1926
HT4BVJT00189,compute-europe-west-1,4906,25,1229,1735,0,1921
HT4BTJT00078,compute-europe-west-1,5199,20,1244,2001,1,1944
HT4BTJT00127,compute-europe-west-1,4304,21,869,1442,0,1980
HT4BVJT00189,compute-europe-west-1,5400,10,868,2498,0,2019
HT4BVJT00007,HT4BVJT00007,9043,51,54,19,3,8921
HT4BTJT00127,compute-europe-west-1,4279,27,1272,977,0,2019
HT4BVJT00007,HT4BVJT00007,13447,9,13,4364,2,9061
HT4BTJT00127,compute-europe-west-1,3418,32,1452,3,0,1926
HT4BVJT00007,HT4BVJT00007,10256,5,6,1006,2,9237
HT4BVJT00007,HT4BVJT00007,12786,6,44,3392,1,9341
HT4BTJT00127,compute-europe-west-1,4030,14,2059,3,0,1936
HT4BVJT00007,HT4BTJT00078,8944,7,35,6,1,8896
HT4BTJT00127,compute-europe-west-1,3389,47,1400,2,0,1954
HT4BVJT00189,compute-europe-west-1,4479,56,570,1914,0,1938
HT4BTJT00078,compute-europe-west-1,5876,13,2203,1694,0,1962
HT4BVJT00003,compute-europe-west-1,3551,45,1566,4,0,1943
HT4BVJT00189,compute-europe-west-1,2495,22,544,3,0,1936
HT4BVJT00007,HT4BVJT00007,9062,14,22,14,2,9015
HT4BVJT00007,HT4BVJT00007,14932,13,13,5770,1,9142
HT4BVJT00007,HT4BVJT00003,9353,5,94,21,2,9231
HT4BTJT00127,compute-europe-west-1,2988,47,1036,4,0,1903
HT4BVJT00007,HT4BVJT00003,17584,7,82,8314,2,9185
HT4BVJT00007,HT4BVJT00007,14918,5,16,5576,2,9322
HT4BVJT00003,compute-europe-west-1,2960,5,1026,3,0,1923
HT4BVJT00003,compute-europe-west-1,4760,4,1245,1586,1,1914
HT4BVJT00189,compute-europe-west-1,5491,20,855,2713,0,1905
HT4BVJT00003,compute-europe-west-1,4235,30,725,1567,0,1912
HT4BVJT00189,compute-europe-west-1,5414,23,690,2786,0,1911
HT4BVJT00003,compute-europe-west-1,5625,5,522,3178,0,1912
HT4BTJT00127,compute-europe-west-1,2886,35,946,3,0,1899
HT4BTJT00127,compute-europe-west-1,3632,9,351,1362,1,1905
HT4BTJT00127,compute-europe-west-1,3089,18,873,283,0,1913
HT4BVJT00003,compute-europe-west-1,2863,12,901,3,0,1941
HT4BTJT00127,compute-europe-west-1,2985,44,1030,3,0,1901
HT4BVJT00007,HT4BVJT00007,9185,13,56,21,6,9094
HT4BVJT00007,HT4BVJT00007,16544,12,46,7252,1,9233
HT4BVJT00189,compute-europe-west-1,2962,8,1015,2,0,1929
HT4BVJT00189,compute-europe-west-1,3230,9,687,577,1,1938
