ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4BVJT00007,HT4CWJT00250,9643,8,607,45,9,9000
HT4BVJT00003,compute-europe-west-1,5521,7,2984,11,6,2511
HT4BTJT00078,compute-europe-west-1,6541,46,2174,1810,4,2514
HT4BTJT00078,compute-europe-west-1,5601,10,1103,2162,2,2340
HT4CWJT00250,compute-europe-west-1,4840,11,2038,536,1,2258
HT4BTJT00078,compute-europe-west-1,4397,6,2101,6,1,2260
HT4BVJT00007,HT4CWJT00250,9841,8,728,35,19,9049
HT4BVJT00007,HT4CWJT00250,19750,7,747,8977,9,10034
HT4BVJT00003,compute-europe-west-1,7472,21,2087,3102,1,2258
HT4BTJT00078,compute-europe-west-1,4142,5,736,1171,1,2245
HT4BTJT00078,compute-europe-west-1,11427,8,9102,19,2,2281
HT4BVJT00007,HT4BTJT00078,9825,6,477,22,5,9244
HT4CWJT00250,compute-europe-west-1,16404,11,12198,1911,4,2287
HT4BVJT00003,compute-europe-west-1,6363,85,3977,10,4,2291
HT4CWJT00250,compute-europe-west-1,12912,17,10572,6,2,2311
HT4CWJT00250,compute-europe-west-1,15047,11,9498,3240,4,2296
HT4BTJT00078,compute-europe-west-1,15121,4,5381,7098,3,2265
HT4BVJT00007,HT4CWJT00250,12236,7,525,2804,6,8931
HT4CWJT00250,compute-europe-west-1,8730,18,1586,4865,3,2268
HT4BVJT00007,HT4BTJT00078,9428,6,303,14,3,9127
HT4BTJT00078,compute-europe-west-1,10892,7,4118,4489,2,2261
HT4CWJT00250,compute-europe-west-1,21137,10,15026,3767,2,2317
HT4BVJT00003,compute-europe-west-1,5347,6,3012,34,3,2292
HT4BVJT00003,compute-europe-west-1,5991,5,1491,2188,2,2289
HT4BVJT00003,compute-europe-west-1,6880,6,1095,3487,2,2294
HT4BVJT00007,HT4CWJT00250,9925,16,433,50,6,9427
HT4CWJT00250,compute-europe-west-1,11535,11,5972,3291,2,2250
HT4BVJT00003,compute-europe-west-1,5727,5,1908,1543,1,2274
